ETF2,Correlation
ACWI,0.8265482863427535
ACWV,0.7296946911125457
ACWX,0.8826399659199653
AFK,0.6503808424785703
AGG,0.07764391987938671
AGQ,0.2757642512080721
AGZD,0.04243085575422847
AIA,0.9661552241029501
AMLP,0.41543548805413005
ANGL,0.5259220420887627
AOA,0.7994203029791452
AOK,0.6781491352840862
AOM,0.7376868856064064
AOR,0.7912424137039851
ARGT,0.5891603403859379
ASEA,0.720015684060777
ASHR,0.6480017545646725
BAB,0.059641499214851165
BIL,-0.007528767651485995
BIV,0.021822286233958946
BIZD,0.41294142515516413
BKLN,0.48017738519638264
BLV,0.036301787285019704
BND,0.0856715157788269
BNDX,0.07135917647962442
BNO,0.29011179418995836
BOIL,0.05537246242372799
BOND,0.11583073989366927
BRZU,0.5717181195610832
BSV,0.04264794931954542
BTAL,-0.27602474965274376
BWX,0.21338677244031956
BWZ,0.25684833935700035
BZQ,-0.5386039065285858
CANE,0.1307081160340599
CEMB,0.35540824154395134
CGW,0.6923371859475371
CHIQ,0.8267888788898332
CMBS,-0.020500511076984983
CMF,0.07623236199934577
COPX,0.6871825105261943
CORN,0.07280552237895561
CORP,0.18899234988346442
CPER,0.27092239763630854
CQQQ,0.8177385637644983
CURE,0.5630285722732188
CWB,0.7249255474071857
CWI,0.8712279910832866
CXSE,0.7979620668256077
DBA,0.2062419735043278
DBB,0.3803319814591663
DBC,0.34691712959050824
DBEF,0.7219394624158287
DBEU,0.7087162715803443
DBJP,0.6179203270872308
DBO,0.2985010604445071
DDM,0.6883348700445353
DEM,0.8597670634441653
DES,0.5932316548945382
DEW,0.7207371246619378
DFJ,0.6169942378804212
DGP,0.07809973162014089
DGRE,0.8737548835053273
DGRS,0.5946821530149154
DGRW,0.6952197675312344
DGS,0.8903433933215793
DHS,0.6091059420696818
DIA,0.68986578098853
DIG,0.49274805249411124
DIV,0.5212702019929382
DJP,0.3547465058392477
DLN,0.6823933526777509
DLS,0.7708583002990276
DNL,0.8354522562498241
DOG,-0.6861804314203842
DON,0.6435981178644188
DRN,0.48461032822734457
DRV,-0.5037663648424722
DSI,0.7334364213624298
DTD,0.6772812679356244
DTH,0.7537052131509306
DUG,-0.5026383875943384
DUST,-0.2016562663666323
DVY,0.588289702297427
DVYE,0.8124074812362774
DWAS,0.6234834490428754
DWM,0.7782555154441099
DXD,-0.687726417992501
DXJ,0.6031941353932341
DXJS,0.5585909283487149
EBND,0.5924690335749981
ECH,0.5854022455882549
ECNS,0.7366629622753356
EDC,0.9716949151514211
EDIV,0.8394068960328425
EDV,-0.14525622163340998
EDZ,-0.9716288375180657
EELV,0.843713912112305
EEM,0.9743440697678869
EEMA,0.9716440945854578
EEMV,0.931867006324081
EFA,0.7988927067184571
EFG,0.8009525507709351
EFV,0.756577221005049
EFZ,-0.7923571329047986
EIDO,0.6666366376544655
EMB,0.5298554412225064
EMHY,0.565321098106956
EMLC,0.5925388821634581
ENFR,0.4947093687095777
ENOR,0.6593435501186239
ENZL,0.590082910729552
EPHE,0.6384281787868381
EPI,0.6915172837251247
EPOL,0.6445099816382005
EPP,0.8399201439391923
EPS,0.7105908456953167
EPV,-0.7522882632344592
EQWL,0.6705789719623584
ERX,0.5143155267380326
ERY,-0.5248863896269931
EUFN,0.6719235394089194
EUM,-0.9696558206190041
EURL,0.7525978856950352
EUSA,0.7093150887856816
EWA,0.7415405478097898
EWC,0.6965437519247489
EWD,0.7140581106780723
EWG,0.7183199434689559
EWH,0.8265861371958372
EWI,0.6604021402021566
EWJ,0.6853855835442894
EWL,0.6681989402754687
EWM,0.634774913822516
EWP,0.6420660218972309
EWQ,0.7218144603298075
EWS,0.7916394716009743
EWT,0.8221795655567472
EWU,0.7184553962125065
EWV,-0.6706259085163159
EWW,0.6372308654817376
EWX,0.8795572964062955
EWY,0.8570999644054828
EWZ,0.5967746162885159
EWZS,0.5341748330736479
