ETF2,Correlation
ACE 200,0.4628266177622153
ACE 200TR,0.4631689365591296
ACE 2차전지&친환경차액티브,0.2605353825889529
ACE ESG액티브,0.4469901754059462
ACE Fn5G플러스,0.4321506384100558
ACE Fn성장소비주도주,0.38080712507756603
ACE 골드선물 레버리지(합성 H),0.0022341763707005385
ACE 국고채10년,0.03826229519587581
ACE 국고채3년,0.048060041253574964
ACE 단기통안채,0.011210094264729357
ACE 러시아MSCI(합성),0.054029030440115505
ACE 레버리지,0.46011629847394186
ACE 멕시코MSCI(합성),0.37690038104327883
ACE 미국IT인터넷S&P(합성 H),0.6369541462585749
ACE 미국WideMoat동일가중,0.8551176335636018
ACE 미국나스닥100,0.9220986131457684
ACE 미국다우존스리츠(합성 H),0.5410426398710326
ACE 미국친환경그린테마INDXX,0.6133168063829384
ACE 밸류대형,0.4282479447472812
ACE 베트남VN30(합성),0.31211901973450906
ACE 베트남VN30선물블룸버그레버리지(H),0.2891716219324897
ACE 삼성그룹동일가중,0.30307896456490535
ACE 삼성그룹섹터가중,0.4003909879199737
ACE 싱가포르리츠,0.28855940312392403
ACE 아시아TOP50S&P,0.4176352583114731
ACE 인도네시아MSCI(합성),0.33410147297563947
ACE 인버스,-0.4600983523904947
ACE 일본Nikkei225(H),0.5977840605068293
ACE 일본TOPIX레버리지(H),0.45284911963442476
ACE 일본TOPIX인버스(합성 H),-0.5465505344902633
ACE 종합채권(AA-이상)KIS액티브,0.02270713879023168
ACE 중국본토CSI300,0.16845289927979437
ACE 중국본토CSI300레버리지(합성),0.17654428049041146
ACE 중장기국공채액티브,0.06559176351595296
ACE 차이나항셍테크,0.22436272875158603
ACE 코스닥150,0.38747285768708184
ACE 코스피,0.4559487442856928
ACE 필리핀MSCI(합성),0.29694046798206114
BNK금융지주,0.2178337648659496
HANARO 200,0.46622732439142167
HANARO 200TR,0.46128012532183027
HANARO 200선물레버리지,0.4638717358006369
HANARO 200선물인버스,-0.47045354213377005
HANARO e커머스,0.3815366491486885
HANARO Fn K-POP&미디어,0.29543660844626757
HANARO Fn K-게임,0.30476233071671455
HANARO Fn K-뉴딜디지털플러스,0.37200003135401916
HANARO Fn K-반도체,0.4303252471932861
HANARO Fn5G산업,0.4411018026752857
HANARO Fn전기&수소차,0.355548123973135
HANARO Fn친환경에너지,0.30668423393342176
HANARO KAP초장기국고채,0.04905738823653477
HANARO KRX300,0.45945388220504063
HANARO MSCI Korea TR,0.43583435537084286
