ETF2,Correlation
AAXJ,0.7994203029791453
ACWI,0.9719904717145631
ACWV,0.880747384655211
ACWX,0.929414161037021
AFK,0.6538534871401727
AGG,0.17157516119657798
AGQ,0.2700043322361776
AGZD,0.08434870204397485
AIA,0.7535107944094848
AMLP,0.5517142607459007
ANGL,0.6537698327784223
AOK,0.8602749738681239
AOM,0.9284686760596577
AOR,0.976554996999288
ARGT,0.6624151996553194
ASEA,0.6930157355646138
ASHR,0.4462377917887103
BAB,0.08784552915033288
BIL,-0.0025798099821022083
BIV,0.08714842877683336
BIZD,0.605676398550579
BKLN,0.5763632704384067
BLV,0.10316494359024007
BND,0.17605791729120723
BNDX,0.14237989538412665
BNO,0.3348163612025884
BOIL,0.08769112557172302
BOND,0.19801418526442602
BRZU,0.5858911097583505
BSV,0.06693641747554704
BTAL,-0.33214545443332544
BWX,0.24727496075709773
BWZ,0.25129508872140227
BZQ,-0.5468689572721291
CANE,0.13341737866621545
CEMB,0.3974157338941817
CGW,0.8803204616707058
CHIQ,0.5827358452455936
CMBS,0.02104312032201737
CMF,0.0937185876591882
COPX,0.6722868859083391
CORN,0.08594937889284826
CORP,0.28853243952141683
CPER,0.26142758670508476
CQQQ,0.5824564452218955
CURE,0.7680145762278181
CWB,0.8407681104585543
CWI,0.9297640548520439
CXSE,0.5368536936411298
DBA,0.22075360932329186
DBB,0.34722989703045926
DBC,0.38762135641045575
DBEF,0.8505001257928636
DBEU,0.8522517197346445
DBJP,0.7300497419042872
DBO,0.3541662437438253
DDM,0.9139645831372248
DEM,0.7871349563493317
DES,0.8110610993770191
DEW,0.8889107039723217
DFJ,0.7355556991217672
DGP,0.05590141975750274
DGRE,0.7715371710040375
DGRS,0.7795433810750292
DGRW,0.920758030621116
DGS,0.8131327309110922
DHS,0.8377616582676102
DIA,0.9115378828023862
DIG,0.6313483256066492
DIV,0.7350767362524946
DJP,0.38539698468030803
DLN,0.9140434844535599
DLS,0.8925559872140202
DNL,0.8934720265872796
DOG,-0.9093482993530286
