ETF2,Correlation
ACE 200,0.4858892360754397
ACE 200TR,0.486106647935734
ACE 2차전지&친환경차액티브,0.18193760085500377
ACE ESG액티브,0.46096036114302397
ACE Fn5G플러스,0.3065114747739255
ACE Fn성장소비주도주,0.3753250923176744
ACE 골드선물 레버리지(합성 H),0.1185642545376146
ACE 국고채10년,0.058523553719994376
ACE 국고채3년,0.047710499557124905
ACE 단기통안채,0.13578749092165435
ACE 러시아MSCI(합성),0.10012452907530901
ACE 레버리지,0.4841281312173901
ACE 멕시코MSCI(합성),0.22483117549061302
ACE 미국IT인터넷S&P(합성 H),0.1615030576900453
ACE 미국S&P500,0.2178337648659497
ACE 미국WideMoat동일가중,0.240294361072804
ACE 미국나스닥100,0.17334367074476106
ACE 미국다우존스리츠(합성 H),0.24997159628279148
ACE 미국친환경그린테마INDXX,0.2251627137990414
ACE 밸류대형,0.5632206166532935
ACE 베트남VN30(합성),0.0823260941422213
ACE 베트남VN30선물블룸버그레버리지(H),0.19378628565296127
ACE 삼성그룹동일가중,0.48500288827287824
ACE 삼성그룹섹터가중,0.4084008955358952
ACE 싱가포르리츠,0.11269064545510052
ACE 아시아TOP50S&P,0.2682549567103269
ACE 인도네시아MSCI(합성),0.10988600623212302
ACE 인버스,-0.48795570777502073
ACE 일본Nikkei225(H),0.32924649883672874
ACE 일본TOPIX레버리지(H),0.25935233565016896
ACE 일본TOPIX인버스(합성 H),-0.3515483951113321
ACE 종합채권(AA-이상)KIS액티브,-0.04402650219693756
ACE 중국본토CSI300,0.08232634441748886
ACE 중국본토CSI300레버리지(합성),0.09032484351962745
ACE 중장기국공채액티브,0.01340522196891184
ACE 차이나항셍테크,0.1657595015095132
ACE 코스닥150,0.26498831988603866
ACE 코스피,0.4700315385126623
ACE 필리핀MSCI(합성),0.1568582660169415
HANARO 200,0.49176222936562997
HANARO 200TR,0.49094083175872677
HANARO 200선물레버리지,0.48023234159273054
HANARO 200선물인버스,-0.48422076007315107
HANARO e커머스,0.3820337287434298
HANARO Fn K-POP&미디어,0.2365778338211111
HANARO Fn K-게임,0.27771192842121206
HANARO Fn K-뉴딜디지털플러스,0.25814289937272966
HANARO Fn K-반도체,0.2799366205082826
HANARO Fn5G산업,0.3635523983466595
HANARO Fn전기&수소차,0.36058125951712205
HANARO Fn친환경에너지,0.2410352686930872
HANARO KAP초장기국고채,0.01808781674504631
HANARO KRX300,0.43314509002814905
HANARO MSCI Korea TR,0.4253800720941101
HANARO 고배당,0.6770493893085141
HANARO 글로벌럭셔리S&P(합성),0.2527331070526062
HANARO 농업융복합산업,0.38298204325054735
HANARO 단기채권액티브,0.03683029792255768
HANARO 코스닥150,0.2679977347099018
HANARO 코스닥150선물레버리지,0.2748304588637685
HANARO 탄소효율그린뉴딜,0.4288767496752953
KODEX 200 중소형,0.4938311084769416
KODEX 200,0.48779142097756956
KODEX 200ESG,0.5233558503367266
KODEX 200exTOP,0.48102073011480406
KODEX 200IT TR,0.3255907995617638
KODEX 200TR,0.4829011184723924
KODEX 200가치저변동,0.6183050681497739
KODEX 200동일가중,0.5459446471754273
KODEX 200롱코스닥150숏선물,0.0442149465184449
KODEX 200미국채혼합,0.22251662275625783
KODEX 200선물인버스2X,-0.4804852397021617
KODEX 2차전지산업,0.16417881245063315
KODEX 3대농산물선물(H),0.036077310820594365
KODEX IT,0.281716334521824
KODEX K-뉴딜디지털플러스,0.2587318756209484
KODEX K-미래차액티브,0.33414066510925494
KODEX K-신재생에너지액티브,0.23307342065238432
KODEX K-이노베이션액티브,0.28614302909134437
KODEX KRX300,0.45847952995284097
KODEX KRX300레버리지,0.4539868077805079
KODEX KTOP30,0.4039316281703347
KODEX MSCI EM선물(H),0.35810569007908777
KODEX MSCI KOREA ESG유니버설,0.46941813912072466
KODEX MSCI Korea TR,0.45176109553514776
KODEX MSCI Korea,0.4509049393067375
KODEX MSCI모멘텀,0.34163704961911606
KODEX MSCI밸류,0.5608256161066213
KODEX MSCI퀄리티,0.41771027894530244
KODEX S&P글로벌인프라(합성),0.23781581666619797
KODEX Top10동일가중,0.3184923788316537
KODEX Top5PlusTR,0.4690055947759186
KODEX TRF3070,0.21619325346541957
KODEX TRF5050,0.17686614399486802
KODEX TRF7030,0.23010108323517858
KODEX WTI원유선물(H),0.174449291484999
KODEX WTI원유선물인버스(H),-0.17811853059826818
KODEX 건설,0.43466853234000574
KODEX 게임산업,0.2576342515924845
KODEX 경기소비재,0.4564093803365509
KODEX 고배당,0.6453520910663474
KODEX 골드선물(H),0.10269910017963205
KODEX 골드선물인버스(H),-0.13860301190979546
KODEX 구리선물(H),0.2288796472188754
KODEX 국고채3년,0.009172713433818397
KODEX 국채선물10년,0.011094102387628705
KODEX 국채선물10년인버스,-0.004104733128117187
KODEX 국채선물3년인버스,-0.013533092295265354
KODEX 글로벌로봇(합성),0.2405389051703138
