ETF2,Correlation
AAXJ,0.7249255474071857
ACWI,0.8436558735917205
ACWV,0.7382636839813413
ACWX,0.7830784427598259
AFK,0.5657627212641403
AGG,0.16231007298128544
AGQ,0.2289893868523285
AGZD,0.05185215791122536
AIA,0.6747092759009934
AMLP,0.4987984911643307
ANGL,0.6330659977215027
AOA,0.8407681104585543
AOK,0.7403985423886736
AOM,0.7930355627667185
AOR,0.8288821640588999
ARGT,0.6334261883094597
ASEA,0.5996892956809573
ASHR,0.39561722632823515
BAB,0.11582451977339235
BIL,0.019225802434959558
BIV,0.09197151372985893
BIZD,0.5760159299701938
BKLN,0.5769539715988283
BLV,0.12442058198596653
BND,0.1745982068663369
BNDX,0.1453682083594227
BNO,0.2812043601516273
BOIL,0.07608064403539155
BOND,0.21458037746177758
BRZU,0.504258073135578
BSV,0.09710981693844178
BTAL,-0.2997271227536106
BWX,0.18842156809094618
BWZ,0.18306459782699339
BZQ,-0.4734536180434646
CANE,0.11640757966512504
CEMB,0.3831946590312388
CGW,0.7359495763210536
CHIQ,0.5915056041803113
CMBS,0.038983795548627756
CMF,0.1835224550525794
COPX,0.5809031443241094
CORN,0.07113035233397466
CORP,0.27957828158974113
CPER,0.20893058775942264
CQQQ,0.5822157936855308
CURE,0.6725358296896997
CWI,0.7797266474494237
CXSE,0.5369401702603008
DBA,0.18623583220878936
DBB,0.28266049554370754
DBC,0.32143511074105163
DBEF,0.7067748926357128
DBEU,0.705570530106872
DBJP,0.6042322218350593
DBO,0.29089419810737505
DDM,0.7670747510366787
DEM,0.6583388902795193
DES,0.6856896594147092
DEW,0.7140778724124558
DFJ,0.5927835756388059
DGP,0.042064407423713895
DGRE,0.681777223509951
DGRS,0.6704307181586987
DGRW,0.7779109234600292
DGS,0.7097814256571332
DHS,0.6754121931869139
DIA,0.7657106363498829
DIG,0.5234446973213472
DIV,0.6416909246754492
DJP,0.31709156691974005
DLN,0.7606561394761209
DLS,0.7404639741556855
DNL,0.756379474003242
DOG,-0.7654246584282827
DON,0.7387833627843724
DRN,0.6083451290463777
DRV,-0.6172079838400176
DSI,0.8357448172330617
DTD,0.7608454620492224
DTH,0.6874337996558234
DUG,-0.5350173665747885
DUST,-0.1696073125962207
DVY,0.6524643913689662
DVYE,0.6310452162768073
DWAS,0.8038131932423158
DWM,0.7306384283731837
DXD,-0.7663764780669081
DXJ,0.5853514335390491
DXJS,0.550874662593666
EBND,0.5115143051731448
ECH,0.4961072154700745
ECNS,0.497580784798318
EDC,0.7375108646369826
EDIV,0.6439915026440164
EDV,-0.10290953049353559
EDZ,-0.7387277056048959
EELV,0.6661699318449716
EEM,0.7357851470592883
EEMA,0.7144718267412944
EEMV,0.7121686097639197
EFA,0.7520365818655143
EFG,0.7721134283819959
EFV,0.6893340767565674
EFZ,-0.7537158558374086
EIDO,0.5621736995484696
EMB,0.5856344249961908
EMHY,0.6203567138510985
EMLC,0.5249036430503153
ENFR,0.5737379653977354
ENOR,0.6129992839907813
ENZL,0.5529864065888118
EPHE,0.5394291525983753
EPI,0.5788549003838819
EPOL,0.5562760947606511
EPP,0.7032749852731359
EPS,0.8027575452259531
EPV,-0.728391195235808
EQWL,0.7490691390172354
ERX,0.548749996510806
ERY,-0.55741140972606
EUFN,0.6252268956188941
EUM,-0.7374379997744493
EURL,0.7291748610676683
EUSA,0.8273324181913277
EWA,0.6796926802248461
EWC,0.7279243274232222
EWD,0.6828991140557498
EWG,0.696530275762441
EWH,0.5394208179095558
EWI,0.6334999857720464
EWJ,0.6485844362166948
EWL,0.6614446183994093
EWM,0.4848745727237636
EWP,0.6086983152487213
EWQ,0.6909767319837433
EWS,0.6479471023424722
EWT,0.6350288268484214
EWU,0.6669947358904063
EWV,-0.6418759353647499
EWW,0.5706197226609022
EWX,0.7218407035377293
EWY,0.6532907994027128
EWZ,0.519069995004939
EWZS,0.5079178538607574
EZA,0.5959296085948002
EZU,0.7116429992498486
FAN,0.6912721506941696
FAS,0.7148721297515362
FAZ,-0.7167654571307894
FBT,0.6520100119396386
FCA,0.4385832414049453
FCG,0.4547803369739959
FCOM,0.720594858253521
FDD,0.6288179616276898
FDIS,0.8268662780737676
FDL,0.6428212835051065
FDN,0.8183204628622401
FDT,0.7546317859007089
FEM,0.6889825797704405
FEMS,0.6473189566770476
FENY,0.5324892879559331
FEZ,0.7082054004781474
FGD,0.6899880994929893
FHLC,0.7193795456577946
FIDU,0.7535400186019595
FIW,0.7366936561838044
FLOT,0.38422816038399854
FLRN,0.35450903792575567
FLTR,0.3256913343788061
FM,0.5409883225485351
FMAT,0.7206208838258272
FMF,0.023616994720022502
FNCL,0.6822959560406818
FNDA,0.769854580081993
FNDB,0.7760125007090389
FNDC,0.7524441909978393
FNDE,0.6659563608751581
FNDF,0.7176241409979465
FNDX,0.7766219564856458
FPE,0.49993037878475316
FRI,0.6016272122369529
FSTA,0.5470465925207785
FTA,0.7113242671771519
