ETF2,Correlation
AAXJ,0.34691712959050836
ACWI,0.3893585141303374
ACWV,0.3145024078275263
ACWX,0.4161590815897175
AFK,0.4315647834344777
AGG,-0.00030530895866532227
AGQ,0.3624136746769829
AGZD,0.06603973088134248
AIA,0.3181248351882447
AMLP,0.4756008934898382
ANGL,0.3246668043462426
AOA,0.38762135641045575
AOK,0.29449117111339423
AOM,0.33368090442553655
AOR,0.37242952633077725
ARGT,0.3819867303064463
ASEA,0.3331203082683788
ASHR,0.23908555938606996
BAB,-0.03943951514558101
BIL,0.023545816532872445
BIV,-0.02826336457208324
BIZD,0.2865881129452152
BKLN,0.2630731517983589
BLV,-0.0544668343570805
BND,-0.010068917692592487
BNDX,-0.030146418641790487
BNO,0.8838906316737297
BOIL,0.23000654701978104
BOND,0.032105881231773346
BRZU,0.3835527529021319
BSV,-0.019224511095018458
BTAL,-0.1488327003797942
BWX,0.14848837596975206
BWZ,0.19805010089490543
BZQ,-0.3523333196694906
CANE,0.28690805135322034
CEMB,0.17342699200487016
CGW,0.3261370134832977
CHIQ,0.24731316842017728
CMBS,-0.03703927328680664
CMF,0.01978056071073665
COPX,0.523319461912602
CORN,0.35988818136237605
CORP,0.05923031109229487
CPER,0.2936738048960496
CQQQ,0.2496758348827047
CURE,0.21668525927339832
CWB,0.32143511074105163
CWI,0.41662937571387565
CXSE,0.2496193670273584
DBA,0.4641994911277724
DBB,0.5118094655207046
DBEF,0.33010147556919317
DBEU,0.3230862667232572
DBJP,0.26555405888918876
DBO,0.9066145925834731
DDM,0.3569993897054097
DEM,0.46239938022399996
DES,0.3531578155601262
DEW,0.4413454349630073
DFJ,0.2820888716918168
DGP,0.26366367062744855
DGRE,0.3739694306976183
DGRS,0.3307927230069747
DGRW,0.3299666836480788
DGS,0.3979218518235576
DHS,0.4038793913632846
DIA,0.35464836307602166
DIG,0.6437186336166659
DIV,0.37309996385256183
DJP,0.9026607245832823
DLN,0.3756530394600659
DLS,0.3964309106509982
DNL,0.3986590865371544
DOG,-0.3539522559534201
DON,0.3855151960734197
DRN,0.22068707801399018
DRV,-0.22304068486851752
DSI,0.32926474267860717
DTD,0.38320344510299
DTH,0.44189021686095337
DUG,-0.6431027486239596
DUST,-0.2772230378405436
DVY,0.3702001740148086
DVYE,0.42257858708504875
DWAS,0.34697197002622754
DWM,0.4107134004178816
DXD,-0.3557040837149228
DXJ,0.2682552681380541
DXJS,0.25997858731734474
EBND,0.33376935056587603
ECH,0.36257334547896847
ECNS,0.2594493650570786
EDC,0.39467113799931997
EDIV,0.39109410232991054
EDV,-0.16659639975249957
EDZ,-0.3946136827805103
EELV,0.3932437794834628
EEM,0.3934345761009743
EEMA,0.34867984656915435
EEMV,0.37881965797377953
EFA,0.3850741914693639
EFG,0.3332220580755798
EFV,0.41576948411374826
EFZ,-0.38344925905391575
EIDO,0.29772880745934066
EMB,0.2799939920594554
EMHY,0.30926112139549705
EMLC,0.35648823373269845
ENFR,0.5458768346555323
ENOR,0.5475833795734547
ENZL,0.31136837352836433
EPHE,0.2739740772339018
EPI,0.24939276868456475
EPOL,0.3083294920506354
EPP,0.4179156107230592
EPS,0.35631073089297577
EPV,-0.3722582283192449
EQWL,0.3658214873979129
ERX,0.6373054421504514
ERY,-0.6332829450523563
EUFN,0.3318590355080083
EUM,-0.3939116394253434
EURL,0.376746467751447
EUSA,0.36513361416963797
EWA,0.4240441666909574
EWC,0.5428024107253946
EWD,0.3394572573855953
EWG,0.31238362460829394
EWH,0.3018830138737563
EWI,0.34493950328397227
EWJ,0.301665813757805
EWL,0.2976612906238037
EWM,0.3043357960576266
EWP,0.329433217167138
EWQ,0.3410013570330754
EWS,0.3383301581877091
EWT,0.304782406246845
EWU,0.42438940575849815
EWV,-0.29675176628688255
EWW,0.35326696195825114
EWX,0.38088995456187397
EWY,0.3322580640792945
EWZ,0.383428401651942
EWZS,0.3299752347075795
EZA,0.37310066071968817
EZU,0.33916402980120175
FAN,0.31347455567871263
FAS,0.3291234921731678
FAZ,-0.3261520354381104
FBT,0.18830667964824768
FCA,0.2632208765994698
FCG,0.6418658966125994
FCOM,0.264127326539661
FDD,0.35757255539356614
FDIS,0.281723249363158
FDL,0.3886231396524803
FDN,0.23142096063201345
FDT,0.4346104465218824
FEM,0.4215341208286935
FEMS,0.3673756771661165
FENY,0.6480381353218688
FEZ,0.34164841480003866
FGD,0.443502264848393
FHLC,0.22447189812333374
