ETF2,Correlation
AAXJ,0.8597670634441653
ACWI,0.8006795025004685
ACWV,0.7337467816710581
ACWX,0.8598232061403686
AFK,0.6880297770570125
AGG,0.0923876633288452
AGQ,0.3253584722530844
AGZD,0.05315590237349957
AIA,0.8027528632916697
AMLP,0.5057243304110329
ANGL,0.5402360363598012
AOA,0.7871349563493317
AOK,0.6741569166558168
AOM,0.7314559266679566
AOR,0.7746363833068456
ARGT,0.6194737631626023
ASEA,0.7395127857695856
ASHR,0.5455448358821926
BAB,0.05290683939114469
BIL,-0.007181946101150969
BIV,0.027181456744027024
BIZD,0.46145228709915304
BKLN,0.4763591048506965
BLV,0.03314839642271935
BND,0.0944240432834673
BNDX,0.07966537845696853
BNO,0.4015759946538182
BOIL,0.07360104439515987
BOND,0.12585218766534298
BRZU,0.7215069529203303
BSV,0.04833948398021141
BTAL,-0.25665690462839885
BWX,0.24368889697395552
BWZ,0.28729693331977685
BZQ,-0.6668987050756642
CANE,0.1836235730668803
CEMB,0.36571848317815925
CGW,0.7088012063681131
CHIQ,0.6092196728552643
CMBS,-0.018371842223262436
CMF,0.07835976181496114
COPX,0.7382256299498534
CORN,0.1315676557548347
CORP,0.19232943918387302
CPER,0.295383438215864
CQQQ,0.6096691923230421
CURE,0.5628770676401539
CWB,0.6583388902795193
CWI,0.85658321176089
CXSE,0.5893747842819421
DBA,0.2765508604681754
DBB,0.41329074353239004
DBC,0.46239938022399996
DBEF,0.7189786854070789
DBEU,0.7178006943531032
DBJP,0.602843819204497
DBO,0.41546054828690515
DDM,0.7061395113986885
DES,0.6465206866051201
DEW,0.8161115972287761
DFJ,0.6215079095887776
DGP,0.12674293234031161
DGRE,0.8826687239265498
DGRS,0.6323487695487492
DGRW,0.704097243042513
DGS,0.9318484079803383
DHS,0.6905102905750616
DIA,0.7079237636103937
DIG,0.5979915333362867
DIV,0.6072133385354904
DJP,0.4612815437967613
DLN,0.7193216842607939
DLS,0.7978741691284893
DNL,0.8418625180011572
DOG,-0.7051446368925153
DON,0.688769419728377
DRN,0.5158707250488859
DRV,-0.5376087453453587
DSI,0.7036429518198154
DTD,0.717403515802533
DTH,0.8307982668707309
DUG,-0.610701700877608
DUST,-0.2669424823225902
DVY,0.6579452391042309
DVYE,0.9073209496750871
DWAS,0.6058739835431187
DWM,0.8236000452132529
DXD,-0.7060650678967416
DXJ,0.6073682719050583
DXJS,0.5568947351581274
EBND,0.6661610804177343
ECH,0.6450068635711722
ECNS,0.5895764514943972
EDC,0.9163230723979513
EDIV,0.9076895281069122
EDV,-0.15918506798988902
EDZ,-0.9152444327754093
EELV,0.8841483086250037
EEM,0.9145183682944807
EEMA,0.8375838671849479
EEMV,0.8967567095974124
EFA,0.7949845600347574
EFG,0.755709546159241
EFV,0.7937684836665893
EFZ,-0.7967439863039038
EIDO,0.6931172338411926
EMB,0.5779427865395202
EMHY,0.6083834488400217
EMLC,0.689201045919637
ENFR,0.5882610211354978
