ETF2,Correlation
AAXJ,0.6898657809885302
ACWI,0.9302597110014365
ACWV,0.8891652044898997
ACWX,0.8374324275618722
AFK,0.5805015440195053
AGG,0.04906503702920523
AGQ,0.19242646410537595
AGZD,0.06961890855403946
AIA,0.6304078043403026
AMLP,0.537378970520003
ANGL,0.6050163870760453
AOA,0.9115378828023862
AOK,0.7483986335542628
AOM,0.8159454023681185
AOR,0.8878520027238549
ARGT,0.5846450230828663
ASEA,0.6272417857815556
ASHR,0.38608238743661805
BAB,0.008399138080495335
BIL,-0.0016247295682268906
BIV,-0.03563085399245818
BIZD,0.6025962322286792
BKLN,0.5938071175888971
BLV,-0.008837249271278817
BND,0.06296399281521832
BNDX,0.06333437836159111
BNO,0.32549819871288016
BOIL,0.07797152090769309
BOND,0.09876495397413128
BRZU,0.5385746169625047
BSV,-0.024347091606581425
BTAL,-0.2883988917608112
BWX,0.07982667366242235
BWZ,0.10807949559002294
BZQ,-0.5101577462313223
CANE,0.11672310892172001
CEMB,0.335855161249867
CGW,0.8462269664976054
CHIQ,0.4543664597844427
CMBS,-0.052622855689414966
CMF,0.07445134234049727
COPX,0.6074734283511188
CORN,0.0774888122071596
CORP,0.18341978007105067
CPER,0.23190755807046512
CQQQ,0.45542663821665186
CURE,0.8183824541596697
CWB,0.7657106363498829
CWI,0.8368430102744053
CXSE,0.4253036153638002
DBA,0.2003664914764795
DBB,0.2882214367965652
DBC,0.3546483630760217
DBEF,0.8207248721579332
DBEU,0.8221669748768693
DBJP,0.704245609167669
DBO,0.33634864205375253
DDM,0.9978222334640585
DEM,0.7079237636103939
DES,0.8348846223710018
DEW,0.8846739686304141
DFJ,0.6744436592948143
DGP,-0.01768831583348252
DGRE,0.6795926722757849
DGRS,0.8165660073427744
DGRW,0.9623905433912979
DGS,0.7295204736691775
DHS,0.8994815771018342
DIG,0.6569851470731278
DIV,0.7575693478227011
DJP,0.3372836372642263
DLN,0.9690320423734767
DLS,0.8048747490977889
DNL,0.7974544671951872
DOG,-0.9964820383304449
DON,0.8955649707260328
DRN,0.6974235734378954
DRV,-0.7225016352569401
DSI,0.9350131476124677
DTD,0.9610052563355256
DTH,0.801053400751609
DUG,-0.674071391503421
DUST,-0.12640968957052154
DVY,0.8830838437421261
DVYE,0.6825567364113116
DWAS,0.7478295257645142
DWM,0.8306811268247177
DXD,-0.9978876960296473
DXJ,0.7061190856334801
DXJS,0.6608842495207942
EBND,0.45732160344365913
ECH,0.5356717009978194
ECNS,0.4245857491461792
EDC,0.7193344692309276
EDIV,0.6799873329850401
EDV,-0.24234202416830353
EDZ,-0.7212592905859306
EELV,0.7008081077029383
EEM,0.7218687006597536
EEMA,0.6727675806286916
EEMV,0.7192680790893695
EFA,0.8372182874494615
EFG,0.813971706925639
EFV,0.8175000745998222
EFZ,-0.8391712146345579
EIDO,0.607008398420238
EMB,0.5294555415708114
EMHY,0.5998096980680121
EMLC,0.47285923178531586
ENFR,0.6299032762565985
ENOR,0.6961896167913748
ENZL,0.6135498822971636
EPHE,0.5839563308362524
EPI,0.6128471676761007
EPOL,0.6019106900457151
EPP,0.7822273795660378
EPS,0.9553397864745947
EPV,-0.8118849356333445
EQWL,0.9244863428487348
ERX,0.675864554251562
ERY,-0.6913629708628984
EUFN,0.7478295722344024
EUM,-0.721067449275106
EURL,0.8098437993660483
EUSA,0.9227013542025801
EWA,0.7798094323512271
EWC,0.7927679172795263
EWD,0.7535681776758099
EWG,0.770613150606889
EWH,0.5608414403159255
EWI,0.7179209033516709
EWJ,0.7132110740355924
EWL,0.7445532996088531
EWM,0.5137259922032071
EWP,0.7149667669185753
EWQ,0.7831736853629271
EWS,0.6714802233436852
EWT,0.6320597796599787
EWU,0.7833058960578109
EWV,-0.7091154352105087
EWW,0.6369810868082689
EWX,0.7258346530647547
EWY,0.6741921922293991
EWZ,0.5611688058976111
EWZS,0.5078584532073046
EZA,0.6226128299306825
EZU,0.7907966316198534
FAN,0.6806249725922946
FAS,0.9125212429434527
FAZ,-0.9163679430597127
FBT,0.5995913484235502
FCA,0.4179979141492825
FCG,0.5118384804101692
FCOM,0.7546633505478103
FDD,0.7449255274761797
FDIS,0.8313221650770981
FDL,0.8764794334812918
FDN,0.7088110115793611
FDT,0.804821135445344
FEM,0.6963189180215079
FEMS,0.6450527797907389
FENY,0.6695789459295785
FEZ,0.793455328138211
FGD,0.8258758905533987
FHLC,0.8174552821690422
FIDU,0.9236130424144834
FIW,0.8608576787459342
FLOT,0.39233155162675143
FLRN,0.3581821120712334
FLTR,0.3432700538555462
FM,0.5956816461848231
FMAT,0.8633267542540743
FMF,0.030970871358683892
FNCL,0.8920124984360522
FNDA,0.8637939208319233
FNDB,0.9526504990581967
FNDC,0.8215389800728047
FNDE,0.7090481591935247
FNDF,0.8323799549749277
FNDX,0.963738156113919
FPE,0.5095018045216739
FRI,0.7151299504485078
FSTA,0.782827316818624
FTA,0.9047936224946568
FTC,0.8480712697484721
FTCS,0.9396623156467543
FTEC,0.8290215776247999
FTGC,0.32203053558443356
FTQI,0.5243778589238681
FTRI,0.5921362874833298
FTSL,0.476562962545286
FUTY,0.6015765076796296
FVD,0.9146323699998689
FXH,0.7777472528723897
FXI,0.5086282085910999
FXL,0.7803241986985686
FXN,0.6228281317196459
FXO,0.8477775469364883
FXR,0.8933541004263522
FXU,0.679874016254549
FXY,-0.2329750897379773
FXZ,0.8161798261978476
FYLD,0.7459921991402312
GCC,0.2866517974155056
GDX,0.14874635848601603
GDXJ,0.1911307597723948
GLD,0.012703092552600905
GLTR,0.1580315206000538
GMF,0.6805723780006926
GNR,0.7794092814441195
GOVI,-0.23371084471621936
GOVT,-0.23540647138084758
GREK,0.5628797447985832
GRID,0.7226949172388271
GRPM,0.8502219841797134
GSG,0.35178597899497255
GSY,0.1697734489083726
GUNR,0.7614778918344287
GVI,-0.03217441545172682
GWX,0.7907571662102074
GXC,0.5186433856752732
HAUZ,0.6119679851391486
HDGE,-0.7556902488378363
HEDJ,0.8006766333997715
HYD,0.3802430989231091
HYEM,0.4532015801417673
HYG,0.7202328431679944
HYLS,0.5491664772984483
HYMB,0.33021394855681735
HYS,0.679777400621515
HYZD,0.4353791584044676
IAI,0.8501754993800826
IAK,0.8361426455114302
IAT,0.7475347276185381
IAU,0.013200618526828823
IBB,0.6219848381218702
IBND,0.1697142464433739
ICF,0.6955954190464042
ICLN,0.6283665726698295
ICSH,0.13164332225111172
IDHQ,0.737916281436236
IDLV,0.8025125904796874
IDMO,0.5658419386002309
IDU,0.6022132189269874
IDV,0.8022754531891795
IDX,0.6006007414061219
IEF,-0.2221180554791282
IEFA,0.8348359776232778
IEI,-0.18379293639322852
IEMG,0.7301639989847695
IEO,0.6227500872933407
IEV,0.815309625542952
IEZ,0.596593654585103
IGE,0.708117993809432
IGF,0.8073425633339698
IGIB,0.22842282004799283
IGLB,0.18815463531713245
IGM,0.8059393328873132
IGOV,0.05746542825113807
IGPT,0.6666308633958692
IGSB,0.23879191538424646
IGV,0.7281204881708556
IHE,0.70304525770282
IHF,0.7631281851026436
IHI,0.7714293308035377
IJH,0.8993145374956236
IJJ,0.8810480003752119
IJK,0.8830074827716485
IJR,0.8404691001086213
IJS,0.7925778058459603
IJT,0.8457403214714703
ILCB,0.9464687249157064
ILCG,0.8440341892665706
ILCV,0.9469383216053652
ILF,0.6423142301891817
ILTB,0.006846435128274766
IMCB,0.913545588761356
IMCG,0.8305690041459287
IMCV,0.8870551826203542
INCO,0.5501117862847186
INDA,0.6410254560200632
INDL,0.6164200524846806
INDY,0.6185839161074778
IOO,0.9168530189927543
ISCG,0.7900721308884818
ISHG,0.08241472293850052
ISTB,0.1266679048835695
ITA,0.8323667651712723
ITB,0.69759503513642
ITM,0.11334122287648803
ITOT,0.9484421195920426
IUSV,0.9559159181708549
IVE,0.9607700343992667
IVOO,0.8984717425462564
IVV,0.9549520004964833
IVW,0.8787934099266723
IWB,0.9503248250734656
IWC,0.7632623889792507
IWD,0.9590007688617574
IWF,0.8664691033410024
IWL,0.9339756455240736
IWM,0.8402919573874112
IWN,0.8335368510165716
IWO,0.8031706280544433
IWP,0.8463460905640526
IWR,0.924734361585461
IWS,0.9210883853593798
IWV,0.9499999732065082
IWX,0.9553112946647278
IWY,0.8545556553040969
IXC,0.6921531619239152
IXJ,0.8279437200185703
IXN,0.8343888380942762
IXUS,0.8343412594617164
IYC,0.8688192291468494
IYE,0.6764175585591349
IYF,0.9150831504943668
IYG,0.8944822667903416
IYH,0.8147662273772509
IYJ,0.9430724696254138
IYK,0.8294468103531643
IYR,0.7369586889187143
IYT,0.835539807217451
IYY,0.9476821838595731
IYZ,0.7740640435363871
