ETF2,Correlation
AAXJ,0.931867006324081
ACWI,0.83563660810051
ACWV,0.789228680865109
ACWX,0.8928154975181443
AFK,0.665682439240385
AGG,0.10683827099923869
AGQ,0.30027129026109733
AGZD,0.03102058437448987
AIA,0.863346535427036
AMLP,0.45958119760145144
ANGL,0.5507895678312713
AOA,0.8087195176213191
AOK,0.6975499215245518
AOM,0.7525658277757391
AOR,0.7983394587929713
ARGT,0.6005564214540405
ASEA,0.766610097225205
ASHR,0.5827841214482772
BAB,0.08203575176127532
BIL,0.0005949281896463278
BIV,0.047471824960658826
BIZD,0.4453006818567595
BKLN,0.49785727988782613
BLV,0.054413380740861356
BND,0.12268165060570384
BNDX,0.08919998301534814
BNO,0.330208901055327
BOIL,0.05485718931212394
BOND,0.14469734208982457
BRZU,0.65789510248039
BSV,0.0713400066294994
BTAL,-0.25581826640247163
BWX,0.24492669255942703
BWZ,0.2880765994099297
BZQ,-0.6050382567687264
CANE,0.14568953120243106
CEMB,0.36888067874350305
CGW,0.7299935165927068
CHIQ,0.697129308439357
CMBS,0.020708589629659862
CMF,0.09818572042302609
COPX,0.6900015587935914
CORN,0.08822589527534135
CORP,0.2144164189292391
CPER,0.2621065559193369
CQQQ,0.6925097858876206
CURE,0.5993167265184283
CWB,0.7121686097639197
CWI,0.8719144672034703
CXSE,0.6651294169234921
DBA,0.22139633129916425
DBB,0.3696774019617658
DBC,0.3788196579737796
DBEF,0.725853607929943
DBEU,0.7253634359805315
DBJP,0.6097120981787277
DBO,0.3326649550970313
DDM,0.7176797988788584
DEM,0.8967567095974124
DES,0.6279006691610225
DEW,0.7713598292744285
DFJ,0.6325339200449227
DGP,0.10969812698803139
DGRE,0.8911159414312834
DGRS,0.6221348476246263
DGRW,0.7210233579266084
DGS,0.91822460308492
DHS,0.6661037327704042
DIA,0.7192680790893695
DIG,0.5330671747879718
DIV,0.5824588188079616
DJP,0.3850788159307147
DLN,0.7217513539957527
DLS,0.789628369544058
DNL,0.8455208338547321
DOG,-0.7156605319744922
DON,0.6761452242991733
DRN,0.5276961951179525
DRV,-0.5498739731794478
DSI,0.7361070091429763
DTD,0.7151126835321764
DTH,0.7905663688033622
DUG,-0.5452171042361432
DUST,-0.24463141228368426
DVY,0.6401490948618104
DVYE,0.8604974074016777
DWAS,0.6151265284511129
DWM,0.8089810155793815
DXD,-0.7175238256440628
DXJ,0.5983306032126265
DXJS,0.5607198284411149
EBND,0.6538759246068104
ECH,0.6292985326281523
ECNS,0.6539163950653107
EDC,0.9500644861467509
EDIV,0.8907360972662934
EDV,-0.14290395908908224
EDZ,-0.9497620358708002
EELV,0.9087665101528837
EEM,0.957499233600403
EEMA,0.9121160639872498
EFA,0.8200574507492001
EFG,0.8027446111227138
EFV,0.7956302426698191
EFZ,-0.807607418741334
EIDO,0.7324060178467794
EMB,0.5711666932014712
EMHY,0.6092723817828278
EMLC,0.6633440512115691
ENFR,0.5441821634576487
ENOR,0.699111807676356
ENZL,0.6259814012232249
EPHE,0.71188477534929
EPI,0.7285526984891799
EPOL,0.6834095888118378
EPP,0.8448302516617926
EPS,0.7226213016574015
EPV,-0.7744318403627228
EQWL,0.6851942870257243
ERX,0.566712674746555
ERY,-0.578831545709511
EUFN,0.7006986601098005
EUM,-0.9477027268416588
EURL,0.7753088815346328
EUSA,0.7211462798687964
EWA,0.7744001632938013
EWC,0.7399893711691236
EWD,0.7278476821742857
EWG,0.7350850507439431
EWH,0.7545738816981394
EWI,0.6925695802601858
EWJ,0.6871267331884127
EWL,0.7045436809253893
EWM,0.7142343136277094
EWP,0.6929343418010501
EWQ,0.7514526082533175
EWS,0.7887035298004539
EWT,0.8126297100788494
EWU,0.7602436446517623
EWV,-0.6702960785742244
EWW,0.7007542938207286
EWX,0.8975250283399175
EWY,0.8314026987000335
EWZ,0.6728787059708499
EWZS,0.5948416522987232
EZA,0.8077360233062494
EZU,0.7611976272697544
FAN,0.6965002143978954
FAS,0.6576940197622227
FAZ,-0.6640388627020909
FBT,0.5094598074005925
FCA,0.6228843228007322
FCG,0.44998840378010657
FCOM,0.6058354969740913
FDD,0.6998286691641912
FDIS,0.6674288970118
FDL,0.6383767288167338
FDN,0.6278890163969935
FDT,0.8141496724891525
FEM,0.8908267661844634
FEMS,0.806980074292941
FENY,0.5419778628361154
FEZ,0.7501228809844744
FGD,0.7741081748633868
