ETF2,Correlation
AAXJ,0.9743440697678869
ACWI,0.8528709100702189
ACWV,0.7616295629976967
ACWX,0.9108944180307736
AFK,0.6950264179119638
AGG,0.08839244182863018
AGQ,0.30166875303175383
AGZD,0.03732928729146371
AIA,0.9291226819728791
AMLP,0.4637114904791511
ANGL,0.5464618283103817
AOA,0.8264206608877163
AOK,0.7031628379169792
AOM,0.7627089653807253
AOR,0.8154004933264206
ARGT,0.6331358573256454
ASEA,0.7454418389930052
ASHR,0.6069302100505501
BAB,0.056379159781115025
BIL,-0.00829835887237931
BIV,0.024025122500659364
BIZD,0.45160843094920666
BKLN,0.4974041272461541
BLV,0.03778233935825446
BND,0.09393662253887097
BNDX,0.07665037763015356
BNO,0.33234336176216533
BOIL,0.06495016938443719
BOND,0.12075906711650551
BRZU,0.6892113695384319
BSV,0.04040223893463344
BTAL,-0.278380447735124
BWX,0.23972877453870017
BWZ,0.2847176705764394
BZQ,-0.6394902710656916
CANE,0.15482207690435373
CEMB,0.37544565774152683
CGW,0.7280892328230055
CHIQ,0.7741981958284354
CMBS,-0.01900269177923274
CMF,0.07455721751095822
COPX,0.7214396839764237
CORN,0.09448400852337396
CORP,0.1944127210020717
CPER,0.2792493037755223
CQQQ,0.7664431640041652
CURE,0.5806099502605738
CWB,0.7357851470592883
CWI,0.8969406020302969
CXSE,0.7398037654230178
DBA,0.23376427215101975
DBB,0.3871779527070324
DBC,0.39343457610097443
DBEF,0.7427666101565933
DBEU,0.7377464659660299
DBJP,0.6259973808989371
DBO,0.34764205648743984
DDM,0.7198909463532345
DEM,0.9145183682944807
DES,0.6358669891522354
DEW,0.7704453389887197
DFJ,0.6344116217035093
DGP,0.0948891721861879
DGRE,0.9120175700226766
DGRS,0.6335002962218409
DGRW,0.7235102892706883
DGS,0.9243235412908012
DHS,0.657467403614829
DIA,0.7218687006597536
DIG,0.5415934825170916
DIV,0.5736347257854112
DJP,0.3995609606578807
DLN,0.7196134731732051
DLS,0.8001358282057095
DNL,0.8690987328011747
DOG,-0.7186922037680623
DON,0.684815554289525
DRN,0.5162845671121925
DRV,-0.5381625130810455
DSI,0.7536415617586262
DTD,0.7155624066575805
DTH,0.7947407700757233
DUG,-0.5546770263572237
DUST,-0.24315723189377453
DVY,0.6346063303522612
DVYE,0.8722938820682721
DWAS,0.6451421102433547
DWM,0.8138230976292715
DXD,-0.7197702447953858
DXJ,0.6135767135216019
DXJS,0.5712439533060873
EBND,0.6555701359610725
ECH,0.6379566035183666
ECNS,0.6933985809501012
EDC,0.9949477724578413
EDIV,0.8903351190734279
EDV,-0.15432143063359677
EDZ,-0.9946802708755749
EELV,0.8885625901866163
EEMA,0.9504040798149327
EEMV,0.9574992336004031
EFA,0.828569680226057
EFG,0.8177584850965158
EFV,0.7964608538300079
EFZ,-0.8222774063293211
EIDO,0.7080047533296063
EMB,0.5726047370693523
EMHY,0.6054159296577738
EMLC,0.666295787227095
ENFR,0.5462913039022659
ENOR,0.7091398750179655
ENZL,0.6163883992815932
EPHE,0.6775382666724103
EPI,0.7197001979184031
EPOL,0.6930595965338622
EPP,0.8497692134767421
EPS,0.7366454066852887
EPV,-0.7882682424842311
EQWL,0.6981387033602138
ERX,0.5698539338307054
ERY,-0.5821116078075271
EUFN,0.7101183305593461
EUM,-0.9929779744734953
EURL,0.787951250750222
EUSA,0.7361285754893656
EWA,0.774661215089857
EWC,0.7436556561782413
EWD,0.7432646406754476
EWG,0.747681533681574
EWH,0.776640285345904
EWI,0.6987358535486751
EWJ,0.6964579557193535
EWL,0.700110786702027
EWM,0.6747453142440885
EWP,0.6907652818861173
EWQ,0.7574285632040564
EWS,0.7926529333887146
EWT,0.8211184160376827
EWU,0.7592852211052191
EWV,-0.6806208020012497
EWW,0.7152224304395556
EWX,0.9067324021042895
EWY,0.8569697185098715
EWZ,0.7082518011229489
EWZS,0.6338588243306069
EZA,0.8351952416140728
EZU,0.7743541254145139
FAN,0.7006743835810745
FAS,0.6660203914087963
FAZ,-0.6712348711347931
FBT,0.5183621076860455
FCA,0.645822849883085
FCG,0.46423268192562633
FCOM,0.6326418355704021
FDD,0.7057640046658314
FDIS,0.7015952653985974
FDL,0.6295553560810587
FDN,0.6598622305301997
FDT,0.8324023523692983
FEM,0.9105858526751621
FEMS,0.8211559994154212
FENY,0.5525400109653964
FEZ,0.7678199588580384
FGD,0.7750175725617808
FHLC,0.6013963432786601
FIDU,0.6896698306949651
FIW,0.6748564050220407
FLOT,0.3287140567676677
FLRN,0.3010418011351293
FLTR,0.287639289986392
FM,0.6198535109914934
FMAT,0.7105662342385717
FMF,0.024428679146487747
FNCL,0.6429685701123102
FNDA,0.6897652148412323
FNDB,0.7257031226048506
FNDC,0.814201558331389
FNDE,0.9356324647723552
FNDF,0.8090685120700813
FNDX,0.7315936793471836
FPE,0.4249838966899313
FRI,0.529577413350406
FSTA,0.5262314061840473
FTA,0.6823584367382792
FTC,0.7159365176760306
FTCS,0.6863375152147742
FTEC,0.7147802571839804
FTGC,0.3711115124252957
FTQI,0.4182864341593525
FTRI,0.6527096268296322
FTSL,0.38647269845408705
FUTY,0.39173100247469017
FVD,0.6630201327084282
FXH,0.611555380786834
FXI,0.8482331229619356
FXL,0.7099026301594729
FXN,0.541951155061382
FXO,0.6221630534874226
FXR,0.7012028581830416
FXU,0.4720740758110492
FXY,-0.09878504667498936
FXZ,0.6878464532510399
FYLD,0.7427989891343489
GCC,0.3434761404711271
GDX,0.26739171347837387
GDXJ,0.3037809018548003
GLD,0.1364891073552411
GLTR,0.283478449697351
GMF,0.9526203435540975
GNR,0.7608300979832371
GOVI,-0.1437805621648916
GOVT,-0.13362983855334482
GREK,0.5594583308722192
GRID,0.6599892593893727
GRPM,0.6843684350163296
GSG,0.36905658084181375
GSY,0.15164594224323238
GUNR,0.7542164271304908
GVI,0.023260443482481664
GWX,0.8035617343052618
GXC,0.85530282770504
HAUZ,0.6513140866982882
HDGE,-0.6486311866137897
HEDJ,0.7220443990919213
HYD,0.3180015546875881
HYEM,0.4565675099838669
HYG,0.6329874523934927
HYLS,0.45883116176648076
HYMB,0.286884357210383
HYS,0.5824940132537021
HYZD,0.37483970180719517
IAI,0.6435617895767588
IAK,0.5664516259939049
IAT,0.5353255658113686
IAU,0.13726972592910908
IBB,0.5387760168599385
IBND,0.26243574800603703
ICF,0.5119928126549349
ICLN,0.6878129797408323
ICSH,0.10763196946657999
IDHQ,0.7349570901204937
IDLV,0.7812945998645247
IDMO,0.5518666629899651
IDU,0.39723376689990975
IDV,0.7898041294261108
IDX,0.7149238446830747
IEF,-0.13399467235154475
IEFA,0.8284907607537436
IEI,-0.0993382538885708
IEMG,0.9967180022656674
IEO,0.5324740207459855
IEV,0.7903463577527634
IEZ,0.5190884283997822
IGE,0.6225124669489064
IGF,0.7226574807493377
IGIB,0.22256232192200545
IGLB,0.19156298908194047
IGM,0.7133520705678899
IGOV,0.19631366794518115
IGPT,0.6260854136732344
IGSB,0.23924213999127789
IGV,0.6502450901591246
IHE,0.5292752865898758
IHF,0.5233388395204928
IHI,0.608524975208462
IJH,0.7200210197090235
IJJ,0.6912017756902084
IJK,0.7209971772459776
IJR,0.6651082891708935
IJS,0.6135100246061962
IJT,0.6808677083236839
ILCB,0.7422724957897837
ILCG,0.7202768355460623
ILCV,0.7046037365725424
ILF,0.7759171991731274
ILTB,0.05863104677620727
IMCB,0.7291903851457048
IMCG,0.7138808732602551
IMCV,0.6797302843043873
INCO,0.6383721274490719
INDA,0.7406880477887139
INDL,0.720096848553416
INDY,0.7240606760525783
IOO,0.7873719567115132
ISCG,0.6909468103967442
ISHG,0.22348523156147837
ISTB,0.15591029645758436
ITA,0.5986120321120217
ITB,0.5446112859386388
ITM,0.1447791941410707
ITOT,0.7611434274313379
IUSV,0.7193611547502172
IVE,0.7174367844104479
IVOO,0.7204635755389917
IVV,0.7559263742525046
IVW,0.7257838631369317
IWB,0.7581947711290419
IWC,0.6445529841499249
IWD,0.7262162534723386
IWF,0.725495418121075
IWL,0.7444460438692279
IWM,0.6916961313818144
IWN,0.6558919027510259
IWO,0.6884823788353934
IWP,0.7268364551653941
IWR,0.7476495752039373
IWS,0.7199272130440648
IWV,0.760923687249976
IWX,0.7086334284042691
IWY,0.7085577570303037
IXC,0.6183278182390383
IXJ,0.6383186898555314
IXN,0.7525163674175943
IXUS,0.9056861649846761
IYC,0.704209101990715
IYE,0.5631652130933215
IYF,0.6729299349602068
IYG,0.6690352996062391
IYH,0.5925296322094088
IYJ,0.7205733727633399
IYK,0.6152311337417942
IYR,0.5567082429505946
IYT,0.6571353603223609
IYY,0.7590468574889851
IYZ,0.6122212153223655
JDST,-0.26375378482573775
JNK,0.6277701261228393
JNUG,0.23736987319326217
JPXN,0.6608688186164614
JXI,0.5370050632984273
KBE,0.5441804523991078
KBWB,0.5767323935293555
KBWP,0.4849003965220134
KBWY,0.49744119085594585
KCE,0.6782367035910083
KIE,0.5904846355463306
KOLD,-0.06725732766409204
KORU,0.8212304709034293
KRE,0.5116139650634924
KWEB,0.715218044447317
LDUR,0.025532535762976954
LEMB,0.6531437972968929
LIT,0.7212609019871533
LQD,0.21252545350545965
LTPZ,-0.025867661018835454
MBB,0.12653268231961784
MCHI,0.8601498999622472
MDIV,0.5567887374642002
MDY,0.7181968969627016
MDYG,0.715157231026273
MDYV,0.683119720721091
MGC,0.7488927619864655
MGK,0.7171214698600313
MGV,0.7005749310631567
MIDU,0.7165048466405367
MINT,0.07861755485618076
MLN,0.17349210860438638
MLPA,0.4599689043574048
MLPX,0.5454412826311372
MNA,0.44340712733988363
MOAT,0.7093059730350226
MOO,0.7496314914727185
MORT,0.433266668991986
MTUM,0.6890850891812832
MUB,0.20677084564108286
MUNI,0.13140667951229623
NEAR,0.06703210562032477
NFRA,0.745333401800463
NFTY,0.5116093115448768
NLR,0.5469502473465468
NOBL,0.6706085341023784
NUGT,0.23343940005611433
NYF,0.155605793815205
OEF,0.7414643783767662
OIH,0.51126986735625
ONEQ,0.7311991929113802
PALL,0.3542480404092106
PBD,0.7217928084052224
PBE,0.5123658064139767
PBJ,0.5417281334096917
PBW,0.6218367621293539
PCEF,0.6480220806878957
PCY,0.5568300981175337
PDN,0.8078728819270634
PEY,0.6010431770462995
PFF,0.5173502654301261
PFM,0.6951648477706481
PFXF,0.5310042308270475
PGHY,0.30657220886383985
PGJ,0.7089947916940358
PGX,0.43774530943270173
PHB,0.594529757482087
PHO,0.6728855709065955
PICB,0.3404759984987603
PICK,0.7624456266185582
PID,0.7686037201109718
PIE,0.8838390504353809
PIZ,0.7749953029049907
PNQI,0.7070610445090908
PPA,0.615834196447871
PPH,0.574624153490841
PPLT,0.3947856741774588
PRF,0.7319988130989961
PRFZ,0.6968810076368159
PSI,0.6716304663292606
PSK,0.42141617181358326
PSQ,-0.7119030861273267
PWV,0.686604534510758
PWZ,0.11750608205346517
PXE,0.4988079545882017
PXF,0.8129108301541953
PXH,0.9422037496705574
PZA,0.16978061791894355
PZT,0.1708710261975481
QAI,0.7356621569822018
