ETF2,Correlation
AAXJ,0.7988927067184574
ACWI,0.9396014558041842
ACWV,0.856391522637308
ACWX,0.9807622463963578
AFK,0.6641792418622381
AGG,0.10843600453239081
AGQ,0.2862679639169419
AGZD,0.06519720442541081
AIA,0.7500389446715939
AMLP,0.515351740226075
ANGL,0.5999566864325131
AOA,0.9226670184764263
AOK,0.7834673031421922
AOM,0.8511881081565145
AOR,0.9069915488708987
ARGT,0.6288200178596188
ASEA,0.7054951798517276
ASHR,0.44872438947231397
BAB,0.04426808472737406
BIL,0.005275869904700009
BIV,0.029139858466004906
BIZD,0.5566526407455523
BKLN,0.5636144430197969
BLV,0.037736576441195206
BND,0.11175510285260636
BNDX,0.07767572507549407
BNO,0.3261855804111245
BOIL,0.07269447749895096
BOND,0.14896212871891495
BRZU,0.5762188388069186
BSV,0.04290345246763315
BTAL,-0.3081118062049424
BWX,0.26818798518845804
BWZ,0.31351425837941965
BZQ,-0.5374695722439761
CANE,0.14252183943947871
CEMB,0.3849744090750575
CGW,0.8656800529195694
CHIQ,0.5681890148216048
CMBS,-0.013545932718422868
CMF,0.0870865638586212
COPX,0.6978371548628849
CORN,0.0820412887370818
CORP,0.2290507542651076
CPER,0.278864851398643
CQQQ,0.559290270338859
CURE,0.688189510409032
CWB,0.7520365818655143
CWI,0.9666730298878812
CXSE,0.5264863469902685
DBA,0.23179961701348561
DBB,0.35667907513005753
DBC,0.3850741914693639
DBEF,0.8819860988986412
DBEU,0.8883228732132143
DBJP,0.7565714124307882
DBO,0.3523684547851852
DDM,0.8369413768195403
DEM,0.7949845600347574
DES,0.7554393766437792
DEW,0.8851589050438274
DFJ,0.7707099954889824
DGP,0.06121843964007323
DGRE,0.768971456895058
DGRS,0.740051170736249
DGRW,0.8280616166610668
DGS,0.807587496108696
DHS,0.7800128535330667
DIA,0.8372182874494615
DIG,0.6055476575005597
DIV,0.6837404117580803
DJP,0.3846090855316075
DLN,0.8347878166121044
DLS,0.9331498331651772
DNL,0.9127532230859867
DOG,-0.8351422239683313
DON,0.8054961115567639
DRN,0.622539238800138
DRV,-0.641353158768252
DSI,0.8423308788766609
DTD,0.8352851703534983
DTH,0.9383751361835798
DUG,-0.6179958605817869
DUST,-0.21472720357561864
DVY,0.7702606480169089
DVYE,0.7768868490062536
DWAS,0.7102282723012389
DWM,0.9680341101644889
DXD,-0.8365047393385937
DXJ,0.7471985725941039
DXJS,0.6939424150900996
EBND,0.6093189833566941
ECH,0.6073006719868067
ECNS,0.5293348615719867
EDC,0.821647044132394
EDIV,0.767280733599906
EDV,-0.1865724243396232
EDZ,-0.8226475403877913
EELV,0.790285758101406
EEM,0.828569680226057
EEMA,0.7758401156690352
EEMV,0.8200574507492001
EFG,0.971543518479595
EFV,0.972811641111709
EFZ,-0.985081949830793
EIDO,0.6425787791480557
EMB,0.6006408128393375
EMHY,0.6373575173202499
EMLC,0.6298578534887267
ENFR,0.6138533692745066
ENOR,0.8049278861698898
ENZL,0.6696285860681108
EPHE,0.6177735123199315
EPI,0.6588955051588068
EPOL,0.7365045150260009
EPP,0.883557013516021
EPS,0.8431073668131622
EPV,-0.9672279226242387
EQWL,0.8193843085803294
ERX,0.6249611199972138
ERY,-0.6368813380602316
EUFN,0.8979936477346432
EUM,-0.8205507192338797
EURL,0.9671595603524578
EUSA,0.8427499626053144
EWA,0.8570689271914781
EWC,0.8272968533719067
EWD,0.9034193042235593
EWG,0.9324926670771685
EWH,0.6759322879591221
EWI,0.8818271692974939
EWJ,0.84847167249023
EWL,0.8844723939902414
EWM,0.6042517132295848
EWP,0.8694975123536559
EWQ,0.9474442682518073
EWS,0.7837254029303359
EWT,0.7092641845017599
EWU,0.930552951811857
EWV,-0.8305826726251742
EWW,0.6928166495212128
EWX,0.7991662017594278
EWY,0.757900613779867
EWZ,0.6069157039090297
EWZS,0.5509412474152731
EZA,0.7359968062443666
EZU,0.9600959938356142
FAN,0.7858107794239968
FAS,0.8047996919278826
FAZ,-0.8092197493856597
FBT,0.5742938706343068
FCA,0.49958789298207706
FCG,0.49055773100412386
FCOM,0.6941346169412206
FDD,0.8874864568672631
FDIS,0.7668104237431712
FDL,0.7546385244295098
FDN,0.6795576976024392
FDT,0.9319408615532887
FEM,0.7814696545903956
FEMS,0.7219642977142258
FENY,0.6156095839146262
FEZ,0.9447225052575217
FGD,0.9037438586893359
FHLC,0.7020299328586674
FIDU,0.8146732524142967
FIW,0.7850717129684194
FLOT,0.36481276034038523
FLRN,0.33439254945699143
FLTR,0.3213567768084576
FM,0.6340250498933654
FMAT,0.8105501677375281
FMF,0.029949859897413722
FNCL,0.7847103730537722
FNDA,0.7996782396847303
FNDB,0.8467355050938493
FNDC,0.946245718904965
FNDE,0.8044419632032951
FNDF,0.9617218911698624
FNDX,0.8488392805057153
FPE,0.4871772923878728
FRI,0.6355939270957075
FSTA,0.643829652171784
FTA,0.8093340552420314
FTC,0.7780352400160423
FTCS,0.8007129096788772
FTEC,0.757404584051548
FTGC,0.3558818154006679
FTQI,0.49337132419240726
FTRI,0.6788125432463981
FTSL,0.45158348868518583
FUTY,0.49878576777217776
FVD,0.802097871690495
FXH,0.6950129948111677
FXI,0.6292969697989277
FXL,0.7431332500474996
FXN,0.5880826248557045
FXO,0.762277373643822
FXR,0.8148788489334992
FXU,0.5840949784310379
FXY,-0.11331828342782528
FXZ,0.772673940960721
FYLD,0.8708821601200335
GCC,0.32352014153735004
GDX,0.2449773838628448
GDXJ,0.2894563584524681
GLD,0.10682258555957745
GLTR,0.25874218720209735
GMF,0.7739718263943242
GNR,0.8270161911178454
GOVI,-0.17256791229397284
GOVT,-0.15922826807726467
GREK,0.6464626468744485
GRID,0.757939636094225
GRPM,0.7941151377465021
GSG,0.36364266115892235
GSY,0.14858584628290192
GUNR,0.8054576883491813
GVI,0.03537903886901994
GWX,0.9010109353505626
GXC,0.6276657408294237
HAUZ,0.6940183069137518
HDGE,-0.7256193535072039
HEDJ,0.8703410359731819
HYD,0.3547994535808768
HYEM,0.4767279234302604
HYG,0.7148574091142395
HYLS,0.5504616733853358
HYMB,0.31806906241225735
HYS,0.6717147080585391
HYZD,0.43601020395572454
IAI,0.759730765538444
IAK,0.7181022362668973
IAT,0.6660258334812325
IAU,0.10786002588342675
IBB,0.5926653681172929
IBND,0.357017628927407
ICF,0.6116894760961582
ICLN,0.6886362797630826
ICSH,0.11667373562990319
IDHQ,0.8619682450788171
IDLV,0.909686829517684
IDMO,0.6756544639206884
IDU,0.5026146011465497
IDV,0.926030849094373
IDX,0.640465883508363
IEF,-0.15090746844537456
IEFA,0.9975951274179541
IEI,-0.10688420460638202
IEMG,0.8366807729152725
IEO,0.5857778106828246
IEV,0.9757615585686202
IEZ,0.5776707449368065
IGE,0.6835601951239342
IGF,0.8480299427826367
IGIB,0.26744841348438636
IGLB,0.2170635199626026
IGM,0.750422374028471
IGOV,0.24871875419114545
IGPT,0.6464270857999803
IGSB,0.27868669064504087
IGV,0.6808053298196413
IHE,0.621077184663082
IHF,0.6210796601151783
IHI,0.6944285127793155
IJH,0.8261355793951003
IJJ,0.8046365756439883
IJK,0.8171885398844781
IJR,0.7744612285280511
IJS,0.7294054953938743
IJT,0.7817241502824612
ILCB,0.8398746375142743
ILCG,0.7764609855922481
ILCV,0.8286745455164981
ILF,0.6942861205741649
ILTB,0.06332178910214498
IMCB,0.8324095142144818
IMCG,0.777816569738029
IMCV,0.8068313325136828
INCO,0.5884033058652427
INDA,0.680967752369508
INDL,0.6510682590035795
INDY,0.670001243369175
IOO,0.8950168660570073
ISCG,0.7560178103915092
ISHG,0.28296568603821903
ISTB,0.18618670831708642
ITA,0.7176569833581752
ITB,0.6387723352398184
ITM,0.140341603575068
ITOT,0.8539443693444224
IUSV,0.8422133355335756
IVE,0.8417933901132003
IVOO,0.8244548752016382
IVV,0.8503840000739494
IVW,0.793736201266515
IWB,0.8508402220574565
IWC,0.7287901416126743
IWD,0.8497248796820875
IWF,0.7846029722400608
IWL,0.8339638363606409
IWM,0.7868992573404622
IWN,0.7681139573356902
IWO,0.7633877668864746
IWP,0.7893470589147962
IWR,0.8486586120187662
IWS,0.838965302968988
IWV,0.8534523420088556
IWX,0.8349537782080956
IWY,0.7669527968957793
IXC,0.690847940597812
IXJ,0.772142843676648
IXN,0.7900913426864183
IXUS,0.9790476178894656
IYC,0.7863024513574562
IYE,0.6243758026940402
IYF,0.8105886960095082
IYG,0.796863808868373
IYH,0.6949696979369886
IYJ,0.8363642148712385
IYK,0.7102784619703906
IYR,0.6581115730937004
IYT,0.7542871927101881
IYY,0.8519390738908904
IYZ,0.7006614122166308
JDST,-0.24728872629179177
JNK,0.7108811276603625
JNUG,0.21354092127715024
JPXN,0.8102848604460721
JXI,0.6814392807900833
KBE,0.6722392325790104
KBWB,0.7068087330398861
KBWP,0.6276732215499423
KBWY,0.6048601659037298
KCE,0.7916784631078905
KIE,0.7385164947367272
KOLD,-0.07483432834156178
KORU,0.7290811502632641
KRE,0.6367108220930645
KWEB,0.5053477917129862
LDUR,0.021808580500923755
LEMB,0.6163103830785976
LIT,0.6835089870107675
LQD,0.24917974341499624
LTPZ,-0.03307941501386037
MBB,0.15280219498022837
MCHI,0.6296807401792662
MDIV,0.6534286883190813
MDY,0.8265308073678849
MDYG,0.8124181521277609
MDYV,0.7969610242613898
MGC,0.8373006679586688
MGK,0.7736351668657973
MGV,0.8260469517946805
MIDU,0.8231994762630372
MINT,0.12713968965762354
MLN,0.20060742810030938
MLPA,0.5055341113520969
MLPX,0.6113933395882345
MNA,0.4853938852297998
MOAT,0.8203374843213832
MOO,0.8342555481764785
MORT,0.5251119450928082
MTUM,0.7399406623832142
MUB,0.21752671285998537
MUNI,0.1459169393621478
NEAR,0.06997923732304161
NFRA,0.880283092825559
NFTY,0.47524430258394695
NLR,0.6502810589367101
NOBL,0.8039424864497581
NUGT,0.20254966126989007
NYF,0.18205430944742623
OEF,0.8253749995425645
OIH,0.5707583032824525
ONEQ,0.7749804418077227
PALL,0.3407317182628953
PBD,0.7379113390521986
PBE,0.5658576980916163
PBJ,0.6528380486394799
PBW,0.6299733237704127
PCEF,0.7093498649264184
PCY,0.5864733871986065
PDN,0.9254363519869736
PEY,0.7334183561408674
PFF,0.5916702678036014
PFM,0.8147333296577219
PFXF,0.6103637860847971
PGHY,0.34544987097272556
PGJ,0.5236196942865402
PGX,0.4906301505471375
PHB,0.670322425101938
PHO,0.7841630174627691
PICB,0.4224411661424332
PICK,0.7761546829843209
PID,0.8599687964721192
PIE,0.7567319930664687
PIZ,0.9008308789725418
PNQI,0.6834511455785767
PPA,0.7453530631865373
PPH,0.7006484850570699
PPLT,0.3833767670603444
PRF,0.8512476095032572
PRFZ,0.7933797338744092
PSI,0.6864666234421702
PSK,0.48314464632550785
PSQ,-0.7497049626588811
PWV,0.8111197504471918
PWZ,0.14729914957699905
PXE,0.5425017544943891
PXF,0.9638060789080011
PXH,0.7961839586486124
PZA,0.16561425236917848
PZT,0.1890675505257794
QAI,0.7669902842863421
QCLN,0.6551664235127375
QDF,0.8377027215455355
QID,-0.7519335529421357
QLD,0.7534644576434425
QLTA,0.207990473865283
QQEW,0.8064444908255549
QQQ,0.7530270176298143
QQQE,0.799369686597002
QTEC,0.7394285458618696
QUAL,0.8299343979706871
QYLD,0.6657529794346162
RAVI,0.06750478456228212
RDIV,0.7250893513969787
RDVY,0.8223996882539728
REM,0.5502038967322914
REMX,0.6362635548670809
RETL,0.6127302395450136
REZ,0.5532621205160112
RIGS,0.4879333808847444
RING,0.26424456844017474
RLY,0.7555232559545444
ROBO,0.8649178637653061
ROM,0.7269484342413723
RPG,0.7927277000183501
RPV,0.7905645257553549
RSP,0.8535836063838712
RSPD,0.773681447986367
RSPG,0.6022541778470846
RSPH,0.7305424556084578
RSPM,0.7766851716940333
RSPN,0.8010086138376274
RSPS,0.6128557462796144
RSPT,0.7996996404118741
RSPU,0.51475560464146
RWJ,0.7129823711471025
RWK,0.7977217090065808
RWL,0.8370682554864871
RWM,-0.7853660744680456
RWO,0.7393412128513439
RWR,0.6325055762573683
RWX,0.7965270958039352
RXD,-0.6183473353108891
SCHA,0.8046705231196019
SCHB,0.8498723061050764
SCHC,0.9357622164664917
