ETF2,Correlation
AAXJ,0.8009525507709351
ACWI,0.9331636546823417
ACWV,0.8512262802338119
ACWX,0.9575991055162585
AFK,0.6348333745048099
AGG,0.1543722609373487
AGQ,0.28634986069921586
AGZD,0.050735605039218666
AIA,0.7609523613536424
AMLP,0.45045806599298605
ANGL,0.5923465432586582
AOA,0.9195876214851831
AOK,0.8027752416346845
AOM,0.8628954253708623
AOR,0.9089809582744508
ARGT,0.6193345244906054
ASEA,0.6705708789634717
ASHR,0.4499054986131299
BAB,0.0758433548763568
BIL,0.00822220586033605
BIV,0.08246983622310852
BIZD,0.5202653521015956
BKLN,0.5390908180592473
BLV,0.09025232228246312
BND,0.15996853331395
BNDX,0.12520664306998716
BNO,0.2712249568213716
BOIL,0.06789178006065316
BOND,0.1882662834773186
BRZU,0.5364984298772307
BSV,0.081115364649153
BTAL,-0.28331821188998363
BWX,0.2947672504154652
BWZ,0.3244450408715969
BZQ,-0.4984761686852388
CANE,0.12655470728418766
CEMB,0.383915839707254
CGW,0.8636753071655211
CHIQ,0.5904110928836227
CMBS,0.02708223732141395
CMF,0.09804970366982171
COPX,0.6538165594136544
CORN,0.061151855340993315
CORP,0.2620345458398443
CPER,0.2594644765641384
CQQQ,0.5834281533867184
CURE,0.6969371116170715
CWB,0.7721134283819959
CWI,0.9474975827412766
CXSE,0.5520372114895823
DBA,0.20636020953147052
DBB,0.33534951720724815
DBC,0.33322205807557975
DBEF,0.8569732687718263
DBEU,0.863796303786886
DBJP,0.7349885562359435
DBO,0.2943839778867464
DDM,0.813384311859014
DEM,0.7557095461592411
DES,0.7039957779884438
DEW,0.8278570142717895
DFJ,0.7536921354431
DGP,0.07653205072253415
DGRE,0.7600747593889021
DGRS,0.6979858433707593
DGRW,0.8230545017821443
DGS,0.7877522536233905
DHS,0.7277707279329902
DIA,0.8139717069256392
DIG,0.5162866005319166
DIV,0.6318223604917745
DJP,0.3426302548253939
DLN,0.8102792895971539
DLS,0.9074629826930963
DNL,0.9257699791237035
DOG,-0.8117495477904128
DON,0.7606932687701564
DRN,0.6180702998884975
DRV,-0.6371591670768644
DSI,0.8544406544559554
DTD,0.8075290732991726
DTH,0.8773236611461414
DUG,-0.5297274393152023
DUST,-0.21819518209883904
DVY,0.7123402838539755
