ETF2,Correlation
AAXJ,0.6384281787868381
ACWI,0.6349956254650256
ACWV,0.6246200588764584
ACWX,0.6611046147571874
AFK,0.4994939773081659
AGG,0.1332927761409534
AGQ,0.22389556074215336
AGZD,0.004428231990723795
AIA,0.5749625896566437
AMLP,0.39244091453994967
ANGL,0.45202168696566397
AOA,0.6147265086379231
AOK,0.5555857757587374
AOM,0.5848782621740347
AOR,0.6072403318030962
ARGT,0.4417584113188985
ASEA,0.6452443420746439
ASHR,0.3435672227477504
BAB,0.11939529949058938
BIL,-0.008869268078639487
BIV,0.06790134100128842
BIZD,0.38507183539719364
BKLN,0.4205214276674122
BLV,0.09167283367093726
BND,0.16159424583491325
BNDX,0.12314784834363592
BNO,0.24691914482341165
BOIL,0.054209910742873735
BOND,0.18839011351568066
BRZU,0.5236140879834531
BSV,0.08117871381295852
BTAL,-0.19307239645961352
BWX,0.17938490025214138
BWZ,0.17477402105957254
BZQ,-0.4811548146095675
CANE,0.11446770415917301
CEMB,0.29814570628601655
CGW,0.5702307774437505
CHIQ,0.4200243388148498
CMBS,0.08143177517204038
CMF,0.10551927701733017
COPX,0.4793632937103787
CORN,0.0820717520894183
CORP,0.21757717845948918
CPER,0.1515616688775676
CQQQ,0.420489948661859
CURE,0.48698841330595943
CWB,0.5394291525983753
CWI,0.6469265046845377
CXSE,0.39194228351694854
DBA,0.16180064646076114
DBB,0.22279024985455778
DBC,0.2739740772339018
DBEF,0.5671446480962645
DBEU,0.5784640028982476
DBJP,0.4662256576452786
DBO,0.24096737027016
DDM,0.5783052724682137
DEM,0.6529594336152286
DES,0.5153845703861831
DEW,0.6123505574566164
DFJ,0.4887306386973384
DGP,0.07383263311580722
DGRE,0.6512877596515649
DGRS,0.5141890509744285
DGRW,0.579925078736586
DGS,0.6776770138049109
DHS,0.5598510996928067
DIA,0.5839563308362522
DIG,0.4245998795075393
DIV,0.516144750650935
DJP,0.282959726703394
DLN,0.5918404715441903
DLS,0.599771566758341
DNL,0.6344769444153799
DOG,-0.5806648573711995
DON,0.5538863631948023
DRN,0.4450132702625203
DRV,-0.47551687742535714
DSI,0.574853410560141
DTD,0.5822589717241575
DTH,0.6106572004091765
DUG,-0.4438034751175862
DUST,-0.1769432207306616
DVY,0.531683778081562
DVYE,0.6311731534593162
DWAS,0.48049461053972187
DWM,0.6235387932900156
DXD,-0.5814822514628727
DXJ,0.4570895576461306
DXJS,0.43273592627227986
EBND,0.4783604927021149
ECH,0.48281318373403825
ECNS,0.4075994117890672
EDC,0.6724377489218258
EDIV,0.6618759942437807
EDV,-0.07477290718222915
EDZ,-0.6739675532854247
EELV,0.6778223972876231
