ETF2,Correlation
AAXJ,-0.9696558206190041
ACWI,-0.8465796429971592
ACWV,-0.749570512894144
ACWX,-0.903360638169424
AFK,-0.6930408624265697
AGG,-0.08864330500823364
AGQ,-0.30157035415658623
AGZD,-0.03588043170937485
AIA,-0.9266480534627595
AMLP,-0.4669787134130708
ANGL,-0.5479365046563961
AOA,-0.8270796282932263
AOK,-0.7053389489615423
AOM,-0.7644324913230053
AOR,-0.8175253895875964
ARGT,-0.6362831166887419
ASEA,-0.7463224903675082
ASHR,-0.6074296198578163
BAB,-0.054091535672072456
BIL,0.00816885426545089
BIV,-0.027235932528169072
BIZD,-0.4482761820672793
BKLN,-0.5023540130225982
BLV,-0.03789195477673495
BND,-0.09551057240593842
BNDX,-0.07770721094350316
BNO,-0.3334889221207727
BOIL,-0.06803068894950215
BOND,-0.12200321205001136
BRZU,-0.6903239236614663
BSV,-0.04438950014375202
BTAL,0.2785681545190435
BWX,-0.23854062417442887
BWZ,-0.286317647727064
BZQ,0.6404658175633741
CANE,-0.15267656809172347
CEMB,-0.37757733084710327
CGW,-0.7276605762285662
CHIQ,-0.7763985132547944
CMBS,0.017363823085227992
CMF,-0.07394252734858142
COPX,-0.7225675149652323
CORN,-0.09400214268709972
CORP,-0.19601949230704058
CPER,-0.28116916310776585
CQQQ,-0.7693536091356558
CURE,-0.580752180715324
CWB,-0.7374379997744493
CWI,-0.8976249379766307
CXSE,-0.7410289181008461
DBA,-0.23390769605573794
DBB,-0.39195874533363256
DBC,-0.39391163942534346
DBEF,-0.7421537501095239
DBEU,-0.7365161368246731
DBJP,-0.6262347731429516
DBO,-0.3460818327314005
DDM,-0.7189984787141495
DEM,-0.9140648698383466
DES,-0.6332315162680933
DEW,-0.7681181870393304
DFJ,-0.632667291330498
DGP,-0.09508819799539758
DGRE,-0.9142739145459096
DGRS,-0.6283415371830756
DGRW,-0.722756057663704
DGS,-0.9253374332230961
DHS,-0.6542385058910944
DIA,-0.721067449275106
DIG,-0.5401290124448529
DIV,-0.5720449836966217
DJP,-0.40054923950542026
DLN,-0.7180381225065662
DLS,-0.8006913977607588
DNL,-0.8695426682591005
DOG,0.7210569374077509
DON,-0.682162753841021
DRN,-0.5160793158664927
DRV,0.5372689768008541
DSI,-0.7525402712204297
DTD,-0.7135595841392532
DTH,-0.7928574034358613
DUG,0.5544323948410326
DUST,0.2426044153997127
DVY,-0.6280969020154265
DVYE,-0.8637018874980926
DWAS,-0.642830910472363
DWM,-0.8133047184412848
DXD,0.7204606929422718
DXJ,-0.612582533004432
DXJS,-0.5687379588353719
EBND,-0.662776133301255
ECH,-0.6311146402723347
ECNS,-0.6858311059332357
EDC,-0.9961961479105851
EDIV,-0.8903787238828723
EDV,0.15428270256985446
EDZ,0.9961367154326056
EELV,-0.8878371285200087
EEM,-0.9929779744734953
EEMA,-0.9460524648294393
EEMV,-0.9477027268416585
EFA,-0.82055071923388
EFG,-0.81340288887481
EFV,-0.7851395899240484
EFZ,0.8258534436744678
EIDO,-0.7077754538648718
EMB,-0.5749476588505417
EMHY,-0.6072447819295022
EMLC,-0.6721615290299511
ENFR,-0.5462314721117414
ENOR,-0.7011727874070149
ENZL,-0.6075270096680796
EPHE,-0.6732437725116508
EPI,-0.7204228585246505
EPOL,-0.6894277499501043
EPP,-0.8382254443225707
EPS,-0.7365256811604542
EPV,0.7898648760288466
EQWL,-0.6956529065987123
ERX,-0.5694290889433391
ERY,0.581340654348739
EUFN,-0.7025274817209672
EURL,-0.7879812985938618
EUSA,-0.7328888715832869
EWA,-0.7636310551089612
EWC,-0.7386895753477628
EWD,-0.7377541730012269
EWG,-0.7443215461340718
EWH,-0.7677307210286342
EWI,-0.6933070762276559
EWJ,-0.6911510916039613
EWL,-0.6942124445732824
EWM,-0.6534388833040236
EWP,-0.6797564742272542
EWQ,-0.7528465369263752
EWS,-0.7821344704188083
EWT,-0.8012020099903348
EWU,-0.7486701468016984
EWV,0.682074930425285
EWW,-0.7109164091144415
EWX,-0.907713851078582
EWY,-0.852148011971891
EWZ,-0.7017463595708101
EWZS,-0.6300555856217784
EZA,-0.8307632844660933
EZU,-0.769033226529864
FAN,-0.7002215845957763
FAS,-0.664485417174938
FAZ,0.6698024419758964
FBT,-0.5193037395305601
FCA,-0.6444973731062161
FCG,-0.4661203601235741
FCOM,-0.6341840865458078
FDD,-0.7048370222404111
FDIS,-0.7018123552506685
FDL,-0.6264511496064422
FDN,-0.6623573113700624
FDT,-0.8329007637620551
FEM,-0.9103668829895109
FEMS,-0.8209665004413867
FENY,-0.5511137428427834
FEZ,-0.7678081376727401
FGD,-0.7746277978593312
FHLC,-0.6021576251793611
FIDU,-0.6887541178997826
FIW,-0.6725385676653675
FLOT,-0.3251544359409008
FLRN,-0.2948115014082144
FLTR,-0.27953964015447114
FM,-0.6090272475235052
FMAT,-0.7106117408153688
FMF,-0.022605796383665805
FNCL,-0.6414817051664653
FNDA,-0.6870840729270608
FNDB,-0.7223472488177876
FNDC,-0.8137610020364355
FNDE,-0.9343337595478053
FNDF,-0.8072876018003987
FNDX,-0.7291907784103255
FPE,-0.419484450295
FRI,-0.5267407259521749
FSTA,-0.5240628583436672
FTA,-0.6808744583491804
FTC,-0.716071886929817
FTCS,-0.6855352148410871
FTEC,-0.7162661867008732
FTGC,-0.37301365962576716
FTQI,-0.4159975575625021
FTRI,-0.6518051186448565
FTSL,-0.3879293410079741
FUTY,-0.38937779060613276
FVD,-0.6604387882885528
FXH,-0.612140365041064
FXI,-0.8457948767747638
FXL,-0.7104565224741888
FXN,-0.5425461557828963
FXO,-0.6193623846275376
FXR,-0.7005658331047374
FXU,-0.4682270802454787
FXY,0.10006799616277401
FXZ,-0.6869750407806985
FYLD,-0.7414186633456648
GCC,-0.3442343808767064
GDX,-0.2653777443888556
GDXJ,-0.3018618814074951
GLD,-0.13659660605381532
GLTR,-0.2839774301845766
GMF,-0.9534227587858315
GNR,-0.7602547718999818
GOVI,0.14399384575066604
GOVT,0.13266913518805815
GREK,-0.5587705189110418
GRID,-0.6591376251711019
GRPM,-0.6820844940013008
GSG,-0.36948100712648985
GSY,-0.15441045122384203
GUNR,-0.7525854182770756
GVI,-0.02578986830903544
GWX,-0.8036573772729751
GXC,-0.8573063138297715
HAUZ,-0.6499433705330063
HDGE,0.6496760410764443
HEDJ,-0.7184724031777324
HYD,-0.3138854728567366
HYEM,-0.46439689217287883
HYG,-0.6368912764630626
HYLS,-0.4633463457062719
