ETF2,Correlation
AAXJ,0.7415405478097898
ACWI,0.8484601195353851
ACWV,0.8017907657810361
ACWX,0.8681619971851491
AFK,0.6335698229628157
AGG,0.1314752492384921
AGQ,0.31032132893717324
AGZD,0.029477051194628776
AIA,0.6935219954224214
AMLP,0.5222291173880987
ANGL,0.590812959931736
AOA,0.8187725646505768
AOK,0.711312707376821
AOM,0.7585302505958734
AOR,0.8099133128312521
ARGT,0.5752541428816125
ASEA,0.654141475754354
ASHR,0.42535316181233584
BAB,0.08016338483764625
BIL,-0.003763706129593849
BIV,0.057420625357377346
BIZD,0.5243565650005912
BKLN,0.555031111741803
BLV,0.061772670672529055
BND,0.1441035713634138
BNDX,0.09480466933829959
BNO,0.3626806338189346
BOIL,0.08151660767099467
BOND,0.16458685520957228
BRZU,0.580730151159827
BSV,0.07015747848916284
BTAL,-0.26667422892389847
BWX,0.2424494169233761
BWZ,0.2846369922724458
BZQ,-0.5433385697201307
CANE,0.1587478612395173
CEMB,0.3783946260634371
CGW,0.7734049499921198
CHIQ,0.5007603729561504
CMBS,0.02684646306213332
CMF,0.07889140846139762
COPX,0.7024169867663768
CORN,0.10380720962115457
CORP,0.23540971414780834
CPER,0.28296232043583247
CQQQ,0.5002873670947271
CURE,0.6292438441055667
CWB,0.6796926802248461
CWI,0.8492649408182978
CXSE,0.4836183186367824
DBA,0.2434391658217947
DBB,0.3902803694946072
DBC,0.4240441666909574
DBEF,0.7515665017861736
DBEU,0.745856578412693
DBJP,0.6086809650694782
DBO,0.37686376048707837
DDM,0.7775261245566211
DEM,0.762222908449207
DES,0.72141373903481
DEW,0.8245147357034432
DFJ,0.6361787770235587
DGP,0.12031399134175914
DGRE,0.7138238541104743
DGRS,0.7010110805424832
DGRW,0.7668513581183679
DGS,0.7627030520774425
DHS,0.7513975097701949
DIA,0.7798094323512271
DIG,0.599170095772388
DIV,0.6804731838649491
DJP,0.42570756338754556
DLN,0.7895074290273737
DLS,0.830962647280511
DNL,0.8239775789577608
DOG,-0.7768604988266388
DON,0.7672556557858196
DRN,0.6098596222790681
DRV,-0.6354584203399257
DSI,0.7760745847768062
DTD,0.7886299562386097
DTH,0.8410141522041227
DUG,-0.6169174573217602
DUST,-0.2522101946216193
DVY,0.7423849852207736
DVYE,0.7483717790657224
DWAS,0.6562566829425549
DWM,0.8460563328097273
DXD,-0.7776482928567613
DXJ,0.6063266718808267
DXJS,0.5575306067287695
EBND,0.5673652772839858
ECH,0.5753989413541581
ECNS,0.47845433981796787
EDC,0.7637223799385431
EDIV,0.7248874187441703
EDV,-0.15094428050408562
EDZ,-0.7652085102831329
EELV,0.7394409079479395
EEM,0.7746612150898569
EEMA,0.7303909144353768
EEMV,0.7744001632938016
EFA,0.857068927191478
EFG,0.8238046765512742
EFV,0.8458879582331333
EFZ,-0.841139093492497
EIDO,0.6196306527396441
EMB,0.5712565262429117
EMHY,0.6203494082455145
EMLC,0.5874852781261044
ENFR,0.6191586948976792
ENOR,0.7466752124191244
ENZL,0.7291077380565503
EPHE,0.6048361824036439
EPI,0.6194836612294833
EPOL,0.6318398908963463
EPP,0.9665830210554059
EPS,0.7795373649389514
EPV,-0.7959841921269942
EQWL,0.7487038286340285
ERX,0.6149506028539368
ERY,-0.6309808821733396
EUFN,0.7364071494391217
EUM,-0.7636310551089612
EURL,0.7995279369406328
EUSA,0.7821707091846682
EWC,0.8122094951362984
EWD,0.7505481702271739
EWG,0.7478592884079023
EWH,0.6296727039432474
EWI,0.7043705881713932
EWJ,0.6927292959362961
EWL,0.7425807136963936
EWM,0.5898886292655764
EWP,0.7112647529216237
EWQ,0.7675076514770922
EWS,0.7447764669688597
EWT,0.6727950342245144
EWU,0.8162545258272931
EWV,-0.6743495732820914
EWW,0.6550260576725359
EWX,0.7497231166289963
EWY,0.7201946831370631
EWZ,0.6177796609359593
EWZS,0.5516292151495361
EZA,0.6942991523823391
EZU,0.7738060644279838
FAN,0.6921376207588238
FAS,0.7374741776429107
FAZ,-0.7441156776389286
FBT,0.4972628248501563
FCA,0.46985416307939326
FCG,0.5014088866675848
FCOM,0.6404730378530361
FDD,0.7469813624129132
FDIS,0.6962860973790801
FDL,0.7346724205204117
FDN,0.6103438452998904
FDT,0.8195880638708697
FEM,0.7365963369912297
FEMS,0.6730554815087668
FENY,0.614289161064291
FEZ,0.7589849324457223
FGD,0.8476594759981808
FHLC,0.636723855457083
FIDU,0.7498661895457237
FIW,0.7322122462218161
FLOT,0.41701595124845475
FLRN,0.38088523899089755
FLTR,0.3693618514316611
FM,0.6080235241584071
FMAT,0.7541762950517459
FMF,0.024403054234107123
FNCL,0.723051012707555
FNDA,0.7483775967814893
FNDB,0.7862499297792138
FNDC,0.8283337133988014
FNDE,0.7608391479552402
FNDF,0.8384562543388511
FNDX,0.7939157979956795
FPE,0.5077645373343149
FRI,0.6291014715856346
FSTA,0.6108094053423333
FTA,0.7629990262702525
FTC,0.7054041472851976
FTCS,0.7415143941837969
FTEC,0.6890426945005818
FTGC,0.4043682098911247
FTQI,0.4304396473415018
FTRI,0.6828826456955468
FTSL,0.45991007754245683
FUTY,0.5149285626493467
FVD,0.7659652592898372
FXH,0.6305660852012696
FXI,0.5719485150687832
FXL,0.6710803265461618
FXN,0.5844102391472821
FXO,0.7058010380036878
FXR,0.7477957260115519
FXU,0.5896870327184769
FXY,-0.06629824464258055
FXZ,0.7342666566528507
FYLD,0.7879302981239044
GCC,0.3650362726589454
GDX,0.28465126371286187
GDXJ,0.32609269951793723
GLD,0.15781234091355745
GLTR,0.29800050597246514
GMF,0.7085284438742048
GNR,0.8096574655007183
GOVI,-0.13296621138945808
GOVT,-0.13649274797485828
GREK,0.5547267390174293
GRID,0.6570412812684632
GRPM,0.7392537094724747
GSG,0.4057591052044798
GSY,0.174224897878916
GUNR,0.7993769124033145
GVI,0.07316482053457882
GWX,0.8040565978677715
GXC,0.5651956878662129
HAUZ,0.6520996892592291
HDGE,-0.6622730521301088
HEDJ,0.7114660149759205
HYD,0.40588298590286104
HYEM,0.44712786081492356
HYG,0.6805997209811966
HYLS,0.5036218909446933
HYMB,0.3380804967899175
HYS,0.6362325694861936
HYZD,0.3789151650507837
IAI,0.6890449248151846
IAK,0.6593171393947574
IAT,0.6184789915845124
IAU,0.15797860312156123
IBB,0.5159066468364711
IBND,0.30674008185464874
ICF,0.6078747631518934
ICLN,0.6306828244768923
ICSH,0.1471161582481079
IDHQ,0.7575542924630694
IDLV,0.8315219370843339
IDMO,0.5606615013743191
IDU,0.5205925230824754
IDV,0.8707381168835622
IDX,0.6151543194212017
IEF,-0.11196264605619513
IEFA,0.8578363845158471
IEI,-0.07088038224718883
IEMG,0.7837010964286781
IEO,0.5797413681845284
IEV,0.8103930958762882
IEZ,0.5746575864461261
IGE,0.6786494122815894
IGF,0.8077971138740508
IGIB,0.282642804431688
IGLB,0.2320486451667181
IGM,0.677281474300874
IGOV,0.22036798396306312
IGPT,0.5708723343609559
IGSB,0.28089353344434215
IGV,0.6150792667561782
IHE,0.5594240060784286
IHF,0.587587289129825
IHI,0.6257258894952047
IJH,0.7691561705486497
IJJ,0.7581974245674264
IJK,0.7527083595518194
IJR,0.7204642206375425
IJS,0.6800277745580742
IJT,0.724742728391144
ILCB,0.7741824086692306
ILCG,0.7041876039259402
ILCV,0.7720994037930367
ILF,0.6927117935143431
ILTB,0.07955526940839608
IMCB,0.7761551743776511
IMCG,0.7065698942784512
IMCV,0.7605182336452255
INCO,0.5484669121603217
INDA,0.6390119862917315
INDL,0.6058553324771405
INDY,0.6126033674411532
IOO,0.8022451892686303
ISCG,0.6907017385765344
ISHG,0.2475585748358848
ISTB,0.20819803613543478
ITA,0.6681914231340905
ITB,0.5727160593922114
ITM,0.16174133319975556
ITOT,0.7878482642507947
IUSV,0.7842855008950402
IVE,0.7853612818934506
IVOO,0.7701230215530919
IVV,0.7857946475572144
IVW,0.7249613033327874
IWB,0.7841477618921003
IWC,0.6762567581007765
IWD,0.7952825705951555
IWF,0.7147765882027652
IWL,0.7677573741213949
IWM,0.7272250989077359
IWN,0.7241690555283787
IWO,0.6944099048991813
IWP,0.717186585867028
IWR,0.7865666923755603
IWS,0.7877441703610586
IWV,0.7880101285690472
IWX,0.780139759492271
IWY,0.6958324200899633
IXC,0.6834425075369149
IXJ,0.684826652428307
IXN,0.7132968635619197
IXUS,0.863875468654679
IYC,0.7186315360567458
IYE,0.6226190469737716
IYF,0.7470525816478276
IYG,0.7278825434693418
IYH,0.6309944181990933
IYJ,0.7695155936359692
IYK,0.6713592361761567
IYR,0.6494824735167931
IYT,0.6901259157017693
IYY,0.785153686192228
IYZ,0.6469135459467517
JDST,-0.2805790746752365
JNK,0.6757819858004516
JNUG,0.24299870459639553
JPXN,0.6577501670069557
JXI,0.6461428146276909
KBE,0.6242911646991042
KBWB,0.6510873216589296
KBWP,0.590931915410216
KBWY,0.5975163139793969
KCE,0.7077055222239177
KIE,0.682510579316539
KOLD,-0.08446238916626853
KORU,0.6842758194059072
KRE,0.5928011577499205
KWEB,0.4456689740851218
LDUR,0.025398885565893245
LEMB,0.5721898751081318
LIT,0.6295082712650704
LQD,0.2615736682928419
LTPZ,-0.008530398541712813
MBB,0.17298046153744007
MCHI,0.5697980035418344
MDIV,0.647604360578908
MDY,0.7706403443049826
MDYG,0.7462314999783543
MDYV,0.7514025247967518
MGC,0.7727332206488846
MGK,0.7049137866096639
MGV,0.7740163402389442
MIDU,0.7676613657999595
MINT,0.14469097762387878
MLN,0.21514385218918297
MLPA,0.5199658880165129
MLPX,0.6100778299878247
MNA,0.45409777270586804
MOAT,0.7608190530228199
MOO,0.7828480371180025
MORT,0.48491305560021314
MTUM,0.6790748543007902
MUB,0.2608154806551067
MUNI,0.17350961768300127
NEAR,0.08007682235800104
NFRA,0.8219693046496844
NFTY,0.46983095000547553
NLR,0.6028886604046907
NOBL,0.7533115978766939
NUGT,0.2404344410440475
NYF,0.21578137985817725
OEF,0.7599836297160404
OIH,0.5654230593135844
ONEQ,0.7016713301287164
PALL,0.35987240432048473
PBD,0.6632337863655317
PBE,0.5016403617145245
PBJ,0.6110880563931749
PBW,0.5718787273729696
PCEF,0.689090344968807
PCY,0.5532723727189341
PDN,0.8096326283405869
PEY,0.7161980394662146
PFF,0.5964582169794889
PFM,0.7612708846626912
PFXF,0.6073499381424647
PGHY,0.34536847576066204
PGJ,0.4579831436822124
PGX,0.5045197920046242
PHB,0.6489375181247727
PHO,0.7261135699247426
PICB,0.369557202485208
PICK,0.7785733763600585
PID,0.8181572206375194
PIE,0.7078443185988202
PIZ,0.7839085726875711
PNQI,0.6028775895403834
PPA,0.6896080494914628
PPH,0.6210721349519613
PPLT,0.39119195085999464
PRF,0.7938315712551419
PRFZ,0.7392111732740458
PSI,0.6099665425498149
PSK,0.4880371688790679
PSQ,-0.6765978546253131
PWV,0.7588361068632428
PWZ,0.16609826089512375
PXE,0.5368540254645938
PXF,0.835193091243923
PXH,0.7527502755319677
PZA,0.1789173031657539
PZT,0.20730567417827916
QAI,0.6817772924650686
QCLN,0.5910111757636164
QDF,0.7818917843075727
QID,-0.6807929354483347
QLD,0.6824620313249343
QLTA,0.22990498969364584
QQEW,0.7279596883278958
QQQ,0.6799349889750391
QQQE,0.7215680298127672
QTEC,0.6615594145648633
QUAL,0.763390298368352
QYLD,0.610593727306357
RAVI,0.08892261409117345
RDIV,0.7040795515252538
RDVY,0.768335514802825
REM,0.5178009561447625
REMX,0.6192351882349805
RETL,0.5623754790463019
REZ,0.5569397052716615
RIGS,0.5167706806130821
RING,0.3060526399568273
RLY,0.7476193693762239
ROBO,0.7490828450674853
ROM,0.656103486834896
RPG,0.7189083768644712
RPV,0.7445999268379591
RSP,0.7936386736704515
RSPD,0.7050577641905649
RSPG,0.6020203328006005
RSPH,0.6632706774147124
RSPM,0.7269824394365343
RSPN,0.7329428630083642
RSPS,0.5789327011607861
RSPT,0.7241692465403954
RSPU,0.5282975410551922
RWJ,0.668991854459256
RWK,0.7397032907070468
RWL,0.7794264750621529
RWM,-0.7250302736083848
RWO,0.6987097563888599
RWR,0.623103589733761
RWX,0.7079030193553063
RXD,-0.5682374275162423
SCHA,0.7480055632736873
SCHB,0.7854210354110488
SCHC,0.8308385263594034
SCHD,0.751458309300567
SCHE,0.7531018987760971
SCHF,0.852523604911938
SCHG,0.7144128137751434
SCHH,0.6226893261800279
SCHM,0.774100081821955
SCHO,-0.042913785526982794
SCHP,0.07597590805534912
SCHR,-0.09938204057964176
SCHV,0.7880025004366277
SCHX,0.7840064328710358
SCHZ,0.1227451589994899
