ETF2,Correlation
AAXJ,0.7218144603298075
ACWI,0.8703595882119943
ACWV,0.7810742337424466
ACWX,0.9201069951856284
AFK,0.6080260682939196
AGG,0.09572927254702342
AGQ,0.25790118288638997
AGZD,0.07104529438110266
AIA,0.6733875905650871
AMLP,0.48392328606983825
ANGL,0.5741238482629155
AOA,0.8597847052375776
AOK,0.7334252456716
AOM,0.793525391616866
AOR,0.8447707884347602
ARGT,0.5747284820359206
ASEA,0.6570499098563883
ASHR,0.3946550074506922
BAB,0.05274689964580933
BIL,0.012076295989552469
BIV,0.0254555283318876
BIZD,0.5242635452384112
BKLN,0.5440260591223156
BLV,0.033019704821629844
BND,0.1046651114065945
BNDX,0.05994559692345144
BNO,0.2940101113529164
BOIL,0.06166242991973587
BOND,0.13999742708133667
BRZU,0.5366457288849353
BSV,0.05355867119357883
BTAL,-0.2793780709142957
BWX,0.2706259370345502
BWZ,0.32847036363633597
BZQ,-0.5027109575061263
CANE,0.12211819965078471
CEMB,0.3694257288032582
CGW,0.8200773814989437
CHIQ,0.5113588838774907
CMBS,-0.029830428091756702
CMF,0.08359931365390946
COPX,0.6321287487215461
CORN,0.06743391858723494
CORP,0.23025313625661523
CPER,0.26193490236830813
CQQQ,0.49719801108507533
CURE,0.6286530647337742
CWB,0.6909767319837432
CWI,0.9096968208495502
CXSE,0.46953552637120355
DBA,0.21453357297422568
DBB,0.3160152924448308
DBC,0.3410013570330753
DBEF,0.8266268417880407
DBEU,0.8634443148905719
DBJP,0.6545465850714832
DBO,0.31282669357701254
DDM,0.7830874107694764
DEM,0.7299397707048598
DES,0.7147570021446245
DEW,0.8379118270902399
DFJ,0.6499635841748982
DGP,0.03394557949947923
DGRE,0.7082296217734642
DGRS,0.699157520157353
DGRW,0.7623874947694175
DGS,0.7461118741781932
DHS,0.7289557475179171
DIA,0.7831736853629271
DIG,0.5665870270615656
DIV,0.6492151989584789
DJP,0.3379339972884702
DLN,0.7741390245478578
DLS,0.8758620150330889
DNL,0.8532197554694997
DOG,-0.7816891799626764
DON,0.760009203681899
DRN,0.5828712084055746
DRV,-0.5979528302956139
DSI,0.7737595637675238
DTD,0.7769610025346424
DTH,0.9025380391181728
DUG,-0.5773386322528989
DUST,-0.18237886958699284
DVY,0.7279218718888035
DVYE,0.7236687385671069
DWAS,0.6455632569819596
DWM,0.9258834270203982
DXD,-0.7831588640450748
DXJ,0.6503903700246687
DXJS,0.5995542710360181
EBND,0.5929058450134078
ECH,0.5629685585591309
ECNS,0.4717669798194418
EDC,0.752753680452121
EDIV,0.7147985822334304
EDV,-0.18540769028101894
EDZ,-0.7539533122519997
EELV,0.7345074915815414
EEM,0.7574285632040563
EEMA,0.6966089348047692
EEMV,0.7514526082533175
EFA,0.9474442682518073
EFG,0.9156108504235045
EFV,0.9288923254559721
EFZ,-0.936954576981999
EIDO,0.5995873325701584
EMB,0.5784148590440777
EMHY,0.6167691831204003
EMLC,0.6175398053419614
ENFR,0.5761794491593925
ENOR,0.7660928537636637
ENZL,0.6111229596135691
EPHE,0.5767307791710021
EPI,0.6134013690105262
EPOL,0.7282055181679745
EPP,0.7926070332465183
EPS,0.7810030624699483
EPV,-0.9580702560630353
