ETF2,Correlation
AAXJ,0.6372308654817377
ACWI,0.6978703856861416
ACWV,0.6475877359250972
ACWX,0.7270598575338453
AFK,0.5720226347573055
AGG,0.08278748530335903
AGQ,0.25680677392879075
AGZD,0.03311516406632485
AIA,0.5812107351346805
AMLP,0.45477399927761786
ANGL,0.47217167995979165
AOA,0.6815656213519614
AOK,0.5934123213224894
AOM,0.634604636853773
AOR,0.6770348974213812
ARGT,0.5594933365685115
ASEA,0.5985398394140922
ASHR,0.3332038971550929
BAB,0.032900851459157186
BIL,0.008587870416143555
BIV,0.048647196102399516
BIZD,0.46445506562759964
BKLN,0.47672060473409467
BLV,0.046011525931255244
BND,0.07963521983972859
BNDX,0.07916515362452
BNO,0.3040323272420943
BOIL,0.07421393223274836
BOND,0.11449188779943102
BRZU,0.6133638072186086
BSV,0.051710277320018275
BTAL,-0.24432002774469677
BWX,0.21737109360993548
BWZ,0.2594190145223745
BZQ,-0.5828882325176232
CANE,0.1445393246748374
CEMB,0.34243411818698094
CGW,0.6539985230245055
CHIQ,0.42743921921264844
CMBS,-0.030708554445890976
CMF,0.06593667979363925
COPX,0.5865221173437353
CORN,0.11258734458776268
CORP,0.18091397620429245
CPER,0.20830844706313137
CQQQ,0.41705333774704567
CURE,0.49046828447598884
CWB,0.5706197226609022
CWI,0.7232227812809825
CXSE,0.39681022153072376
DBA,0.22206196817857587
DBB,0.29012717469794697
DBC,0.35326696195825114
DBEF,0.6126913753780974
DBEU,0.6222636892119313
DBJP,0.4980344531202498
DBO,0.3180289952424209
DDM,0.634842407167738
DEM,0.7079353112844163
DES,0.6137223384076952
DEW,0.6953648380275217
DFJ,0.5114211353378385
DGP,0.060139167404714415
DGRE,0.6879746669927715
DGRS,0.6009212015856081
DGRW,0.6246770063343267
DGS,0.7084406731277763
DHS,0.6344409749987587
DIA,0.6369810868082689
DIG,0.519174114333573
DIV,0.5829098689853895
DJP,0.3589547446743243
DLN,0.6420488914413467
DLS,0.6726934291798997
DNL,0.6943638889290576
DOG,-0.6355759304503888
DON,0.6576152870364572
DRN,0.5100162223874003
DRV,-0.5300829363951511
DSI,0.6266666080172714
DTD,0.6481926694687665
DTH,0.6887832146702085
DUG,-0.5305377034209346
DUST,-0.20999359890061972
DVY,0.6279300286124221
DVYE,0.698547501122539
DWAS,0.5235602488443079
DWM,0.6914994479375208
DXD,-0.6367908263699805
DXJ,0.4996442706548118
DXJS,0.44900209252815754
EBND,0.6178947872822155
ECH,0.5775840013175105
ECNS,0.3960987349920033
EDC,0.7113730157782621
EDIV,0.6886470115587682
EDV,-0.12379807383780483
EDZ,-0.7103895876137288
EELV,0.7091993231265732
EEM,0.7152224304395558
EEMA,0.618817751795643
EEMV,0.7007542938207285
EFA,0.6928166495212127
EFG,0.656825688608581
EFV,0.692118495258862
EFZ,-0.6885752694780725
EIDO,0.5939895852294846
EMB,0.5301161645416009
EMHY,0.5519549575557523
EMLC,0.6460532573375408
ENFR,0.5254802528896128
ENOR,0.6154731756584038
ENZL,0.5393383892382393
EPHE,0.5561665707823292
EPI,0.553940276549293
EPOL,0.5855100895132321
EPP,0.6729521755643427
EPS,0.6344555602432371
EPV,-0.6768637594433051
EQWL,0.6204507503161619
ERX,0.5310700991344909
ERY,-0.5394083225628704
EUFN,0.6287171766568188
EUM,-0.7109164091144414
EURL,0.6736023738088798
EUSA,0.6466245146350403
EWA,0.6550260576725359
EWC,0.6629490190829658
EWD,0.6247082149953938
EWG,0.6239899541170821
EWH,0.5194955953277001
EWI,0.6027084145713741
EWJ,0.5593009121417755
EWL,0.5930166090108951
EWM,0.5337880324896498
EWP,0.6264644410078197
EWQ,0.6581440109613144
EWS,0.6159569570782168
EWT,0.5773619825483121
EWU,0.6702318502956628
EWV,-0.545239389012501
EWX,0.6804138067855062
EWY,0.6280942531983251
EWZ,0.6410457189949679
EWZS,0.5876775216755724
EZA,0.6864964060549075
EZU,0.6602518459061179
FAN,0.5805872419793197
FAS,0.6181754258594383
FAZ,-0.6216936611034228
FBT,0.3798446162086858
FCA,0.3863579763800017
FCG,0.43466150732294284
FCOM,0.516607558509369
FDD,0.6433096494968343
FDIS,0.5697336155171989
FDL,0.6176865023917586
FDN,0.4748717440358884
FDT,0.6720052793681419
FEM,0.6817282141677922
FEMS,0.6251807355435585
FENY,0.5283367650506182
FEZ,0.655365125178872
FGD,0.6959903423157653
FHLC,0.4985991547151428
FIDU,0.630789984157605
FIW,0.6140377864200294
FLOT,0.24698551339877528
FLRN,0.2125774255627885
FLTR,0.22461578652592673
FM,0.5153096664248403
FMAT,0.6403767893013974
FMF,0.02960493243969146
FNCL,0.5989483454654262
FNDA,0.6361048824297354
FNDB,0.655969802941384
FNDC,0.6785442046480088
FNDE,0.7239995790201441
FNDF,0.6968519080532908
FNDX,0.6539524930445989
FPE,0.40749255450556876
FRI,0.5296296323688019
FSTA,0.49919294534667413
FTA,0.64830145169749
FTC,0.5655812009934466
FTCS,0.5906205800667752
FTEC,0.5410588975867223
FTGC,0.32591710413608543
FTQI,0.35152682325235507
FTRI,0.5608193170531278
FTSL,0.3576772690941973
FUTY,0.42756436961924804
FVD,0.632241521805818
FXH,0.49997378311448276
FXI,0.48609424143650665
FXL,0.5359377061738886
FXN,0.5107773034309606
FXO,0.6100951679390723
FXR,0.6347683592444914
FXU,0.49499830749967605
FXY,-0.07027271887802118
FXZ,0.6257147398669677
FYLD,0.6425508949416305
GCC,0.29539735826675756
GDX,0.2250093728972701
GDXJ,0.2568730833628534
GLD,0.10152896241993088
GLTR,0.22814507831712144
GMF,0.6151432417775841
GNR,0.6619018683873229
GOVI,-0.11763935158771582
GOVT,-0.10750000139670732
GREK,0.48293200606294456
GRID,0.5596135101992606
GRPM,0.6407684377750051
GSG,0.33983636792510674
GSY,0.11421368227300191
GUNR,0.6580801216027872
GVI,0.03932895214703797
GWX,0.6614869891330651
GXC,0.48030781674691136
HAUZ,0.5338245239818887
HDGE,-0.5583256178322503
HEDJ,0.6066343604833836
HYD,0.2692015414341048
HYEM,0.4160550674439219
HYG,0.5785042853957586
HYLS,0.43504696272692145
HYMB,0.25750516401211965
HYS,0.5359779956470944
HYZD,0.3422714950898289
IAI,0.5586629994416974
IAK,0.5598040731586685
IAT,0.5301132805613177
IAU,0.10326515268943354
IBB,0.395214213291679
IBND,0.2561168950916512
ICF,0.506042099095957
ICLN,0.5562935091676307
ICSH,0.11236372874757342
IDHQ,0.615658853461716
IDLV,0.6742704438873344
IDMO,0.4419305111654762
IDU,0.4295980512747435
IDV,0.6956493400059819
IDX,0.5870964597607375
IEF,-0.08913074021452777
IEFA,0.6935722105573325
IEI,-0.05719605012177875
IEMG,0.7187673011432482
IEO,0.5013253099071243
IEV,0.6802484343648195
IEZ,0.4988237639601068
