ETF2,Correlation
AAXJ,0.7696484494345367
ACWI,0.7268647477559451
ACWV,0.666534907713726
ACWX,0.7931266162591413
AFK,0.7189474211315717
AGG,0.14573029572114315
AGQ,0.36073354220449155
AGZD,0.020711073611411855
AIA,0.7263461372819745
AMLP,0.4298210026027567
ANGL,0.4965894888582634
AOA,0.716843330537424
AOK,0.6398448237495478
AOM,0.6836537126371206
AOR,0.7154659649653659
ARGT,0.5578916461516046
ASEA,0.6688306928190327
ASHR,0.4392209170536758
BAB,0.09809076616247972
BIL,-0.00268332097299483
BIV,0.09803363740808821
BIZD,0.4199141552688204
BKLN,0.4455944454835168
BLV,0.09002855135649504
BND,0.14851092114418576
BNDX,0.11954391259955094
BNO,0.2952553585876993
BOIL,0.053727597345265415
BOND,0.16080395000277986
BRZU,0.6133731738833664
BSV,0.11229678588156779
BTAL,-0.2371357627899371
BWX,0.3192672349977429
BWZ,0.3562643174082877
BZQ,-0.561483106586539
CANE,0.15223348786226018
CEMB,0.34010395758307216
CGW,0.6520539552987263
CHIQ,0.5635942689002257
CMBS,0.017387995408422324
CMF,0.09065971861408552
COPX,0.6531268540950509
CORN,0.08943807917145773
CORP,0.2319988840941642
CPER,0.2520379853214582
CQQQ,0.5629601456529317
CURE,0.4968815517923151
CWB,0.5959296085948002
CWI,0.7797471421311406
CXSE,0.5275702377112542
DBA,0.2225725702251008
DBB,0.3637250446026235
DBC,0.37310066071968817
DBEF,0.6137078585576549
DBEU,0.6263855319825852
DBJP,0.4894746132612476
DBO,0.3138539962673853
DDM,0.6223647643752612
DEM,0.8097202431293649
DES,0.5722868640657404
DEW,0.698913065306218
DFJ,0.5437719408340536
DGP,0.17660532220641295
DGRE,0.7941134120109483
DGRS,0.550619939729291
DGRW,0.61381635191486
DGS,0.8188187613923392
DHS,0.5934678718507987
DIA,0.6226128299306825
DIG,0.4927119489847886
DIV,0.5407638530067821
DJP,0.3851990851051926
DLN,0.6225674503788216
DLS,0.7230177926664336
DNL,0.7537511798725051
DOG,-0.6221772441952168
DON,0.6078334623843556
DRN,0.4788535384752806
DRV,-0.48742280249993214
DSI,0.6279362650320646
DTD,0.6222469409923149
DTH,0.7327004059404723
DUG,-0.502277243498725
DUST,-0.31306202739913763
DVY,0.5765075611026327
DVYE,0.7823290492140229
DWAS,0.5292656963205092
DWM,0.7350431700094158
DXD,-0.622386230101993
DXJ,0.48480234302159453
DXJS,0.4467663525797308
EBND,0.6608445684203328
ECH,0.589423342827789
ECNS,0.5137992046321517
EDC,0.8332535230747448
EDIV,0.8219470685826916
EDV,-0.08225449940045741
EDZ,-0.8313980352104453
EELV,0.7952111686892945
EEM,0.8351952416140731
EEMA,0.7454914179617241
EEMV,0.8077360233062494
EFA,0.7359968062443666
EFG,0.7088261379568355
EFV,0.7240776028844591
EFZ,-0.7317142656563711
EIDO,0.6382672108056664
EMB,0.5465806292619259
EMHY,0.5486487089499756
EMLC,0.6955273089386075
ENFR,0.5047069571162053
ENOR,0.6584424759970541
ENZL,0.5576638075238445
EPHE,0.6000161992773231
EPI,0.6040566877904849
EPOL,0.640794753939229
EPP,0.7375474036197146
EPS,0.6221068575686389
EPV,-0.7144043503618667
EQWL,0.5927865398509727
ERX,0.5171165242246273
ERY,-0.5222984169382189
EUFN,0.6508165463399904
EUM,-0.8307632844660933
EURL,0.7167893764657679
EUSA,0.6260581020299713
EWA,0.6942991523823393
EWC,0.6753310833535335
EWD,0.6724753769080346
EWG,0.6746583980667447
EWH,0.6157996499863745
EWI,0.6408134575659056
EWJ,0.5884011010893365
EWL,0.6274144831193766
EWM,0.5975313513387202
EWP,0.6379253196556031
EWQ,0.6917300580839498
EWS,0.6879207970979146
EWT,0.660460403745689
EWU,0.7011580547940441
EWV,-0.5735119754756614
EWW,0.6864964060549075
EWX,0.7729168864473006
EWY,0.7055945074946751
EWZ,0.6218687864608576
EWZS,0.5655810014409814
EZU,0.7012186444902107
FAN,0.6206278408022559
FAS,0.5801422811784643
FAZ,-0.5827175868803942
FBT,0.4258696345911607
FCA,0.4884046381292821
FCG,0.4150006413686156
FCOM,0.5140324698260119
FDD,0.6615703160842695
FDIS,0.5761884910678117
FDL,0.5730000162478341
FDN,0.5153862211295653
FDT,0.7299288361586946
FEM,0.7805984758867566
FEMS,0.7141021240238049
FENY,0.5000799702354931
FEZ,0.6916285032070623
FGD,0.713155214126402
FHLC,0.5072739429928054
FIDU,0.6014419183116584
FIW,0.5930837129856337
FLOT,0.2841484738879065
FLRN,0.2574878262183488
FLTR,0.24592617176568995
FM,0.5382093051679133
FMAT,0.6307922938703733
FMF,0.016471269560902817
FNCL,0.5597386147803846
FNDA,0.6027950648046592
FNDB,0.6300919253293126
FNDC,0.7213848710093325
FNDE,0.8101060794203759
FNDF,0.7274157591266563
FNDX,0.6323346662636997
FPE,0.37163786320524145
FRI,0.48177797190628324
FSTA,0.4717966876432699
FTA,0.6074482442295805
FTC,0.5774487242042422
FTCS,0.5872236318961707
FTEC,0.5680219163543002
FTGC,0.37271920355474836
FTQI,0.3468267203085662
FTRI,0.5940132227257571
FTSL,0.35425867889312934
FUTY,0.3756345040997222
FVD,0.5997254385499418
FXH,0.5049633320212915
FXI,0.6389595871765589
FXL,0.5582178964044084
FXN,0.48083201409244025
FXO,0.5510763788807284
FXR,0.610966926431329
FXU,0.4451265361651776
FXY,0.005605189366917834
FXZ,0.6116444098544361
FYLD,0.6751926103531265
GCC,0.32790226360802616
GDX,0.3402565113582137
GDXJ,0.3672247069626319
GLD,0.21918787492832062
GLTR,0.3488741528046342
GMF,0.7463739861898776
GNR,0.6977449180953015
GOVI,-0.06653929162101556
GOVT,-0.05272779604028719
GREK,0.5064541051340333
GRID,0.5571700859075301
GRPM,0.5950912729013762
GSG,0.3350375787506145
GSY,0.17072059593492217
GUNR,0.7026468343895332
