ETF2,Correlation
AAXJ,0.631702660792252
ACWI,0.8671599015600695
ACWV,0.8008141530995797
ACWX,0.7959540136755134
AFK,0.545432992742845
AGG,-0.005367973534858704
AGQ,0.14146343828244562
AGZD,0.10617267564174902
AIA,0.5791398251967681
AMLP,0.5632800061839527
ANGL,0.5844778353998495
AOA,0.8571356903234268
AOK,0.6801158018515584
AOM,0.7519929270948588
AOR,0.8263895350546565
ARGT,0.5633017604503895
ASEA,0.5829100959532373
ASHR,0.3474292497640895
BAB,-0.03135847286345481
BIL,-0.004143541618096564
BIV,-0.09426306367012968
BIZD,0.6528069574205253
BKLN,0.5840929437491474
BLV,-0.06366212662309084
BND,0.0008971872387142091
BNDX,0.0008146168516213827
BNO,0.30602132022059175
BOIL,0.08293541673412237
BOND,0.04303867261477693
BRZU,0.5155943569451433
BSV,-0.07941379139972969
BTAL,-0.3306108631935568
BWX,0.0504868633371274
BWZ,0.08744612789550389
BZQ,-0.48621232140273046
CANE,0.12398185944097065
CEMB,0.31484691555999655
CGW,0.8019533994606655
CHIQ,0.425584590262969
CMBS,-0.10685122830099941
CMF,0.04972988539799196
COPX,0.5855954709696365
CORN,0.06802402543285954
CORP,0.13006280844166562
CPER,0.22103175946220127
CQQQ,0.4211760600914035
CURE,0.7170587712679979
CWB,0.7148721297515362
CWI,0.7966085547385734
CXSE,0.384769981451226
DBA,0.19637251265738923
DBB,0.2788710588008675
DBC,0.3291234921731678
DBEF,0.7907483894317535
DBEU,0.7910019352347015
DBJP,0.681597619775143
DBO,0.3216290068432801
DDM,0.9134205341603658
DEM,0.6581102041221321
DES,0.8614483861101309
DEW,0.8591693226690869
DFJ,0.6228573298064894
DGP,-0.07340030213081683
DGRE,0.6255002594093031
DGRS,0.8210336314935213
DGRW,0.866998372445132
DGS,0.6705445851304926
DHS,0.8727595841523397
DIA,0.9125212429434527
DIG,0.6735416816169123
DIV,0.7658731931507184
DJP,0.3088542995328048
DLN,0.9044423162490075
DLS,0.7777258705992727
DNL,0.7388932075228125
DOG,-0.9105030612048125
