ETF2,Correlation
AAXJ,0.6717659809178909
ACWI,0.8610744411075112
ACWV,0.7946571569113553
ACWX,0.8168945353007946
AFK,0.6342254712248151
AGG,0.060300880596081005
AGQ,0.288661664603444
AGZD,0.06744482461978897
AIA,0.6223964746843905
AMLP,0.577317732621303
ANGL,0.5597409275794961
AOA,0.8543283589351637
AOK,0.7057362557832719
AOM,0.7732598329549979
AOR,0.8355240472519396
ARGT,0.6098377263100165
ASEA,0.6084996747166166
ASHR,0.38162006566841206
BAB,0.0008514706218244575
BIL,-0.007153943995230228
BIV,-0.024078539362391464
BIZD,0.6158452587655205
BKLN,0.5535573434931864
BLV,-0.009707727653006107
BND,0.053269714197689354
BNDX,0.05409480761539603
BNO,0.3413541032173863
BOIL,0.10031047513633837
BOND,0.09055943342780766
BRZU,0.5407029079422518
BSV,-0.014419674493619961
BTAL,-0.33241043882726534
BWX,0.16530946305927266
BWZ,0.193929280337513
BZQ,-0.5148788887578932
CANE,0.1346105676399232
CEMB,0.32639909167055425
CGW,0.8333614456417763
CHIQ,0.4725360352501913
CMBS,-0.057290561302638425
CMF,0.05270815037298914
COPX,0.7243126959183341
CORN,0.10116375986610963
CORP,0.15606932629369794
CPER,0.28516450521190734
CQQQ,0.4716361698122442
CURE,0.6842245325662435
CWB,0.7206208838258275
CWI,0.8173790707266251
CXSE,0.43198080861412474
DBA,0.23289276396074082
DBB,0.38388732644027074
DBC,0.40669591643815667
DBEF,0.7555078700538911
DBEU,0.7615719124722001
DBJP,0.6303489296777816
DBO,0.3722846886732134
DDM,0.8614773785216078
DEM,0.706445355412694
DES,0.8534536117143448
DEW,0.8444518045120191
DFJ,0.633439284060617
DGP,0.07348148860786642
DGRE,0.668766667604903
DGRS,0.8378305324582629
DGRW,0.855623590053953
DGS,0.7067496181781325
DHS,0.8400550433864639
DIA,0.8633267542540743
DIG,0.6857391634271882
DIV,0.7477194952649184
DJP,0.41011290452149535
DLN,0.8657476422060075
DLS,0.7938046775402342
DNL,0.7754882715402394
DOG,-0.8607711995609375
DON,0.8971474052993997
DRN,0.6433608968239221
DRV,-0.6650047590870123
DSI,0.8391375176404691
DTD,0.8763739691162605
DTH,0.7916323483211138
DUG,-0.6986929547649978
DUST,-0.266109086326101
DVY,0.8508418461872019
DVYE,0.6838907331214171
DWAS,0.7609387511841603
DWM,0.8074166619186094
DXD,-0.8618804135655618
DXJ,0.6375222745762014
DXJS,0.5901240705375088
EBND,0.4929374427107908
ECH,0.5883369517431862
ECNS,0.4308015509485992
EDC,0.7105217429985284
EDIV,0.6609196315672637
EDV,-0.2204406410299479
EDZ,-0.7103856724861657
EELV,0.6823258066534102
EEM,0.7105662342385718
EEMA,0.6540591812116752
EEMV,0.6963823084581577
EFA,0.810550167737528
EFG,0.7759773339776701
EFV,0.8037205433424065
EFZ,-0.8127865083668301
EIDO,0.5709409851713164
EMB,0.5209160741838226
EMHY,0.5678019613808796
EMLC,0.5146111915761831
ENFR,0.6725401108264071
ENOR,0.7071609109327623
ENZL,0.5982852274873327
EPHE,0.5504629471413104
EPI,0.5816995509156446
EPOL,0.6087712927783371
EPP,0.7573826678114189
EPS,0.8600471135360651
EPV,-0.7946890883965072
EQWL,0.8514279656940908
ERX,0.6938137293809936
ERY,-0.7060428531058637
EUFN,0.7350999606783398
EUM,-0.7106117408153688
EURL,0.7916379307877878
EUSA,0.8872093147998525
EWA,0.7541762950517459
