ETF2,Correlation
AAXJ,0.7698508416101664
ACWI,0.906075229951598
ACWV,0.8175137302742723
ACWX,0.9499727484881901
AFK,0.6794585937483403
AGG,0.06999475619572623
AGQ,0.29690802838060765
AGZD,0.08306173980679427
AIA,0.7211877556062999
AMLP,0.5681960353628559
ANGL,0.592494355303698
AOA,0.8977042592743527
AOK,0.7510437567367941
AOM,0.8180644406838801
AOR,0.8807288512064106
ARGT,0.6246776221348127
ASEA,0.7136233744759182
ASHR,0.4292268041429932
BAB,0.023417841969251427
BIL,-0.0002839184787109641
BIV,-0.007293661264305615
BIZD,0.5735324478487294
BKLN,0.5687265007623986
BLV,-0.0009958887237683
BND,0.07076001464044948
BNDX,0.03991390055071814
BNO,0.38770034153889604
BOIL,0.07825169234753304
BOND,0.11507601677506654
BRZU,0.5929076442042692
BSV,0.021644485689146897
BTAL,-0.32122365825125676
BWX,0.2419955418402644
BWZ,0.3043842279787442
BZQ,-0.5550064662140322
CANE,0.16188099344670842
CEMB,0.3758260088110659
CGW,0.8416974844514958
CHIQ,0.5310546271355006
CMBS,-0.045676327568962075
CMF,0.07486325627585788
COPX,0.7275171064206362
CORN,0.09816322478820401
CORP,0.19751823133697696
CPER,0.2929294609461567
CQQQ,0.5234381162460237
CURE,0.6566212895097581
CWB,0.7176241409979465
CWI,0.9498058474728573
CXSE,0.49281251199064485
DBA,0.25757172175821863
DBB,0.3774007138016674
DBC,0.44332968530884215
DBEF,0.8729565511355287
DBEU,0.8696623645110229
DBJP,0.7446233468175599
DBO,0.4142389448096209
DDM,0.8318404977533552
DEM,0.8101593939455023
DES,0.783201349306486
DEW,0.9076119812208666
DFJ,0.7627428987062222
DGP,0.06631084769843318
DGRE,0.7619896011414404
DGRS,0.7604743212715581
DGRW,0.8119267686156435
DGS,0.8064436900191579
DHS,0.8071127991090691
DIA,0.8323799549749277
DIG,0.6817344303238526
DIV,0.7121596954559364
DJP,0.43380979283366483
DLN,0.8335698192008507
DLS,0.923149836622431
DNL,0.8772688458945697
DOG,-0.8305173331270347
DON,0.8275882722319133
DRN,0.6123863984522068
DRV,-0.6314027457742871
DSI,0.8116595845811412
DTD,0.8393796591913387
DTH,0.9515833698780425
DUG,-0.6924749652594296
DUST,-0.22816916605943177
DVY,0.7951454311539272
DVYE,0.7798349561672526
DWAS,0.6960424240545405
DWM,0.9600221412720024
DXD,-0.8321411449302735
DXJ,0.7518368044110367
DXJS,0.6911852972081506
EBND,0.6018426885143492
ECH,0.6043346876347229
ECNS,0.49377554048344824
EDC,0.8086479439807956
EDIV,0.7712106139248395
EDV,-0.2216764485913129
EDZ,-0.8090612102001984
EELV,0.7925796214356701
EEM,0.8090685120700813
EEMA,0.7471496661456472
EEMV,0.7970820945153538
EFA,0.9617218911698624
EFG,0.9055044465288313
EFV,0.9683876558011909
EFZ,-0.962955651182899
EIDO,0.6448570744323632
EMB,0.5786030823895166
EMHY,0.622690586570711
EMLC,0.6277782645250736
ENFR,0.6689254513726127
ENOR,0.8147236336968228
ENZL,0.6450975337702808
EPHE,0.6145481051897704
EPI,0.6504519699191018
EPOL,0.7249060956507415
EPP,0.8584035471673815
EPS,0.8308739560504308
EPV,-0.9455388258002876
EQWL,0.8183399370696074
ERX,0.6941334204426265
ERY,-0.7045297582719541
EUFN,0.896493976001154
EUM,-0.8072876018003987
EURL,0.9445957372609948
EUSA,0.8313549930988018
EWA,0.8384562543388512
EWC,0.8441717728395278
EWD,0.8596178149919477
EWG,0.8976919997863708
EWH,0.6453482322244353
EWI,0.8666866906145584
EWJ,0.8231790890725545
EWL,0.8157280771035373
EWM,0.60192400500265
EWP,0.8646312964760772
EWQ,0.916412892093305
EWS,0.761288766034894
EWT,0.6897015342922796
EWU,0.9193822338820095
EWV,-0.8128628707600016
EWW,0.6968519080532908
