ETF2,Correlation
AAXJ,0.7033584096185193
ACWI,0.8994916758642695
ACWV,0.8169113698450845
ACWX,0.7940643016724626
AFK,0.5582697570369435
AGG,0.10817426060432647
AGQ,0.2168593114484081
AGZD,0.0773312796835797
AIA,0.6565958524144173
AMLP,0.452224592742487
ANGL,0.5764901751880541
AOA,0.8887232546428461
AOK,0.7539508427997672
AOM,0.8159576382907797
AOR,0.8701829462258754
ARGT,0.6268865198029593
ASEA,0.5625696946642017
ASHR,0.38719401732207487
BAB,0.05236612160817468
BIL,-0.007334922088677798
BIV,0.029499554686507563
BIZD,0.5437249810285727
BKLN,0.5300615352810174
BLV,0.06918246392964157
BND,0.10602856953830539
BNDX,0.11022970729244849
BNO,0.2558428284849027
BOIL,0.07429591853998935
BOND,0.13779994835660545
BRZU,0.473849405286211
BSV,0.014416553083475215
BTAL,-0.25470030717542
BWX,0.13079198038468254
BWZ,0.12309911457672486
BZQ,-0.4503188668315683
CANE,0.10107811211812491
CEMB,0.3418862422015168
CGW,0.7909653839458981
CHIQ,0.5309254982883251
CMBS,-0.027682652313124452
CMF,0.07104509095315273
COPX,0.556743492132091
CORN,0.059335134859182036
CORP,0.2228038145361063
CPER,0.21407002365875064
CQQQ,0.5381384496437539
CURE,0.7731626949353627
CWB,0.8713561721761584
CWI,0.7913191611376956
CXSE,0.4886787799575696
DBA,0.17809785424380015
DBB,0.2788128286954167
DBC,0.30386931182274457
DBEF,0.7506203306299947
DBEU,0.7480014501934273
DBJP,0.651936763928111
DBO,0.2762059816660928
DDM,0.8475949552745052
DEM,0.6494201711148733
DES,0.7120656273000754
DEW,0.7419199399327846
DFJ,0.6284882943681697
DGP,0.021197227850146116
DGRE,0.6612288633006528
DGRS,0.7077075315921426
DGRW,0.8807127342911302
DGS,0.6938079024190821
DHS,0.7357729219248658
DIA,0.8480712697484721
DIG,0.5093411990408651
DIV,0.6302724244804615
DJP,0.2985321092468619
DLN,0.8471192300777647
DLS,0.7532168316194344
DNL,0.7887266168443321
DOG,-0.8458940631489235
DON,0.783479101566392
DRN,0.6489458412961502
DRV,-0.6662895161613115
DSI,0.9242855525627883
DTD,0.8422313644429162
DTH,0.7010100068333553
DUG,-0.5237835394952919
DUST,-0.15264644165069735
DVY,0.704151190386826
DVYE,0.619691270650199
DWAS,0.8459651759481227
DWM,0.7543675365986701
DXD,-0.8473778643058225
DXJ,0.6343655290155409
DXJS,0.6015386002372685
EBND,0.447386989844667
ECH,0.4881615078688418
ECNS,0.4590743660084807
EDC,0.7155024788326306
EDIV,0.6181216486180625
EDV,-0.14269563160117107
EDZ,-0.7175180180746085
EELV,0.6493687943413646
EEM,0.7159365176760308
EEMA,0.6904110084761609
EEMV,0.6919192846467435
EFA,0.7780352400160424
EFG,0.8138361520036401
EFV,0.7037944660084329
EFZ,-0.780602428524199
EIDO,0.5445599836143907
EMB,0.5386421051313968
EMHY,0.5739210933637995
EMLC,0.45771212413351436
ENFR,0.5380476205926643
ENOR,0.6222234032057398
ENZL,0.563727325175852
EPHE,0.5370967724254443
EPI,0.570362256148746
EPOL,0.5575802810688961
EPP,0.7155239327227316
EPS,0.8810408929247504
EPV,-0.7537358937949867
EQWL,0.8218069696102179
ERX,0.5296809593023002
ERY,-0.5432496072548882
EUFN,0.6272081707416086
EUM,-0.7160718869298169
EURL,0.7501181806343781
EUSA,0.8817536297655775
EWA,0.7054041472851977
EWC,0.7293992286592968
EWD,0.7101840893285108
EWG,0.716746052949363
EWH,0.5252460925462769
EWI,0.645046135458492
EWJ,0.6814161017407895
EWL,0.7022722681341802
EWM,0.4713462349930991
EWP,0.6092463317212414
EWQ,0.7050042112482302
EWS,0.624929088792807
EWT,0.6452458919189866
EWU,0.6802849011696376
EWV,-0.6742137853094559
EWW,0.5655812009934464
EWX,0.69783585535858
EWY,0.649598001363578
EWZ,0.49686666408735647
EWZS,0.46989825301426263
EZA,0.5774487242042421
EZU,0.73388608321239
FAN,0.6925057833907093
FAS,0.7702089170027622
FAZ,-0.7720742264261349
FBT,0.6849948499247175
FCA,0.406415289005577
FCG,0.41528135136461153
FCOM,0.7665999317825999
FDD,0.6302224503333024
FDIS,0.8771557160010391
FDL,0.6898655583633674
FDN,0.859060099268654
FDT,0.7766191860177482
FEM,0.6657370942137839
FEMS,0.6184810112271334
FENY,0.5205717785025554
FEZ,0.7322421538803542
FGD,0.6886469174625693
FHLC,0.8072371733059351
FIDU,0.8198313871229147
FIW,0.8052516140682927
FLOT,0.32682778692809966
FLRN,0.3121846024335499
FLTR,0.3078690497115361
FM,0.550483931061273
FMAT,0.7738419805605731
FMF,0.027508532290442214
FNCL,0.729473943494573
FNDA,0.7942735351901001
FNDB,0.8423665310324261
FNDC,0.76753992581079
FNDE,0.6508429126838702
FNDF,0.7318853562320508
FNDX,0.8429900947200785
FPE,0.48622741671911973
FRI,0.6490951399598449
FSTA,0.6554304865025449
FTA,0.7391646650806564
FTCS,0.8718983387035368
FTEC,0.9074000736855504
FTGC,0.29020983513197873
FTQI,0.5385306759294847
FTRI,0.508167177641045
FTSL,0.4261571913901623
FUTY,0.4971418673056793
FVD,0.7649449179789123
FXH,0.8403783883400573
FXI,0.5274586896096085
FXL,0.9277871256913919
FXN,0.5116857277515239
FXO,0.7036284460793398
FXR,0.8220904878373817
FXU,0.5571789524148201
FXY,-0.18522585532511635
FXZ,0.7213778032912038
FYLD,0.666097978258099
GCC,0.2622586293499548
GDX,0.1853412443141362
GDXJ,0.21860508007729035
GLD,0.0571837782249085
GLTR,0.1791868819532504
GMF,0.7032317632725565
GNR,0.6690506588158875
GOVI,-0.13873299415554866
GOVT,-0.14422503846155188
GREK,0.5108620651316835
GRID,0.7172852668645312
GRPM,0.7897224150872125
GSG,0.29267879257709806
GSY,0.1248478708583467
GUNR,0.6552910102925948
GVI,0.017580086428105688
GWX,0.75908536547648
GXC,0.5650723675690602
HAUZ,0.5776488531119077
HDGE,-0.7104384470635957
HEDJ,0.7376170571506928
HYD,0.33372467401897393
HYEM,0.4309664514052777
HYG,0.6915464330984117
HYLS,0.536322207356987
HYMB,0.2770617580777873
HYS,0.6474974200622434
HYZD,0.4146520575584339
IAI,0.7499830909778548
IAK,0.6642932631520174
IAT,0.5827231058346202
IAU,0.05646311181879141
IBB,0.7167527424578768
IBND,0.18473785720298017
ICF,0.6428347640901707
ICLN,0.6944702377919352
ICSH,0.08502814847619065
IDHQ,0.7171517454156239
IDLV,0.7310357944022597
IDMO,0.5895880900721047
IDU,0.5034923251950281
IDV,0.6902218895650047
IDX,0.5461404425162714
IEF,-0.13733575375825813
IEFA,0.7782779989302445
IEI,-0.11626943180023286
IEMG,0.7208438715458741
