ETF2,Correlation
AAXJ,0.6053796381498406
ACWI,0.6553211683732008
ACWV,0.5651024267460175
ACWX,0.7050762487685952
AFK,0.6027020878826289
AGG,0.044872918269335295
AGQ,0.3278768838398699
AGZD,0.09455877483258551
AIA,0.5626654536541844
AMLP,0.5697679615766182
ANGL,0.44588563816672794
AOA,0.6507625812084253
AOK,0.5308750504401655
AOM,0.5859198108589707
AOR,0.6329651318730484
ARGT,0.5335818642438045
ASEA,0.5564595631621764
ASHR,0.3829835259719172
BAB,-0.040666269295260925
BIL,-0.002999271195542109
BIV,-0.017224384785843316
BIZD,0.4697119562076043
BKLN,0.43456667846265934
BLV,-0.028780218154905477
BND,0.04725472175585832
BNDX,0.0077389037894848465
BNO,0.4657589012920568
BOIL,0.09863810977534698
BOND,0.07911733930727964
BRZU,0.5591298631137183
BSV,0.0004218755443192358
BTAL,-0.2467315670775242
BWX,0.187661709350067
BWZ,0.24766206480208308
BZQ,-0.5181496972907842
CANE,0.1875025341373275
CEMB,0.2662359930043861
CGW,0.6036284394135378
CHIQ,0.43974949076636694
CMBS,-0.014968321682688145
CMF,0.048935181732672285
COPX,0.7690269427978216
CORN,0.1637016630313671
CORP,0.13017542117125058
CPER,0.341421502436394
CQQQ,0.4360503655151918
CURE,0.4368279677910253
CWB,0.5301635919220302
CWI,0.7026973990820314
CXSE,0.41413297584961595
DBA,0.27679800233035967
DBB,0.4611580135783584
DBC,0.5377248051417669
DBEF,0.604895565013802
DBEU,0.6100964173342402
DBJP,0.495441197794451
DBO,0.4916084714139886
DDM,0.5903377708391653
DEM,0.7083499538222136
DES,0.5984497202307055
DEW,0.7141583535229595
DFJ,0.49032926753292766
DGP,0.13906291130214282
DGRE,0.6215095051074944
DGRS,0.5795014048400761
DGRW,0.5716828694458598
DGS,0.6471436082259449
DHS,0.6226707452892737
DIA,0.5921362874833298
DIG,0.6591419179991753
DIV,0.5920516122836728
DJP,0.5264558425162871
DLN,0.6123077914818923
DLS,0.6633505955353176
DNL,0.6773091335964377
DOG,-0.5901677620469503
DON,0.6326010928126268
DRN,0.4438778174829303
DRV,-0.44904645810367333
DSI,0.5594406306522658
DTD,0.6189917686088418
DTH,0.7245649127630752
DUG,-0.6669190264961019
DUST,-0.2896805200803531
DVY,0.5960730966870367
DVYE,0.6702753302702731
DWAS,0.5430146276702565
DWM,0.6990554408766877
DXD,-0.5910490772178604
DXJ,0.501473723200083
DXJS,0.45305102339485753
EBND,0.4788356080880786
ECH,0.5567559890585257
ECNS,0.42645754883815823
EDC,0.6548731682362254
EDIV,0.6415246093589497
EDV,-0.20568518701224364
EDZ,-0.6550653285240614
EELV,0.6369490350286258
EEM,0.6527096268296322
EEMA,0.5966995893418958
EEMV,0.6366542543980291
EFA,0.6788125432463978
EFG,0.6145328460451625
EFV,0.7045781884567132
EFZ,-0.6786937895213492
EIDO,0.5035789320482509
EMB,0.4470442345871908
EMHY,0.5059503848347429
EMLC,0.5184133613348048
ENFR,0.6470162611456106
ENOR,0.7074202108838078
ENZL,0.4694663303666431
EPHE,0.4644131974032167
EPI,0.5110338666879242
EPOL,0.542779246891357
EPP,0.6872821549780604
EPS,0.5963933711921489
EPV,-0.6597816712450253
EQWL,0.5994449700545136
ERX,0.6653522760875549
ERY,-0.6679295506065668
EUFN,0.6214164552081236
EUM,-0.6518051186448565
EURL,0.664050684077011
EUSA,0.6158201417425135
EWA,0.6828826456955468
EWC,0.7214524631154856
EWD,0.6138593906113167
EWG,0.59237875251386
EWH,0.5108121452536196
EWI,0.6031494501325646
EWJ,0.5394802917818767
EWL,0.5573761846880049
EWM,0.47677191088315507
EWP,0.5975832902695726
EWQ,0.6241031630133029
EWS,0.5794976259117418
EWT,0.5340018300415377
EWU,0.6998386888072762
EWV,-0.5326286667030691
EWW,0.5608193170531278
EWX,0.6429473552257685
EWY,0.5622270197582402
EWZ,0.5772650240818796
EWZS,0.5107059531670698
EZA,0.5940132227257571
