ETF2,Correlation
AAXJ,0.3538193116180237
ACWI,0.5597921585618696
ACWV,0.7273295542195579
ACWX,0.4886871135071338
AFK,0.3459021501929166
AGG,0.20438784507290617
AGQ,0.19764495377544328
AGZD,0.02611593243068543
AIA,0.3052716160348289
AMLP,0.2920805881610049
ANGL,0.4085001086420334
AOA,0.5469199085176477
AOK,0.5378214894267516
AOM,0.5513902228628825
AOR,0.5597730172197792
ARGT,0.3092977856372095
ASEA,0.4058580875799789
ASHR,0.16197631461411505
BAB,0.1870890908130024
BIL,0.015314555006049703
BIV,0.19096075238330004
BIZD,0.3917794364663177
BKLN,0.4651188686289615
BLV,0.19266673225034991
BND,0.23327650040631787
BNDX,0.23649183619926722
BNO,0.13436535770825275
BOIL,0.06934681329059053
BOND,0.23584310444881085
BRZU,0.3309602666140466
BSV,0.1799469811334297
BTAL,-0.05436748804304125
BWX,0.1792074418717601
BWZ,0.15772519260956805
BZQ,-0.34705305606087355
CANE,0.0676482704799795
CEMB,0.29472661711681203
CGW,0.6750257303835177
CHIQ,0.15679989932188013
CMBS,0.1287379864964304
CMF,0.1553020723353416
COPX,0.29988542745459246
CORN,0.019533229060775273
CORP,0.28524452647696175
CPER,0.08786594144120775
CQQQ,0.15013718254542216
CURE,0.561479725794273
CWB,0.4252818212417704
CWI,0.49244558587081116
CXSE,0.15185393206892414
DBA,0.08145420832315897
DBB,0.11314056978363936
DBC,0.16881297573295517
DBEF,0.45569988963077185
DBEU,0.46406538697305977
DBJP,0.34425301555467586
DBO,0.13498072217852283
DDM,0.5965134787603578
DEM,0.41968434790049164
DES,0.5668314694208277
DEW,0.6225215426890329
DFJ,0.4226672620019747
DGP,0.13853141829580848
DGRE,0.3961624862126596
DGRS,0.5396872994193115
DGRW,0.6176400189360887
DGS,0.44125429376083586
DHS,0.7209284663559626
DIA,0.6015765076796297
DIG,0.3552540277958514
DIV,0.6400339748638131
DJP,0.18284155565187768
DLN,0.674964942311079
DLS,0.4824654461728459
DNL,0.48248507790542294
DOG,-0.597775324068788
DON,0.6366068262109407
DRN,0.7025976756389606
DRV,-0.738440299971166
DSI,0.5671677795987428
DTD,0.6751980416185149
DTH,0.4964389635266576
DUG,-0.37075845155283405
DUST,-0.23134830386709385
DVY,0.7513246048161841
DVYE,0.4198072928053146
DWAS,0.3826138042983116
DWM,0.5084863652519811
DXD,-0.6008015266909176
DXJ,0.3441756305926625
DXJS,0.3372718883686871
EBND,0.35015340116871135
ECH,0.32639123905052625
ECNS,0.18406970068834347
EDC,0.38542921161035143
EDIV,0.40270799664855017
EDV,0.047731537247796045
EDZ,-0.3884828494815465
EELV,0.43683975940626735
EEM,0.39173100247469017
EEMA,0.3425801230556576
EEMV,0.4210449452373079
EFA,0.49878576777217776
EFG,0.48849982939318887
EFV,0.49214687250186007
EFZ,-0.4978611524616394
EIDO,0.40873935455503
EMB,0.41857457678161253
EMHY,0.42963686706517296
EMLC,0.3386645253466586
ENFR,0.4097425692326765
ENOR,0.39431504166862313
ENZL,0.4562978990512612
EPHE,0.38472012219846835
EPI,0.38484161588683957
EPOL,0.3715549478882404
EPP,0.49298166526959925
EPS,0.5821214640812015
EPV,-0.4851421198783968
EQWL,0.5927002505432524
ERX,0.35415184861392707
ERY,-0.37195961198012756
EUFN,0.39268234107533745
EUM,-0.38937779060613276
EURL,0.4756854956360225
EUSA,0.5938929739467748
EWA,0.5149285626493467
EWC,0.49830419952251465
EWD,0.4329675219999659
EWG,0.42843032493564637
EWH,0.3058301977507927
EWI,0.410889965862572
EWJ,0.4141524235022021
EWL,0.4894814672188437
EWM,0.3445813285780008
EWP,0.4391570016721158
EWQ,0.46069332850383904
EWS,0.3924148606175779
