ETF2,Correlation
AAXJ,0.6194127125704242
ACWI,0.8680731044947125
ACWV,0.9143360555004948
ACWX,0.7929834522701625
AFK,0.5573602210440729
AGG,0.10716433409299028
AGQ,0.2016301164344464
AGZD,0.05935832779800651
AIA,0.5581273897639669
AMLP,0.5176019330032573
ANGL,0.5863519779966213
AOA,0.8558233682917014
AOK,0.7321964547785258
AOM,0.788846212367503
AOR,0.8431758403435586
ARGT,0.5283018021072551
ASEA,0.603946294801611
ASHR,0.33473401014108306
BAB,0.06354800555114376
BIL,-0.0015552116905797018
BIV,0.039192209311057664
BIZD,0.6038318982387257
BKLN,0.5992489276277203
BLV,0.051143700505530236
BND,0.12674997972771596
BNDX,0.13224470765538726
BNO,0.2826218119294718
BOIL,0.0836627249364257
BOND,0.15147368793597069
BRZU,0.5219794241804807
BSV,0.04559440022586846
BTAL,-0.24034237245849607
BWX,0.13820959162610907
BWZ,0.15370997931936511
BZQ,-0.5056919693861869
CANE,0.11120093791602279
CEMB,0.3524665062280936
CGW,0.8854055880095703
CHIQ,0.3775034466393082
CMBS,0.013745305102085582
CMF,0.1004681343936122
COPX,0.5614463643576321
CORN,0.06339614149122683
CORP,0.22512901200899674
CPER,0.20343397154577414
CQQQ,0.37486707061113766
CURE,0.7855538597559407
CWB,0.684828638087024
CWI,0.7919958001946944
CXSE,0.34982742762224456
DBA,0.17257992724982243
DBB,0.2543375486958747
DBC,0.3168527900823222
DBEF,0.7660913293018163
DBEU,0.7761846904131668
DBJP,0.6286935967812796
DBO,0.2999670899599338
DDM,0.9130309849273593
DEM,0.6727099456675882
DES,0.8734823685363151
DEW,0.8976956249852815
DFJ,0.6457165789407469
DGP,0.03191243523316684
DGRE,0.6341221833289883
DGRS,0.8446126189705537
DGRW,0.913934956873362
DGS,0.6896207584983799
DHS,0.9426981318737351
DIA,0.9146323699998689
DIG,0.625003188635319
DIV,0.8304929991471609
DJP,0.3088623117893875
DLN,0.9476274194785803
DLS,0.7731502244860818
DNL,0.7541470443222846
DOG,-0.9125569626692586
DON,0.925922192576007
DRN,0.7902773970610752
DRV,-0.820202622040215
DSI,0.8643565962987408
DTD,0.9516758411048497
DTH,0.7871772532376112
DUG,-0.6426438791925398
DUST,-0.18126578557115117
DVY,0.9516261194616311
DVYE,0.6564557495707416
DWAS,0.6853426680879762
DWM,0.8062911374885366
DXD,-0.9147619568306987
DXJ,0.6347553627024177
DXJS,0.5958045841042884
EBND,0.477055753903795
ECH,0.5217985629899281
ECNS,0.37102077690755475
EDC,0.6580216235311183
EDIV,0.6462758632099297
EDV,-0.1679719886326379
EDZ,-0.6602476279996624
EELV,0.671160216471661
EEM,0.6630201327084282
EEMA,0.6011487489357912
EEMV,0.675709688202032
EFA,0.802097871690495
EFG,0.7699527464894714
EFV,0.7968830027335222
EFZ,-0.8031703156763583
EIDO,0.5911394206979178
EMB,0.5423021836244059
EMHY,0.5950985424999353
EMLC,0.48791886504834164
ENFR,0.6307942682596354
ENOR,0.6595274698504427
ENZL,0.6187027710986203
EPHE,0.5647610015829214
EPI,0.5925522380711651
EPOL,0.5840357621403414
EPP,0.7574173763985796
EPS,0.8945535021182203
EPV,-0.783156638653076
EQWL,0.8847997398025182
ERX,0.6361596865545629
ERY,-0.6532765184792644
EUFN,0.713494250655918
EUM,-0.660438788288553
EURL,0.7783511194525018
EUSA,0.8977846400114999
EWA,0.7659652592898372
EWC,0.7710823296523887
EWD,0.7197958249775087
EWG,0.7288720080388016
EWH,0.5251373006585295
EWI,0.6856653550653194
EWJ,0.6665106587310801
EWL,0.7310608674520364
EWM,0.4993522859074924
EWP,0.7027311832800497
EWQ,0.7557242519354322
EWS,0.631555188504425
EWT,0.5671561558640866
EWU,0.7734824665107064
EWV,-0.6606481699305617
EWW,0.632241521805818
EWX,0.6761154060894243
EWY,0.6247718617848768
EWZ,0.5543922222244737
EWZS,0.5001550833096888
EZA,0.5997254385499418
EZU,0.7534497037398207
FAN,0.687966131071473
FAS,0.8757300873340784
FAZ,-0.8820239451007555
FBT,0.5389014543025905
FCA,0.3796461583908321
FCG,0.48289502756911923
FCOM,0.6956777369758668
FDD,0.7625571440410922
FDIS,0.7366890925397113
FDL,0.9270255738900387
FDN,0.5878246351333364
FDT,0.7597563045192115
FEM,0.6588642487461505
FEMS,0.6077285058329177
FENY,0.6373847703676886
FEZ,0.7562338844884189
FGD,0.8404766376435492
FHLC,0.777267734626425
FIDU,0.8896118606243627
FIW,0.8874203589215697
FLOT,0.38504663680660056
FLRN,0.3412914191220907
FLTR,0.32549557532848816
FM,0.5559124973167867
FMAT,0.8501877153931097
FMF,0.019993061905995983
FNCL,0.8604517835568503
FNDA,0.8611854301120595
FNDB,0.9203920750472407
FNDC,0.7932835643398249
FNDE,0.6679644596798909
FNDF,0.806243610822375
FNDX,0.9287943218640763
FPE,0.5201838063028462
FRI,0.8178124838708904
FSTA,0.8418859248403123
FTA,0.9203968302594137
FTC,0.7649449179789123
FTCS,0.9071427532868988
FTEC,0.7051326889989542
FTGC,0.3028834403667068
FTQI,0.4787808101096391
FTRI,0.582042989614441
FTSL,0.48144241761819817
FUTY,0.7896173644662013
FXH,0.7353043920413807
FXI,0.4489560524334938
FXL,0.6744225884419393
FXN,0.5899032832390583
FXO,0.8523365502672533
FXR,0.8670045216790415
FXU,0.853748270361535
FXY,-0.1527097028460084
FXZ,0.8072319560769888
FYLD,0.7275975926119008
GCC,0.25809025513709494
GDX,0.19899718790641605
GDXJ,0.2354578555888861
GLD,0.06157317734657323
GLTR,0.18068967804721578
