ETF2,Correlation
AAXJ,0.26224544436962777
ACWI,0.27191178264073423
ACWV,0.31763653869323305
ACWX,0.31727767410232244
AFK,0.4272848863397112
AGG,0.313778169253137
AGQ,0.6724245960220919
AGZD,-0.01780978358534209
AIA,0.25183372928699377
AMLP,0.18299194355924817
ANGL,0.2353470323049713
AOA,0.28228854364603995
AOK,0.35300432621165023
AOM,0.3332196222385881
AOR,0.3065189993590123
ARGT,0.3242967487877865
ASEA,0.2712649377083613
ASHR,0.1370811211594637
BAB,0.26633334953442733
BIL,-0.006882311517298854
BIV,0.2883624838272554
BIZD,0.18594682613198804
BKLN,0.16422995386460434
BLV,0.2610921012821707
BND,0.29015973317440874
BNDX,0.19150179159866393
BNO,0.16727784999543832
BOIL,0.040357196205775346
BOND,0.27146633879499393
BRZU,0.2493796033186178
BSV,0.2584752722844724
BTAL,-0.07209742488075581
BWX,0.4331664184744677
BWZ,0.40221518047163035
BZQ,-0.2534551350837844
CANE,0.10165330981906082
CEMB,0.20505433307207369
CGW,0.2839001720638129
CHIQ,0.19573016850330102
CMBS,0.1961344333253505
CMF,0.13031364953472943
COPX,0.42795737307739884
CORN,0.07983422141340563
CORP,0.29166727985733465
CPER,0.16584043108886262
CQQQ,0.18687161569137867
CURE,0.15688815936874717
CWB,0.23629656027874077
CWI,0.3201098835422076
CXSE,0.18426525858048387
DBA,0.15764606186897134
DBB,0.26790936776302465
DBC,0.30731674740700615
DBEF,0.13736477444610024
DBEU,0.15811518725526327
DBJP,0.05176477416849232
DBO,0.1914654114119329
DDM,0.19014572871874688
DEM,0.3249315020322095
DES,0.22229979618991522
DEW,0.27504063641735144
DFJ,0.20779187346094447
DGP,0.6662659151084431
DGRE,0.30090866534679933
DGRS,0.19050493595482682
DGRW,0.1989035084089305
DGS,0.3124161335483571
DHS,0.24147289277465425
DIA,0.19113075977239483
DIG,0.23194801318917052
DIV,0.24847579359829175
DJP,0.38409711048734
DLN,0.21309237922022722
DLS,0.3038543513235273
DNL,0.3079882410275662
DOG,-0.18799653816474843
DON,0.22878843285251685
DRN,0.21501627253760974
DRV,-0.22670393757990134
DSI,0.2137805339934038
DTD,0.22208820511297017
DTH,0.3064423743535082
DUG,-0.23447381384515864
DUST,-0.942449274580516
DVY,0.23190380603147123
DVYE,0.32609704101638826
DWAS,0.24365991799639367
DWM,0.29145953763931154
DXD,-0.19077515503208525
DXJ,0.03982827876947854
DXJS,0.04320134601235185
EBND,0.37464700161011355
ECH,0.27100918819293834
ECNS,0.1723558641106635
EDC,0.3032774064618789
EDIV,0.2845279807015792
EDV,0.1822887329511527
EDZ,-0.3027908702197927
EELV,0.3063871058755665
EEM,0.3037809018548003
EEMA,0.26069675818569443
EEMV,0.29983462727289373
EFA,0.28945635845246803
EFG,0.29270462999071795
EFV,0.28343579414926706
EFZ,-0.2859982381025687
EIDO,0.23692017646511243
EMB,0.33820462780692173
EMHY,0.2659272123064209
EMLC,0.41674875439079867
ENFR,0.2574066846160345
ENOR,0.30825841668540865
ENZL,0.3357625122220295
EPHE,0.22453294544445054
EPI,0.21696790463154694
EPOL,0.31166932498707517
EPP,0.30821126000379734
EPS,0.1898834112151669
EPV,-0.2876448684613331
EQWL,0.2049045558876163
ERX,0.23083253275096413
ERY,-0.23812799316448435
EUFN,0.19330781913758818
EUM,-0.3018618814074951
EURL,0.28709446104752695
EUSA,0.22941422770968395
EWA,0.32609269951793723
EWC,0.37456407298197025
EWD,0.2697191859572675
EWG,0.2562424396485223
EWH,0.1745220293655435
EWI,0.20826883314217937
EWJ,0.21425298987251487
EWL,0.2792384452299807
EWM,0.23960918822151805
EWP,0.2274758324148621
EWQ,0.2529625460316377
EWS,0.25209270224077707
EWT,0.23671501973287215
EWU,0.2885132862370627
EWV,-0.20502226683945404
EWW,0.2568730833628534
EWX,0.2970586168085869
EWY,0.26813363769589593
EWZ,0.2686139336798951
EWZS,0.2658629954722106
EZA,0.3672247069626319
EZU,0.25668316833357213
FAN,0.31262769946794744
FAS,0.1317026990093364
FAZ,-0.1360795384304018
FBT,0.16415934928286763
FCA,0.17347638399677567
FCG,0.2388790094822311
FCOM,0.20826825595703985
FDD,0.27938865619873965
FDIS,0.19928054990300784
FDL,0.22241648305128917
FDN,0.18210506918311448
FDT,0.3253240501389378
FEM,0.3187800322934637
FEMS,0.2842647262909217
FENY,0.2400900487312282
FEZ,0.26109015899219773
FGD,0.2955499497799015
FHLC,0.17395716979095735
FIDU,0.19570496359983822
FIW,0.2540989523464283
FLOT,0.18665938994237788
FLRN,0.21016914819723218
FLTR,0.17062700782956758
FM,0.22442277951400058
FMAT,0.32592507812817073
FMF,0.03167923303755992
FNCL,0.11808733729081426
FNDA,0.2262568705654179
FNDB,0.23106761197933381
FNDC,0.33051609549619937
FNDE,0.3200159845484272
FNDF,0.3014976952729146
FNDX,0.21831413885677395
FPE,0.22670740565455386
FRI,0.2191721368749673
FSTA,0.1982488319280548
FTA,0.20801428038017783
FTC,0.21860508007729046
FTCS,0.1849347404168758
FTEC,0.18191895344929354
FTGC,0.3551878407381143
FTQI,0.18212228211773143
FTRI,0.33505669303447955
FTSL,0.1675819286705982
FUTY,0.253445451805347
FVD,0.23545785558888604
FXH,0.18180195945869773
FXI,0.19562288236279857
FXL,0.2022176395434963
FXN,0.2315547205321135
FXO,0.14983553992440105
FXR,0.21136824412802468
FXU,0.25295531045217956
FXY,0.2988103902219074
FXZ,0.3183387244933185
FYLD,0.30645965248338813
GCC,0.3558952620407226
GDX,0.9559738462933586
GLD,0.7487311666425385
GLTR,0.7488401112277189
GMF,0.2568940139090968
GNR,0.42940997704939254
GOVI,0.20544980919020936
GOVT,0.2072569722865507
GREK,0.16436354152669633
GRID,0.23642920040583398
GRPM,0.23298170911876245
GSG,0.2451084668696204
GSY,0.11887434821688987
GUNR,0.4726376012822256
GVI,0.2706535615682376
GWX,0.3574398340837361
GXC,0.19768808420850664
HAUZ,0.23977845341019716
HDGE,-0.1726069439197919
HEDJ,0.13704873426524955
HYD,0.2548096137899558
HYEM,0.18844863627053138
HYG,0.25214452758120265
HYLS,0.20918653107172083
HYMB,0.17012471311324617
HYS,0.24562613953181908
HYZD,0.11126619194346277
IAI,0.11997678435376342
IAK,0.11506921883304948
IAT,0.06261248141261831
IAU,0.7464090979464585
IBB,0.17634490842255351
IBND,0.36435264831214514
ICF,0.21371327892633604
ICLN,0.29253451321789814
ICSH,0.05156602900287377
IDHQ,0.27167945770866014
IDLV,0.31747085691632
IDMO,0.24772626810867948
IDU,0.2567148285129122
IDV,0.31426419558761653
IDX,0.2410747497524659
