ETF2,Correlation
AAXJ,0.9040591656612498
ACWI,0.6552229998975245
ACWV,0.5532267416018483
ACWX,0.7205251265235201
AFK,0.5479193041340084
AGG,0.04042858915931631
AGQ,0.20807863660441164
AGZD,0.060139377085901016
AIA,0.896051713320935
AMLP,0.30124726292171794
ANGL,0.38717621270943564
AOA,0.6369577083961678
AOK,0.5240488646462289
AOM,0.5842290209622633
AOR,0.6301932307907018
ARGT,0.4831953735550587
ASEA,0.5495109623994693
ASHR,0.7271182073007962
BAB,0.01592353352589
BIL,-0.0035125649400816854
BIV,-0.009975473447277816
BIZD,0.29830598599379515
BKLN,0.34555244792558376
BLV,0.003057542716571646
BND,0.038161096272725625
BNDX,0.041487961864638004
BNO,0.22772115016143793
BOIL,0.05417578479015226
BOND,0.056892157993127704
BRZU,0.4458290171709171
BSV,-0.007540716912425678
BTAL,-0.22833234106227399
BWX,0.15144906885330572
BWZ,0.17919471360203343
BZQ,-0.4175913421836332
CANE,0.08960504335109698
CEMB,0.2654246201202307
CGW,0.5269455421394129
CHIQ,0.9215059485441122
CMBS,-0.03969583958343003
CMF,0.05511241412079591
COPX,0.58334158654429
CORN,0.04766755808354941
CORP,0.11373567505592393
CPER,0.23597360143299445
CQQQ,0.9206338787656477
CURE,0.4322257065013141
CWB,0.6035015564201789
CWI,0.7209939253601918
CXSE,0.8954402273565348
DBA,0.15909914576317352
DBB,0.3526547845944986
DBC,0.2856872663317882
DBEF,0.5828727540474401
DBEU,0.5656703461344562
DBJP,0.49768147396257556
DBO,0.2441171473093855
DDM,0.5170652261324128
DEM,0.718900097380361
DES,0.4397016786930862
DEW,0.5499605704755368
DFJ,0.47547765638333117
DGP,0.05222917088803506
DGRE,0.7311962184006706
DGRS,0.4460995035967602
DGRW,0.5266037283483662
DGS,0.739645265932646
DHS,0.4412104251374601
DIA,0.5186433856752731
DIG,0.3668863390772874
DIV,0.3627820971518571
DJP,0.29189937319966164
DLN,0.5078927035555233
DLS,0.6095871512885749
DNL,0.6770023469183014
DOG,-0.5148557049564206
DON,0.47681139504226455
DRN,0.33818929882216403
DRV,-0.35199600877833165
DSI,0.5687809681171642
DTD,0.5037598010011612
DTH,0.5952739285326811
DUG,-0.37313084920840744
DUST,-0.14877806001768057
DVY,0.41569071019469495
DVYE,0.674900080856292
DWAS,0.510773652291042
DWM,0.6152471007285799
DXD,-0.515899342544733
DXJ,0.48126539478544667
DXJS,0.44733935893053783
EBND,0.45775176124468053
ECH,0.4692748762699942
ECNS,0.8215531774903976
EDC,0.8603362430809769
EDIV,0.6977990547284849
EDV,-0.1279303502112534
EDZ,-0.8603122769247056
EELV,0.6788517393225348
EEM,0.85530282770504
EEMA,0.8779532979314231
EEMV,0.7875559031352143
EFA,0.6276657408294236
EFG,0.6403627049654617
EFV,0.5818778708093814
EFZ,-0.6283639127317255
EIDO,0.49745951327624577
EMB,0.3922040027647612
EMHY,0.4123849145746821
EMLC,0.4512394330130248
ENFR,0.36230529521712257
ENOR,0.5114776326146966
ENZL,0.4475917644833638
EPHE,0.485058772819738
EPI,0.5015697095986654
EPOL,0.4980524724920998
EPP,0.6807772460653005
EPS,0.5450102321520032
EPV,-0.5917744482001566
EQWL,0.5122268358307381
ERX,0.3878462064480478
ERY,-0.3956656318202992
EUFN,0.5164374739496679
EUM,-0.8573063138297715
EURL,0.5911125725001953
EUSA,0.5492018090069588
EWA,0.5651956878662129
EWC,0.5279728075481644
EWD,0.5651659915213845
EWG,0.5652656759905061
EWH,0.7851333582908688
EWI,0.5135174626287966
EWJ,0.5330111249980178
EWL,0.5191143630590909
EWM,0.4747698775312127
EWP,0.4810701276346651
EWQ,0.5602213386399701
EWS,0.6274793232730219
EWT,0.6247725677770344
EWU,0.554316712294659
EWV,-0.5241638742833999
EWW,0.48030781674691136
EWX,0.7465261138823025
EWY,0.6464275353613966
EWZ,0.4593992890445965
EWZS,0.4016282941808154
EZA,0.6382517177439653
EZU,0.5787831619950685
FAN,0.5527133596854462
FAS,0.4732567856172119
FAZ,-0.4765456554346579
FBT,0.4564018188974352
FCA,0.7311927012432522
FCG,0.3238789600927768
FCOM,0.49755527535814
FDD,0.5031220862750995
FDIS,0.5625577049338989
FDL,0.41324290362289484
FDN,0.5690679206308448
FDT,0.645670611944342
FEM,0.7665944975477652
FEMS,0.6804907060085471
FENY,0.3733632475101586
FEZ,0.5830269300548767
FGD,0.5571929015384806
FHLC,0.4643027310611854
FIDU,0.4937683968361072
FIW,0.47332607073306804
FLOT,0.190671467242487
FLRN,0.17871902311870141
FLTR,0.17670567627022624
FM,0.4546242741908594
FMAT,0.5203929382910635
FMF,0.00037591187831400067
FNCL,0.4541771609141751
FNDA,0.5036104366074688
FNDB,0.5225578751131902
FNDC,0.6193464477426897
FNDE,0.7421731634703161
FNDF,0.5954381022851558
FNDX,0.5246273333671845
FPE,0.2826753164130846
FRI,0.3431236326839995
FSTA,0.34971765329637605
FTA,0.4764770996410799
FTC,0.5650723675690604
FTCS,0.49771875641703034
FTEC,0.5713386650074188
FTGC,0.2639070452546829
FTQI,0.3222310270603902
FTRI,0.49479794502815994
FTSL,0.24223487314907174
FUTY,0.21299460013996496
FVD,0.4433903649870879
FXH,0.4909595598631366
FXI,0.9644695839884931
FXL,0.5812691727152214
FXN,0.3780615804131505
FXO,0.43496931162367597
FXR,0.5117615325023
FXU,0.27378682501016666
