ETF2,Correlation
ACE 200,0.46279995908528615
ACE 200TR,0.4585762117717372
ACE 2차전지&친환경차액티브,0.3657280490603509
ACE ESG액티브,0.46538085211749874
ACE Fn5G플러스,0.475271939902174
ACE Fn성장소비주도주,0.7278884950877477
ACE 골드선물 레버리지(합성 H),0.09234748680994977
ACE 국고채10년,0.14037927167875605
ACE 국고채3년,0.12858995954806757
ACE 단기통안채,-0.030644457948963193
ACE 러시아MSCI(합성),0.02607199538445249
ACE 레버리지,0.4586817004812064
ACE 멕시코MSCI(합성),0.14702954156299428
ACE 미국IT인터넷S&P(합성 H),0.3491418718936954
ACE 미국S&P500,0.29543660844626757
ACE 미국WideMoat동일가중,0.30654536532503496
ACE 미국나스닥100,0.3292332516944087
ACE 미국다우존스리츠(합성 H),0.27309640015234754
ACE 미국친환경그린테마INDXX,0.29916125329226145
ACE 밸류대형,0.3943256514382392
ACE 베트남VN30(합성),0.091526975289483
ACE 베트남VN30선물블룸버그레버리지(H),0.20536059340233495
ACE 삼성그룹동일가중,0.36339245566813494
ACE 삼성그룹섹터가중,0.3939367226526027
ACE 싱가포르리츠,0.14046215997590578
ACE 아시아TOP50S&P,0.30006257699337974
ACE 인도네시아MSCI(합성),0.1672188381880283
ACE 인버스,-0.447097188484727
ACE 일본Nikkei225(H),0.3547585428944234
ACE 일본TOPIX레버리지(H),0.2070418446624174
ACE 일본TOPIX인버스(합성 H),-0.3367543358037376
ACE 종합채권(AA-이상)KIS액티브,0.13855647761481285
ACE 중국본토CSI300,0.10931875563857497
ACE 중국본토CSI300레버리지(합성),0.1370575053058585
ACE 중장기국공채액티브,0.1480320928516951
ACE 차이나항셍테크,0.20437964731960157
ACE 코스닥150,0.5671921322266934
ACE 코스피,0.4886875298625699
ACE 필리핀MSCI(합성),0.07327828993353695
BNK금융지주,0.23657783382111106
HANARO 200,0.46404840740147324
HANARO 200TR,0.46025527429985896
HANARO 200선물레버리지,0.45609746924218086
HANARO 200선물인버스,-0.4536688007757221
HANARO e커머스,0.5642957119690625
HANARO Fn K-게임,0.5486294902118977
HANARO Fn K-뉴딜디지털플러스,0.463494373671673
HANARO Fn K-반도체,0.39596154596422783
HANARO Fn5G산업,0.49325780615241854
HANARO Fn전기&수소차,0.42106978974976955
HANARO Fn친환경에너지,0.41256306313675584
HANARO KAP초장기국고채,0.16888769188478633
HANARO KRX300,0.45398134068537754
HANARO MSCI Korea TR,0.4130398710511226
HANARO 고배당,0.29604155920043845
HANARO 글로벌럭셔리S&P(합성),0.26305287514667697
HANARO 농업융복합산업,0.3994419363149337
HANARO 단기채권액티브,-0.03187327803254227
HANARO 코스닥150,0.5541303454861218
HANARO 코스닥150선물레버리지,0.5667801562470387
HANARO 탄소효율그린뉴딜,0.44712619235474094
KODEX 200 중소형,0.5189403226986374
KODEX 200,0.4674169929976085
KODEX 200ESG,0.42394999226007846
KODEX 200exTOP,0.4171196339017192
