ETF2,Correlation
ACE 200,0.8279232101115884
ACE 200TR,0.8153488069662851
ACE 2차전지&친환경차액티브,0.47480795181178903
ACE ESG액티브,0.7827500027451856
ACE Fn5G플러스,0.8939491441542791
ACE Fn성장소비주도주,0.6185538269175781
ACE 골드선물 레버리지(합성 H),0.1886371677084892
ACE 국고채10년,0.13438651993740733
ACE 국고채3년,0.16477919135217686
ACE 단기통안채,-0.03181467679027004
ACE 러시아MSCI(합성),0.04435999233313762
ACE 레버리지,0.822752099053401
ACE 멕시코MSCI(합성),0.23040433081704528
ACE 미국IT인터넷S&P(합성 H),0.44156058562941725
ACE 미국S&P500,0.4411018026752857
ACE 미국WideMoat동일가중,0.4062148869680995
ACE 미국나스닥100,0.5039718479003197
ACE 미국다우존스리츠(합성 H),0.3313733378105228
ACE 미국친환경그린테마INDXX,0.3893780248603821
ACE 밸류대형,0.7702634984009956
ACE 베트남VN30(합성),0.11151237748778774
ACE 베트남VN30선물블룸버그레버리지(H),0.2696605081224445
ACE 삼성그룹동일가중,0.5602078542655894
ACE 삼성그룹섹터가중,0.762498632297847
ACE 싱가포르리츠,0.1506227955590775
ACE 아시아TOP50S&P,0.5318694467523283
ACE 인도네시아MSCI(합성),0.19801064824107004
ACE 인버스,-0.8182296835248346
ACE 일본Nikkei225(H),0.5769573384233303
ACE 일본TOPIX레버리지(H),0.4003596921756145
ACE 일본TOPIX인버스(합성 H),-0.5833480633610734
ACE 종합채권(AA-이상)KIS액티브,0.12430043693615851
ACE 중국본토CSI300,0.13125176336697292
ACE 중국본토CSI300레버리지(합성),0.15578492672862315
ACE 중장기국공채액티브,0.1745130190519598
ACE 차이나항셍테크,0.31513014693337765
ACE 코스닥150,0.6904823652128526
ACE 코스피,0.80198176773613
ACE 필리핀MSCI(합성),0.1534525649354847
BNK금융지주,0.3635523983466595
HANARO 200,0.8280129746366495
HANARO 200TR,0.8185501008204745
HANARO 200선물레버리지,0.8199739947104211
HANARO 200선물인버스,-0.8103070474156436
HANARO e커머스,0.641638062383776
HANARO Fn K-POP&미디어,0.49325780615241854
HANARO Fn K-게임,0.5102105148548093
HANARO Fn K-뉴딜디지털플러스,0.6153898933751324
HANARO Fn K-반도체,0.8639511674236365
HANARO Fn전기&수소차,0.6277963409691225
HANARO Fn친환경에너지,0.537555029784076
HANARO KAP초장기국고채,0.1753664884059811
HANARO KRX300,0.7880924074913217
HANARO MSCI Korea TR,0.7771284876995388
HANARO 고배당,0.5369162686652401
HANARO 글로벌럭셔리S&P(합성),0.35304484116216817
HANARO 농업융복합산업,0.5502443273684026
HANARO 단기채권액티브,0.02726128126524718
HANARO 코스닥150,0.6834873792401837
HANARO 코스닥150선물레버리지,0.697024451435644
HANARO 탄소효율그린뉴딜,0.7669517479729433
KODEX 200 중소형,0.6614613702111841
KODEX 200,0.8316098140623451
KODEX 200ESG,0.7823098166287739
KODEX 200exTOP,0.7175867264962734
KODEX 200IT TR,0.8332295781344371
KODEX 200TR,0.8225977020580407
KODEX 200가치저변동,0.7169759417418573
KODEX 200동일가중,0.6917003143390382
KODEX 200롱코스닥150숏선물,-0.2557921453004589
KODEX 200미국채혼합,0.5089210758929886
KODEX 200선물인버스2X,-0.829265047615578
KODEX 2차전지산업,0.4523917729519342
KODEX 3대농산물선물(H),0.06443497307152607
KODEX IT,0.869270497834308
KODEX K-뉴딜디지털플러스,0.6256284332677805
KODEX K-미래차액티브,0.7816801443678602
KODEX K-신재생에너지액티브,0.5166777675322201
KODEX K-이노베이션액티브,0.7590944481444092
KODEX KRX300,0.8402899418611135
KODEX KRX300레버리지,0.803785155541085
KODEX KTOP30,0.7737675042917629
KODEX MSCI EM선물(H),0.5479093790451606
KODEX MSCI KOREA ESG유니버설,0.7826944052472677
KODEX MSCI Korea TR,0.8082750338975933
KODEX MSCI Korea,0.7899569227231095
KODEX MSCI모멘텀,0.6173712299084393
KODEX MSCI밸류,0.710217813250596
KODEX MSCI퀄리티,0.809310709526391
KODEX S&P글로벌인프라(합성),0.269898518007014
KODEX Top10동일가중,0.6990242584833148
KODEX Top5PlusTR,0.7686380012438524
KODEX TRF3070,0.35642499323501764
KODEX TRF5050,0.30447461845640034
KODEX TRF7030,0.3798855251297124
KODEX WTI원유선물(H),0.16866418624216017
KODEX WTI원유선물인버스(H),-0.17032993150196188
KODEX 건설,0.508189370805571
KODEX 게임산업,0.5079423772383861
KODEX 경기소비재,0.6027521291118214
KODEX 고배당,0.5437278447775621
KODEX 골드선물(H),0.17090143950286035
KODEX 골드선물인버스(H),-0.18320426167095064
KODEX 구리선물(H),0.2657814461365791
KODEX 국고채3년,0.14900440755609423
KODEX 국채선물10년,0.14627212254505
KODEX 국채선물10년인버스,-0.1720316019240369
KODEX 국채선물3년인버스,-0.17453319998466343
KODEX 글로벌로봇(합성),0.5000626119465941
KODEX 기계장비,0.5153427179460823
KODEX 단기변동금리부채권액티브,0.04379201914039624
KODEX 단기채권,0.02383584333803075
KODEX 단기채권PLUS,0.06550725063808864
KODEX 레버리지,0.8246909798151392
KODEX 멀티에셋하이인컴(H),0.20364425085670781
KODEX 멀티팩터,0.7305897126653198
KODEX 모멘텀Plus,0.6209548184947928
KODEX 미국10년국채선물,-0.3357107094036577
KODEX 미국30년국채울트라선물(H),0.07716320964557101
KODEX 미국S&P500TR,0.44186710072825697
KODEX 미국S&P500산업재(합성),0.3111494462901215
KODEX 미국S&P500선물(H),0.5931847384027019
KODEX 미국S&P500에너지(합성),0.08879290214479271
KODEX 미국S&P바이오(합성),0.2032229823251381
KODEX 미국나스닥100TR,0.5063648314638209
KODEX 미국나스닥100선물(H),0.5970174178325699
KODEX 미국달러선물,-0.4257091785838428
KODEX 미국달러선물레버리지,-0.4300013070827517
KODEX 미국달러선물인버스,0.4275771216938132
KODEX 미국달러선물인버스2X,0.4350471896243158
KODEX 미국러셀2000(H),0.5208822721187989
KODEX 미국반도체MV,0.5590573058255279
KODEX 미국부동산리츠(H),0.4024096342857231
KODEX 미국빅테크10(H),0.582668408655075
KODEX 미국스마트모빌리티S&P,0.4381347811370412
KODEX 미디어&엔터테인먼트,0.6155697236616746
KODEX 바이오,0.5849227778522554
KODEX 반도체,0.8387032021652027
KODEX 배당가치,0.6937283805784538
KODEX 배당성장,0.6621458128229315
KODEX 배당성장채권혼합,0.587272521003263
KODEX 밸류Plus,0.577712526662821
KODEX 보험,0.24901330673204133
KODEX 삼성그룹,0.7506569938918057
KODEX 삼성그룹밸류,0.7611462053704829
KODEX 선진국MSCI World,0.48007984666199527
KODEX 성장주,0.8344193460192278
KODEX 시스템반도체,0.8564142651213471
KODEX 에너지화학,0.5492831615480644
KODEX 운송,0.5136105776471946
KODEX 웹툰&드라마,0.5959293984714991
KODEX 은선물(H),0.2706188923384962
KODEX 은행,0.4503418775872145
KODEX 인버스,-0.8249104056198797
KODEX 일본TOPIX100,0.40035520668681174
KODEX 일본부동산리츠(H),0.27065179693113495
KODEX 자동차,0.4936375981154767
KODEX 종합채권(AA-이상)액티브,0.13773331564507763
KODEX 증권,0.5933989398485753
KODEX 차이나A50,0.08670377119610172
KODEX 차이나CSI300,0.09573852498723534
KODEX 차이나H,0.29816909277651854
KODEX 차이나H레버리지(H),0.40131032716240916
KODEX 차이나심천ChiNext(합성),0.1257820838812414
KODEX 차이나항셍테크,0.3219969120475283
KODEX 철강,0.47105905369924156
KODEX 최소변동성,0.7486072787419858
KODEX 코스닥150,0.698923593628069
KODEX 코스닥150레버리지,0.6997132067883756
KODEX 코스닥150롱코스피200숏선물,0.2506003105650592
KODEX 코스닥150선물인버스,-0.7048103592679765
KODEX 코스피,0.818213333296312
KODEX 코스피100,0.82568390098489
KODEX 코스피TR,0.8000866758050286
KODEX 코스피대형주,0.8034327043139017
KODEX 콩선물(H),0.12480920793252001
KODEX 퀄리티Plus,0.6504223882756649
KODEX 탄소효율그린뉴딜,0.8160876674732572
KODEX 필수소비재,0.47459394472273003
KODEX 한국대만IT프리미어,0.6994556822167746
KODEX 헬스케어,0.5369989139338371
KODEX 혁신기술테마액티브,0.743882381027629
KOSEF 200,0.8292089089539907
KOSEF 200TR,0.8233896218001745
KOSEF 200선물레버리지,0.8235691093519982
KOSEF 200선물인버스,-0.8235728542295992
KOSEF 200선물인버스2X,-0.820347916946794
KOSEF Fn중소형,0.6805461367748205
KOSEF KRX100,0.8107028461879104
KOSEF 고배당,0.5100066100193055
KOSEF 국고채10년,0.14081173922981907
KOSEF 국고채10년레버리지,0.1556715267589366
KOSEF 국고채3년,0.14047305358072998
KOSEF 글로벌디지털경제,0.3186773068069929
KOSEF 글로벌퓨처모빌리티,0.35013672509885746
KOSEF 단기자금,-0.0189168480845892
KOSEF 미국달러선물,-0.42064719336499606
KOSEF 미국달러선물레버리지,-0.42977750304437307
KOSEF 미국달러선물인버스,0.4160178643300635
KOSEF 미국달러선물인버스2X,0.42505410708361574
KOSEF 미국방어배당성장나스닥,0.16134816262967974
KOSEF 블루칩,0.7407791802776026
KOSEF 인도Nifty50(합성),0.280005823254979
KOSEF 코스닥150,0.6943299031939664
KOSEF 코스닥150선물레버리지,0.7010368948694892
KOSEF 코스닥150선물인버스,-0.7020422621840191
KOSEF 코스피100,0.8201593513763943
KOSEF 통안채1년,-0.010861789282806162
NEW,0.3402993737572975
PLUS 200,0.8300386421246301
PLUS 200선물레버리지,0.8198490669975117
PLUS 200선물인버스2X,-0.8232143744613992
PLUS ESG가치주액티브,0.7909864273577489
PLUS ESG성장주액티브,0.8137199193406692
PLUS KS로우볼가중TR,0.7390443484670121
PLUS KS로우사이즈가중TR,0.8051977046736625
PLUS KS모멘텀가중TR,0.7748965151676325
PLUS KS밸류가중TR,0.7576167179933774
PLUS S&P글로벌인프라,0.015464128056753528
PLUS 고배당저변동50,0.5144555696178874
PLUS 고배당주,0.4416149590843439
PLUS 고배당주채권혼합,0.45825361242071067
PLUS 국채선물10년,0.1622865778115655
PLUS 국채선물3년,0.13472398012311065
PLUS 글로벌MSCI(합성 H),0.4816474166077752
PLUS 단기채권액티브,0.13320837019574813
PLUS 미국S&P500(H),0.5926370162818517
PLUS 미국나스닥테크,0.4921089753841709
PLUS 미국다우존스고배당주(합성 H),0.29703332889560335
PLUS 미국단기회사채(AAA~A),-0.3828623343106099
PLUS 미국장기우량회사채,-0.07614950430258714
PLUS 선진국MSCI(합성 H),0.5109645431572636
PLUS 스마트베타Quality채권혼합,0.6297315880648783
PLUS 신흥국MSCI(합성 H),0.538049199684843
