ETF2,Correlation
ACE 200,0.6528911777224082
ACE 200TR,0.6481480730352703
ACE 2차전지&친환경차액티브,0.5010305278438866
ACE ESG액티브,0.6457773515861133
ACE Fn5G플러스,0.5131195570757205
ACE Fn성장소비주도주,0.5783694156875554
ACE 골드선물 레버리지(합성 H),0.12616025525931354
ACE 국고채10년,0.07393180836978039
ACE 국고채3년,0.08240862775976812
ACE 단기통안채,-0.020752354780715666
ACE 러시아MSCI(합성),0.06929410683292583
ACE 레버리지,0.6531373772340431
ACE 멕시코MSCI(합성),0.25149020703582087
ACE 미국IT인터넷S&P(합성 H),0.31428030283971076
ACE 미국S&P500,0.2958413532388432
ACE 미국WideMoat동일가중,0.28670525906018507
ACE 미국나스닥100,0.30793336038623453
ACE 미국다우존스리츠(합성 H),0.29494014939250607
ACE 미국친환경그린테마INDXX,0.39146920933624524
ACE 밸류대형,0.6426325592586911
ACE 베트남VN30(합성),0.11180358440719666
ACE 베트남VN30선물블룸버그레버리지(H),0.2248896096401044
ACE 삼성그룹동일가중,0.4730097902437727
ACE 삼성그룹섹터가중,0.5972235500057678
ACE 싱가포르리츠,0.17699676641409026
ACE 아시아TOP50S&P,0.4099865831802197
ACE 인도네시아MSCI(합성),0.19592884169459862
ACE 인버스,-0.6479965924172848
ACE 일본Nikkei225(H),0.45651287918130723
ACE 일본TOPIX레버리지(H),0.35788161961246623
ACE 일본TOPIX인버스(합성 H),-0.47288459225806667
ACE 종합채권(AA-이상)KIS액티브,0.01872797472864381
ACE 중국본토CSI300,0.06928871889693955
ACE 중국본토CSI300레버리지(합성),0.07742947170225405
ACE 중장기국공채액티브,0.088114437391849
ACE 차이나항셍테크,0.23202224966663493
ACE 코스닥150,0.5570500606445267
ACE 코스피,0.6829445969354704
ACE 필리핀MSCI(합성),0.13656414891743274
BNK금융지주,0.38298204325054735
HANARO 200,0.6523646897550847
HANARO 200TR,0.6537436448836589
HANARO 200선물레버리지,0.6448470587356824
HANARO 200선물인버스,-0.6390243121833303
HANARO e커머스,0.5444283942596712
HANARO Fn K-POP&미디어,0.3994419363149337
HANARO Fn K-게임,0.41924008386411726
HANARO Fn K-뉴딜디지털플러스,0.5756778262294036
HANARO Fn K-반도체,0.46049857200709465
HANARO Fn5G산업,0.5502443273684026
HANARO Fn전기&수소차,0.6454017323174602
HANARO Fn친환경에너지,0.574895995760854
HANARO KAP초장기국고채,0.09627281641733729
HANARO KRX300,0.6468632017948194
HANARO MSCI Korea TR,0.6323571288242015
HANARO 고배당,0.5870172315742672
HANARO 글로벌럭셔리S&P(합성),0.33988943613789135
HANARO 단기채권액티브,-0.07491546797259921
HANARO 코스닥150,0.5557148874973191
HANARO 코스닥150선물레버리지,0.5564189519635935
HANARO 탄소효율그린뉴딜,0.6081811921458986
KODEX 200 중소형,0.6830691372746676
KODEX 200,0.6521925613443404
KODEX 200ESG,0.6357132967724428
KODEX 200exTOP,0.6589181696617306
KODEX 200IT TR,0.5459440598044848
KODEX 200TR,0.6504316923658662
KODEX 200가치저변동,0.6094285911575625
KODEX 200동일가중,0.7118244885204531
KODEX 200롱코스닥150숏선물,-0.230448496107516
KODEX 200미국채혼합,0.37613075809225227
KODEX 200선물인버스2X,-0.6482243863448063
KODEX 2차전지산업,0.4991668333581838
KODEX 3대농산물선물(H),0.17204563374057893
KODEX IT,0.5525846155460077
KODEX K-뉴딜디지털플러스,0.5797442041849509
KODEX K-미래차액티브,0.6092201125682967
KODEX K-신재생에너지액티브,0.5240206964600063
KODEX K-이노베이션액티브,0.543571333352082
KODEX KRX300,0.6511449769134373
KODEX KRX300레버리지,0.6556294676118644
KODEX KTOP30,0.6570183371710371
KODEX MSCI EM선물(H),0.47818169156781715
KODEX MSCI KOREA ESG유니버설,0.6367193301954911
KODEX MSCI Korea TR,0.6398729908415913
KODEX MSCI Korea,0.6243291772034917
KODEX MSCI모멘텀,0.5603185281342303
KODEX MSCI밸류,0.6213552001402932
KODEX MSCI퀄리티,0.5961494667322906
KODEX S&P글로벌인프라(합성),0.27344593612002444
KODEX Top10동일가중,0.6084406543364247
KODEX Top5PlusTR,0.5380226849871479
KODEX TRF3070,0.251671776544113
KODEX TRF5050,0.22148182541767508
KODEX TRF7030,0.2955588651177938
KODEX WTI원유선물(H),0.17905302867554468
KODEX WTI원유선물인버스(H),-0.183133977269417
KODEX 건설,0.5549674648056298
KODEX 게임산업,0.4035891181442726
KODEX 경기소비재,0.5866267197366533
KODEX 고배당,0.6254240437732115
