ETF2,Correlation
AAXJ,0.6558768952793219
ACWI,0.6766978397502751
ACWV,0.6319426808905889
ACWX,0.7102490758017067
AFK,0.5197644674264612
AGG,0.16559190636447949
AGQ,0.2698765971577037
AGZD,0.06337491036144256
AIA,0.6246982347389003
AMLP,0.3883203606674876
ANGL,0.526690053849626
AOA,0.6749870705193387
AOK,0.6211941806929657
AOM,0.6505243771126014
AOR,0.6815993744444057
ARGT,0.49274775189058795
ASEA,0.5821800932708333
ASHR,0.42355189927205233
BAB,0.17018396169946126
BIL,0.018759835842521364
BIV,0.12371193202462868
BIZD,0.48317123932284267
BKLN,0.5002826777205869
BLV,0.1323262881718262
BND,0.16808932274710792
BNDX,0.14526271518757303
BNO,0.2346425647414425
BOIL,0.0680376002009349
BOND,0.21501866905111386
BRZU,0.4422249612369807
BSV,0.1561853010844045
BTAL,-0.23308570386410585
BWX,0.24753355635422553
BWZ,0.25737104251093473
BZQ,-0.4241360071529662
CANE,0.13103324038004793
CEMB,0.4009272857888517
CGW,0.6470464306526582
CHIQ,0.48857274450335203
CMBS,0.025583421464694747
CMF,0.12075288980409872
COPX,0.5378483220504826
CORN,0.08648775349591871
CORP,0.2761645481812647
CPER,0.21713942519565813
CQQQ,0.47761569439806784
CURE,0.48829000875938366
CWB,0.5966390559304733
CWI,0.7091131391923675
CXSE,0.5056566092167178
DBA,0.2008002037109649
DBB,0.2914291069038401
DBC,0.2923179812306076
DBEF,0.6280970277288039
DBEU,0.6283281320547003
DBJP,0.5144278465186287
DBO,0.23737945289296267
DDM,0.6114697189209743
DEM,0.6271658587545839
DES,0.5772711693601461
DEW,0.6612724373977532
DFJ,0.5440888989562528
DGP,0.09529314963747357
DGRE,0.6111650184615574
DGRS,0.5595480139177078
DGRW,0.5929935847887827
DGS,0.6577229729519335
DHS,0.5885542772109512
DIA,0.6119679851391487
DIG,0.4473587385598408
DIV,0.5663103936412828
DJP,0.3027924138250048
DLN,0.6072484678405261
DLS,0.7008269811599582
DNL,0.6768817382958818
DOG,-0.6103550087275119
DON,0.625275270368114
DRN,0.5678337359677368
DRV,-0.5774707577296238
DSI,0.6115103603581296
DTD,0.6149684778250747
DTH,0.6773931217533128
DUG,-0.451390479600575
DUST,-0.18308845214301003
DVY,0.5810235983963353
DVYE,0.6114650344673415
DWAS,0.5309622897420365
DWM,0.6866985287187543
DXD,-0.6117409553091422
DXJ,0.4992213078162046
