ETF2,Correlation
AAXJ,0.5021926306850153
ACWI,0.7012443909857924
ACWV,0.6084701478637886
ACWX,0.6548985561326668
AFK,0.45752696187044467
AGG,-0.08657273642960928
AGQ,0.06042727703848601
AGZD,0.08457812657571329
AIA,0.4657554851785317
AMLP,0.5119578632782127
ANGL,0.466770726951143
AOA,0.6925124314983272
AOK,0.5123100966299807
AOM,0.5841593209490221
AOR,0.6594140186575276
ARGT,0.4592019224473932
ASEA,0.473716625626969
ASHR,0.2714426389053226
BAB,-0.11157037102295478
BIL,0.014330402997337618
BIV,-0.17090182894050993
BIZD,0.5898167944265519
BKLN,0.47372400556319555
BLV,-0.1485868081304915
BND,-0.08508031202361786
BNDX,-0.07666472141647815
BNO,0.2691459284793014
BOIL,0.07254015748180286
BOND,-0.03699817260150459
BRZU,0.4208042674540096
BSV,-0.15204496512682708
BTAL,-0.3612254120788819
BWX,-0.00876347376079845
BWZ,0.034411976318650936
BZQ,-0.4100823785646255
CANE,0.0932050744129182
CEMB,0.22670908410335291
CGW,0.6645354779108831
CHIQ,0.3459420122982259
CMBS,-0.14905476604733203
CMF,-0.0029418134829612215
COPX,0.5093205609657168
CORN,0.06212735509203726
CORP,0.017148544181367405
CPER,0.18869108230058182
CQQQ,0.3384439270939726
CURE,0.5356973761230533
CWB,0.5639362119937319
CWI,0.653203875174835
CXSE,0.30625823087491133
DBA,0.1659766726936417
DBB,0.23986139326046185
DBC,0.2831552965522748
DBEF,0.66544529369852
DBEU,0.6634212906102605
DBJP,0.5823182244665924
DBO,0.28922060961959156
DDM,0.747467641479649
DEM,0.5323029522775763
DES,0.840217806283641
DEW,0.7372135420695441
DFJ,0.5208904804970508
DGP,-0.12348278043069019
DGRE,0.4967872288834952
DGRS,0.7987298804758766
DGRW,0.6984316258010663
DGS,0.5310405981004557
DHS,0.7670796327519026
DIA,0.7475347276185381
DIG,0.6218550781857514
DIV,0.6916875019763469
DJP,0.25673094896939025
DLN,0.7488642431429442
DLS,0.6505214081093457
DNL,0.5805429349915047
DOG,-0.7455769584406097
DON,0.8402233768445276
DRN,0.5498942307860388
DRV,-0.5661043074920803
DSI,0.6862743261887293
DTD,0.7694080738006545
DTH,0.6629652588214214
DUG,-0.6337550489700937
DUST,0.002196990379291443
DVY,0.814576264835617
DVYE,0.5331928623959687
DWAS,0.6431519853013692
DWM,0.6605018717722017
DXD,-0.7464274989845606
DXJ,0.6055400133966664
DXJS,0.5462016023266666
EBND,0.32998750962264556
ECH,0.4582432818547401
ECNS,0.3280318945081677
EDC,0.531268280096747
EDIV,0.5010321105733535
EDV,-0.3173743405766658
EDZ,-0.5315263904597625
EELV,0.5122283098327368
EEM,0.5353255658113686
EEMA,0.4900262250860359
EEMV,0.5178622529373467
EFA,0.6660258334812325
EFG,0.594486243671885
EFV,0.7012665076578918
EFZ,-0.6627115423877896
EIDO,0.4520376304551606
