ETF2,Correlation
AAXJ,0.7198734066295863
ACWI,0.8274294826396439
ACWV,0.7638852955280537
ACWX,0.8565301347145398
AFK,0.5915212707710252
AGG,0.14983361396980277
AGQ,0.2742345785764463
AGZD,0.06635093869410094
AIA,0.6861689756037973
AMLP,0.4631180710746071
ANGL,0.5443069641316831
AOA,0.8233756303278383
AOK,0.7206291413038493
AOM,0.7628454010518559
AOR,0.8124549601731844
ARGT,0.5749987569998516
ASEA,0.6175710074848306
ASHR,0.41752709296492885
BAB,0.061754050975619194
BIL,0.007312841659428156
BIV,0.0733280453423346
BIZD,0.5201850544969608
BKLN,0.5190221879342242
BLV,0.0859940932561263
BND,0.15857147124310164
BNDX,0.10740773629611215
BNO,0.2816243895214258
BOIL,0.08953991280625466
BOND,0.18523873702479307
BRZU,0.507871705465559
BSV,0.07175495240775613
BTAL,-0.27233709337768586
BWX,0.2541393516928171
BWZ,0.28965278044413767
BZQ,-0.4683690774721324
CANE,0.13887880058264063
CEMB,0.3769471446307431
CGW,0.7750751492844421
CHIQ,0.5343217677444392
CMBS,0.027246798716585904
CMF,0.11638910915345765
COPX,0.6218382045309319
CORN,0.07593752906897158
CORP,0.2381887668607197
CPER,0.24663936321639499
CQQQ,0.5226938264384532
CURE,0.6130873490288341
CWB,0.6880823723965745
CWI,0.8556357604470911
CXSE,0.5218359989530452
DBA,0.22304435137926848
DBB,0.3211353319821792
DBC,0.34524149597813597
DBEF,0.770504943436296
DBEU,0.7795280131031102
DBJP,0.6554397095495739
DBO,0.3058272672996373
DDM,0.7368330863674476
DEM,0.691329301612773
DES,0.6473839340717125
DEW,0.7713651297980684
DFJ,0.6789766562838337
DGP,0.07657058327230329
DGRE,0.6881714240743252
DGRS,0.6377655965118407
DGRW,0.7399384704848845
DGS,0.7147536111511144
DHS,0.6820909327139103
DIA,0.737916281436236
DIG,0.5081027006372573
DIV,0.6197584112827585
DJP,0.3539267014628769
DLN,0.7399669585111698
DLS,0.8186141862892261
DNL,0.8508930687478233
DOG,-0.7359009683035558
DON,0.7089388254648867
DRN,0.5719015042327426
DRV,-0.5855657747645818
DSI,0.7558874323563958
DTD,0.7393637597671477
DTH,0.8039991848169252
DUG,-0.5210974156843534
DUST,-0.2030001119964749
DVY,0.6614782703810314
DVYE,0.6672797324372636
DWAS,0.6350910363015798
DWM,0.8404708477088499
DXD,-0.7364321578234254
DXJ,0.6387120250059283
DXJS,0.6030359432399245
EBND,0.5557681067507716
ECH,0.5361080521123144
ECNS,0.4795074616397069
EDC,0.7357024578425067
EDIV,0.6790637976879434
EDV,-0.125396862372718
EDZ,-0.7369763001372245
EELV,0.699419360950028
EEM,0.7349570901204937
EEMA,0.7111774083390809
EEMV,0.7202488244182683
EFA,0.8619682450788171
EFG,0.8739804651671861
EFV,0.807907218491274
EFZ,-0.8664379678419326
EIDO,0.5583688822829311
EMB,0.5752271433249289
EMHY,0.6065708599461356
EMLC,0.5630396884233734
ENFR,0.5554913699658091
ENOR,0.7025319411116953
ENZL,0.6038164855802988
EPHE,0.544062656283334
EPI,0.5843462216462524
EPOL,0.6350579938696786
EPP,0.7776634848480175
EPS,0.7531532862885685
EPV,-0.8444397316658764
EQWL,0.7508526845740796
ERX,0.5253813188524324
ERY,-0.53749245904396
EUFN,0.7343734628972929
EUM,-0.735181843911368
EURL,0.8477416091331451
EUSA,0.7625121547411617
EWA,0.7575542924630693
EWC,0.740522615542678
EWD,0.7833302230908744
EWG,0.7914828945203469
EWH,0.5954372721909975
EWI,0.7284498926667968
EWJ,0.737965151145336
EWL,0.7948961694887579
EWM,0.5010562679339282
EWP,0.7084862074271634
EWQ,0.8050239461752005
EWS,0.6937172307178923
EWT,0.6311092328842777
EWU,0.7899775488665738
EWV,-0.7296475177531224
EWW,0.615658853461716
EWX,0.7175265071493591
EWY,0.6898373243913258
EWZ,0.5274918726320796
EWZS,0.4941187631717153
EZA,0.6378966108583729
EZU,0.8170624132247627
FAN,0.7025539747691772
FAS,0.6936737632468716
FAZ,-0.6986887022921311
FBT,0.5108719949473532
FCA,0.46600668617598684
FCG,0.4076673597690298
FCOM,0.6370020964293134
FDD,0.753972509181065
FDIS,0.6959864268606941
FDL,0.6563803817066405
FDN,0.6268802339540086
FDT,0.8324762806317243
FEM,0.6999210025349204
FEMS,0.639356062775702
FENY,0.5185334439333639
FEZ,0.8168561627563898
FGD,0.7708485778197344
FHLC,0.6255738907791087
FIDU,0.7181424065605462
FIW,0.6977490463244448
FLOT,0.33764475500139984
FLRN,0.3150990637506814
FLTR,0.3082600453456665
FM,0.5529227477567832
FMAT,0.7173073829553772
FMF,0.022074452794767333
FNCL,0.6728568326625615
FNDA,0.6980859693755682
FNDB,0.7446504122873782
FNDC,0.8409893541502078
FNDE,0.7017342682697476
FNDF,0.8245687281342179
FNDX,0.740978248117054
FPE,0.46244848381910864
FRI,0.5745373143653627
FSTA,0.583095266095682
FTA,0.6972979854303658
FTC,0.7171517454156239
FTCS,0.7218109937563161
FTEC,0.6945800173401424
FTGC,0.32680686280191557
FTQI,0.4670918586369391
FTRI,0.6061735090902698
FTSL,0.4258018141959889
FUTY,0.4524406233701187
FVD,0.7078070466621388
FXH,0.6270601901230837
FXI,0.5665776964366235
FXL,0.6795720932045473
FXN,0.4963329211324767
FXO,0.6539474438126462
FXR,0.7174525984732998
FXU,0.5197779822590024
FXY,-0.08029141688379375
FXZ,0.6784932815345366
FYLD,0.7581778742571021
GCC,0.3007038768694169
GDX,0.23686704820656226
GDXJ,0.27167945770866014
GLD,0.1125067849702305
GLTR,0.2504112073676092
GMF,0.7023844080521708
GNR,0.7195024455519898
GOVI,-0.11036678574973002
GOVT,-0.09810773572054084
GREK,0.5375541432602107
GRID,0.7133943842512351
GRPM,0.7056346031447918
GSG,0.3216738961268479
GSY,0.14092923882587707
GUNR,0.7001724376099661
GVI,0.08311716597195978
GWX,0.8129133087036531
GXC,0.5760793615569357
HAUZ,0.6352813830558309
HDGE,-0.6269687162549648
HEDJ,0.7607977603895925
HYD,0.35319006582181334
HYEM,0.4414175383148424
HYG,0.649145881064056
HYLS,0.4994631610177518
HYMB,0.31039634489205087
HYS,0.6066240372275522
HYZD,0.4089185636580379
IAI,0.6559520095614801
IAK,0.6150989800074825
IAT,0.5522299360669779
IAU,0.11419529922697558
IBB,0.5237099810165118
IBND,0.3296129491271864
ICF,0.5556370410160558
ICLN,0.627580478441394
ICSH,0.12137713421437303
IDLV,0.8194344033831219
IDMO,0.6323918780872325
IDU,0.4533580950055418
IDV,0.7837743766488345
IDX,0.5618403657172657
IEF,-0.09111526625569309
IEFA,0.8626866537346835
IEI,-0.05825559462132429
