ETF2,Correlation
AAXJ,0.6477028207648892
ACWI,0.8143895106970267
ACWV,0.697671555496556
ACWX,0.7010108633190232
AFK,0.48438759647076174
AGG,0.11944050964099194
AGQ,0.18306908748074258
AGZD,0.051142304066612014
AIA,0.6096421898056423
AMLP,0.35626819617621297
ANGL,0.5262553892581986
AOA,0.796752831725253
AOK,0.6916358453130527
AOM,0.7426025810432855
AOR,0.7846742033400571
ARGT,0.554361934486366
ASEA,0.4900932215861566
ASHR,0.3475540464011883
BAB,0.04329677616595299
BIL,-0.0012843363030936934
BIV,0.05781276133068577
BIZD,0.4325104855030238
BKLN,0.44016497888030315
BLV,0.08196824126895778
BND,0.1250131995509411
BNDX,0.12329870753102923
BNO,0.20373886954713716
BOIL,0.04408804678327327
BOND,0.14215712949027132
BRZU,0.3964971293460724
BSV,0.03983612322124819
BTAL,-0.277420587999243
BWX,0.13077221567676944
BWZ,0.11643984100048536
BZQ,-0.3792696578766508
CANE,0.06416502071461255
CEMB,0.29103345922196244
CGW,0.6784108859147087
CHIQ,0.5119833772835171
CMBS,-0.0026221015504207397
CMF,0.064369158785424
COPX,0.46840968727960486
CORN,0.03942051484901729
CORP,0.21663019686547183
CPER,0.17620419980019852
CQQQ,0.5316481138759199
CURE,0.6583270752912409
CWB,0.8226245600930004
CWI,0.6984042644380104
CXSE,0.4714505370943957
DBA,0.13866275673886388
DBB,0.23480970633939963
DBC,0.2396860440986439
DBEF,0.6538255698246758
DBEU,0.6512052024086402
DBJP,0.5663340945976052
DBO,0.21153713241956054
DDM,0.7276573575890265
DEM,0.5632149814505961
DES,0.5770101191296576
DEW,0.603146886429269
DFJ,0.5434797458477154
DGP,0.013198792312688973
DGRE,0.5922506475659398
DGRS,0.5810959731764491
DGRW,0.7665702010139098
DGS,0.6131811716382409
DHS,0.5701236092650872
DIA,0.7281204881708556
DIG,0.37023904722164847
DIV,0.4774076233956446
DJP,0.2370159468011626
DLN,0.7135444501196246
DLS,0.6499584087535403
DNL,0.7022896233838918
DOG,-0.7256110284319546
DON,0.6285743762959264
DRN,0.5331148915267012
DRV,-0.5495456063988933
DSI,0.8578360805359084
DTD,0.7020456618727836
DTH,0.5861641241299508
DUG,-0.38372445789145126
DUST,-0.12449857743877737
DVY,0.5410494454473818
DVYE,0.5335194592499669
DWAS,0.7421660724944349
DWM,0.6460280894836459
DXD,-0.7265338910091633
DXJ,0.5410978017012993
DXJS,0.5193513752949778
EBND,0.4059454992585734
ECH,0.40766376776615376
ECNS,0.4188002821464869
EDC,0.6500282731113227
EDIV,0.5520548635032207
EDV,-0.1054445109168515
EDZ,-0.6528960511905796
EELV,0.5704552907046969
EEM,0.6502450901591246
EEMA,0.6366269192493024
EEMV,0.624322539072827
EFA,0.6808053298196413
EFG,0.736631734335037
EFV,0.5885589446935405
EFZ,-0.6810200171237325
EIDO,0.4736467077860342
EMB,0.4868215393141969
EMHY,0.5127295392979743
EMLC,0.40676064067230766
ENFR,0.41616762900840504
ENOR,0.5183616137264757
ENZL,0.4907580127165264
EPHE,0.46735763026001903
EPI,0.5028357839420353
EPOL,0.4904763013231474
EPP,0.6294079676351546
EPS,0.7855863303756639
EPV,-0.654850984584008
EQWL,0.708564173874123
ERX,0.3946287805157932
ERY,-0.4077059960638454
EUFN,0.5283002788694774
EUM,-0.6515481408333351
EURL,0.6531847141983125
EUSA,0.7779451870649732
EWA,0.6150792667561781
EWC,0.6211219154738017
EWD,0.6241722073586743
EWG,0.6340501188747495
EWH,0.46406856717304984
EWI,0.5572996159842964
EWJ,0.5985216057194069
EWL,0.6204919515890688
EWM,0.42271841594861675
EWP,0.5182678731341156
EWQ,0.6119376581761339
EWS,0.5613869776209012
EWT,0.5869718310486791
EWU,0.5685786419940693
EWV,-0.5912050464467827
EWW,0.47813029199473184
EWX,0.6283397997449982
EWY,0.5783964142982269
EWZ,0.41420121263116044
EWZS,0.39235494939984067
EZA,0.5108692960116276
EZU,0.6441649200592116
FAN,0.5979030402164484
FAS,0.6394662531141425
FAZ,-0.642788031037981
FBT,0.6411056232512334
FCA,0.352993033926507
FCG,0.3194289100156048
FCOM,0.7479044975971434
FDD,0.5229789612747245
FDIS,0.8256772126991299
FDL,0.5277694379988626
FDN,0.9283000920916765
FDT,0.663150986457047
FEM,0.5810044171933457
FEMS,0.5347935304223546
FENY,0.3812539599571
FEZ,0.6445688788703124
FGD,0.5655437614673273
FHLC,0.7039901899464184
FIDU,0.6759518605162409
FIW,0.686554756284394
FLOT,0.2686487397404452
FLRN,0.2491657128833564
FLTR,0.24653770364504946
FM,0.48108747984630695
FMAT,0.6323472783936075
FMF,-0.0049519935175703685
FNCL,0.5967873741160696
FNDA,0.6694535359569607
FNDB,0.7110657623849855
FNDC,0.6635037543700911
FNDE,0.570512927669941
FNDF,0.6199633326579999
FNDX,0.7138542126297212
FPE,0.4005598842865157
FRI,0.5242347566073435
FSTA,0.5270158678512653
FTA,0.6013555871530899
FTC,0.8868765944458642
FTCS,0.7489597817356599
FTEC,0.9171944084696826
FTGC,0.22489847263192964
FTQI,0.49976255569096595
FTRI,0.40557624970214845
FTSL,0.3511214877783587
FUTY,0.36937978191653476
FVD,0.6146937994031786
FXH,0.744587393641533
FXI,0.4970640512071718
FXL,0.9332400555765594
FXN,0.3959541350776871
FXO,0.567424869956315
FXR,0.6875756559620289
FXU,0.41975033674977824
FXY,-0.1481525242747973
FXZ,0.5759790742766971
FYLD,0.546036356261963
GCC,0.19409192953487495
GDX,0.15238746683531607
GDXJ,0.18621288169772338
GLD,0.04857590681640947
GLTR,0.1512762965674669
GMF,0.6505405438309425
GNR,0.5352973202897829
GOVI,-0.09555970689014352
GOVT,-0.09472629941540721
GREK,0.4400548123646287
GRID,0.6254608908366176
GRPM,0.664042981656678
GSG,0.2345636567671886
GSY,0.10437611022645332
GUNR,0.5210668494088371
GVI,0.045290511168016044
GWX,0.6652153348099804
GXC,0.5377511957354554
HAUZ,0.49171901514519095
HDGE,-0.6868242752970395
HEDJ,0.6478367007342369
HYD,0.2737615944266754
HYEM,0.37424100133291827
HYG,0.634650615719856
HYLS,0.4932867457091951
HYMB,0.22767901419062053
HYS,0.593349802022887
HYZD,0.3644688910870807
IAI,0.6429520298476475
IAK,0.5042975627320293
IAT,0.459385021394575
IAU,0.04876835105783986
IBB,0.6691951026517247
IBND,0.16630844895598004
ICF,0.5323124648685961
ICLN,0.6259259257926714
ICSH,0.05967461397163188
IDHQ,0.629238083385529
IDLV,0.6221298311382245
IDMO,0.4986327500309356
IDU,0.37383880379314816
IDV,0.5816189704110837
IDX,0.47979442386589777
IEF,-0.08618887517860929
IEFA,0.6810313669328897
IEI,-0.06554997547781537
IEMG,0.6541626460565516
IEO,0.38055929206561295
IEV,0.6511002891143713
IEZ,0.3412496649534768
IGE,0.45082259616183673
IGF,0.573870083226554
IGIB,0.25621037336102304
IGLB,0.22524324456763992
IGM,0.9300574132933508
IGOV,0.11252454401503924
IGPT,0.9154723474617296
IGSB,0.2296158965062024
IHE,0.5873834159931138
IHF,0.5784384742529238
IHI,0.7441600934267151
IJH,0.7313631481914354
IJJ,0.638162781675982
IJK,0.7973688085941363
IJR,0.6663226038268424
IJS,0.5720289096858066
IJT,0.7292270265300204
ILCB,0.8207785126375884
ILCG,0.9151891425351563
ILCV,0.6653038585370703
ILF,0.4718390738333584
ILTB,0.09773657184454332
IMCB,0.7606612213717745
IMCG,0.8908175301072714
IMCV,0.6094330605838932
INCO,0.4606515517018277
INDA,0.5206978544736777
INDL,0.49445272313059624
INDY,0.5101530768569285
IOO,0.8053617022337344
ISCG,0.8275605130636051
ISHG,0.0925561726359704
ISTB,0.1479964558479167
ITA,0.5732229216613409
ITB,0.5899876808194959
ITM,0.10150737543136756
ITOT,0.8480860716532239
IUSV,0.684154737761108
IVE,0.6825558181726109
IVOO,0.7287500553401823
IVV,0.8377940428336176
IVW,0.8939081681834646
IWB,0.849843708788581
IWC,0.6842278355290499
IWD,0.6890764843738394
IWF,0.9115033719631072
IWL,0.8424742077157038
IWM,0.7376765160000519
IWN,0.6191080312963281
IWO,0.81050990303727
IWP,0.9092483758273997
IWR,0.8028716914660368
IWS,0.6889106848260683
IWV,0.8474028202510001
IWX,0.6680976355898434
IWY,0.8952591484176018
IXC,0.40194671400229304
IXJ,0.6801332764398995
IXN,0.88977368413482
IXUS,0.6993700023968165
IYC,0.8172130402314429
IYE,0.39141271210829526
IYF,0.6435395504478626
IYG,0.6417879842501081
IYH,0.6846902555249321
IYJ,0.7414965692862535
IYK,0.5913193648231783
IYR,0.5709824449402429
IYT,0.6398598096741235
IYY,0.8487163111380503
IYZ,0.6517792794468207
JDST,-0.14868233531848135
JNK,0.6267546732315032
JNUG,0.12012525379253645
JPXN,0.568615926430409
JXI,0.4643691082922272
KBE,0.4717902409477224
KBWB,0.4932957621085775
KBWP,0.42139548366895313
KBWY,0.4136462991938619
KCE,0.6974927254115488
KIE,0.5465215451944746
KOLD,-0.04522512972653503
KORU,0.5540117645792302
KRE,0.4379267744237908
KWEB,0.5171893718116788
LDUR,0.02979293176683713
LEMB,0.4007018414084103
LIT,0.5869714122808118
LQD,0.24705388139184623
LTPZ,0.004825844954542234
MBB,0.1457656843819896
MCHI,0.533487001132794
MDIV,0.4704442490524191
MDY,0.7312216339700026
MDYG,0.7942947018777093
MDYV,0.6313123718301386
MGC,0.8472939905583774
MGK,0.9039290968330216
MGV,0.6614003261091617
MIDU,0.7290723476900609
MINT,0.10743497078155195
MLN,0.1579796975724089
MLPA,0.34732729824029623
MLPX,0.42323986552175874
MNA,0.418160434067465
MOAT,0.7695246577405443
MOO,0.6394204003264987
MORT,0.3805982440284038
MTUM,0.8412771438499673
MUB,0.17799985275325353
MUNI,0.10501930975812894
NEAR,0.04561407752800265
NFRA,0.6455723459731546
NFTY,0.3499422230306644
NLR,0.4857185217162342
NOBL,0.6463703437877967
NUGT,0.11512744378904845
NYF,0.1411744819592277
OEF,0.8446486638626648
OIH,0.33217398927315217
ONEQ,0.9088715525338293
PALL,0.22137116391628603
PBD,0.6657664508564249
PBE,0.6528531267985178
PBJ,0.5484869235547444
PBW,0.6548248749748266
PCEF,0.6095391318401535
PCY,0.47687443356937687
PDN,0.6595136185952126
PEY,0.4850402859059812
PFF,0.5073968813202046
PFM,0.709441126538652
PFXF,0.5079747643657047
PGHY,0.2603462893435689
PGJ,0.55017303761914
PGX,0.4135605279065413
PHB,0.5773326422274626
PHO,0.700434342258718
PICB,0.23917650649078304
PICK,0.4988413904224469
PID,0.5798054643704316
PIE,0.6090021016252737
PIZ,0.7229032804275087
PNQI,0.8923574029323341
PPA,0.621394238893639
PPH,0.5880772879610399
PPLT,0.2275064665342917
PRF,0.7066405596150592
PRFZ,0.7009968790881439
PSI,0.766558479914692
PSK,0.40945076505020905
PSQ,-0.9032762539204174
PWV,0.6366424457951022
PWZ,0.1129653737424579
PXE,0.36027818191795374
PXF,0.6213519431795652
PXH,0.5722838088487728
PZA,0.11938887054291401
PZT,0.14150059452844457
QAI,0.6817397338280312
QCLN,0.7033775191522404
QDF,0.7524874695617592
QID,-0.9058298641460651
QLD,0.9066169622354503
QLTA,0.22679219289219907
QQEW,0.9065491029176923
QQQ,0.9059307043652324
QQQE,0.9037614506745275
QTEC,0.9098701077823016
QUAL,0.8334619849518303
QYLD,0.781959062566255
RAVI,0.03798499728826318
RDIV,0.47108445977647334
RDVY,0.6926004235996218
REM,0.4088743857417353
REMX,0.4962159953818012
RETL,0.5888721331669375
REZ,0.4504968404911462
RIGS,0.4139180735700337
RING,0.15964105585442548
RLY,0.510860947804057
ROBO,0.8021496686861854
ROM,0.9067391740737114
RPG,0.8797761946659011
RPV,0.5582048542704965
RSP,0.7375509904528802
RSPD,0.6675630347861169
RSPG,0.3728353546679166
RSPH,0.7159509251530561
RSPM,0.586469701773793
RSPN,0.6592658164037547
RSPS,0.4716417930248412
RSPT,0.8913640700794101
RSPU,0.3700325650866289
RWJ,0.5697546174015526
RWK,0.6506655887431333
RWL,0.7080883951623164
RWM,-0.7358339030012757
RWO,0.5616807698454699
RWR,0.512403407106987
RWX,0.5392945229740831
RXD,-0.5987419229361315
SCHA,0.7505205972374204
SCHB,0.8483033858051279
SCHC,0.6843823091473608
SCHD,0.6442679668135219
SCHE,0.6436346286184018
SCHF,0.686023626359632
SCHG,0.9108841467440729
SCHH,0.531143220884657
SCHM,0.775467298282107
SCHO,-0.059547817735245506
SCHP,0.05018492093050295
SCHR,-0.0801047007039675
SCHV,0.692539955691626
SCHX,0.8504807004348552
SCHZ,0.11399367104052886
SCJ,0.5488521610597658
SCO,-0.13907701548777487
SCZ,0.6782109462888145
SDIV,0.5601884664605934
SDOG,0.5545946035169439
SDOW,-0.3538917836712453
SDP,-0.33608890490899346
SDS,-0.8386336159204052
SDY,0.5867035371477729
SGOL,0.04443820450556025
SH,-0.8350983136824586
SHM,0.1113290705142933
SHV,-0.009137367583740121
SHY,-0.02430086219608061
SHYD,0.219646739872652
SHYG,0.6048869321036928
SIJ,-0.5806175151600568
SIL,0.22092813407192602
SILJ,0.22033148631538435
SIVR,0.18052671315902197
SJB,-0.6310172551053269
SJNK,0.5927259077312541
SKF,-0.6539867961844886
SKYY,0.9420210141079011
SLQD,0.18612436133783858
SLV,0.1801901362703611
SLVO,0.16746937191580005
SLVP,0.20541311848144111
SLYG,0.7254415549443542
SLYV,0.5873300684121178
SMB,0.11251129304733302
SMDD,-0.3932805814795829
SMH,0.7814976424839178
SMIN,0.4480341665926705
SMLV,0.5406682965615252
SMMU,0.06887854049222465
SOXL,0.7777973450294011
SOXS,-0.782243372590507
SOXX,0.7828307581710126
SOYB,0.0799119015041408
SPAB,0.05325837377125571
SPBO,0.18799248853322945
SPDW,0.6964389777850098
SPEM,0.6469535059871862
SPEU,0.6495361471726122
SPGM,0.6995631039546151
SPGP,0.7807175566985108
SPHB,0.7125285733654193
SPHD,0.5041371537419201
SPHQ,0.8136728692144877
SPHY,0.4723859394222371
SPIB,0.20313666576023748
SPIP,0.04816134112867385
SPLB,0.1977268033274888
SPLG,0.820437685439862
SPLV,0.6097049900699348
SPMB,0.18475539971910962
SPMD,0.7069001639891509
SPSB,0.1886184125212846
SPSM,0.672199386147848
SPTI,-0.06167878481367594
SPTL,-0.1173144378749937
SPTM,0.8223461341345033
SPTS,-0.0553401583852741
SPXL,0.8384577360040917
SPXS,-0.8380708904048806
SPXU,-0.8380682481536048
SPY,0.8376903152173298
SPYG,0.8933610907465693
SPYV,0.6780853921311265
SQQQ,-0.9055836778365941
SRLN,0.4297995806215497
SRS,-0.5674123280979354
SRTY,-0.7348121809731463
SSG,-0.4240163665706467
SSO,0.838915520017459
STIP,0.145190558182263
STPZ,0.13749180588151405
SUB,0.13001746833825797
SUSA,0.8432777255890713
SVXY,0.5261626055332437
SYLD,0.5902077649477466
TAN,0.5792979234334881
TBF,0.11045851637318103
TBT,0.10387667491760304
TDIV,0.8168968573349936
TDTF,0.06167975311519787
TDTT,0.1523847685898801
TECL,0.8940259898796167
TECS,-0.895024281682965
THD,0.4786718605598163
TILT,0.7910735367682559
TIP,0.05629631343856006
TIPX,0.10334009936410125
TIPZ,0.05936664981546182
TLH,-0.08813210305555166
TLT,-0.1127822884682679
TMF,-0.10960408961083581
TMV,0.11543010400326782
TNA,0.7346683968532657
TQQQ,0.9065746361235486
TUR,0.2826148699394295
TWM,-0.7363086648628051
TYD,-0.06797260157611075
TZA,-0.7365814842417906
UBT,-0.12077454383479964
UCO,0.20952602861486344
UDN,0.10804166915016807
UDOW,0.728154662463852
UGA,0.23789655457411768
UGE,0.6296678942483528
UGL,0.047015243383187
ULST,0.06904765987958957
UNG,0.04806987113074719
UNL,0.04073274529247574
UPRO,0.8388000696989087
URA,0.4449603540825854
URTH,0.7985827821656277
URTY,0.7385708338341593
USD,0.7706148668311015
USDU,-0.07682267679830623
USIG,0.22371564482133022
USMV,0.7294278934053487
USO,0.20022601659511458
UUP,-0.06793270794559068
UVXY,-0.6430591788180676
UWM,0.7374631694902559
UYM,0.6083216375546853
VAW,0.6333631873700952
VB,0.768788046651938
VBK,0.8601681157313467
VBR,0.6501996568334635
VCIT,0.21406025150428568
VCLT,0.21990245634575656
VCR,0.8205305705026763
VCSH,0.21004592240915387
VDC,0.5317710812486566
VDE,0.380924292642724
VEA,0.6919107634197917
VEU,0.7023456265319231
VFH,0.5988101314688831
VGIT,-0.08175339324007261
VGK,0.6566134016042989
VGLT,-0.11366327477598713
VGSH,-0.06879962928706054
VGT,0.9176365365105872
VHT,0.7050063772876963
VIG,0.7544433490049038
VIOG,0.7238979143489781
VIOO,0.6647881079873539
VIOV,0.582965032123679
VIS,0.67578441167632
VIXM,-0.6307887898949849
VIXY,-0.6613387927752302
VLUE,0.6764118558270932
VMBS,0.12714871485502643
VNM,0.41764240962979593
VNQ,0.5545526802843597
VNQI,0.5705403269522521
VO,0.8164354683160434
VOE,0.6619056115420705
VONE,0.8471902548337147
VONG,0.9096497260804147
VONV,0.6838291470945016
VOO,0.8369550611035017
VOOG,0.8925008703973991
VOOV,0.6764778961559998
VOT,0.9018767551658055
VOX,0.769777497350685
VPL,0.6669216459368531
VPU,0.3697338685891323
VSS,0.6950667358475351
VT,0.8136740053970468
VTHR,0.8304425716318059
VTI,0.8484366907867887
VTIP,0.1464309586815417
VTV,0.6644213124321554
VTWG,0.8067842808574506
VTWO,0.7350249047547643
VTWV,0.6067993297366149
VUG,0.9109760422309816
VV,0.8497060029290926
VWO,0.6438339469669517
VWOB,0.4738016397275073
VXF,0.8248971258990688
VXUS,0.6992418290871039
VYM,0.6475746584866244
WEAT,0.006912249392009132
WIP,0.2604030969011634
XAR,0.6219140202585524
XBI,0.6308510350803561
XES,0.33571766535705017
XHB,0.6451076363862356
XLB,0.6288593458311227
XLE,0.3819294015492436
XLF,0.5933968168081508
XLG,0.8540375697246902
XLI,0.6517142943974151
XLK,0.8944523667964732
XLP,0.5085123042823793
XLU,0.3578565127558336
XLV,0.6572068855764565
XLY,0.8106365580021963
XME,0.46170995447961655
XMHQ,0.6690564528747472
XMLV,0.6125380353644597
XMMO,0.7828949125144158
XMPT,0.2964861063059164
XNTK,0.8761996548826576
XOP,0.3653482973882016
XPP,0.49781187516671915
XRT,0.5966726351730669
XSD,0.7776597455331395
XSMO,0.691336773999574
XSVM,0.5026669064656029
XYLD,0.7006961855253883
YANG,-0.4971656829459315
YCL,-0.1306532057190268
YINN,0.4959923194722559
YXI,-0.47920951049123806
YYY,0.5585094854068771
ZROZ,-0.11579798608812587
ZSL,-0.09975247886078767
