ETF2,Correlation
AAXJ,0.5154098739400287
ACWI,0.6982239910473084
ACWV,0.6962530660050811
ACWX,0.6172446280836791
AFK,0.4056686759808259
AGG,0.02143050730790981
AGQ,0.1268377694189425
AGZD,0.043421344845403026
AIA,0.45916858993444204
AMLP,0.4003526090523642
ANGL,0.43153408597961423
AOA,0.6856801317175514
AOK,0.5695537670289124
AOM,0.622045225835127
AOR,0.669808495950685
ARGT,0.4444562963768894
ASEA,0.4433141170757777
ASHR,0.29735541359509876
BAB,0.0003486021616367765
BIL,-0.04586158120408929
BIV,-0.028205280126304574
BIZD,0.4227125787957777
BKLN,0.4190712590236752
BLV,-0.010679227402346194
BND,0.03064688991329791
BNDX,0.05502764462750319
BNO,0.1959232608029042
BOIL,0.05393610649877112
BOND,0.055112641022302115
BRZU,0.3659523512234279
BSV,-0.019578501474425965
BTAL,-0.22344270046810408
BWX,0.04963464037510534
BWZ,0.06083447488348475
BZQ,-0.3427053649589752
CANE,0.0762244025733517
CEMB,0.23521113042030634
CGW,0.6335564287622342
CHIQ,0.35756667945134374
CMBS,-0.03338463712139856
CMF,0.041053384954435675
COPX,0.42198025473733763
CORN,0.024210664967876674
CORP,0.1085153269268078
CPER,0.14369040687429607
CQQQ,0.38104216995111073
CURE,0.8830555112595158
CWB,0.6259235382981798
CWI,0.6168861161735255
CXSE,0.33148305291105934
DBA,0.09555518830380419
DBB,0.1978082108848266
DBC,0.2067662252073014
DBEF,0.6180253063033959
DBEU,0.6231866876582498
DBJP,0.5187853873262077
DBO,0.19711119843697095
DDM,0.7036856556779743
DEM,0.5171978725236691
DES,0.6100073371770371
DEW,0.6517720509402525
DFJ,0.49133039197139633
DGP,-0.0115893895965468
DGRE,0.4966615775551012
DGRS,0.5976207426865869
DGRW,0.739251424922043
DGS,0.540757661948702
DHS,0.6741736605729287
DIA,0.70304525770282
DIG,0.44154469152786885
DIV,0.5396389728904801
DJP,0.20079939098500488
DLN,0.7234867401609913
DLS,0.5810919902316158
DNL,0.5839594349518423
DOG,-0.7019277989805506
DON,0.6374213849847142
DRN,0.5128617960442768
DRV,-0.5323159103659886
DSI,0.7110564199260735
DTD,0.7151617608307785
DTH,0.5885995330399876
DUG,-0.45387210857914373
DUST,-0.11370037542447906
DVY,0.6305899327359483
DVYE,0.5032138625383171
DWAS,0.6486365561044625
DWM,0.6122133778759978
DXD,-0.704704591231866
DXJ,0.514393434449861
DXJS,0.4835024322734686
EBND,0.325054558994813
ECH,0.34747157005792634
ECNS,0.33476374844401524
EDC,0.5272335701694303
EDIV,0.4952986249209393
EDV,-0.16202959384300966
EDZ,-0.5293027079554198
EELV,0.5129654065850969
EEM,0.5292752865898757
EEMA,0.4997444126670581
EEMV,0.5394514284488822
EFA,0.621077184663082
EFG,0.6212469598176499
EFV,0.5902253586659187
EFZ,-0.6238345572749797
EIDO,0.44288828930143853
EMB,0.37942086921804674
EMHY,0.4194008665464871
EMLC,0.34005135764866595
ENFR,0.44925454805329695
ENOR,0.4638497986608137
ENZL,0.43430998509485597
EPHE,0.41795453575309044
EPI,0.47104337665350504
EPOL,0.42650809378477456
EPP,0.5676009567755552
EPS,0.7064928933207507
EPV,-0.6049850358952665
EQWL,0.6809616428542792
ERX,0.4684366508772845
ERY,-0.4794447736014123
EUFN,0.513666575504759
EUM,-0.5284172150094483
EURL,0.6005078172498763
EUSA,0.6934194938251792
EWA,0.5594240060784286
EWC,0.5531790033009798
EWD,0.5367033118633201
EWG,0.5579301984816211
EWH,0.42748272581360014
EWI,0.5115169625372568
EWJ,0.5280129407661857
EWL,0.5920441044018997
EWM,0.3791140129947723
EWP,0.5113923961329223
EWQ,0.5632039927807069
EWS,0.46998970841667237
EWT,0.4478441701472197
EWU,0.5842090406054133
EWV,-0.5217766994364916
EWW,0.43668702559500605
EWX,0.539176138618146
EWY,0.475186307287139
EWZ,0.38121720624792255
EWZS,0.3334815859178515
EZA,0.44211362714455266
EZU,0.5688155779406233
FAN,0.5207130053424635
FAS,0.6345756826982684
FAZ,-0.6375722699546934
FBT,0.7894451555493632
FCA,0.3284699482309426
FCG,0.36516699165330124
FCOM,0.5525356235462955
FDD,0.5217026748315772
FDIS,0.6026353575477759
FDL,0.633708938656077
FDN,0.5775204529079677
FDT,0.5725268525962128
FEM,0.5089468988186701
FEMS,0.4820722480956223
FENY,0.4496321833866141
FEZ,0.5721215676044014
FGD,0.5754921183214189
FHLC,0.8999467281518228
FIDU,0.6380683609832833
FIW,0.6487745586314397
FLOT,0.2273609807433652
FLRN,0.20036118121841245
FLTR,0.19090221991542736
FM,0.44084842710578276
FMAT,0.6200357873599934
FMF,0.029927675452425036
FNCL,0.611930581176146
FNDA,0.6349705253654861
FNDB,0.6961822133053793
FNDC,0.5921029959787496
FNDE,0.5097525821148394
FNDF,0.5955733683996597
FNDX,0.7026514364540594
FPE,0.34045766423858226
FRI,0.5176186442832691
FSTA,0.5806672289763766
FTA,0.6382963884372307
FTC,0.6804435252818091
FTCS,0.7274868500038988
FTEC,0.6175439794242962
FTGC,0.20225072517923096
FTQI,0.39760964788616404
FTRI,0.4189545858949074
FTSL,0.30904800590112325
FUTY,0.4384120765875549
FVD,0.6741084163548635
FXH,0.8428808869437804
FXI,0.3950706735487397
