ETF2,Correlation
AAXJ,0.6028779441070561
ACWI,0.7939956490033541
ACWV,0.780211774543712
ACWX,0.6968537663230806
AFK,0.4738811096153962
AGG,0.09187072404148389
AGQ,0.18264301368086516
AGZD,0.04067960451558723
AIA,0.5545301229668407
AMLP,0.363708404273498
ANGL,0.5232929094609859
AOA,0.7784573527121182
AOK,0.673302304064179
AOM,0.7235415283788849
AOR,0.7754159567613564
ARGT,0.5101114260079221
ASEA,0.5076561801425604
ASHR,0.3280732475503935
BAB,0.0398391378616244
BIL,-0.016792709011910087
BIV,0.04488392799104839
BIZD,0.4667756425806769
BKLN,0.5052036472896294
BLV,0.06379913495036396
BND,0.10061496718176172
BNDX,0.09885216437001389
BNO,0.1905543348794695
BOIL,0.05698175665878656
BOND,0.12656586003960302
BRZU,0.3945700660077309
BSV,0.04636064764843472
BTAL,-0.23159429711844687
BWX,0.12557238529876477
BWZ,0.1289969750408571
BZQ,-0.37496677845101556
CANE,0.06361446772946582
CEMB,0.3125778523072043
CGW,0.7419256508428603
CHIQ,0.43595694357285064
CMBS,0.0028700969262692405
CMF,0.08840633913562362
COPX,0.45906190259604973
CORN,0.03681581617758449
CORP,0.19761034998640212
CPER,0.17796800884444777
CQQQ,0.44898937345906553
CURE,0.8696394833480213
CWB,0.7328224081240436
CWI,0.697405424332394
CXSE,0.4110948545777676
DBA,0.13305623666831393
DBB,0.2332039323726389
DBC,0.219794877107714
DBEF,0.6582561720500769
DBEU,0.6609303955744386
DBJP,0.5591507501659608
DBO,0.19058035889955038
DDM,0.7728725405423065
DEM,0.5584656084874966
DES,0.6300869927202566
DEW,0.6830290222091876
DFJ,0.5626834866733377
DGP,0.015574804059375348
DGRE,0.5674578746256044
DGRS,0.62352080276707
DGRW,0.8061921839688615
DGS,0.606612872500641
DHS,0.6915177927276825
DIA,0.7714293308035379
DIG,0.4197377422133823
DIV,0.5574716400785952
DJP,0.2268104555650256
DLN,0.7834643595751069
DLS,0.6649365815638753
DNL,0.6848937058073071
DOG,-0.7700871299573723
DON,0.6948136853971838
DRN,0.621646576730035
DRV,-0.6412221147010039
DSI,0.8210131978516779
DTD,0.773252528092512
DTH,0.6268655940223509
DUG,-0.4313100939617684
DUST,-0.14162522946832698
DVY,0.6668477784954676
DVYE,0.5358606518808503
DWAS,0.6781620404749068
DWM,0.6743982982088154
DXD,-0.7722134872295731
DXJ,0.5471726416806298
DXJS,0.5165986342911956
EBND,0.4028546679122457
ECH,0.414062750537594
ECNS,0.38987204274614007
EDC,0.608884810584393
EDIV,0.5456282388886545
EDV,-0.11926441573750088
EDZ,-0.6114067983335296
EELV,0.5734004825205411
EEM,0.608524975208462
EEMA,0.5879797531133177
EEMV,0.6070001563409181
EFA,0.6944285127793156
EFG,0.7240086365565495
EFV,0.6301993636772858
EFZ,-0.6964868789362455
EIDO,0.4864926175666173
EMB,0.4693271694603869
EMHY,0.4947657332709051
EMLC,0.4013923093605
ENFR,0.4402334545249154
ENOR,0.5159834082304315
ENZL,0.5330530371168409
EPHE,0.4677281249108388
EPI,0.5077377888715502
EPOL,0.47666354473289024
EPP,0.6387673232905037
EPS,0.7925828043412474
EPV,-0.6745042276350717
EQWL,0.7612392498974851
ERX,0.4403516327873147
ERY,-0.4528941860355564
EUFN,0.5535950312314353
EUM,-0.6093767878091042
EURL,0.6700385856199513
EUSA,0.7945884138969537
EWA,0.6257258894952047
EWC,0.6250304125040184
EWD,0.6318671047252581
EWG,0.6362718220414717
EWH,0.4726965648833577
EWI,0.5678191181936227
EWJ,0.6009994039791106
EWL,0.6578193842775655
EWM,0.41517240413696643
EWP,0.5520028000024093
EWQ,0.6339592492851778
EWS,0.5606102135859071
EWT,0.5336940957101127
EWU,0.6163977316311773
EWV,-0.5941952810897538
EWW,0.49767324909444716
EWX,0.6018332975716043
EWY,0.5665150063239227
EWZ,0.40916993786512884
EWZS,0.38401383005551054
EZA,0.5089534344975077
EZU,0.6481198190103069
FAN,0.6180957358005992
FAS,0.6989542664281071
FAZ,-0.7029508689652628
FBT,0.6853367970646133
FCA,0.35940383255210157
FCG,0.32354847460890895
FCOM,0.6514461304559256
FDD,0.5725980556270821
FDIS,0.718494049241163
FDL,0.6611347236135215
FDN,0.7148751555323065
FDT,0.661825491371876
FEM,0.564563720331458
FEMS,0.5290424953082851
FENY,0.42496343171185796
FEZ,0.649087363659298
FGD,0.6191575364901607
FHLC,0.8867037092922614
FIDU,0.7215975608047696
FIW,0.7504900146011028
FLOT,0.2473729802507818
FLRN,0.21352710537760697
FLTR,0.1836352048478123
FM,0.45935861645933296
FMAT,0.6869449653927688
FMF,0.01284265675017068
FNCL,0.6600232304629118
FNDA,0.6885867367014107
FNDB,0.75342460098602
FNDC,0.6791073303088686
FNDE,0.5536283106219333
FNDF,0.6479543002974697
FNDX,0.7626180697770003
FPE,0.4068674958177853
FRI,0.6148335047542068
FSTA,0.6490196631185152
FTA,0.6829998424471357
FTC,0.8174738488752754
FTCS,0.8211906045844188
FTEC,0.7612414503898792
FTGC,0.23626253149681117
FTQI,0.4673422411691805
FTRI,0.4195595220998745
FTSL,0.3756109854302464
FUTY,0.5340212698136826
FVD,0.7431690934891889
FXH,0.8886374495592294
FXI,0.455674375994448
FXL,0.7571526688196079
FXN,0.4089750733987116
FXO,0.6321730362316977
FXR,0.7135408337255084
FXU,0.5755480634572007
FXY,-0.13150224332450913
FXZ,0.6219891104525447
FYLD,0.5748828539830767
GCC,0.1941704148409414
