ETF2,Correlation
AAXJ,0.7208190758053111
ACWI,0.9555266726357737
ACWV,0.8826375488124559
ACWX,0.8455841598001402
AFK,0.5835182303728805
AGG,0.08638923050582938
AGQ,0.20904393516315176
AGZD,0.0719433206048395
AIA,0.6719011666208371
AMLP,0.5066190119694315
ANGL,0.625001568125053
AOA,0.9369239131751018
AOK,0.7848625136265915
AOM,0.8516251983780743
AOR,0.9170699241099218
ARGT,0.6120614272655726
ASEA,0.6226243940740034
ASHR,0.3953663307005152
BAB,0.030134814349110677
BIL,-0.006642492249164042
BIV,0.0058615508378087045
BIZD,0.5951321621247896
BKLN,0.5865705949645001
BLV,0.03204146229438318
BND,0.09867959384683209
BNDX,0.09671829717465978
BNO,0.2966814600152281
BOIL,0.08557141557671026
BOND,0.1268659763849967
BRZU,0.5187325747396107
BSV,0.001665318454188699
BTAL,-0.30308469427887746
BWX,0.11966356674880174
BWZ,0.13139702000766526
BZQ,-0.49441565037588675
CANE,0.10604881479594955
CEMB,0.3484228259140363
CGW,0.8531195417434396
CHIQ,0.5072214716300576
CMBS,-0.03151371802433274
CMF,0.08010816434725575
COPX,0.5986276081689956
CORN,0.06510943105229412
CORP,0.21214717641911493
CPER,0.22620732299438254
CQQQ,0.5092202410532838
CURE,0.8182872427639957
CWB,0.8230429458334484
CWI,0.8423020000384877
CXSE,0.47133407791911264
DBA,0.19340982723260824
DBB,0.2904734880920692
DBC,0.3329409084631719
DBEF,0.8098984729019875
DBEU,0.8090959150743727
DBJP,0.6958050585027105
DBO,0.30731747004451176
DDM,0.9466097543791636
DEM,0.6990717898518877
DES,0.7991312928212541
DEW,0.8452288278705813
DFJ,0.6697941391379993
DGP,-0.0022291512225552663
DGRE,0.6938852847968054
DGRS,0.7860077062827359
DGRW,0.9608717101058565
DGS,0.7341507187465611
DHS,0.8492522155300367
DIA,0.9464687249157064
DIG,0.5946992254789639
DIV,0.7207369782179116
DJP,0.3252010712756661
DLN,0.9483308622683181
DLS,0.8073404066774685
DNL,0.8236453140087494
DOG,-0.9437752541443685
DON,0.8662983934577606
DRN,0.7063489803588938
DRV,-0.7275232273768903
DSI,0.9750075731606611
DTD,0.9412009294947499
DTH,0.775115359083263
DUG,-0.6100949519471912
DUST,-0.13651822880230507
DVY,0.8336327524161368
DVYE,0.6781397182233136
DWAS,0.7816358216227483
DWM,0.8204486000408093
DXD,-0.9455474918040524
DXJ,0.686424174921196
DXJS,0.6441827950408658
EBND,0.4750091012092092
ECH,0.5332663061635078
ECNS,0.45786618640188087
EDC,0.7390682147996472
EDIV,0.6693444360990185
EDV,-0.1968978272627845
EDZ,-0.7412950578808747
EELV,0.6950057395206358
EEM,0.7422724957897837
EEMA,0.707645960548208
EEMV,0.728448960655149
EFA,0.839874637514274
EFG,0.8460844510883645
EFV,0.7901887187167501
EFZ,-0.8391478440882713
EIDO,0.5970125254556784
EMB,0.5564995372847046
EMHY,0.6144352093459752
EMLC,0.4804308634795363
