ETF2,Correlation
AAXJ,0.714702982348381
ACWI,0.9128570940005548
ACWV,0.7974948987493099
ACWX,0.7924841752632898
AFK,0.5509007014574488
AGG,0.11394206205418292
AGQ,0.20898209309107058
AGZD,0.061488647936760135
AIA,0.6747966315844248
AMLP,0.4247493108152641
ANGL,0.584857519821056
AOA,0.8945025093118806
AOK,0.76501591547314
AOM,0.8237539655982125
AOR,0.879391801141153
ARGT,0.6067361423916733
ASEA,0.5615170385428714
ASHR,0.3866287491901013
BAB,0.04140791325974417
BIL,-0.0005098910908793246
BIV,0.04262286238597279
BIZD,0.5149331501173772
BKLN,0.524816907911052
BLV,0.0710221928078577
BND,0.11621428143575856
BNDX,0.11982321644104604
BNO,0.23977509611038453
BOIL,0.07169203100348073
BOND,0.13832544840855499
BRZU,0.4573975004627184
BSV,0.02684427833247183
BTAL,-0.2887511706580268
BWX,0.13892886883127145
BWZ,0.13188751804727752
BZQ,-0.4406692911371645
CANE,0.08852825679812484
CEMB,0.33619305607523103
CGW,0.7699626618346872
CHIQ,0.5430886897287255
CMBS,-0.021279176213005273
CMF,0.07322894245718417
COPX,0.5418391159812622
CORN,0.046247493965978784
CORP,0.22098919787044186
CPER,0.20935762298686825
CQQQ,0.5519751149627127
CURE,0.7585009329564475
CWB,0.8522575557729615
CWI,0.7919594131600017
CXSE,0.5032474110461548
DBA,0.16703913687072974
DBB,0.2672456293225631
DBC,0.2793760953544163
DBEF,0.7466576923203762
DBEU,0.7414591314403257
DBJP,0.6500657824638407
DBO,0.2524531607717789
DDM,0.8436885788483404
DEM,0.6405843436730417
DES,0.6651536765395769
DEW,0.718298338323021
DFJ,0.6240584231228136
DGP,0.010291044904838322
DGRE,0.6642498201531836
DGRS,0.6650164218294148
DGRW,0.8792796569780409
DGS,0.6904885591321919
DHS,0.6905166726844241
DIA,0.8440341892665707
DIG,0.4683445005860112
DIV,0.58185891807909
DJP,0.2780178456810241
DLN,0.8339853000086604
DLS,0.7466331389650661
DNL,0.7870530947996082
DOG,-0.8416630796350247
DON,0.735013745041775
DRN,0.6236015613186193
DRV,-0.6400862357050267
DSI,0.9518120576207226
DTD,0.822408438782125
DTH,0.6852428897925655
DUG,-0.48287929705028343
DUST,-0.13715023323289421
DVY,0.6640079278328149
DVYE,0.6126452553566988
DWAS,0.77922489197384
DWM,0.7459050906765724
DXD,-0.842794296251086
DXJ,0.6272847305917458
DXJS,0.5944983051993983
EBND,0.4523475946024189
ECH,0.47900052246927055
ECNS,0.46097015262208574
EDC,0.7198390957857638
EDIV,0.6168139080692707
EDV,-0.14102348359203362
EDZ,-0.7221684473012587
EELV,0.6460223525150979
EEM,0.7202768355460623
EEMA,0.7018008800706353
EEMV,0.6914650583230143
EFA,0.7764609855922481
EFG,0.8207211527485596
EFV,0.6912970561138415
EFZ,-0.7791311627307265
EIDO,0.5406718078370742
EMB,0.5414846431942237
EMHY,0.5764647281120874
EMLC,0.45453334613483126
ENFR,0.5005201655137617
ENOR,0.6061023144918526
ENZL,0.567949321374937
EPHE,0.5232805454953802
EPI,0.5631318161000797
EPOL,0.5617830618317143
EPP,0.7183062973766762
EPS,0.8958913952921246
EPV,-0.7488811799979822
EQWL,0.8218019514075525
ERX,0.49149025176293853
ERY,-0.5052352253903201
EUFN,0.6195254138606727
EUM,-0.721524990793837
EURL,0.7455173212734322
EUSA,0.8644647772528606
EWA,0.7041876039259402
EWC,0.7108750056259462
EWD,0.7076894221572827
EWG,0.7185316191411676
EWH,0.5268339951537699
EWI,0.6346442360269806
EWJ,0.6847827703180897
EWL,0.6996994722772066
EWM,0.4757625293548209
EWP,0.6026661713159414
EWQ,0.7027200877735448
EWS,0.6352717834819693
EWT,0.6551521977311958
EWU,0.6666034584925109
EWV,-0.6796156484653773
EWW,0.5538928006487296
EWX,0.6954412582864405
EWY,0.6596994098622541
EWZ,0.4799695977598834
EWZS,0.45562359010198544
EZA,0.5766526538373388
EZU,0.7321176751086746
FAN,0.6702938020458832
FAS,0.7489024842390599
FAZ,-0.7517955847128959
FBT,0.6765195472647927
FCA,0.4091064343175463
FCG,0.38677302296479854
FCOM,0.8152705989980449
FDD,0.6257214859135315
FDIS,0.9121843358634634
FDL,0.6521862627957654
FDN,0.9152154033569058
FDT,0.7592837433783803
FEM,0.6562706908819117
FEMS,0.6061828290482342
FENY,0.4795365977370605
FEZ,0.7339241118819857
FGD,0.6736310931221162
FHLC,0.7898651776611206
FIDU,0.7806545713790798
FIW,0.7681624272762332
FLOT,0.30436622703078303
FLRN,0.28116051005092246
FLTR,0.2779719340830862
FM,0.5503552842737003
FMAT,0.7365155027475171
FMF,0.004309520025335067
FNCL,0.7068445798477613
FNDA,0.7529783390720225
FNDB,0.8268502264581683
FNDC,0.7608245914277979
FNDE,0.6481048208924168
FNDF,0.7232711535849511
FNDX,0.829601827441674
FPE,0.4637150618177997
FRI,0.6195865749223242
FSTA,0.6376378242138447
FTA,0.7150110838051092
FTC,0.9359228327176499
FTCS,0.8488962322271363
FTEC,0.9629543828353848
FTGC,0.26936008073814516
FTQI,0.563520320260788
FTRI,0.4863021569461838
FTSL,0.419482368122827
FUTY,0.46686623337061606
FVD,0.7332027375246682
FXH,0.8011030192927491
FXI,0.5430007923172452
FXL,0.9234006687756073
FXN,0.475061299053252
FXO,0.6722091783477905
FXR,0.7806051443032108
FXU,0.5205944415959965
FXY,-0.17253206363721588
FXZ,0.6759675092820191
FYLD,0.646293401907591
GCC,0.23612303204565815
GDX,0.16924490218753993
GDXJ,0.20477620132792376
GLD,0.04655390024681393
GLTR,0.17000622596013568
GMF,0.711986521970685
GNR,0.6376830491573346
GOVI,-0.13139432488935152
GOVT,-0.132026378192405
GREK,0.5092554515239556
GRID,0.700671386450921
GRPM,0.7524165470216339
GSG,0.272435101888758
GSY,0.11284344571656223
GUNR,0.6201116783618902
GVI,0.035429613076247986
GWX,0.7539002713405764
GXC,0.5760546819512008
HAUZ,0.5711615453438866
HDGE,-0.7239785616122207
HEDJ,0.7340441439275007
HYD,0.31612300075658933
HYEM,0.4315859970283019
HYG,0.702365903568327
HYLS,0.5518666035356514
HYMB,0.2721327089137067
HYS,0.6550483401763009
HYZD,0.4127487436237784
IAI,0.7288711039548949
IAK,0.6194758808747405
IAT,0.5522414381775267
IAU,0.04564843760211595
IBB,0.7072526378862052
IBND,0.19490342498670996
ICF,0.6214177484500395
ICLN,0.667186760384374
ICSH,0.08962026889280679
IDHQ,0.7149119892894352
IDLV,0.7170938296721575
IDMO,0.5684548293301379
IDU,0.47305453814261317
IDV,0.6801005000700923
IDX,0.5447941197718121
IEF,-0.12098228690538505
IEFA,0.776379724291874
IEI,-0.09546889878435563
IEMG,0.7256348833381264
IEO,0.4647349762122915
IEV,0.7453140638187113
IEZ,0.4262339457263387
IGE,0.549026238140559
IGF,0.678395113604859
IGIB,0.2682951326117606
IGLB,0.2362549672561164
IGM,0.9708848537736471
IGOV,0.11923962099213556
IGPT,0.8668552472030598
IGSB,0.23935727697167847
IGV,0.9151891425351562
IHE,0.6687964876802522
IHF,0.6672056799540159
IHI,0.802946330474601
IJH,0.8154923274709625
IJJ,0.7353662923875833
IJK,0.8662956093496889
IJR,0.7383586966482946
IJS,0.6514319752603481
IJT,0.7924986527115531
ILCB,0.9269698893412578
ILCV,0.7865313940290598
ILF,0.550012995763918
ILTB,0.08921905134761413
IMCB,0.8463471596845246
IMCG,0.9197318698657314
IMCV,0.7189506239764228
INCO,0.5189416979836075
INDA,0.5884044697503371
INDL,0.5571577186884634
INDY,0.5740306924206621
IOO,0.9168198280022857
ISCG,0.8513224669494396
ISHG,0.10980252148780885
ISTB,0.15861705514954821
ITA,0.6647815856435502
ITB,0.6616112467275872
ITM,0.10616938914334373
ITOT,0.9440769556273305
IUSV,0.7977400776908313
IVE,0.7983087617640536
IVOO,0.8132565850686335
IVV,0.9435585804904719
IVW,0.9834887479471622
IWB,0.947294576818812
IWC,0.7302542832992838
IWD,0.8025701057104659
IWF,0.9885552760385931
IWL,0.9492913820134617
IWM,0.7956784563925705
IWN,0.7005105385866068
IWO,0.8429907426978924
IWP,0.9386851466106128
IWR,0.8788091879095076
IWS,0.792073165666615
IWV,0.9421223431928778
IWX,0.7884579928587312
IWY,0.9832856911151077
IXC,0.5038656279731991
IXJ,0.7773274959899585
IXN,0.9555084493585504
IXUS,0.791554991584733
IYC,0.9095517323436159
IYE,0.49034724951691677
IYF,0.7541093715121876
IYG,0.7418369696047785
IYH,0.7780617750938109
IYJ,0.8376582320249281
IYK,0.700615805689879
IYR,0.6606163437142087
IYT,0.7291387974423246
IYY,0.94767382733102
IYZ,0.7113946596602543
JDST,-0.16213177324770955
JNK,0.6948896089881503
JNUG,0.1294964927725711
JPXN,0.6548917194793603
JXI,0.5651252655447659
KBE,0.5620822434586316
KBWB,0.5924902104071281
KBWP,0.5358117617279335
KBWY,0.5066017225517687
KCE,0.7716621487294091
KIE,0.6555496504838673
KOLD,-0.0740597115319108
KORU,0.6369561218680302
KRE,0.5232635742483881
KWEB,0.5198480343908956
LDUR,0.03702481480903886
LEMB,0.4503365786326893
LIT,0.6520393389029532
LQD,0.2588254806155778
LTPZ,-0.018139390702870156
MBB,0.14115894606452534
MCHI,0.571699176862873
MDIV,0.5676020349059996
MDY,0.8159031320278574
MDYG,0.8641726598999576
MDYV,0.7302165721056876
MGC,0.953322865929109
MGK,0.9867249075735298
MGV,0.7834272439173822
MIDU,0.8125191454608374
MINT,0.12241076921888419
MLN,0.18591535889319588
MLPA,0.41690348856651455
MLPX,0.5040750024207413
MNA,0.4625218454219093
MOAT,0.8486034699378973
MOO,0.7388229935940503
MORT,0.45371382753633904
MTUM,0.9177734962809893
MUB,0.19561950905784528
MUNI,0.12547904525431067
NEAR,0.03320025607611047
NFRA,0.7546069102828429
NFTY,0.3993702131116551
NLR,0.5772486497341486
NOBL,0.7639338282946011
NUGT,0.12591111295304588
NYF,0.16581158497507115
OEF,0.9529789175837217
OIH,0.41752006429694694
ONEQ,0.9738739827844136
PALL,0.2503489703278336
PBD,0.7157152487872505
PBE,0.6822888502679729
PBJ,0.6380509646371157
PBW,0.6832407924804748
PCEF,0.6986779779207107
PCY,0.5309655035207289
PDN,0.7521513973383183
PEY,0.6001902537676906
PFF,0.5752209033854087
PFM,0.8284739629605178
PFXF,0.5836182494509924
PGHY,0.29296859688782645
PGJ,0.5526786296248863
PGX,0.46957075986452224
PHB,0.6497600803566128
PHO,0.7823522677018507
PICB,0.2731172283461716
PICK,0.580078435656757
PID,0.6789457652850843
PIE,0.6777084635911096
PIZ,0.7974185441442647
PNQI,0.8945209370868253
PPA,0.7143226597785017
PPH,0.6791395837487225
PPLT,0.2749730970527805
PRF,0.8221596684611032
PRFZ,0.7665539340210715
PSI,0.8158894774759508
PSK,0.46706252604776394
PSQ,-0.9724814298565397
PWV,0.7544761639449217
PWZ,0.13762776295518778
PXE,0.43756870146817256
PXF,0.7261763923603677
PXH,0.645639573833004
PZA,0.13507246777664372
PZT,0.17258074554960579
QAI,0.745959504026544
QCLN,0.7424949692756309
QDF,0.8649803574176544
QID,-0.9743307395384195
QLD,0.9748155392061617
QLTA,0.22861312075463533
QQEW,0.9546637136609442
QQQ,0.9743507309657559
QQQE,0.9499973943405905
QTEC,0.923463040256908
QUAL,0.9364592954740661
QYLD,0.8445129458635751
RAVI,0.05280392784648362
RDIV,0.5868055859658903
RDVY,0.7966274442430901
REM,0.48423419633091874
REMX,0.5646106432341158
RETL,0.6499925943859587
REZ,0.538627434199241
RIGS,0.45909188478535295
RING,0.18027588074703174
RLY,0.605517366049023
ROBO,0.8591740817994912
ROM,0.954614080765294
RPG,0.9452887261206672
RPV,0.67184286197595
RSP,0.8397374664641227
RSPD,0.7706186022064508
RSPG,0.4636755964379254
RSPH,0.8027324904353769
RSPM,0.6880473402542375
RSPN,0.7627574426081017
RSPS,0.5790135308416872
RSPT,0.9289225542877962
RSPU,0.4703056493518344
RWJ,0.6392316756882409
RWK,0.7441372198381865
RWL,0.8291559350088895
RWM,-0.7934488629055995
RWO,0.655845820102605
RWR,0.6074665494238113
RWX,0.6159901514330841
RXD,-0.6877839284585844
SCHA,0.811767785409386
SCHB,0.9439989818605291
SCHC,0.7734287034851364
SCHD,0.7569775405089731
SCHE,0.710296904666161
SCHF,0.783835953072823
SCHG,0.9870905305372456
SCHH,0.6224924519136406
SCHM,0.8510830422305822
SCHO,-0.08096877371526019
SCHP,0.04042767502868311
SCHR,-0.11411160929835494
SCHV,0.8062667491878355
SCHX,0.9491736275433353
SCHZ,0.10454234995188429
SCJ,0.6288387968625185
SCO,-0.164839738485608
SCZ,0.7681921134434139
SDIV,0.6546877776480552
SDOG,0.6714734148939328
SDOW,-0.41072307997705293
SDP,-0.4325986813651578
SDS,-0.9440003543385017
SDY,0.7062257091027933
SGOL,0.042899266337515445
SH,-0.9404499240596453
SHM,0.1349540158960218
SHV,-0.020205667942067927
SHY,-0.045663857941768714
SHYD,0.2544498544638244
SHYG,0.6731961048699551
SIJ,-0.6591076601970142
SIL,0.24297289151500487
SILJ,0.24874896542872418
SIVR,0.20617312550187966
SJB,-0.699843885069026
SJNK,0.6610539585357167
SKF,-0.763829487874314
SKYY,0.8972090916521414
SLQD,0.20485342820255617
SLV,0.20627149596215003
SLVO,0.1964879559362229
SLVP,0.22459025507023458
SLYG,0.789021993622076
SLYV,0.667753469392218
SMB,0.1402024718584791
SMDD,-0.4412400326033347
SMH,0.8387711653723684
SMIN,0.5046029081727794
SMLV,0.6284715225803422
SMMU,0.08415484450067162
SOXL,0.8356347293965761
SOXS,-0.8398096793028126
SOXX,0.8396871458314706
SOYB,0.09839439104375095
SPAB,0.03951039716269528
SPBO,0.19806007533182968
SPDW,0.7917965922626502
SPEM,0.7148330821129524
SPEU,0.7433622031075567
SPGM,0.7931519748137627
SPGP,0.869406645362607
SPHB,0.7937314170912463
SPHD,0.6258604427812151
SPHQ,0.9143870384281119
SPHY,0.524148114608106
SPIB,0.218087421796788
SPIP,0.03987116840200751
SPLB,0.20879911575655635
SPLG,0.920922731698407
SPLV,0.718550553290693
SPMB,0.19024012674834842
SPMD,0.7900591015499614
SPSB,0.19865692403924326
SPSM,0.7441528126057072
SPTI,-0.09469393852732665
SPTL,-0.15797248136685693
SPTM,0.923694361792134
SPTS,-0.06694413277894866
SPXL,0.9442203900695956
SPXS,-0.9442467139852442
SPXU,-0.943982854848088
SPY,0.9435797886622964
SPYG,0.9828020795178161
SPYV,0.7937382890963474
SQQQ,-0.9742213655871536
SRLN,0.5158987806766145
SRS,-0.6575251920568819
SRTY,-0.7913922270394081
SSG,-0.4603536547087139
SSO,0.9442400011260342
STIP,0.15378674587719696
STPZ,0.15283151325555464
SUB,0.14592055316880162
SUSA,0.9360249127327815
SVXY,0.5699633913503523
SYLD,0.6929203746299405
TAN,0.6048397961819404
TBF,0.14969032246044753
TBT,0.14216097448856013
TDIV,0.8892881507336343
TDTF,0.05382627405896622
TDTT,0.15713374705452218
TECL,0.9553110524557094
TECS,-0.955587005782497
THD,0.5407531396423755
TILT,0.8908131176166325
TIP,0.04438997901412853
TIPX,0.09682673680480752
TIPZ,0.04732904348245385
TLH,-0.12920842280115838
TLT,-0.15269284426098143
TMF,-0.14838871821379312
TMV,0.15515072578240427
TNA,0.7924988437132663
TQQQ,0.9749016766325382
TUR,0.3223187273458234
TWM,-0.793255239153306
TYD,-0.0958119435847258
TZA,-0.7939026195888363
UBT,-0.16207787408087318
UCO,0.24944948998228045
UDN,0.13067044207935918
UDOW,0.8444315216064754
UGA,0.27599444835787096
UGE,0.7315712396859
UGL,0.04494367792178131
ULST,0.09370078474879494
UNG,0.07481649283132799
UNL,0.06528245774088812
UPRO,0.9442224591084023
URA,0.4899926040065687
URTH,0.8982673237149101
URTY,0.7959333401348344
USD,0.8327366488639579
USDU,-0.08793031615706032
USIG,0.23571348097078745
USMV,0.830958943502526
USO,0.23935303093143323
UUP,-0.08774146863816393
UVXY,-0.7102696041289988
UWM,0.7949785311438028
UYM,0.713615841134168
VAW,0.7374390302203004
VB,0.8335100026935485
VBK,0.8870730216083761
VBR,0.7439089317376535
VCIT,0.22439710203375451
VCLT,0.23327474133318699
VCR,0.9081250909547007
VCSH,0.2265813520113643
VDC,0.6432655278953052
VDE,0.4788797634324598
VEA,0.7885023390904373
VEU,0.7939872331671246
VFH,0.7087180534600062
VGIT,-0.11394049512115499
VGK,0.7482614328536535
VGLT,-0.153918521564641
VGSH,-0.09440846462503644
VGT,0.9635305960317434
VHT,0.7923515018025848
VIG,0.8642223237268858
VIOG,0.7888247472561577
VIOO,0.7367850138449399
VIOV,0.663834204587249
VIS,0.7808740619999659
VIXM,-0.697670742557099
VIXY,-0.7321461497011247
VLUE,0.7830398499749641
VMBS,0.1305345595341904
VNM,0.477198066286737
VNQ,0.6458828085568487
VNQI,0.6498928117161002
VO,0.8889967990874204
VOE,0.769915826157418
VONE,0.9460589560800594
VONG,0.987696505386057
VONV,0.798941965112344
VOO,0.9432049324686975
VOOG,0.9825663262318907
VOOV,0.7949727885872376
VOT,0.9386605269607993
VOX,0.8350805127871221
VPL,0.760235976570469
VPU,0.46716552678679846
VSS,0.7818542898577356
VT,0.9106678275808175
VTHR,0.9282185193112874
VTI,0.9442702962727847
VTIP,0.1613803894239847
VTV,0.784483078857079
VTWG,0.8394282959885182
VTWO,0.7925593736745626
