ETF2,Correlation
AAXJ,0.6690928543608313
ACWI,0.7068297162519245
ACWV,0.649642284451955
ACWX,0.7498886683797606
AFK,0.59677111829076
AGG,0.08161037732123944
AGQ,0.2834749961935974
AGZD,0.02335845115558288
AIA,0.6088184035276177
AMLP,0.5134034650368785
ANGL,0.49179914161884986
AOA,0.6880994809724053
AOK,0.5832024909778313
AOM,0.629162505791819
AOR,0.6718632768685258
ARGT,0.6396584514760881
ASEA,0.6156441204431453
ASHR,0.3728759188831576
BAB,0.03492816244318037
BIL,-0.00976135835948761
BIV,0.019956425546031335
BIZD,0.4642198765889827
BKLN,0.4676834176797079
BLV,0.0320501572404966
BND,0.09250162739941613
BNDX,0.05902860056840134
BNO,0.37568701573513014
BOIL,0.07961477120165951
BOND,0.10307486789006624
BRZU,0.9269136589801581
BSV,0.023430024853405347
BTAL,-0.24393463299506568
BWX,0.20302669806548918
BWZ,0.25258911696571934
BZQ,-0.8636963895488929
CANE,0.19682895278303453
CEMB,0.3322065152823944
CGW,0.6370398101289209
CHIQ,0.46232074470117485
CMBS,-0.010233940128935273
CMF,0.05862359032211915
COPX,0.6525943307298404
CORN,0.1695047517906442
CORP,0.16634734470676332
CPER,0.2620195238604317
CQQQ,0.4499113112775828
CURE,0.4775491889631414
CWB,0.5885991946760963
CWI,0.7375801672453726
CXSE,0.43293122743515705
DBA,0.2940019956170456
DBB,0.3599472313410817
DBC,0.44129747001361125
DBEF,0.6196592177742946
DBEU,0.6271967921562482
DBJP,0.501987767887734
DBO,0.3919441214840428
DDM,0.6414892131160091
DEM,0.7944701234060977
DES,0.6212282983438877
DEW,0.7173090114767003
DFJ,0.5120849713029964
DGP,0.08290333054633617
DGRE,0.7476929188397694
DGRS,0.5998836353567705
DGRW,0.6218918821229773
DGS,0.7576783843786105
DHS,0.6458694177972766
DIA,0.6423142301891817
DIG,0.5908443738768999
DIV,0.6031570629288623
DJP,0.44230686583542844
DLN,0.6519958515038871
DLS,0.6704831410383431
DNL,0.7231929048733818
DOG,-0.6411990634151515
DON,0.6606180839213343
DRN,0.4891161437461882
DRV,-0.5091060738462129
DSI,0.622641843833852
DTD,0.6544000786644513
DTH,0.6999016678917419
DUG,-0.6059960407845841
DUST,-0.24021867132650435
DVY,0.6391843644224382
DVYE,0.8111138262190605
DWAS,0.5513317741265359
DWM,0.6974654993262803
DXD,-0.641529747676223
DXJ,0.5038973042701417
DXJS,0.4563649744902432
EBND,0.6439526452148209
ECH,0.6632370801158666
ECNS,0.43503618284938134
EDC,0.7690074944200852
EDIV,0.7567846480837997
EDV,-0.14871412960352345
EDZ,-0.7685236239437176
EELV,0.7421971301948853
EEM,0.7759171991731274
EEMA,0.6534167724781691
EEMV,0.7430233698549243
EFA,0.6942861205741647
EFG,0.6428236044281179
EFV,0.7076239493855027
EFZ,-0.6865754627931511
EIDO,0.6045214430538354
EMB,0.5240919055276272
EMHY,0.5691770518446748
EMLC,0.6727952063177012
ENFR,0.5825965806214438
ENOR,0.6650421871000991
ENZL,0.5526115865666067
EPHE,0.5828410707729371
EPI,0.579854329134042
EPOL,0.5892441399284934
EPP,0.7104252910995434
EPS,0.6378058611852702
EPV,-0.6648707588824455
EQWL,0.6182501295895049
ERX,0.6079131403589945
ERY,-0.6192306205451806
EUFN,0.6351398681302691
EUM,-0.7695887582701268
EURL,0.6630083718342575
EUSA,0.6492310704950555
EWA,0.6927117935143432
EWC,0.7121172255577453
EWD,0.6164302052425745
EWG,0.6117084758308643
EWH,0.5433707397827349
EWI,0.6111405661603393
EWJ,0.5597561001350468
EWL,0.5879483376541391
EWM,0.561498873780623
EWP,0.6294072297146243
EWQ,0.6466820855249237
EWS,0.6279942934335543
EWT,0.6054178537274775
EWU,0.6781292371988985
EWV,-0.5454248781845408
EWW,0.7788240316072256
EWX,0.7369760318345575
EWY,0.6354158645567008
EWZ,0.9583328700031659
EWZS,0.8622789762764053
EZA,0.6998626564872092
EZU,0.6489072223004999
FAN,0.5794227709299737
FAS,0.6256913083099823
FAZ,-0.6306463209746812
FBT,0.3763174649847071
FCA,0.4291342265592012
FCG,0.5161895676661642
FCOM,0.5214517282324562
FDD,0.642445099767069
FDIS,0.5580478094451794
FDL,0.6337084593066937
FDN,0.47277132401359445
FDT,0.6896548898121173
FEM,0.7701976640874346
FEMS,0.7002992694957064
FENY,0.6047598375414193
FEZ,0.6397422789972632
FGD,0.7186152115474171
FHLC,0.4845357583358051
FIDU,0.6345558740934418
FIW,0.6166702587727808
FLOT,0.3341112024482904
FLRN,0.30245791952137846
FLTR,0.2949770917437962
FM,0.562666500087137
FMAT,0.6618459903953032
FMF,0.04594718346652135
FNCL,0.6173618483867246
FNDA,0.645046264055328
FNDB,0.665018044744743
FNDC,0.6808846588380207
FNDE,0.82035791561789
FNDF,0.7081133886066804
FNDX,0.6697717824649664
FPE,0.405706677414182
FRI,0.5086889436391588
FSTA,0.49553673729716613
FTA,0.664366396688357
FTC,0.568077051455721
FTCS,0.5892898470420487
FTEC,0.535736833557165
FTGC,0.40835075195689413
FTQI,0.33655454425465137
FTRI,0.6482768228213975
FTSL,0.3856294936527313
FUTY,0.4041848701193871
FVD,0.6279660443762569
FXH,0.48190241440356385
FXI,0.5232911701981422
FXL,0.5301366552631914
FXN,0.5862049099139394
FXO,0.6067387490005028
FXR,0.6303723307536455
FXU,0.4866858217034863
FXY,-0.07306043167292234
FXZ,0.6650775733734088
FYLD,0.6571081249274533
GCC,0.3795151752646374
GDX,0.25561577634012483
GDXJ,0.2964654349693565
GLD,0.11923670755584392
GLTR,0.2560388367463225
GMF,0.6511184019087238
GNR,0.7440020449283797
