ETF2,Correlation
AAXJ,0.7008314888699625
ACWI,0.9219533218519006
ACWV,0.8708179003801345
ACWX,0.8374439670003597
AFK,0.6043116158521485
AGG,0.05864698950267052
AGQ,0.2289451754735829
AGZD,0.05785734249625063
AIA,0.6475814491116685
AMLP,0.5352687039200257
ANGL,0.6116355863710426
AOA,0.8988918013194364
AOK,0.7569938433930047
AOM,0.8254688756918471
AOR,0.8872058377062478
ARGT,0.6162155695035061
ASEA,0.6220334752702155
ASHR,0.3842731955537069
BAB,0.021225753693061917
BIL,0.0017876027240037926
BIV,-0.007427976759965426
BIZD,0.6233441341398841
BKLN,0.6281795499686936
BLV,0.013973612848213374
BND,0.06668870300496037
BNDX,0.10068869468553909
BNO,0.29950099379326844
BOIL,0.09348736634167419
BOND,0.12123833440653663
BRZU,0.5168501673968565
BSV,0.022958785459968243
BTAL,-0.3268436563531247
BWX,0.11214172543796912
BWZ,0.13570134426906913
BZQ,-0.5073659415472712
CANE,0.11878446561486325
CEMB,0.3704157092639775
CGW,0.8827152622042412
CHIQ,0.49545945079495873
CMBS,-0.05739233514947044
CMF,0.07505295814448387
COPX,0.6311779295946962
CORN,0.0667589032301409
CORP,0.19408684222944345
CPER,0.22680702104794936
CQQQ,0.4964897612362492
CURE,0.7685676141196212
CWB,0.8134468631478956
CWI,0.8314307952777864
CXSE,0.4571267144452784
DBA,0.20305999945857714
DBB,0.29183978931557875
DBC,0.34525090473172076
DBEF,0.7994336649324589
DBEU,0.8017861254288484
DBJP,0.6760127774661214
DBO,0.3179102663086039
DDM,0.9088271201598616
DEM,0.6969475437548024
DES,0.8801770607882917
DEW,0.8617421248235946
DFJ,0.6633815995639617
DGP,0.007324205830771114
DGRE,0.6872300082901441
DGRS,0.8884796047529713
DGRW,0.9188271997205106
DGS,0.7288536318725056
DHS,0.8757177305013197
DIA,0.913545588761356
DIG,0.6266620143813402
DIV,0.771929858586654
DJP,0.34081314949651986
DLN,0.9231053265023997
DLS,0.810903899579018
DNL,0.8039680408726102
DOG,-0.9113575437220086
DON,0.9395216355549407
DRN,0.7525494091403847
DRV,-0.793753945243865
DSI,0.9249501276957355
DTD,0.9323446274379189
DTH,0.7913790515530802
DUG,-0.6460300797754966
DUST,-0.16078098703979773
DVY,0.8825741457183395
DVYE,0.672197009295207
DWAS,0.8212896544537097
DWM,0.8183711860595957
DXD,-0.9123523995419072
DXJ,0.6759275858713785
DXJS,0.6287919719664299
EBND,0.48120006360002393
ECH,0.557837246180344
ECNS,0.4498787924374485
EDC,0.7233694603142922
EDIV,0.6637682777698417
EDV,-0.20134735191290637
EDZ,-0.7263294146347262
EELV,0.691438540442682
EEM,0.7291903851457047
EEMA,0.6818036649523204
EEMV,0.717818755578291
EFA,0.8324095142144818
EFG,0.8208512484373023
EFV,0.8052879400327252
EFZ,-0.8332218117070472
EIDO,0.5920821405557687
EMB,0.5523705070821332
EMHY,0.6155767419794413
EMLC,0.48451478642310236
ENFR,0.6361840143724405
ENOR,0.6805331348734499
ENZL,0.622584652006182
EPHE,0.5802547946021439
EPI,0.603487863634607
EPOL,0.6033006473760864
EPP,0.7811173914702867
EPS,0.9289173929201543
EPV,-0.8112879342149903
EQWL,0.9006567272902692
ERX,0.6338074893012309
ERY,-0.6543076316527293
EUFN,0.7379739310698169
EUM,-0.7260544915739326
EURL,0.8045558379718483
EUSA,0.960683675502832
EWA,0.7761551743776511
EWC,0.7935857724688693
EWD,0.7625733138747416
EWG,0.7660062556509819
EWH,0.5678748694535024
EWI,0.7043500795575335
EWJ,0.7088158093516613
EWL,0.7337435221312889
