ETF2,Correlation
AAXJ,0.5629498460616776
ACWI,0.7736195131275921
ACWV,0.7332995799223526
ACWX,0.7139137934473354
AFK,0.5142319222629712
AGG,0.056710245411000504
AGQ,0.1798016331101554
AGZD,0.08668324580584975
AIA,0.5109987899160721
AMLP,0.5342930588940734
ANGL,0.5332849298072981
AOA,0.7710053643315125
AOK,0.642859517504112
AOM,0.6940213098336646
AOR,0.7515791040640459
ARGT,0.5240059193519704
ASEA,0.545487932091166
ASHR,0.30680133727177733
BAB,0.01052588254226303
BIL,0.0010953044800378299
BIV,-0.01908574894358443
BIZD,0.6042630603321919
BKLN,0.5520496422535686
BLV,-0.0030898334921759243
BND,0.05490358763290486
BNDX,0.06576500079268631
BNO,0.30218820965500465
BOIL,0.05758545564221526
BOND,0.09353145812008512
BRZU,0.49156644905363317
BSV,0.00364797612280463
BTAL,-0.30897160515249933
BWX,0.09152815480183242
BWZ,0.10222005340823706
BZQ,-0.47197694857139044
CANE,0.12396410532945355
CEMB,0.3105683602255796
CGW,0.7362658536272564
CHIQ,0.37844469409850956
CMBS,-0.05977129906664941
CMF,0.09060606120725899
COPX,0.5290643354716812
CORN,0.09055817080543889
CORP,0.17347751734980246
CPER,0.1928668152664844
CQQQ,0.37594232389989996
CURE,0.6279566666171985
CWB,0.6792570329882782
CWI,0.7066647979516201
CXSE,0.34164133641454975
DBA,0.18572874946655168
DBB,0.24730929055120254
DBC,0.32886465421431005
DBEF,0.6958368120836808
DBEU,0.6985371855869886
DBJP,0.5861784228593164
DBO,0.31175437486670243
DDM,0.8327258228874597
DEM,0.5989579267833047
DES,0.7960264977004584
DEW,0.7665263588782794
DFJ,0.5793908525909282
DGP,-0.002602611636664641
DGRE,0.5659473803154531
DGRS,0.7719862138522888
DGRW,0.7852661931616121
DGS,0.6169143056324162
DHS,0.7805848683696673
DIA,0.8323667651712723
DIG,0.6447262000098034
DIV,0.7227325307758105
DJP,0.3087492972042412
DLN,0.80316097753877
DLS,0.7026047757349602
DNL,0.6615735739801358
DOG,-0.831810180288424
DON,0.8362603539470334
DRN,0.6293070261291425
DRV,-0.6415014375466386
DSI,0.7555641181762573
DTD,0.812483267204069
DTH,0.6990381021170083
DUG,-0.6567442026090707
DUST,-0.12207853787804955
DVY,0.7978135787430646
DVYE,0.5864181866888107
DWAS,0.7118224924230829
DWM,0.7118367624639248
DXD,-0.8322506860674033
DXJ,0.6002919714822209
DXJS,0.5555759324367199
EBND,0.37890012199797934
ECH,0.4877771984165697
ECNS,0.3551415393007455
EDC,0.5961359441846238
EDIV,0.5691962251360658
EDV,-0.21279653417250358
EDZ,-0.5953063144492303
EELV,0.5852169337070876
EEM,0.5986120321120217
EEMA,0.5464324731278466
EEMV,0.6005958460058558
EFA,0.7176569833581752
EFG,0.6745321209321614
EFV,0.7209249570612257
EFZ,-0.7147805173428747
EIDO,0.5344068200034693
EMB,0.472652256396688
EMHY,0.526000795099624
EMLC,0.4078971716960154
ENFR,0.6189273490678636
ENOR,0.6227078015584121
ENZL,0.5262947520539122
EPHE,0.4915548041021018
EPI,0.524058756470298
EPOL,0.5104785695743056
EPP,0.6666520430485517
EPS,0.7906337720665527
EPV,-0.6961556814277096
EQWL,0.7852063558942826
ERX,0.646613404920134
ERY,-0.6540689811831424
EUFN,0.6717573206537814
EUM,-0.5957595999220493
EURL,0.6949362107801764
