ETF2,Correlation
AAXJ,0.6810648830554358
ACWI,0.9206920299744586
ACWV,0.8799432199738545
ACWX,0.8404008064071541
AFK,0.5921053493015825
AGG,0.04238620352350234
AGQ,0.19511480064498035
AGZD,0.07513179772401589
AIA,0.6238220815756179
AMLP,0.5878758914499433
ANGL,0.6156958302735839
AOA,0.9086310131466919
AOK,0.7435921118506428
AOM,0.8140809737264768
AOR,0.885193093536333
ARGT,0.5920684544160235
ASEA,0.631686203975861
ASHR,0.37809984290832754
BAB,0.0024548593344077643
BIL,-0.0013985625132245045
BIV,-0.039746835158995075
BIZD,0.6370230567779163
BKLN,0.5938829647150025
BLV,-0.018318097722594993
BND,0.059142745509191054
BNDX,0.0565929330543085
BNO,0.35929879466868586
BOIL,0.0907818600298792
BOND,0.0929896650577822
BRZU,0.5535123659144774
BSV,-0.026305585199107348
BTAL,-0.33134384868567945
BWX,0.09551081006907972
BWZ,0.12265392572737618
BZQ,-0.524442608906597
CANE,0.1264557913561905
CEMB,0.33545223804672897
CGW,0.8660610414061419
CHIQ,0.4496028885702657
CMBS,-0.05159857675257861
CMF,0.07120846960785192
COPX,0.6338399427965722
CORN,0.0800027507128915
CORP,0.1727003349363913
CPER,0.23727460676680528
CQQQ,0.45312928031019123
CURE,0.8004214958579353
CWB,0.754581050079234
CWI,0.8370638251897019
CXSE,0.41556480191754375
DBA,0.20634308979345903
DBB,0.31659519470876474
DBC,0.3879376778964682
DBEF,0.8148546558429474
DBEU,0.817041578984997
DBJP,0.6941384990207253
DBO,0.37163946033466166
DDM,0.956663984711506
DEM,0.7166815687463202
DES,0.8939626429207748
DEW,0.9137741747933471
DFJ,0.670894771106745
DGP,-0.010504708936756509
DGRE,0.6772946537138644
DGRS,0.8618692437120195
DGRW,0.9453022578293482
DGS,0.7309063287484557
DHS,0.936557392606483
DIA,0.9559159181708549
DIG,0.7167351592446056
DIV,0.8050839191384527
DJP,0.36614671491819284
DLN,0.9684535500792344
DLS,0.8170792799011387
DNL,0.790555546465805
DOG,-0.9531370563385227
DON,0.9427397846946226
DRN,0.7312389923270685
DRV,-0.7524806861535103
DSI,0.9184733734967
DTD,0.9702488593447802
DTH,0.8179382968983865
DUG,-0.7299149171520313
DUST,-0.14421528335342024
DVY,0.9379481440003034
DVYE,0.7022553514397398
DWAS,0.7607802066209208
DWM,0.8373633110764115
DXD,-0.9554967038272222
DXJ,0.7009311899825019
DXJS,0.6529577534402399
EBND,0.47912337311536124
ECH,0.5570690517212403
ECNS,0.4306960195630741
EDC,0.7158026449182332
EDIV,0.6819744455362321
EDV,-0.24511511453640314
EDZ,-0.7170792323450842
EELV,0.7015144595127656
EEM,0.7193611547502172
EEMA,0.6655148340155609
EEMV,0.7173486181681501
EFA,0.8422133355335756
EFG,0.8021875306080216
EFV,0.8379850613994527
EFZ,-0.8396841410411742
EIDO,0.6094142756242665
EMB,0.528615148480879
EMHY,0.5979138032859093
EMLC,0.4934473513789924
ENFR,0.6843424149307256
ENOR,0.7138434218861497
ENZL,0.6173723333809455
EPHE,0.5802385658612754
EPI,0.6131405558018483
EPOL,0.6083359631336883
EPP,0.7892617630337083
EPS,0.9500297173939899
EPV,-0.8156004747875703
EQWL,0.9296340564743053
ERX,0.7300537646654671
ERY,-0.7418233598598328
EUFN,0.7741139453661944
EUM,-0.7153291484609764
EURL,0.8144716831146207
EUSA,0.9449503451289097
EWA,0.7842855008950402
EWC,0.8205145243099007
EWD,0.7595667462296098
EWG,0.7690836523016059
EWH,0.5680495163618501
EWI,0.7350377670822374
EWJ,0.7125166671642297
EWL,0.7372852198824653
EWM,0.5148693919689511
EWP,0.7358411685512657
EWQ,0.7895720730249326
EWS,0.6775150388895284
EWT,0.6258924739274142
EWU,0.8010440450059078
EWV,-0.7049357636414625
EWW,0.6540525581491555
EWX,0.7227113723851664
EWY,0.6662296042583595
EWZ,0.578850332387685
EWZS,0.5182613405667981
EZA,0.6280867362568529
EZU,0.7950841266258857
FAN,0.6895752879528547
FAS,0.9385881246259316
FAZ,-0.9412758330009829
FBT,0.6039694276546168
FCA,0.41932367493846595
FCG,0.5875259485467921
FCOM,0.7512672063082588
FDD,0.7670217549538955
FDIS,0.8103927741360628
FDL,0.91190460299552
FDN,0.6758313052070642
FDT,0.8065128471373705
FEM,0.6990633167383492
FEMS,0.6452354045611373
FENY,0.7262588621599253
FEZ,0.7939589276488862
FGD,0.8569524618297266
FHLC,0.8044672504552681
FIDU,0.9330154690852385
FIW,0.890142538826008
FLOT,0.3743543962408266
FLRN,0.3387368072282395
FLTR,0.3179256986412604
FM,0.5882759492007525
FMAT,0.8954949104205302
FMF,0.03240211055001219
FNCL,0.9292367478243025
FNDA,0.9138427775006268
FNDB,0.9734279681103717
FNDC,0.8349912437551188
FNDE,0.718346024946969
FNDF,0.8500555630324927
FNDX,0.9809876939853996
FPE,0.4996524448138921
FRI,0.7465865377930975
FSTA,0.7738615237933331
FTA,0.9542032693856195
FTC,0.8166984486195193
FTCS,0.9137344381201362
FTEC,0.7778366738856844
FTGC,0.3472070584273039
FTQI,0.5299740991987665
FTRI,0.631568882537914
FTSL,0.480645805077828
FUTY,0.6287972553784152
FVD,0.9386640287992216
FXH,0.7766385084453727
FXI,0.5095889454107329
FXL,0.7559594344260395
FXN,0.6900140931465801
FXO,0.8981561583876599
FXR,0.918880589296553
FXU,0.7225017911891276
FXY,-0.22260922551586074
FXZ,0.8621594603814537
FYLD,0.7703778742604906
GCC,0.3062978421696351
GDX,0.16676498760304484
GDXJ,0.20911980994060617
GLD,0.013380895049686767
GLTR,0.16077254575632596
GMF,0.6707753469685358
GNR,0.8122471209226392
GOVI,-0.24068306431591477
GOVT,-0.23891648296629747
GREK,0.5683848701140156
GRID,0.7344148758710417
GRPM,0.8967639806437195
GSG,0.3830064712128588
GSY,0.17656418016513575
