ETF2,Correlation
AAXJ,0.7164344009185822
ACWI,0.9308483054184746
ACWV,0.8273558231243104
ACWX,0.8065628725005859
AFK,0.5547188578131832
AGG,0.09558907546587571
AGQ,0.20421049382238965
AGZD,0.05561429920970302
AIA,0.6739396946838808
AMLP,0.43525144066547544
ANGL,0.5907746839046393
AOA,0.9096137973686379
AOK,0.7706011513955731
AOM,0.8327133335441234
AOR,0.8923065810726195
ARGT,0.6012425693342898
ASEA,0.5802661008061711
ASHR,0.38586400458196407
BAB,0.03367135178217122
BIL,-0.007480368818005952
BIV,0.030144222654783906
BIZD,0.5077782083709951
BKLN,0.53488773842346
BLV,0.05412932120160483
BND,0.10974806463655386
BNDX,0.10844629963500824
BNO,0.25400010673001355
BOIL,0.0728895131353743
BOND,0.13016161095600592
BRZU,0.46997475046220677
BSV,0.020234906665541712
BTAL,-0.2817339775706953
BWX,0.11961072392926646
BWZ,0.12836826919407893
BZQ,-0.45184655406528
CANE,0.09252387715328692
CEMB,0.3314034962814324
CGW,0.7929644277768749
CHIQ,0.5223501758220492
CMBS,-0.018051920874464843
CMF,0.0731616852307748
COPX,0.5487103466361669
CORN,0.045506359850914016
CORP,0.2205964500537542
CPER,0.20852242312949687
CQQQ,0.5325292082351518
CURE,0.7806486499579743
CWB,0.833369239767689
CWI,0.8045151967636937
CXSE,0.48562800199953216
DBA,0.17007918728198487
DBB,0.265285945073219
DBC,0.28718721229876315
DBEF,0.7678964324132165
DBEU,0.7620819821660911
DBJP,0.6674684298669199
DBO,0.25899307402245353
DDM,0.8784383468877436
DEM,0.6550997858985672
DES,0.6940382772113449
DEW,0.7492602130214956
DFJ,0.6375844313526728
DGP,0.005483265340245875
DGRE,0.6709528432542455
DGRS,0.689354857100742
DGRW,0.9121675861784927
DGS,0.7021990591464302
DHS,0.732886029936025
DIA,0.8787934099266723
DIG,0.49457352774422375
DIV,0.6024023264519007
DJP,0.28336166556616316
DLN,0.8740408737725626
DLS,0.7580498343355941
DNL,0.7969775179775903
DOG,-0.8764468156778913
DON,0.7626346641220075
DRN,0.6360309669042196
DRV,-0.657472053279896
DSI,0.9689827442196874
DTD,0.859184238791491
DTH,0.7050434395631971
DUG,-0.5100906389502218
DUST,-0.13505921180378816
DVY,0.7107045878097336
DVYE,0.6278051527509659
DWAS,0.7647717421915283
DWM,0.7642275740112917
DXD,-0.8779611846923638
DXJ,0.6457529412790904
DXJS,0.6085698401469554
EBND,0.452334481337589
ECH,0.48120225070606076
ECNS,0.4481829503502869
EDC,0.724003514738862
EDIV,0.6325422974585978
EDV,-0.16125417619118257
EDZ,-0.727206363429755
EELV,0.6579011731230661
EEM,0.7257838631369317
EEMA,0.7026120554770132
EEMV,0.7021338425963566
EFA,0.793736201266515
EFG,0.8309000742740122
EFV,0.7154614722688838
EFZ,-0.7948470775100663
EIDO,0.5577965989996262
EMB,0.5359257451534287
EMHY,0.577958696218341
EMLC,0.45431161029755884
ENFR,0.5122325868873983
ENOR,0.6197937734791714
ENZL,0.5832079191645699
EPHE,0.5375760505175281
EPI,0.5777454498618284
EPOL,0.5731611128714549
EPP,0.738550761366678
EPS,0.9243144685782585
EPV,-0.7626954955992948
EQWL,0.8449449576901417
ERX,0.5151894117375346
ERY,-0.5294907604960751
EUFN,0.641156141894962
EUM,-0.7267511127507184
EURL,0.7595058667919533
