ETF2,Correlation
AAXJ,0.7356397465806165
ACWI,0.9693959635242171
ACWV,0.8875957760223203
ACWX,0.8589915452037274
AFK,0.6024042499106
AGG,0.07798657671879607
AGQ,0.2142469803794748
AGZD,0.06874039166584837
AIA,0.6846161733201996
AMLP,0.5223111962642417
ANGL,0.6289159511452759
AOA,0.9503875182125052
AOK,0.7948044224619708
AOM,0.8642748375145116
AOR,0.9302302117491923
ARGT,0.6312733108939363
ASEA,0.6299306964545948
ASHR,0.4028224651332176
BAB,0.02561728367124753
BIL,-0.007166898856630734
BIV,0.002947115390917215
BIZD,0.5882042238202191
BKLN,0.5869560277659901
BLV,0.027179947169621868
BND,0.09150925933816319
BNDX,0.09435904681663557
BNO,0.3122344537768599
BOIL,0.086017701163021
BOND,0.12088181724064946
BRZU,0.5270624284104557
BSV,0.0019627202980946265
BTAL,-0.31424968035484224
BWX,0.1172580730074076
BWZ,0.1334102286086883
BZQ,-0.5054607447884848
CANE,0.1128169823199684
CEMB,0.3519211699756878
CGW,0.861909246057613
CHIQ,0.5193084509387864
CMBS,-0.03574269072210716
CMF,0.073601033376765
COPX,0.6154657682522859
CORN,0.06266049440353894
CORP,0.21263578590965887
CPER,0.23019927375816301
CQQQ,0.5259630437269617
CURE,0.8224316835861772
CWB,0.8455041083038489
CWI,0.8558866724601984
CXSE,0.4811265285388467
DBA,0.19536580499808942
DBB,0.29956889087690275
DBC,0.34691786818099374
DBEF,0.8218132467636652
DBEU,0.8191601761507681
DBJP,0.7075307350400701
DBO,0.32244759664860323
DDM,0.9497086876271221
DEM,0.7135003712682183
DES,0.8151325600141043
DEW,0.8532231290695432
DFJ,0.6800897634009149
DGP,0.0026846244622167176
DGRE,0.7064107371743724
DGRS,0.8020327952811621
DGRW,0.9658759075480612
DGS,0.7483718474041984
DHS,0.8536904995825253
DIA,0.9503248250734656
DIG,0.6114686157270558
DIV,0.7189921721003378
DJP,0.33586514436638626
DLN,0.9524907301394829
DLS,0.8181828638245809
DNL,0.8314729456388895
DOG,-0.9474864593871111
DON,0.8784226234048779
DRN,0.706112781787766
DRV,-0.7313629897511323
DSI,0.9896051953724986
DTD,0.9449289859410197
DTH,0.7870831916124015
DUG,-0.6273329027078788
DUST,-0.1514448065805896
DVY,0.8396099278796804
DVYE,0.6891124029933555
DWAS,0.8080405706305519
DWM,0.8308015587394654
DXD,-0.9494121937972074
DXJ,0.6978821465269693
DXJS,0.6541225664519009
EBND,0.4853105194591692
ECH,0.5382172191771613
ECNS,0.4648913164196214
EDC,0.7554466499659808
EDIV,0.6828121972303186
EDV,-0.20243596002468825
EDZ,-0.7580535122690953
EELV,0.7066303126782828
EEM,0.7581947711290419
EEMA,0.7197636722656056
EEMV,0.7419491753639536
EFA,0.8508402220574562
EFG,0.8567646132431292
EFV,0.8011856056386204
EFZ,-0.8504367797357152
EIDO,0.6054201359360547
EMB,0.5596045653683627
EMHY,0.6147728296870156
EMLC,0.49371297551604276
ENFR,0.6112430208552727
ENOR,0.6895294601627675
ENZL,0.6251425577943567
EPHE,0.580814868462588
EPI,0.6193730207528705
EPOL,0.6156769501743478
EPP,0.7939677199433806
EPS,0.9748833945288846
EPV,-0.8215163377720159
EQWL,0.9188395710200045
ERX,0.6303953492316043
ERY,-0.6450696742087922
EUFN,0.72759853036466
EUM,-0.7571708988745531
EURL,0.8182503023693429
EUSA,0.9499574747669034
EWA,0.7841477618921003
EWC,0.8007150825052018
EWD,0.7704130393430971
EWG,0.7817752349549031
EWH,0.5739600106973637
EWI,0.7177519558947302
EWJ,0.734643117365166
EWL,0.7574280887111173
EWM,0.5229364078606628
EWP,0.7015998569634269
EWQ,0.7820265819384669
EWS,0.6907209081017806
EWT,0.677571894623514
EWU,0.7684382074791369
EWV,-0.7271805116040817
EWW,0.6339272185890215
EWX,0.7469765492297625
EWY,0.6993874096228468
EWZ,0.5558192582184852
EWZS,0.5080277955718185
EZA,0.6336587676407327
EZU,0.802769832366527
FAN,0.7138252937958783
FAS,0.8801834850387324
FAZ,-0.8846087843705871
FBT,0.6706970274662806
FCA,0.4316238858256428
FCG,0.5036115824786679
FCOM,0.831262877040278
FDD,0.7274400667211663
FDIS,0.9087567533925015
FDL,0.821140846312489
FDN,0.8417241895432038
FDT,0.8209765916248722
FEM,0.7116535323088499
FEMS,0.6564846063368975
FENY,0.6240433290694786
FEZ,0.8026188255141924
FGD,0.7999296291754554
FHLC,0.8405624625875218
FIDU,0.899805589282545
FIW,0.872128315055932
FLOT,0.36099387296849156
FLRN,0.3254114575033331
FLTR,0.3136504978536058
FM,0.6013315853208868
FMAT,0.8544141526258983
FMF,0.015894761520009085
FNCL,0.8529866479845883
FNDA,0.8705728411823278
FNDB,0.9449310340884975
FNDC,0.8362754664610761
FNDE,0.7177203710389016
FNDF,0.8236935831328942
FNDX,0.9530168137192332
FPE,0.5014924886505706
FRI,0.7175505964521699
FSTA,0.7523958842800683
FTA,0.8723459215036521
FTC,0.9288353186098668
FTCS,0.9324149147870521
FTEC,0.928550734989759
FTGC,0.32099933547249077
FTQI,0.5754666300424996
FTRI,0.5804460334216393
FTSL,0.46614019774698434
FUTY,0.582420818324287
FVD,0.8806617688591756
FXH,0.8306315331531807
FXI,0.5525189518729722
FXL,0.891613873580422
FXN,0.6043988724907859
FXO,0.816947896812485
FXR,0.8909633816073995
FXU,0.657115158334186
FXY,-0.20782425809588242
FXZ,0.8031797123045795
FYLD,0.738260347528521
GCC,0.2825144808394356
GDX,0.17795431026353045
GDXJ,0.220600285177391
GLD,0.03732781819665952
GLTR,0.17617158677556052
GMF,0.7280620100834795
GNR,0.7572698402537814
GOVI,-0.19764194831049295
GOVT,-0.1982923399888689
GREK,0.563155043455027
GRID,0.7538367110500734
GRPM,0.8623043896421998
GSG,0.341178473243294
GSY,0.15946751518826882
GUNR,0.740865871514538
GVI,-0.0012012760570605182
GWX,0.8129607938806419
GXC,0.570739647742994
HAUZ,0.6191480364132058
HDGE,-0.7962085750528736
HEDJ,0.8043008008547501
HYD,0.3522860639012849
HYEM,0.4585350448510347
HYG,0.758178270260598
HYLS,0.5878151593063153
HYMB,0.3139311996683273
HYS,0.711788013247653
HYZD,0.4536527545364234
IAI,0.8348299888178421
IAK,0.7764934929684886
IAT,0.7101553849331304
IAU,0.036827686541429906
IBB,0.7001043637026831
IBND,0.20153311637954416
ICF,0.709276321508532
ICLN,0.6882731060716669
ICSH,0.11480225643573293
IDHQ,0.7597605897325089
IDLV,0.7970127303604595
IDMO,0.5950602068486395
IDU,0.5883370018938446
IDV,0.7923151317344977
IDX,0.6044202270968533
IEF,-0.18262259138947382
IEFA,0.849293989109816
IEI,-0.14780949597616977
IEMG,0.7657760671040923
IEO,0.5965128987740644
IEV,0.8228270367710887
IEZ,0.5633277035847192
IGE,0.684479933938521
IGF,0.7949589804329874
IGIB,0.2627967543133011
IGLB,0.2188992996940698
IGM,0.9204010274578338
IGOV,0.09916565237856659
IGPT,0.7978888552007806
IGSB,0.2563618412220377
IGV,0.8498437087885811
IHE,0.7253001722639738
IHF,0.7459915882411605
IHI,0.8258247574681529
IJH,0.9195470388029733
IJJ,0.8738103387346614
IJK,0.93006769495794
IJR,0.8529037381098258
IJS,0.7846862964072264
IJT,0.8777666252363502
ILCB,0.9844835965584225
ILCG,0.947294576818812
ILCV,0.927171786135606
ILF,0.6369081137627105
ILTB,0.046755778746855575
IMCB,0.9408504533592984
IMCG,0.9204298337633767
IMCV,0.8674529771723791
INCO,0.561499894142242
INDA,0.6461737943364034
INDL,0.6143105312028796
INDY,0.6274851949925696
IOO,0.959532519395689
ISCG,0.8694991552207291
ISHG,0.10788712381258261
ISTB,0.14806289592791652
ITA,0.782098261067074
ITB,0.7195683118524243
ITM,0.10679655915951185
ITOT,0.9972343955534597
IUSV,0.9376474168030282
IVE,0.9393736245166369
IVOO,0.9163932969391997
IVV,0.9974637731039877
IVW,0.9675029636631064
IWC,0.8045746679058786
IWD,0.9427031630181679
IWF,0.963534824434991
IWL,0.9848891429744958
IWM,0.8797385319379407
IWN,0.8337579047464764
IWO,0.8763274815451341
IWP,0.9383150004949591
IWR,0.9620410469930842
IWS,0.9232672615346714
IWV,0.9980181527818831
IWX,0.927088804564513
IWY,0.9500696201925612
IXC,0.6460002195577621
IXJ,0.8378415265498507
IXN,0.9263800352171877
IXUS,0.8574712662420553
IYC,0.9274442223646532
IYE,0.6348245407233468
IYF,0.8875191672512305
IYG,0.8685014517751778
IYH,0.8323764087646469
IYJ,0.936888069338505
IYK,0.8054002555315978
IYR,0.7516829585849374
IYT,0.8355400978823033
IYY,0.9964484203367232
IYZ,0.8004701592313764
JDST,-0.18150364904550964
JNK,0.7510397419808446
JNUG,0.14557293775084143
JPXN,0.7033749166865554
JXI,0.6727484954749294
KBE,0.717685792589003
KBWB,0.7490289083249826
KBWP,0.681348768073699
KBWY,0.6339808642495549
KCE,0.857733797722766
KIE,0.8060292651082944
KOLD,-0.08849950996284917
KORU,0.666857029765698
KRE,0.6796973650584355
KWEB,0.4794113233818985
LDUR,0.023997174378911506
LEMB,0.48979497608757944
LIT,0.6793900685549842
LQD,0.24829174096266393
LTPZ,-0.06148744239082053
MBB,0.13511837506428315
MCHI,0.5659011605142695
MDIV,0.6757074827046197
MDY,0.9191611661540164
MDYG,0.9262915690689014
MDYV,0.8659283069151678
MGC,0.9926348957101586
MGK,0.9507701437711389
MGV,0.9261716096514576
MIDU,0.9151004249663623
MINT,0.1603858018017413
MLN,0.2032891720299559
MLPA,0.5065972936783041
MLPX,0.6140378528094966
MNA,0.5034092088100461
MOAT,0.9312729626328021
MOO,0.8385984927076552
MORT,0.5432192919861535
MTUM,0.9032859521282441
MUB,0.20465079887786417
MUNI,0.13248176635664938
NEAR,0.06860570938750979
NFRA,0.8634991100318928
NFTY,0.44223446628897073
NLR,0.6461207341009086
NOBL,0.9039159345613434
NUGT,0.1414013520431775
NYF,0.17654036255876562
OEF,0.9867632162620029
OIH,0.5516796801109215
ONEQ,0.9432594906266534
PALL,0.27964811095061753
PBD,0.7337411115959355
PBE,0.6721444407571311
PBJ,0.7377064427076193
PBW,0.6926761265692227
PCEF,0.7488434390527684
PCY,0.5476222304699618
PDN,0.8189526380030909
PEY,0.7871347293484603
PFF,0.6169750866089805
PFM,0.9363246775110963
PFXF,0.6316418099400152
PGHY,0.32216835136505767
PGJ,0.508479422145495
PGX,0.4950012170608732
PHB,0.7038792811230727
PHO,0.8809395318591062
PICB,0.27253205288880006
PICK,0.6715461900877856
PID,0.7976801049052471
PIE,0.7032269616009199
PIZ,0.8190020262610221
PNQI,0.8131840551920675
PPA,0.8286649309327303
PPH,0.7556729032086513
PPLT,0.30761894878915724
PRF,0.9496888075936684
PRFZ,0.8692888085556401
PSI,0.795276917471785
PSK,0.49213059386956476
PSQ,-0.9245224689471749
PWV,0.9028168376333421
PWZ,0.13730313295258756
PXE,0.5610393040591874
PXF,0.825045414097924
PXH,0.7119716296434772
PZA,0.13885995603080412
PZT,0.1852614012363856
QAI,0.7670918548171847
QCLN,0.7374984593387015
QDF,0.964275714536434
QID,-0.9279626656003258
QLD,0.9287664924574256
QLTA,0.21399515498623645
QQEW,0.9471748088168255
QQQ,0.9282678800247306
QQQE,0.9407559530493891
QTEC,0.884382554029393
QUAL,0.9822570314614021
QYLD,0.8223956437449859
RAVI,0.06422371512570346
RDIV,0.7598239128562457
RDVY,0.9089938117379571
REM,0.579147504859606
REMX,0.6004529148820459
RETL,0.7093947619230864
REZ,0.6319070894575025
RIGS,0.5130270357225841
RING,0.1965722235140369
RLY,0.7111486223714648
ROBO,0.8837145113498222
ROM,0.9038579401554755
RPG,0.9394436335008495
RPV,0.8402638767402857
RSP,0.9537090610829366
RSPD,0.8506583123891437
RSPG,0.6059635489239569
RSPH,0.8560130962590692
RSPM,0.8096727215897165
RSPN,0.8826710987961356
RSPS,0.7054333147248028
RSPT,0.9373913663868729
RSPU,0.5928051648621017
RWJ,0.7668724252814824
RWK,0.8625406555673967
RWL,0.9472744111158695
RWM,-0.8772868949218685
RWO,0.7527078187372062
RWR,0.7113897514528772
RWX,0.6789801172921903
RXD,-0.7333673352055338
SCHA,0.8972388823367762
SCHB,0.9959692572065195
SCHC,0.8355559856005876
SCHD,0.9019729625183479
SCHE,0.746435970844859
SCHF,0.8582906519811881
SCHG,0.9576622353827733
SCHH,0.7183783355266504
SCHM,0.9372177064482067
SCHO,-0.11550465591610282
SCHP,0.010222059793880276
SCHR,-0.16793023612070196
SCHV,0.9416724267229327
SCHX,0.9965616729125989
SCHZ,0.07578498191612824
SCJ,0.6780419265870726
SCO,-0.20111021206813834
SCZ,0.8307138021831839
SDIV,0.75573069099008
SDOG,0.8446526212680586
SDOW,-0.45572347437725325
SDP,-0.5355963805574772
SDS,-0.9957306151942379
SDY,0.8664156403284587
SGOL,0.03401642152247345
SH,-0.9933451874595391
SHM,0.15533150709906218
SHV,-0.03438115176426574
SHY,-0.08353397690895546
SHYD,0.2831316165922433
SHYG,0.7298990011336137
SIJ,-0.7385221766045516
SIL,0.254818226706284
SILJ,0.2655567831545976
SIVR,0.2117470773286965
SJB,-0.758491037648717
SJNK,0.7193320639263263
SKF,-0.8943208799119309
SKYY,0.8418814797157903
SLQD,0.21586722896545654
SLV,0.2115859038108632
SLVO,0.20760343747033164
SLVP,0.23693703590502685
SLYG,0.872860156194192
SLYV,0.805425173204867
SMB,0.15183294407886913
SMDD,-0.4918729780531654
SMH,0.8105673931152917
SMIN,0.5560724757194149
SMLV,0.7673662151317888
SMMU,0.08941756469990614
SOXL,0.812003888266307
SOXS,-0.8191026338518359
SOXX,0.8198316176020165
SOYB,0.11814091820262909
SPAB,0.0013343855638529717
SPBO,0.18929216704159657
SPDW,0.8637885072434984
SPEM,0.7524186271926693
SPEU,0.8171722223093772
SPGM,0.8519960442290062
SPGP,0.9327359513937713
SPHB,0.8838754312498442
SPHD,0.8024859881910064
SPHQ,0.9676597531652671
SPHY,0.5647992070734834
SPIB,0.21751305292258288
SPIP,0.012339392660402326
SPLB,0.19073752367261343
SPLG,0.9706635906636425
SPLV,0.8348764669612887
SPMB,0.2102968034364895
SPMD,0.887338632595141
SPSB,0.22090677835043346
SPSM,0.8516263373692308
SPTI,-0.1482538065787556
SPTL,-0.22976213641777898
SPTM,0.9777479252744292
SPTS,-0.08978147448781154
SPXL,0.9964484413360382
SPXS,-0.9960203224484291
SPXU,-0.9954267539033815
SPY,0.9952083337746175
