ETF2,Correlation
AAXJ,0.6205271009523059
ACWI,0.7939047967768734
ACWV,0.6830532442681012
ACWX,0.7364587281852797
AFK,0.5603848946908635
AGG,0.0793323186598087
AGQ,0.2242638257347258
AGZD,0.08043899070216956
AIA,0.5826330639296733
AMLP,0.5405848463049631
ANGL,0.540692782935569
AOA,0.7957324989747766
AOK,0.6728644285721005
AOM,0.7326096462987975
AOR,0.7796982350945577
ARGT,0.5784787358680268
ASEA,0.5203477165149206
ASHR,0.3353767840747493
BAB,0.019599940804837065
BIL,-0.0103810122912624
BIV,-0.0038280360898253533
BIZD,0.6064353917446615
BKLN,0.4953733271668585
BLV,0.011020623026102577
BND,0.06149682454084018
BNDX,0.06409248223481126
BNO,0.2727028792534293
BOIL,0.07023931950298476
BOND,0.10725148210363027
BRZU,0.45403274896027634
BSV,0.009645061481678773
BTAL,-0.39008963980280303
BWX,0.13968712645943304
BWZ,0.13584225138705297
BZQ,-0.4441466329536854
CANE,0.10235248422474873
CEMB,0.30649892091884057
CGW,0.7471653906205263
CHIQ,0.4842146231864401
CMBS,-0.04101055346082162
CMF,0.04472367247662183
COPX,0.5784277272071908
CORN,0.0723483220071073
CORP,0.17193088016849228
CPER,0.22267113098914626
CQQQ,0.48669939551827057
CURE,0.6298280311956004
CWB,0.7714214456857418
CWI,0.7336465989484432
CXSE,0.4365493235736408
DBA,0.18299788405609044
DBB,0.2839325066714973
DBC,0.3280873053166893
DBEF,0.6985589346595016
DBEU,0.6932363556601148
DBJP,0.5899089496963525
DBO,0.30573299496366474
DDM,0.7625893267340655
DEM,0.6162865801928243
DES,0.8923670948392176
DEW,0.7452268686841389
DFJ,0.5892541443982572
DGP,0.01854461666427379
DGRE,0.598097669829811
DGRS,0.8687149601636314
DGRW,0.7560919444023938
DGS,0.6319320042603386
DHS,0.7448728366932726
DIA,0.7632623889792507
DIG,0.6032859573105811
DIV,0.723511257076338
DJP,0.32022717911864995
DLN,0.7591794822235816
DLS,0.7289298617691689
DNL,0.6887865952338331
DOG,-0.7626493971070196
DON,0.8513103911401231
DRN,0.6205076245535821
DRV,-0.6373862650894254
DSI,0.7845305627985926
DTD,0.7826085416073987
DTH,0.6982781336915459
DUG,-0.6142542723013728
DUST,-0.16070441173736502
DVY,0.7559601807828438
DVYE,0.5930567214229202
DWAS,0.9162997173342128
DWM,0.7153398428327891
DXD,-0.7635036738245391
DXJ,0.5927061366947033
DXJS,0.5483393164406195
EBND,0.4231782769347266
ECH,0.5080099881396315
ECNS,0.42750418740024604
EDC,0.6429217370947898
EDIV,0.5764151452696773
EDV,-0.18546121342512728
EDZ,-0.6436826250754867
EELV,0.5975228679837535
EEM,0.6445529841499249
EEMA,0.6037042480929279
EEMV,0.6173416517025595
EFA,0.7287901416126744
EFG,0.7114609284762556
EFV,0.7106811890080063
EFZ,-0.7301606256007296
EIDO,0.49231068022094326
EMB,0.49342667707587196
EMHY,0.5352774072186898
EMLC,0.4389248585808668
ENFR,0.61008949292623
ENOR,0.6086785137589117
ENZL,0.5287164287317667
EPHE,0.4743639702845503
EPI,0.5244632879715077
EPOL,0.5395949866299284
