ETF2,Correlation
AAXJ,0.8787012476037187
ACWI,0.9482977849050792
ACWV,0.8567140309642677
ACWX,0.9936877971839861
AFK,0.7019072263475387
AGG,0.1093548586167871
AGQ,0.31502914143904387
AGZD,0.05602592244152999
AIA,0.8292010966767521
AMLP,0.5345647139751024
ANGL,0.6105437233192434
AOA,0.9295606848673957
AOK,0.791598849164138
AOM,0.8581296268188785
AOR,0.9162023006091179
ARGT,0.6651271518029938
ASEA,0.7417293322273956
ASHR,0.5069621188682609
BAB,0.04768814946176992
BIL,-0.0004098513688328927
BIV,0.03486906148964611
BIZD,0.5598481892675293
BKLN,0.5718254292820031
BLV,0.04358532327293534
BND,0.11226154890020433
BNDX,0.07804956137485222
BNO,0.35583238342799983
BOIL,0.07871375826695907
BOND,0.14647480020168777
BRZU,0.6287400444697167
BSV,0.04969481504637676
BTAL,-0.3169859969507502
BWX,0.27770404379322583
BWZ,0.3279523118815789
BZQ,-0.5865052872285258
CANE,0.15689103060589757
CEMB,0.39951832952601624
CGW,0.8564244690835
CHIQ,0.6519860142110543
CMBS,-0.015974210174214916
CMF,0.09399836342848295
COPX,0.7401914420855589
CORN,0.09450727428868708
CORP,0.22732302342079028
CPER,0.2922915527960364
CQQQ,0.6424613957560714
CURE,0.6795501579905456
CWB,0.782771438341094
CWI,0.9800278397038528
CXSE,0.6102612885235167
DBA,0.2496922990027846
DBB,0.3891150264622456
DBC,0.41911952357796517
DBEF,0.863609364949352
DBEU,0.8656095391223447
DBJP,0.7369987338929808
DBO,0.37651635861470134
DDM,0.8350299568407901
DEM,0.8558884861562439
DES,0.7513348613230948
DEW,0.8829359273249222
DFJ,0.7564910861167679
DGP,0.08847049201021794
DGRE,0.8368056491064951
DGRS,0.7325486152948452
DGRW,0.8271686456909967
DGS,0.8712287846675779
DHS,0.7759418701553318
DIA,0.8343412594617164
DIG,0.6256213359468554
DIV,0.6819173108756077
DJP,0.4200638821019188
DLN,0.8322088950346548
DLS,0.9328152143065067
DNL,0.9304493403151098
DOG,-0.8320594294613698
DON,0.8058269150807402
DRN,0.6217811556222211
DRV,-0.6372602993506525
DSI,0.849983655826161
DTD,0.832859795176297
DTH,0.9253180921405653
DUG,-0.6362814975170137
DUST,-0.2454461613005396
DVY,0.7628289217076661
DVYE,0.8325698463313288
DWAS,0.7229200167085196
DWM,0.9528037069324473
DXD,-0.833576611827393
DXJ,0.7272768566270027
DXJS,0.6762415044595486
EBND,0.6530159216869929
ECH,0.6386304163806962
ECNS,0.6011716090645124
EDC,0.9007235863557836
EDIV,0.8273151233606107
EDV,-0.17926857397747362
EDZ,-0.9010188399383459
EELV,0.8470628085016978
EEM,0.9056861649846761
EEMA,0.855366768491882
EEMV,0.8884183622477179
EFA,0.9790476178894656
EFG,0.9562733721650492
EFV,0.9508979059544761
EFZ,-0.9674531660073215
EIDO,0.6813790130149495
EMB,0.6159313560090448
EMHY,0.6499957374377378
EMLC,0.6667861424890761
ENFR,0.6350383165007487
ENOR,0.8113940318929084
ENZL,0.6852688741666336
EPHE,0.6490262884718686
EPI,0.69695744514944
EPOL,0.7484746079041577
EPP,0.9052364721979972
EPS,0.8448577878785775
EPV,-0.9446508160139636
EQWL,0.8161952614722214
ERX,0.6452327740562541
ERY,-0.6554902728375082
EUFN,0.8678847624839101
EUM,-0.8986929452129331
EURL,0.9451476326062086
EUSA,0.8469815536196622
EWA,0.863875468654679
EWC,0.8569255001272366
EWD,0.885000928758594
EWG,0.9054099237780568
EWH,0.724823099814892
EWI,0.8524947925222979
EWJ,0.8325824276769788
EWL,0.8547393253243486
EWM,0.6423194356060792
EWP,0.836374066851798
EWQ,0.9178553186562721
EWS,0.81823680602279
EWT,0.7721424307753698
EWU,0.9103157277896258
EWV,-0.8149905153019191
EWW,0.7253157260065362
EWX,0.8600020583610387
EWY,0.8172576737099415
EWZ,0.6557773374697049
EWZS,0.5965729402535652
EZA,0.7918987787630583
EZU,0.9322500234049825
FAN,0.7928429777760954
FAS,0.7966920121429594
FAZ,-0.7999363321196841
FBT,0.5797249366081915
FCA,0.5620589434885561
FCG,0.5183465393025064
FCOM,0.7055128691873941
FDD,0.8631414057371021
FDIS,0.7826726712343586
FDL,0.7501018298806367
FDN,0.7040232191682119
FDT,0.9412922168362432
FEM,0.8475062382339809
FEMS,0.7800739676818966
FENY,0.6332254170296461
FEZ,0.9180082984077317
FGD,0.9006067104692175
FHLC,0.6981995966691513
FIDU,0.8138246289734328
FIW,0.7849736144866032
FLOT,0.35445637348327247
FLRN,0.3223130180799649
FLTR,0.300609693999309
FM,0.6522838398507744
FMAT,0.8166329224568526
FMF,0.029047892668014184
FNCL,0.7738664078529696
FNDA,0.8042095397214377
