ETF2,Correlation
AAXJ,0.6937404093878259
ACWI,0.8975391684570215
ACWV,0.7919271685240548
ACWX,0.794181652207584
AFK,0.5546108690591164
AGG,0.12553087325259094
AGQ,0.1906949318844728
AGZD,0.07341840872334177
AIA,0.6584472351351199
AMLP,0.4741963463933165
ANGL,0.5890744005299552
AOA,0.890403240968926
AOK,0.7588912391575658
AOM,0.8155529239922593
AOR,0.8710902666143435
ARGT,0.5971297411484396
ASEA,0.565574938153594
ASHR,0.38112125547887954
BAB,0.048343271264623046
BIL,0.004685425612846347
BIV,0.03881567623287645
BIZD,0.577754949052896
BKLN,0.5320224525513657
BLV,0.06516860693844478
BND,0.124531027742651
BNDX,0.10744945930011779
BNO,0.2295415179017121
BOIL,0.07187972697456328
BOND,0.14557962698749685
BRZU,0.4666396584035628
BSV,0.026272327249632545
BTAL,-0.33868483576539565
BWX,0.14502609013231535
BWZ,0.1325563451785259
BZQ,-0.446779351560403
CANE,0.0989735333602658
CEMB,0.34456992642330114
CGW,0.784926363305367
CHIQ,0.5251263343622117
CMBS,-0.025985867563303424
CMF,0.06802721356257875
COPX,0.5520644213184204
CORN,0.0410536671050655
CORP,0.22784619899429123
CPER,0.2219050031296426
CQQQ,0.5258951974774164
CURE,0.7077870882509926
CWB,0.8116962818605764
CWI,0.7929370038301078
CXSE,0.4843833144594719
DBA,0.1690976680056321
DBB,0.2743115084347367
DBC,0.272713248419796
DBEF,0.7557745580455995
DBEU,0.7479187260919415
DBJP,0.6555947851283453
DBO,0.2493278187877944
DDM,0.8693406753503519
DEM,0.640504718403848
DES,0.7723915593877752
DEW,0.7635020015898298
DFJ,0.6344349216174022
DGP,-0.011700458888908381
DGRE,0.6493180870606631
DGRS,0.7565535920460833
DGRW,0.8728530294782937
DGS,0.6852101256068794
DHS,0.7502644597647283
DIA,0.8688192291468494
DIG,0.5184206019780659
DIV,0.66468203498359
DJP,0.26920517916328385
DLN,0.8471418815872647
DLS,0.7699756155851151
DNL,0.7719976302410839
DOG,-0.8670824877638227
DON,0.8240181502670963
DRN,0.6637602727804673
DRV,-0.6740312812971395
DSI,0.9192589863437108
DTD,0.847638549920413
DTH,0.713019649032047
DUG,-0.5314351831808274
DUST,-0.11832179286138778
DVY,0.7480357233091446
DVYE,0.6247673508263806
DWAS,0.7873312122911702
DWM,0.7609785462860332
DXD,-0.8677526394567577
DXJ,0.6428425531332055
DXJS,0.6058679441925405
EBND,0.45479285927181723
ECH,0.4963365440684988
ECNS,0.4539534444900336
EDC,0.7030367380618423
EDIV,0.6149385612353412
EDV,-0.150264525874089
EDZ,-0.7051820550465224
EELV,0.6475499086738944
EEM,0.704209101990715
EEMA,0.6823778990253327
EEMV,0.6788730624491974
EFA,0.7863024513574562
EFG,0.8031313812782211
EFV,0.7280079262508917
EFZ,-0.7889695784812877
EIDO,0.539371805360452
EMB,0.5467272386114101
EMHY,0.5894196144702301
EMLC,0.4597082671327142
ENFR,0.5505182537485315
ENOR,0.6194835678974614
ENZL,0.5663272104940502
EPHE,0.5195942684293495
EPI,0.5612723783320228
EPOL,0.5757025345029138
EPP,0.7319892061878016
EPS,0.8963398667456605
EPV,-0.7596614260610602
EQWL,0.8555206523873153
ERX,0.5314840452101003
ERY,-0.5431055828090894
EUFN,0.6738845514712832
EUM,-0.7026215451500594
EURL,0.7572190782757932
EUSA,0.8985131237428902
EWA,0.7186315360567458
EWC,0.7291816946163724
EWD,0.7233264584201939
EWG,0.7366753038072628
EWH,0.5345507549717778
EWI,0.6635851789676549
EWJ,0.6897153124455996
EWL,0.690031087679559
EWM,0.46535163133986995
EWP,0.6401462083868206
EWQ,0.7267073712027445
EWS,0.6485905836616379
EWT,0.6424326434962877
EWU,0.687546752113917
EWV,-0.6849518952248059
EWW,0.5813009406637155
EWX,0.6914979430765731
EWY,0.6503081382424748
EWZ,0.4883807283257611
EWZS,0.4683236286139778
EZA,0.5833414408941341
EZU,0.7500934986062094
FAN,0.657325111117905
FAS,0.8079850037309537
FAZ,-0.8090178847698768
FBT,0.6293751848644378
FCA,0.41137274659990963
FCG,0.42535518933223065
FCOM,0.8143389385037961
FDD,0.6703281211647111
FDIS,0.9716840784489444
FDL,0.7201603721316473
FDN,0.8568182735458928
FDT,0.7655664872669526
FEM,0.6538418585046738
FEMS,0.6101337278936171
FENY,0.5282419985550901
FEZ,0.7486327765672797
FGD,0.731121026678154
FHLC,0.7378671056791448
FIDU,0.836529886574368
FIW,0.7987142181688702
FLOT,0.3316902487217144
FLRN,0.31403597064484284
FLTR,0.31613280957481343
FM,0.5531501470177782
FMAT,0.7783163086568226
FMF,-0.013865920949095376
FNCL,0.7819675171382606
FNDA,0.8431418615734934
FNDB,0.873038246706124
FNDC,0.7819780163418094
FNDE,0.6504748279680607
FNDF,0.7531635907540492
FNDX,0.8712177325581353
FPE,0.48514298025256175
FRI,0.6699010568269039
FSTA,0.679174556003304
FTA,0.80391663323264
FTC,0.8769520136729309
FTCS,0.8384450143733646
FTEC,0.8627844811877458
FTGC,0.25417842239666555
FTQI,0.5753964140920351
FTRI,0.5120187366790521
FTSL,0.44229308582758936
FUTY,0.47890770365629043
FVD,0.7834932041253546
FXH,0.7565752607282518
