ETF2,Correlation
AAXJ,0.6374118648189562
ACWI,0.8572126581031887
ACWV,0.7614478885527056
ACWX,0.7910785721341415
AFK,0.5419747101962051
AGG,-0.04481991159378601
AGQ,0.11325725237992815
AGZD,0.09059368781216517
AIA,0.5879149125093296
AMLP,0.5434537973846951
ANGL,0.5636508730154071
AOA,0.8405243321260992
AOK,0.6497134309728727
AOM,0.7274249510687022
AOR,0.8071976920683619
ARGT,0.5599468304787034
ASEA,0.5774974809519037
ASHR,0.35316872444984815
BAB,-0.07235335395804093
BIL,-0.0016363005969720458
BIV,-0.13750709128479424
BIZD,0.6251948560112818
BKLN,0.5622125640365155
BLV,-0.10596958723472451
BND,-0.033138883784194495
BNDX,-0.03035289740391838
BNO,0.30748414731037066
BOIL,0.07585745687231325
BOND,0.006504455536221133
BRZU,0.5075135192524399
BSV,-0.11448659340577087
BTAL,-0.35990083487519275
BWX,0.010356994881840055
BWZ,0.057710211879107354
BZQ,-0.4851410110247684
CANE,0.11501362620292309
CEMB,0.2906724099527711
CGW,0.7761694299140061
CHIQ,0.44302904099969775
CMBS,-0.12882504367937145
CMF,0.029176016609652734
COPX,0.5911396318936337
CORN,0.0658794420754826
CORP,0.08797831756347868
CPER,0.2241602260778381
CQQQ,0.44050607125962843
CURE,0.6926863354159667
CWB,0.7065578378975459
CWI,0.7884189888870028
CXSE,0.4011607883861949
DBA,0.18722047181864562
DBB,0.28088883732019637
DBC,0.3224324872428219
DBEF,0.7928434318923091
DBEU,0.7918405387723833
DBJP,0.6908055478103604
DBO,0.3184350033902174
DDM,0.8945556644546474
DEM,0.6530079120733572
DES,0.8460489700905444
DEW,0.8320151485164496
DFJ,0.6160520002798905
DGP,-0.10674005173012362
DGRE,0.6217362460387073
DGRS,0.819025475002082
DGRW,0.8490688107320782
DGS,0.6622259301775568
DHS,0.8313153571771307
DIA,0.8944822667903414
DIG,0.6567917474407416
DIV,0.719457173982262
DJP,0.29782001312218304
DLN,0.879648839788755
DLS,0.7654716971401695
DNL,0.7294972346891605
DOG,-0.8926248026795566
DON,0.8828149141691106
DRN,0.6254211764347605
DRV,-0.6446642034795097
DSI,0.8488203711598448
DTD,0.8837312530412809
DTH,0.7675394905719805
DUG,-0.6714828555998306
DUST,-0.03488486684700362
DVY,0.8510711385600439
DVYE,0.6408456149672564
DWAS,0.7248763628923878
DWM,0.7844614375447717
DXD,-0.8939026023582515
DXJ,0.7028817127223947
DXJS,0.6423064642514066
EBND,0.41375000705220744
ECH,0.5167332170622574
ECNS,0.41350459324344124
EDC,0.6657187919729759
EDIV,0.6235521127328978
EDV,-0.3204781930023052
EDZ,-0.6672224363624588
EELV,0.6318477037365966
EEM,0.6690352996062391
EEMA,0.6223461457651335
EEMV,0.6544381123434613
EFA,0.7968638088683729
EFG,0.7473157260864121
EFV,0.8031594441581229
EFZ,-0.7955434103403143
EIDO,0.5472605444044245
EMB,0.46879809453408156
EMHY,0.5540453820115994
EMLC,0.42799822903858514
ENFR,0.6195726407973072
ENOR,0.6687663926875114
ENZL,0.5476035110296954
EPHE,0.5224427069016008
EPI,0.5871239850997629
EPOL,0.5733398542548415
EPP,0.7329173195052522
EPS,0.8903099930090833
EPV,-0.7766141108549994
EQWL,0.8660828485730234
ERX,0.6629618871427346
ERY,-0.6751998355067463
EUFN,0.7978143121049328
EUM,-0.6666628176989421
EURL,0.7763694341645749
EUSA,0.8833157956152384
EWA,0.7278825434693418
EWC,0.7582683019051313
EWD,0.7290201977135566
EWG,0.7419050388350612
EWH,0.529652814260164
EWI,0.7147557306305816
EWJ,0.6687976890502191
EWL,0.6784221008452739
EWM,0.45666195338266957
EWP,0.7211078984580903
EWQ,0.761338814177491
EWS,0.6411168794370454
EWT,0.5768730964259244
EWU,0.757715020287828
EWV,-0.6626389766535297
EWW,0.603909098330064
EWX,0.6679991299993022
EWY,0.6121776252632978
EWZ,0.5356018786198916
EWZS,0.4833585947622569
EZA,0.5727410033669371
EZU,0.7679800417383185
FAN,0.6265274276715309
FAS,0.9768379207975441
FAZ,-0.9775181415958274
FBT,0.5515954729962357
FCA,0.39266784558792495
FCG,0.531429533648622
FCOM,0.678079848877455
FDD,0.7397554905927084
FDIS,0.7590488514512949
FDL,0.8189538284508816
FDN,0.6422781792460097
FDT,0.7605633249803704
FEM,0.6499457893216154
FEMS,0.5977610610411682
FENY,0.6676213431299781
FEZ,0.7674364941770193
FGD,0.8125073777290129
FHLC,0.7027001097576726
FIDU,0.8758654462278703
FIW,0.8093324153692141
FLOT,0.3539901335934607
FLRN,0.32643323631271237
FLTR,0.3071898261668202
FM,0.5617469685967595
FMAT,0.8294754020384097
FMF,0.01392977194194961
FNCL,0.9815517169855776
FNDA,0.8733994298345202
FNDB,0.9046193310517538
FNDC,0.778527761543592
FNDE,0.6608387809592358
FNDF,0.8057776780567157
FNDX,0.9091347969220587
FPE,0.48698121374203435
FRI,0.6452613810359863
FSTA,0.622488961968641
FTA,0.9046000869064821
FTC,0.7519053025453648
FTCS,0.8226811045305552
FTEC,0.7243715341713453
FTGC,0.2846622044318954
FTQI,0.4971889527577772
FTRI,0.5826489638921498
FTSL,0.4606965993843212
FUTY,0.47007261443565634
FVD,0.835829900796957
FXH,0.6848309873719594
FXI,0.4856591050568263
FXL,0.7097882273259346
FXN,0.6392576795647409
FXO,0.9348058573312729
FXR,0.8773779879469573
FXU,0.5757781406069173
FXY,-0.2942858957901585
FXZ,0.807646380251475
FYLD,0.7387910229269896
GCC,0.2422627490391814
GDX,0.0599481203189692
GDXJ,0.10948720301667807
GLD,-0.09160758072718284
GLTR,0.062049929455707795
GMF,0.6314039541978618
GNR,0.7457657246071078
GOVI,-0.3182586755529822
GOVT,-0.32097413797218877
GREK,0.5531813282248863
GRID,0.6963213452640419
GRPM,0.8527641932103412
GSG,0.324258997460936
GSY,0.13098564876041718
GUNR,0.7144158453290327
GVI,-0.12168375096950518
GWX,0.7395391763898406
GXC,0.48761037243371314
HAUZ,0.5872447900702505
HDGE,-0.7726798433121669
HEDJ,0.7709247622441608
HYD,0.3358693212692126
HYEM,0.41848180042430516
HYG,0.6798043487415603
HYLS,0.5217296847965144
HYMB,0.2793830229539112
HYS,0.6449008567318593
HYZD,0.44150635015606415
IAI,0.9344617177157452
IAK,0.8740259995972723
IAT,0.9118134605437626
IAU,-0.09118751198341966
IBB,0.5629566403141252
IBND,0.12050335064900862
ICF,0.6117440077135079
ICLN,0.5867532624519262
ICSH,0.10440073171918324
IDHQ,0.6801914705880345
IDLV,0.7287854856372132
IDMO,0.5239312325688995
IDU,0.4729488937063607
IDV,0.7730278265699987
IDX,0.5392896085101258
IEF,-0.3120783984236088
IEFA,0.7949014162366578
IEI,-0.27562002369741107
IEMG,0.6765608693970813
IEO,0.6387726652486079
IEV,0.781495596303433
IEZ,0.6245921062759197
IGE,0.6890851050679634
IGF,0.73124608121173
IGIB,0.13289231752651484
IGLB,0.09491000622621151
IGM,0.7091123242437735
IGOV,-0.01728987348832407
IGPT,0.5949626460232391
IGSB,0.16119629071844263
IGV,0.6417879842501081
IHE,0.6241617169979314
IHF,0.6706560719833298
IHI,0.6785138128534169
IJH,0.8876275954656828
IJJ,0.8934278208529662
IJK,0.8506198104135663
IJR,0.8529093860181179
IJS,0.8287052545764101
IJT,0.8380338690096947
ILCB,0.8567193551728907
ILCG,0.7418369696047786
ILCV,0.9065586047256726
ILF,0.6211918353199417
ILTB,-0.08322526743384911
IMCB,0.87156010357794
IMCG,0.7645211503055538
IMCV,0.8899732908326798
INCO,0.5235348972975764
INDA,0.6124945952487272
INDL,0.5858344673916802
INDY,0.6017984274578249
IOO,0.8200529518586921
ISCG,0.7592065827475707
ISHG,0.04073395042462773
ISTB,0.038128181944681816
ITA,0.7806075244630122
ITB,0.6461264613156571
ITM,0.04310374296328932
ITOT,0.8746834090241424
IUSV,0.9234297486639271
IVE,0.9215696798938653
IVOO,0.8856461822947836
IVV,0.8679841828913458
IVW,0.7668494592620202
IWB,0.8685014517751778
IWC,0.777625148130082
IWD,0.9266433215025671
IWF,0.7545899117120539
IWL,0.8386068627516132
