ETF2,Correlation
ACE 200,0.9878856735999479
ACE 200TR,0.990364742130216
ACE 2차전지&친환경차액티브,0.552815721462331
ACE ESG액티브,0.9164643751891473
ACE Fn5G플러스,0.8047468846080502
ACE Fn성장소비주도주,0.640355003004364
ACE 골드선물 레버리지(합성 H),0.2287239053927224
ACE 국고채10년,0.1664817984472811
ACE 국고채3년,0.19461315709860633
ACE 단기통안채,-0.01268068983761922
ACE 러시아MSCI(합성),0.08037493618109125
ACE 레버리지,0.9922336285877026
ACE 멕시코MSCI(합성),0.3079367678192609
ACE 미국IT인터넷S&P(합성 H),0.5046916440201796
ACE 미국S&P500,0.45572147358516
ACE 미국WideMoat동일가중,0.4567443287506115
ACE 미국나스닥100,0.5075356976453629
ACE 미국다우존스리츠(합성 H),0.4408801942933482
ACE 미국친환경그린테마INDXX,0.4620240151325931
ACE 밸류대형,0.937408923468083
ACE 베트남VN30(합성),0.13261221261489417
ACE 베트남VN30선물블룸버그레버리지(H),0.3224703042051506
ACE 삼성그룹동일가중,0.7065756499760556
ACE 삼성그룹섹터가중,0.884438213275963
ACE 싱가포르리츠,0.18709651700023544
ACE 아시아TOP50S&P,0.6152595439300352
ACE 인도네시아MSCI(합성),0.24948168294695658
ACE 인버스,-0.9773295935736578
ACE 일본Nikkei225(H),0.6315926741677546
ACE 일본TOPIX레버리지(H),0.46713702626322035
ACE 일본TOPIX인버스(합성 H),-0.6374278887567246
ACE 종합채권(AA-이상)KIS액티브,0.1465909943876314
ACE 중국본토CSI300,0.15377019966043806
ACE 중국본토CSI300레버리지(합성),0.17089248844846142
ACE 중장기국공채액티브,0.19025828347985785
ACE 차이나항셍테크,0.37990702267468085
ACE 코스닥150,0.7129281097412554
ACE 코스피,0.9543808180042473
ACE 필리핀MSCI(합성),0.15871425364840178
BNK금융지주,0.4829011184723924
HANARO 200,0.9917789690506107
HANARO 200TR,0.9910883833451598
HANARO 200선물레버리지,0.9840364407610732
HANARO 200선물인버스,-0.9700318312143047
HANARO e커머스,0.7147784698136361
HANARO Fn K-POP&미디어,0.46243676006141976
HANARO Fn K-게임,0.5326700407838517
HANARO Fn K-뉴딜디지털플러스,0.7338315191248467
HANARO Fn K-반도체,0.8334697013876025
HANARO Fn5G산업,0.8225977020580407
HANARO Fn전기&수소차,0.7534697752809343
HANARO Fn친환경에너지,0.6183542973262888
HANARO KAP초장기국고채,0.20131973042876972
HANARO KRX300,0.9384221562153292
HANARO MSCI Korea TR,0.9357877085650959
HANARO 고배당,0.670825174602526
HANARO 글로벌럭셔리S&P(합성),0.42896477134111033
HANARO 농업융복합산업,0.6504316923658662
HANARO 단기채권액티브,0.015056331543676464
HANARO 코스닥150,0.7186645751296084
HANARO 코스닥150선물레버리지,0.7346636350582659
HANARO 탄소효율그린뉴딜,0.8981984575269579
KODEX 200 중소형,0.763928737095794
KODEX 200,0.9925457555866233
KODEX 200ESG,0.9455795518458463
KODEX 200exTOP,0.8547376123946596
KODEX 200IT TR,0.8904424350284201
KODEX 200가치저변동,0.8962633918116217
KODEX 200동일가중,0.8090794618228067
KODEX 200롱코스닥150숏선물,-0.16838188675172358
KODEX 200미국채혼합,0.5958922376985539
KODEX 200선물인버스2X,-0.9936560639914885
KODEX 2차전지산업,0.5333154002459353
KODEX 3대농산물선물(H),0.08005782864778405
KODEX IT,0.8760157413073123
KODEX K-뉴딜디지털플러스,0.7390128706366863
KODEX K-미래차액티브,0.8228981321196996
