ETF2,Correlation
ACE 200,0.7280114343359502
ACE 200TR,0.7323415947256336
ACE 2차전지&친환경차액티브,0.7343909566417505
ACE ESG액티브,0.7540862493430895
ACE Fn5G플러스,0.6277319940681814
ACE Fn성장소비주도주,0.5688182844905402
ACE 골드선물 레버리지(합성 H),0.20345807840144944
ACE 국고채10년,0.18754153070074303
ACE 국고채3년,0.20557908976319308
ACE 단기통안채,-0.01870076938173999
ACE 러시아MSCI(합성),0.07319101597791265
ACE 레버리지,0.7379138863144223
ACE 멕시코MSCI(합성),0.23120295183400044
ACE 미국IT인터넷S&P(합성 H),0.49168526105088506
ACE 미국S&P500,0.3710921453640011
ACE 미국WideMoat동일가중,0.3881933250342032
ACE 미국나스닥100,0.4328376378770282
ACE 미국다우존스리츠(합성 H),0.39632022798915056
ACE 미국친환경그린테마INDXX,0.44697640225833385
ACE 밸류대형,0.6209998952756531
ACE 베트남VN30(합성),0.08510547337693593
ACE 베트남VN30선물블룸버그레버리지(H),0.2413350961308739
ACE 삼성그룹동일가중,0.5016625303880753
ACE 삼성그룹섹터가중,0.7350763218765262
ACE 싱가포르리츠,0.20289440208581677
ACE 아시아TOP50S&P,0.45878068800658345
ACE 인도네시아MSCI(합성),0.24903912248407659
ACE 인버스,-0.7244084128300943
ACE 일본Nikkei225(H),0.48033120134319945
ACE 일본TOPIX레버리지(H),0.33660103017941684
ACE 일본TOPIX인버스(합성 H),-0.48686859121675635
ACE 종합채권(AA-이상)KIS액티브,0.18288531011691556
ACE 중국본토CSI300,0.1083406038217364
ACE 중국본토CSI300레버리지(합성),0.14320254308260114
ACE 중장기국공채액티브,0.23720138740883703
ACE 차이나항셍테크,0.3174810286340438
ACE 코스닥150,0.8098089100402897
ACE 코스피,0.7646881193796188
ACE 필리핀MSCI(합성),0.09375869816473524
BNK금융지주,0.2587318756209484
HANARO 200,0.732248225846859
HANARO 200TR,0.7279006525774434
HANARO 200선물레버리지,0.7314371713939176
HANARO 200선물인버스,-0.7142894852756041
HANARO e커머스,0.6729675068271893
HANARO Fn K-POP&미디어,0.46995812578319845
HANARO Fn K-게임,0.5969711274751698
HANARO Fn K-뉴딜디지털플러스,0.9728540927572519
HANARO Fn K-반도체,0.5320484762320041
HANARO Fn5G산업,0.6256284332677804
HANARO Fn전기&수소차,0.7457055640695565
HANARO Fn친환경에너지,0.7206870916513846
HANARO KAP초장기국고채,0.2037098033685729
HANARO KRX300,0.7263187755441503
HANARO MSCI Korea TR,0.7178555155534969
HANARO 고배당,0.4180624909031748
HANARO 글로벌럭셔리S&P(합성),0.3564293360625671
HANARO 농업융복합산업,0.5797442041849509
HANARO 단기채권액티브,0.007752981652945387
HANARO 코스닥150,0.8056574508355507
HANARO 코스닥150선물레버리지,0.8175535528089396
HANARO 탄소효율그린뉴딜,0.6838260684984021
KODEX 200 중소형,0.5919528810436887
KODEX 200,0.7340126002534262
KODEX 200ESG,0.699703942237786
KODEX 200exTOP,0.7173026049489019
KODEX 200IT TR,0.6750556862700006
KODEX 200TR,0.7390128706366863
KODEX 200가치저변동,0.5621637666094593
KODEX 200동일가중,0.640819542547817
KODEX 200롱코스닥150숏선물,-0.5063751295946517
KODEX 200미국채혼합,0.45125466348580234
KODEX 200선물인버스2X,-0.7392351432371702
KODEX 2차전지산업,0.7873132141731781
KODEX 3대농산물선물(H),0.04495899627477194
KODEX IT,0.6947304839165032
KODEX K-미래차액티브,0.6812719751470103
KODEX K-신재생에너지액티브,0.599018224175702
KODEX K-이노베이션액티브,0.6673777196298791
KODEX KRX300,0.7579771932412582
KODEX KRX300레버리지,0.7418944314286264
KODEX KTOP30,0.8076254259787313
KODEX MSCI EM선물(H),0.564588378901945
KODEX MSCI KOREA ESG유니버설,0.7165640275364552
KODEX MSCI Korea TR,0.7513569613379569
KODEX MSCI Korea,0.7205952333648115
KODEX MSCI모멘텀,0.6944821413687988
KODEX MSCI밸류,0.5196315497870607
KODEX MSCI퀄리티,0.6778467538097293
KODEX S&P글로벌인프라(합성),0.2222206568619701
KODEX Top10동일가중,0.8412793186132965
KODEX Top5PlusTR,0.6134003576651049
KODEX TRF3070,0.3584305698027553
KODEX TRF5050,0.26189310196853394
KODEX TRF7030,0.35088706038615636
KODEX WTI원유선물(H),0.09840998939487387
KODEX WTI원유선물인버스(H),-0.09884823970438446
KODEX 건설,0.5298348619601997
KODEX 게임산업,0.5881976780641021
KODEX 경기소비재,0.5119517979134278
KODEX 고배당,0.3949034462976845
KODEX 골드선물(H),0.20201406803610253
KODEX 골드선물인버스(H),-0.19690713518367675
KODEX 구리선물(H),0.2583275470735385
KODEX 국고채3년,0.19344006436398528
KODEX 국채선물10년,0.19165859796196655
KODEX 국채선물10년인버스,-0.22116754721445325
KODEX 국채선물3년인버스,-0.22268687676259352
KODEX 글로벌로봇(합성),0.4579536076247945
KODEX 기계장비,0.6964923012598613
KODEX 단기변동금리부채권액티브,-0.02026005491698576
KODEX 단기채권,0.0649914046055353
KODEX 단기채권PLUS,0.1209171833022339
KODEX 레버리지,0.739350336279513
KODEX 멀티에셋하이인컴(H),0.3099397285153475
KODEX 멀티팩터,0.6582938880312941
KODEX 모멘텀Plus,0.5308584527249463
KODEX 미국10년국채선물,-0.31301413837547276
KODEX 미국30년국채울트라선물(H),0.15429454285806693
KODEX 미국S&P500TR,0.3783376977002013
KODEX 미국S&P500산업재(합성),0.26825744977477883
KODEX 미국S&P500선물(H),0.56219272052884
KODEX 미국S&P500에너지(합성),0.020907246952415345
KODEX 미국S&P바이오(합성),0.32534793900913656
KODEX 미국나스닥100TR,0.4344405685517173
KODEX 미국나스닥100선물(H),0.5565617680458955
KODEX 미국달러선물,-0.467835757735304
KODEX 미국달러선물레버리지,-0.47475697997653754
KODEX 미국달러선물인버스,0.4754669162549897
KODEX 미국달러선물인버스2X,0.47513900631244294
KODEX 미국러셀2000(H),0.539676784335307
KODEX 미국반도체MV,0.4094579621354572
KODEX 미국부동산리츠(H),0.46198106211603984
KODEX 미국빅테크10(H),0.5415343018387675
KODEX 미국스마트모빌리티S&P,0.4541661333905995
KODEX 미디어&엔터테인먼트,0.709305779778261
KODEX 바이오,0.6374014193675888
KODEX 반도체,0.49741551962849734
KODEX 배당가치,0.5749000165044079
KODEX 배당성장,0.5677750731222366
