ETF2,Correlation
ACE 200,0.9173252439897142
ACE 200TR,0.9117345788228718
ACE 2차전지&친환경차액티브,0.5463473325891743
ACE ESG액티브,0.9011739597104957
ACE Fn5G플러스,0.7604431819905308
ACE Fn성장소비주도주,0.5958653939183152
ACE 골드선물 레버리지(합성 H),0.24163797964159323
ACE 국고채10년,0.15075010665766958
ACE 국고채3년,0.18529371202838837
ACE 단기통안채,-0.02112946114654832
ACE 러시아MSCI(합성),0.0785906220950859
ACE 레버리지,0.9155768464836066
ACE 멕시코MSCI(합성),0.3183940079589831
ACE 미국IT인터넷S&P(합성 H),0.5121731991370154
ACE 미국S&P500,0.4442681364976942
ACE 미국WideMoat동일가중,0.4412386702427334
ACE 미국나스닥100,0.5062144732536502
ACE 미국다우존스리츠(합성 H),0.4219560601778326
ACE 미국친환경그린테마INDXX,0.44787748596805066
ACE 밸류대형,0.8844719087132815
ACE 베트남VN30(합성),0.10887034009125368
ACE 베트남VN30선물블룸버그레버리지(H),0.3106410849090365
ACE 삼성그룹동일가중,0.6575228862630768
ACE 삼성그룹섹터가중,0.8333812786462432
ACE 싱가포르리츠,0.19242980190881692
ACE 아시아TOP50S&P,0.5745861842230736
ACE 인도네시아MSCI(합성),0.22703754299140988
ACE 인버스,-0.9073165805344534
ACE 일본Nikkei225(H),0.5991091641144667
ACE 일본TOPIX레버리지(H),0.43093070023528207
ACE 일본TOPIX인버스(합성 H),-0.5968635619410945
ACE 종합채권(AA-이상)KIS액티브,0.13816450938330863
ACE 중국본토CSI300,0.11166756959301834
ACE 중국본토CSI300레버리지(합성),0.12623079660892658
ACE 중장기국공채액티브,0.20711181883726573
ACE 차이나항셍테크,0.33804372624878215
ACE 코스닥150,0.6872378983825697
ACE 코스피,0.9004968574915021
ACE 필리핀MSCI(합성),0.1525576404485725
BNK금융지주,0.4694181391207247
HANARO 200,0.9170463889009931
HANARO 200TR,0.9104564733733193
HANARO 200선물레버리지,0.9129139135209112
HANARO 200선물인버스,-0.9126766928541118
HANARO e커머스,0.6917988370219282
HANARO Fn K-POP&미디어,0.435698694461634
HANARO Fn K-게임,0.49615283521130016
HANARO Fn K-뉴딜디지털플러스,0.7147678638633872
HANARO Fn K-반도체,0.7779493112147237
HANARO Fn5G산업,0.7826944052472677
HANARO Fn전기&수소차,0.711369483142298
HANARO Fn친환경에너지,0.5766856042038367
HANARO KAP초장기국고채,0.17717476432521478
HANARO KRX300,0.8894063165914581
HANARO MSCI Korea TR,0.8712561720114969
HANARO 고배당,0.6554799753958276
HANARO 글로벌럭셔리S&P(합성),0.447561408976779
HANARO 농업융복합산업,0.6367193301954912
HANARO 단기채권액티브,0.014162981853717222
HANARO 코스닥150,0.6835298465518802
HANARO 코스닥150선물레버리지,0.6892038610041441
HANARO 탄소효율그린뉴딜,0.8255713096675992
KODEX 200 중소형,0.7014713785159391
KODEX 200,0.9155664518189107
KODEX 200ESG,0.8955066265063073
KODEX 200exTOP,0.84541903383115
KODEX 200IT TR,0.8473121277417065
KODEX 200TR,0.9096994996860062
KODEX 200가치저변동,0.8455786436883197
KODEX 200동일가중,0.7799588441905837
KODEX 200롱코스닥150숏선물,-0.17524776780567897
