ETF2,Correlation
ACE 200,0.8541649625632514
ACE 200TR,0.845040673836231
ACE 2차전지&친환경차액티브,0.3667749365316923
ACE ESG액티브,0.7802146500849326
ACE Fn5G플러스,0.6626186834980378
ACE Fn성장소비주도주,0.600066904769519
ACE 골드선물 레버리지(합성 H),0.20074608481998968
ACE 국고채10년,0.06226572463327427
ACE 국고채3년,0.10669785127946098
ACE 단기통안채,-0.02103958468860955
ACE 러시아MSCI(합성),0.07743486987782239
ACE 레버리지,0.8455377362006138
ACE 멕시코MSCI(합성),0.3247221190911607
ACE 미국IT인터넷S&P(합성 H),0.4073548282665518
ACE 미국S&P500,0.4216510036753358
ACE 미국WideMoat동일가중,0.41793243994406126
ACE 미국나스닥100,0.4145066137143664
ACE 미국다우존스리츠(합성 H),0.3945573345298252
ACE 미국친환경그린테마INDXX,0.41115144795499853
ACE 밸류대형,0.8839137633963868
ACE 베트남VN30(합성),0.12716330422476937
ACE 베트남VN30선물블룸버그레버리지(H),0.28508339820229567
ACE 삼성그룹동일가중,0.653968726954914
ACE 삼성그룹섹터가중,0.7343875802728529
ACE 싱가포르리츠,0.17324085802683714
ACE 아시아TOP50S&P,0.5309799437091781
ACE 인도네시아MSCI(합성),0.22024928751700068
ACE 인버스,-0.8440830454782347
ACE 일본Nikkei225(H),0.5677291285019476
ACE 일본TOPIX레버리지(H),0.440517480610087
ACE 일본TOPIX인버스(합성 H),-0.5802394194509448
ACE 종합채권(AA-이상)KIS액티브,0.022963309636654116
ACE 중국본토CSI300,0.11241256482441467
ACE 중국본토CSI300레버리지(합성),0.1276220766371429
ACE 중장기국공채액티브,0.11977753092954432
ACE 차이나항셍테크,0.29103275014420826
ACE 코스닥150,0.5318901228575652
ACE 코스피,0.8263742974394114
ACE 필리핀MSCI(합성),0.19543754118874165
BNK금융지주,0.5608256161066213
HANARO 200,0.851033193498097
HANARO 200TR,0.8450101053822696
HANARO 200선물레버리지,0.8423760265716457
HANARO 200선물인버스,-0.8457565338644709
HANARO e커머스,0.6276445880716515
HANARO Fn K-POP&미디어,0.37683238345075193
HANARO Fn K-게임,0.4325140020250077
HANARO Fn K-뉴딜디지털플러스,0.5087246056937036
HANARO Fn K-반도체,0.6923480463793449
HANARO Fn5G산업,0.710217813250596
HANARO Fn전기&수소차,0.6408872181940188
HANARO Fn친환경에너지,0.4580581885704475
HANARO KAP초장기국고채,0.08703634028397177
HANARO KRX300,0.8046664528444113
HANARO MSCI Korea TR,0.7911250927953527
HANARO 고배당,0.7385182275774155
HANARO 글로벌럭셔리S&P(합성),0.43869358597639824
HANARO 농업융복합산업,0.6213552001402932
HANARO 단기채권액티브,0.04586776048099787
HANARO 코스닥150,0.5335741480328556
HANARO 코스닥150선물레버리지,0.5441686020140806
HANARO 탄소효율그린뉴딜,0.7620551746656834
KODEX 200 중소형,0.7425502885263623
KODEX 200,0.8494759111529419
KODEX 200ESG,0.841760160279367
KODEX 200exTOP,0.7864659452733425
KODEX 200IT TR,0.7260656141726775
KODEX 200TR,0.8396234162471491
KODEX 200가치저변동,0.8766000714124973
KODEX 200동일가중,0.8035574663878449
KODEX 200롱코스닥150숏선물,-0.029000861305069996
KODEX 200미국채혼합,0.49585058114806824
KODEX 200선물인버스2X,-0.8396325374237166
KODEX 2차전지산업,0.32725566196149286
KODEX 3대농산물선물(H),0.09027423213219447
KODEX IT,0.6951885530060985
KODEX K-뉴딜디지털플러스,0.5196315497870607
KODEX K-미래차액티브,0.6860443793688493
KODEX K-신재생에너지액티브,0.43439408156358916
KODEX K-이노베이션액티브,0.6141356052339143
KODEX KRX300,0.8325252574342162
KODEX KRX300레버리지,0.808602213285145
KODEX KTOP30,0.7739335174456687
KODEX MSCI EM선물(H),0.6000560800955095
KODEX MSCI KOREA ESG유니버설,0.8060581675364304
KODEX MSCI Korea TR,0.8201733698868309
KODEX MSCI Korea,0.8338463258594094
KODEX MSCI모멘텀,0.6163155267924726
KODEX MSCI퀄리티,0.805778858223864
KODEX S&P글로벌인프라(합성),0.30358488194567923
KODEX Top10동일가중,0.6601109485694672
KODEX Top5PlusTR,0.8041291037643159
KODEX TRF3070,0.39216391552022584
KODEX TRF5050,0.30222516946449374
KODEX TRF7030,0.39269037932511885
KODEX WTI원유선물(H),0.22063636655845437
KODEX WTI원유선물인버스(H),-0.22688292756188647
KODEX 건설,0.5885237009878921
KODEX 게임산업,0.40758436247526075
KODEX 경기소비재,0.6757760220326993
KODEX 고배당,0.7545224997856056
KODEX 골드선물(H),0.18611025220541377
KODEX 골드선물인버스(H),-0.18588861117623146
KODEX 구리선물(H),0.3448961598400314
KODEX 국고채3년,0.07971976446529898
KODEX 국채선물10년,0.06823179090877562
KODEX 국채선물10년인버스,-0.09163362383880298
KODEX 국채선물3년인버스,-0.10776254457415965
KODEX 글로벌로봇(합성),0.4773382207755113
KODEX 기계장비,0.4967898024743431
KODEX 단기변동금리부채권액티브,0.06251224751074767
KODEX 단기채권,0.02971837243906069
KODEX 단기채권PLUS,0.09230165670237737
KODEX 레버리지,0.836828271479952
KODEX 멀티에셋하이인컴(H),0.25930890082014474
KODEX 멀티팩터,0.7941028582204055
KODEX 모멘텀Plus,0.5213075806451369
KODEX 미국10년국채선물,-0.3845524186817216
KODEX 미국30년국채울트라선물(H),0.009810576873459839
KODEX 미국S&P500TR,0.42464456329195205
KODEX 미국S&P500산업재(합성),0.35639763566678095
KODEX 미국S&P500선물(H),0.5776714738083948
KODEX 미국S&P500에너지(합성),0.21200562137319728
KODEX 미국S&P바이오(합성),0.24150521668953376
KODEX 미국나스닥100TR,0.41758776974189993
KODEX 미국나스닥100선물(H),0.5171707281780656
KODEX 미국달러선물,-0.422824088373093
KODEX 미국달러선물레버리지,-0.4321103746971904
KODEX 미국달러선물인버스,0.428561531560609
KODEX 미국달러선물인버스2X,0.4342761567952637
KODEX 미국러셀2000(H),0.5532478126490706
KODEX 미국반도체MV,0.4694809381734569
KODEX 미국부동산리츠(H),0.4419929777457259
KODEX 미국빅테크10(H),0.49824742078967327
KODEX 미국스마트모빌리티S&P,0.4603875003793755
KODEX 미디어&엔터테인먼트,0.49385218735427605
KODEX 바이오,0.5494327947921939
KODEX 반도체,0.6620009950498023
KODEX 배당가치,0.8654357285824914
KODEX 배당성장,0.7975266721213473
KODEX 배당성장채권혼합,0.714359730348885
KODEX 밸류Plus,0.7878141372137357
KODEX 보험,0.5044635245633902
KODEX 삼성그룹,0.7528682458923266
KODEX 삼성그룹밸류,0.751494132907728
KODEX 선진국MSCI World,0.48366157774128204
KODEX 성장주,0.7370890404228883
KODEX 시스템반도체,0.6618508561717987
KODEX 에너지화학,0.5074050882561293
KODEX 운송,0.6481701110023512
KODEX 웹툰&드라마,0.5065081507252153
KODEX 은선물(H),0.2705102006756966
KODEX 은행,0.6374090923575733
KODEX 인버스,-0.839263741941805
KODEX 일본TOPIX100,0.4307757105247997
KODEX 일본부동산리츠(H),0.28451662290464874
KODEX 자동차,0.611520353493679
KODEX 종합채권(AA-이상)액티브,0.051695839086445455
KODEX 증권,0.7261915025114913
KODEX 차이나A50,0.09300582176818399
KODEX 차이나CSI300,0.06929528859311772
KODEX 차이나H,0.3286523529445953
KODEX 차이나H레버리지(H),0.42486050055614594
KODEX 차이나심천ChiNext(합성),0.06786111192802811
KODEX 차이나항셍테크,0.3037058651670803
KODEX 철강,0.6055850466672115
KODEX 최소변동성,0.7977659352029957
KODEX 코스닥150,0.5414442727435849
KODEX 코스닥150레버리지,0.5425641302850793
KODEX 코스닥150롱코스피200숏선물,0.020043275058624688
KODEX 코스닥150선물인버스,-0.5498350271439603
KODEX 코스피,0.830099252715245
KODEX 코스피100,0.8413810204054335
KODEX 코스피TR,0.8199233344944468
KODEX 코스피대형주,0.8186487074201277
KODEX 콩선물(H),0.1779710453338034
KODEX 퀄리티Plus,0.7279805061636886
KODEX 탄소효율그린뉴딜,0.8365163236951608
KODEX 필수소비재,0.5633690286160119
KODEX 한국대만IT프리미어,0.6278344101081411
KODEX 헬스케어,0.4988621272856693
KODEX 혁신기술테마액티브,0.755140823657312
KOSEF 200,0.8524557311942188
KOSEF 200TR,0.8419133157002551
KOSEF 200선물레버리지,0.8425236967514805
KOSEF 200선물인버스,-0.8363530215935574
KOSEF 200선물인버스2X,-0.8381814183079114
KOSEF Fn중소형,0.737092109594022
KOSEF KRX100,0.8194318885514573
KOSEF 고배당,0.7144175749383863
KOSEF 국고채10년,0.06104420732056881
KOSEF 국고채10년레버리지,0.07860967749711442
KOSEF 국고채3년,0.07655636443311606
KOSEF 글로벌디지털경제,0.3168211920717585
KOSEF 글로벌퓨처모빌리티,0.40021415539297284
KOSEF 단기자금,-0.013469509751005705
KOSEF 미국달러선물,-0.4142014299907114
KOSEF 미국달러선물레버리지,-0.4358230591640476
KOSEF 미국달러선물인버스,0.42751595146975574
KOSEF 미국달러선물인버스2X,0.43405285084305273
KOSEF 미국방어배당성장나스닥,0.1716754766795091
KOSEF 블루칩,0.8207396987663411
KOSEF 인도Nifty50(합성),0.3048552700299188
KOSEF 코스닥150,0.5408159697854336
KOSEF 코스닥150선물레버리지,0.5457195854422566
KOSEF 코스닥150선물인버스,-0.5476029259935187
KOSEF 코스피100,0.839911118936179
KOSEF 통안채1년,-0.0042195313148418265
NEW,0.2584850145429315
PLUS 200,0.8515046551604111
PLUS 200선물레버리지,0.843232383629517
PLUS 200선물인버스2X,-0.8447537903584211
PLUS ESG가치주액티브,0.8097818147340985
PLUS ESG성장주액티브,0.7694645688924284
PLUS KS로우볼가중TR,0.8576026236968185
PLUS KS로우사이즈가중TR,0.8146700906359895
PLUS KS모멘텀가중TR,0.7527289869099564
PLUS KS밸류가중TR,0.8774359884378764
PLUS S&P글로벌인프라,0.13460632838005296
PLUS 고배당저변동50,0.7326938208379494
PLUS 고배당주,0.6993534236766952
PLUS 고배당주채권혼합,0.6998388562630207
PLUS 국채선물10년,0.09418270690894236
PLUS 국채선물3년,0.1151536145095928
PLUS 글로벌MSCI(합성 H),0.537263126990869
PLUS 단기채권액티브,0.10765830502171432
PLUS 미국S&P500(H),0.577796303616936
PLUS 미국나스닥테크,0.4329975189322453
PLUS 미국다우존스고배당주(합성 H),0.42045194105555406
PLUS 미국단기회사채(AAA~A),-0.39374825951484144
PLUS 미국장기우량회사채,-0.12177301527866384
PLUS 선진국MSCI(합성 H),0.5763570251388203
PLUS 스마트베타Quality채권혼합,0.7250871718110308
PLUS 신흥국MSCI(합성 H),0.5941312874636042
PLUS 신흥국MSCI인버스(합성 H),-0.5585114054333872
PLUS 심천차이넥스트(합성),0.07985662391405972
PLUS 우량회사채50,0.04960993567931828
PLUS 주도업종,0.7523877365796813
PLUS 중형주저변동50,0.7414092979682914
PLUS 코스닥150,0.54372073445698
PLUS 코스닥150선물인버스,-0.5478399987248297
PLUS 코스피,0.8389441502505337
PLUS 코스피50,0.8214461523933669
PLUS 코스피TR,0.8225420264242267
RISE 200,0.8500254453122466
RISE 200TR,0.8419556521501588
RISE 200고배당커버드콜ATM,0.5784000563134254
RISE 200금융,0.6707816456534641
RISE 200선물레버리지,0.8441891868110691
RISE 200선물인버스,-0.8429628866725531
RISE 200선물인버스2X,-0.8358581511321923
RISE 5G테크,0.6317603744088341
RISE 5대그룹주,0.7637637935110152
RISE ESG사회책임투자,0.8289746911281868
RISE IT플러스,0.6919803938222956
RISE KIS국고채30년Enhanced,0.08221655511146003
RISE KQ고배당,0.7000250769719726
RISE KRX300,0.8246249916791377
RISE V&S셀렉트밸류,0.825459414826678
RISE V&S셀렉트밸류채권혼합,0.6093859527039873
RISE 게임테마,0.42601776502463207
RISE 고배당,0.8465345471720843
RISE 국고채3년,0.0759256773055247
RISE 국고채3년선물인버스,-0.06648501734231889
RISE 국채선물10년,0.09148146049332756
RISE 국채선물10년인버스,-0.06152826545686323
RISE 국채선물5년추종,0.10649294812813598
RISE 국채선물5년추종인버스,-0.05815742622859327
RISE 글로벌데이터센터리츠(합성),0.2824465025227688
RISE 글로벌테크놀로지(합성 H),0.48956319606310716
RISE 금융채액티브,0.12275589801783787
RISE 내수주플러스,0.6835698242468518
RISE 단기국공채액티브,0.07287245360787338
RISE 단기종합채권(AA-이상)액티브,0.0446939896113538
RISE 단기통안채,0.015675647334618695
RISE 대형고배당10TR,0.7828742774625028
RISE 미국S&P500,0.41587748791253787
RISE 미국S&P원유생산기업(합성 H),0.34665383750642914
RISE 미국고정배당우선증권 TR,0.08041581410309848
RISE 미국나스닥100,0.41782510218754
RISE 미국장기국채선물(H),0.012829688745708095
RISE 미국장기국채선물레버리지(합성 H),0.03296304080102206
RISE 미국장기국채선물인버스(H),-0.0266805039408202
RISE 비메모리반도체액티브,0.630153546776836
RISE 수소경제테마,0.7002122332925479
RISE 수출주,0.7240988378099035
RISE 우량업종대표주,0.8013509476087293
RISE 유로스탁스50(H),0.5725282485572567
RISE 종합채권(A-이상)액티브,0.09247580376220056
RISE 주식혼합,0.721303054948906
RISE 중국MSCI China(H),0.34373147951276717
RISE 중국본토대형주CSI100,0.083354788521266
RISE 중기우량회사채,0.12340372962054551
RISE 중소형고배당,0.7159770930375479
RISE 중장기국공채액티브,0.10928291919487709
RISE 차이나HSCEI(H),0.4168823281578184
RISE 차이나H선물인버스(H),-0.39205240191537033
RISE 차이나항셍테크,0.29444699655512246
RISE 채권혼합,0.6291967253667472
RISE 컨택트대표,0.5480421614161938
RISE 코스닥150,0.5356227837619866
RISE 코스닥150선물레버리지,0.5478196478527354
RISE 코스닥150선물인버스,-0.5538373327172607
RISE 코스피,0.837463859764403
RISE 팔라듐선물(H),0.19802918345965545
RISE 팔라듐선물인버스(H),-0.19783350099090197
RISE 헬스케어,0.5059722044303246
RISE 헬스케어채권혼합,0.46161761063256596
SOL 200TR,0.8459885882525888
SOL KIS단기통안채,0.01888778371555528
SOL KRX300,0.7340771347765581
SOL 차이나강소기업CSI500(합성 H),0.20037236374809206
TIGER 200 IT,0.730668678992479
TIGER 200 건설,0.5813158065485449
TIGER 200 경기소비재,0.6713474992049502
TIGER 200 금융,0.6716698537451992
TIGER 200 산업재,0.6264211668229785
TIGER 200 생활소비재,0.5938178520810709
TIGER 200 에너지화학,0.60694334430563
TIGER 200 중공업,0.5299367621645157
TIGER 200 철강소재,0.610504741019667
TIGER 200 헬스케어,0.41987045614994195
TIGER 200,0.8493630077376457
TIGER 200IT레버리지,0.6852818381762299
TIGER 200TR,0.8414135366868425
TIGER 200동일가중,0.7665403750848815
TIGER 200선물레버리지,0.8418687059593261
TIGER 200선물인버스2X,-0.8425640165300858
TIGER 200에너지화학레버리지,0.5979863463060733
TIGER 200커뮤니케이션서비스,0.5335347936227539
TIGER 200커버드콜5%OTM,0.8214627615793758
TIGER 200커버드콜ATM,0.7436551085950971
TIGER 2차전지TOP10,0.3407166024607285
TIGER 2차전지테마,0.336303467247375
TIGER AI코리아그로스액티브,0.828251873631633
TIGER BBIG,0.5418338886668534
TIGER CD금리투자KIS(합성),0.05948442876203343
TIGER Fn반도체TOP10,0.6488903135387515
TIGER Fn신재생에너지,0.5133673439258746
TIGER KRX300,0.8220926689168049
TIGER KTOP30,0.7731583392786241
TIGER K게임,0.42144956652802007
TIGER LG그룹+펀더멘털,0.717202738058837
TIGER MSCI KOREA ESG리더스,0.7692749422335251
TIGER MSCI KOREA ESG유니버설,0.793356157651115
TIGER MSCI Korea TR,0.8211705555801034
TIGER S&P글로벌인프라(합성),0.17516766919280757
TIGER S&P글로벌헬스케어(합성),0.21744978993794412
TIGER TOP10,0.7465331452156523
TIGER 게임TOP10,0.4046235326411028
TIGER 경기방어,0.5798518658399624
TIGER 경기방어채권혼합,0.12751037851402972
TIGER 골드선물(H),0.1798369904303804
TIGER 구리실물,0.03251163496958537
TIGER 국채3년,0.09125580663861622
TIGER 글로벌4차산업혁신기술(합성 H),0.5833901720617041
TIGER 글로벌BBIG액티브,0.46051101120231225
