ETF2,Correlation
ACE 200,0.005692264899084355
ACE 200TR,0.013211201053331392
ACE 2차전지&친환경차액티브,0.003918271086603449
ACE ESG액티브,0.01650104931247881
ACE Fn5G플러스,0.01668051935580167
ACE Fn성장소비주도주,0.04833354770998124
ACE 골드선물 레버리지(합성 H),-0.037889906270492844
ACE 국고채10년,-0.11018180951206434
ACE 국고채3년,-0.08544261157629704
ACE 단기통안채,-0.036181444519850225
ACE 러시아MSCI(합성),0.03758427118275008
ACE 레버리지,0.011705807425194491
ACE 멕시코MSCI(합성),-0.005729033037669501
ACE 미국IT인터넷S&P(합성 H),-0.05817708543035296
ACE 미국S&P500,-0.06949500121555732
ACE 미국WideMoat동일가중,-0.0631032954119355
ACE 미국나스닥100,-0.06157181054391423
ACE 미국다우존스리츠(합성 H),-0.03113769821689984
ACE 미국친환경그린테마INDXX,0.0019312036983728262
ACE 밸류대형,0.015618378976762168
ACE 베트남VN30(합성),-0.018233432435857264
ACE 베트남VN30선물블룸버그레버리지(H),-0.0023726164671894353
ACE 삼성그룹동일가중,-0.025970956144299374
ACE 삼성그룹섹터가중,-0.017174556927127348
ACE 싱가포르리츠,-0.03246950957700122
ACE 아시아TOP50S&P,0.04459154431637001
ACE 인도네시아MSCI(합성),0.04835098933427535
ACE 인버스,-0.011607777763920224
ACE 일본Nikkei225(H),-0.008196026297589861
ACE 일본TOPIX레버리지(H),-0.006135687311758707
ACE 일본TOPIX인버스(합성 H),0.008937464154633364
ACE 종합채권(AA-이상)KIS액티브,-0.08894598103393103
ACE 중국본토CSI300,0.041727581234715906
ACE 중국본토CSI300레버리지(합성),0.04063279697781246
ACE 중장기국공채액티브,-0.051598362666046206
ACE 차이나항셍테크,0.02520680249992688
ACE 코스닥150,0.029731017012508076
ACE 코스피,0.004642366364910008
ACE 필리핀MSCI(합성),0.012550013974672576
BNK금융지주,0.06047134176428899
HANARO 200,0.012923318258752186
HANARO 200TR,0.018049440399141907
HANARO 200선물레버리지,0.007197358188441058
HANARO 200선물인버스,0.0015754623405478626
HANARO e커머스,0.050861457372912686
HANARO Fn K-POP&미디어,-0.009457458933328491
HANARO Fn K-게임,-0.03581716900707035
HANARO Fn K-뉴딜디지털플러스,-0.019366052771338054
HANARO Fn K-반도체,0.01767559467419839
HANARO Fn5G산업,0.043792019140396224
HANARO Fn전기&수소차,0.006046468353501461
HANARO Fn친환경에너지,0.0015306728223088235
HANARO KAP초장기국고채,-0.0687953191286326
HANARO KRX300,-0.0031424125760724166
HANARO MSCI Korea TR,0.029462153511354613
HANARO 고배당,0.036829874074647787
HANARO 글로벌럭셔리S&P(합성),-0.05207246997873929
HANARO 농업융복합산업,0.012835037033816875
HANARO 단기채권액티브,0.36601583518430675
HANARO 코스닥150,0.019268203007519205
HANARO 코스닥150선물레버리지,0.029352032038969654
HANARO 탄소효율그린뉴딜,0.02209251422891691
KODEX 200 중소형,0.033440993958134144
KODEX 200,0.011741760398443138
KODEX 200ESG,0.007357969003430341
KODEX 200exTOP,0.027047039049208223
KODEX 200IT TR,-0.007507472008031347
KODEX 200TR,0.014347027992295694
KODEX 200가치저변동,0.018323264834386014
KODEX 200동일가중,0.003192219073327712
KODEX 200롱코스닥150숏선물,-0.008893110402058951
KODEX 200미국채혼합,-0.03939053608636698
KODEX 200선물인버스2X,-0.01705647533582531
KODEX 2차전지산업,-0.011989744184684074
KODEX 3대농산물선물(H),-0.055397137869631595
KODEX IT,0.005065429925814731
KODEX K-뉴딜디지털플러스,-0.02026005491698575
KODEX K-미래차액티브,-0.004958486140673739
KODEX K-신재생에너지액티브,0.03153195885556934
KODEX K-이노베이션액티브,0.01715406944159146
KODEX KRX300,0.008854409260973776
KODEX KRX300레버리지,-0.005959676348311771
KODEX KTOP30,-0.023447022603510562
KODEX MSCI EM선물(H),0.046508079827129185
