ETF2,Correlation
ACE 200,0.8826051049052565
ACE 200TR,0.8799176315638491
ACE 2차전지&친환경차액티브,0.5266721740054067
ACE ESG액티브,0.8336029667738425
ACE Fn5G플러스,0.7085701255006971
ACE Fn성장소비주도주,0.5877232404888861
ACE 골드선물 레버리지(합성 H),0.19733581978717227
ACE 국고채10년,0.12754546740500805
ACE 국고채3년,0.14424150536747726
ACE 단기통안채,-0.04146952786115415
ACE 러시아MSCI(합성),0.08469374773030477
ACE 레버리지,0.8832138066746688
ACE 멕시코MSCI(합성),0.3000656375660685
ACE 미국IT인터넷S&P(합성 H),0.48778788768479675
ACE 미국S&P500,0.4314822379727794
ACE 미국WideMoat동일가중,0.42207182774151375
ACE 미국나스닥100,0.4622357252634033
ACE 미국다우존스리츠(합성 H),0.4290777500059645
ACE 미국친환경그린테마INDXX,0.4114653692905157
ACE 밸류대형,0.8594945711491384
ACE 베트남VN30(합성),0.14155941188224797
ACE 베트남VN30선물블룸버그레버리지(H),0.3063385095864256
ACE 삼성그룹동일가중,0.7061617727000477
ACE 삼성그룹섹터가중,0.7950240453595552
ACE 싱가포르리츠,0.17662832320502264
ACE 아시아TOP50S&P,0.5385688836009468
ACE 인도네시아MSCI(합성),0.22041138922614933
ACE 인버스,-0.8717471155392381
ACE 일본Nikkei225(H),0.557630989903992
ACE 일본TOPIX레버리지(H),0.39821466961450436
ACE 일본TOPIX인버스(합성 H),-0.5343640395830183
ACE 종합채권(AA-이상)KIS액티브,0.12508189781750234
ACE 중국본토CSI300,0.12911784565545975
ACE 중국본토CSI300레버리지(합성),0.14320663135157866
ACE 중장기국공채액티브,0.16120134093113916
ACE 차이나항셍테크,0.3261300744664666
ACE 코스닥150,0.6531526539123306
ACE 코스피,0.9036553461344512
ACE 필리핀MSCI(합성),0.17397106369648216
BNK금융지주,0.4581503204351201
HANARO 200,0.8821837557711057
HANARO 200TR,0.880208153371167
HANARO 200선물레버리지,0.8774578744217606
HANARO 200선물인버스,-0.8653026705175764
HANARO e커머스,0.6352726070388652
HANARO Fn K-POP&미디어,0.44284960366612464
HANARO Fn K-게임,0.4496629066234644
HANARO Fn K-뉴딜디지털플러스,0.6539592103497706
HANARO Fn K-반도체,0.7238157280871058
HANARO Fn5G산업,0.7305897126653198
HANARO Fn전기&수소차,0.7303843832477972
HANARO Fn친환경에너지,0.6084542051205519
HANARO KAP초장기국고채,0.16836666754929036
HANARO KRX300,0.8455580145196271
HANARO MSCI Korea TR,0.8388615983151215
HANARO 고배당,0.6507884376250707
HANARO 글로벌럭셔리S&P(합성),0.4130888330025017
HANARO 농업융복합산업,0.6488996527867386
HANARO 단기채권액티브,-0.0273707076992708
HANARO 코스닥150,0.6469626830090446
HANARO 코스닥150선물레버리지,0.6640359500983971
HANARO 탄소효율그린뉴딜,0.819496646999544
KODEX 200 중소형,0.748038890110101
KODEX 200,0.8833145215884424
KODEX 200ESG,0.8608768467028981
KODEX 200exTOP,0.8042844267749143
KODEX 200IT TR,0.7889827319290639
KODEX 200TR,0.8777845267105819
KODEX 200가치저변동,0.8277326916227805
KODEX 200동일가중,0.7854751361016578
KODEX 200롱코스닥150숏선물,-0.15812831191805646
KODEX 200미국채혼합,0.5282287064263871
KODEX 200선물인버스2X,-0.8795024318820077
KODEX 2차전지산업,0.5021839074193581
KODEX 3대농산물선물(H),0.07867699226216011
KODEX IT,0.7709337060571857
KODEX K-뉴딜디지털플러스,0.6582938880312942
KODEX K-미래차액티브,0.7731908974533446
KODEX K-신재생에너지액티브,0.5515011849897853
KODEX K-이노베이션액티브,0.691743574151789
KODEX KRX300,0.8792162709046469
KODEX KRX300레버리지,0.8467052954564946
KODEX KTOP30,0.8406832334917943
KODEX MSCI EM선물(H),0.6172344993548357
KODEX MSCI KOREA ESG유니버설,0.8479156497741599
KODEX MSCI Korea TR,0.8709818569128872
KODEX MSCI Korea,0.860874368666034
KODEX MSCI모멘텀,0.7227105719310281
KODEX MSCI밸류,0.7941028582204055
