ETF2,Correlation
ACE 200,0.10510691568805755
ACE 200TR,0.09921225891380121
ACE 2차전지&친환경차액티브,0.055458574006867156
ACE ESG액티브,0.08466157004068894
ACE Fn5G플러스,0.08769967015809775
ACE Fn성장소비주도주,0.08631550416470271
ACE 골드선물 레버리지(합성 H),0.35710092177225394
ACE 국고채10년,0.6116150640413129
ACE 국고채3년,0.3927827437988005
ACE 단기통안채,0.03060497666363325
ACE 러시아MSCI(합성),-0.03016399457269655
ACE 레버리지,0.10149356204403479
ACE 멕시코MSCI(합성),0.010284323845552171
ACE 미국IT인터넷S&P(합성 H),0.16598480079534955
ACE 미국S&P500,-0.03623329838109811
ACE 미국WideMoat동일가중,0.05250324350847577
ACE 미국나스닥100,0.021198984874275753
ACE 미국다우존스리츠(합성 H),0.28657577707259935
ACE 미국친환경그린테마INDXX,0.06539269078272983
ACE 밸류대형,0.05116031954103361
ACE 베트남VN30(합성),0.04088301076062164
ACE 베트남VN30선물블룸버그레버리지(H),0.13424354072155972
ACE 삼성그룹동일가중,0.11850248152130677
ACE 삼성그룹섹터가중,0.11215683484984294
ACE 싱가포르리츠,0.161176581536522
ACE 아시아TOP50S&P,-0.0035781993805854245
ACE 인도네시아MSCI(합성),-0.05393252499526259
ACE 인버스,-0.08825511831078664
ACE 일본Nikkei225(H),-0.044875816768728004
ACE 일본TOPIX레버리지(H),-0.049346556850678375
ACE 일본TOPIX인버스(합성 H),0.0372171526153606
ACE 종합채권(AA-이상)KIS액티브,0.6158276380118942
ACE 중국본토CSI300,-0.07668893227609268
ACE 중국본토CSI300레버리지(합성),-0.05982883587160035
ACE 중장기국공채액티브,0.540675722542085
ACE 차이나항셍테크,0.0037258458664333914
ACE 코스닥150,0.10762098388204724
ACE 코스피,0.11032223507273181
ACE 필리핀MSCI(합성),-0.02467528947410424
BNK금융지주,-0.05847542090396473
HANARO 200,0.09918848750892016
HANARO 200TR,0.10534740478437638
HANARO 200선물레버리지,0.09364259220076827
HANARO 200선물인버스,-0.08576403679796163
HANARO e커머스,0.15417206736479522
HANARO Fn K-POP&미디어,0.09705438599301275
HANARO Fn K-게임,0.1231995954806163
HANARO Fn K-뉴딜디지털플러스,0.15631519190089424
HANARO Fn K-반도체,0.07310934004190058
HANARO Fn5G산업,0.07716320964557104
HANARO Fn전기&수소차,0.055795846359946194
HANARO Fn친환경에너지,0.11268641705392964
HANARO KAP초장기국고채,0.5641286183703657
HANARO KRX300,0.1272072934612672
HANARO MSCI Korea TR,0.10151454700532164
HANARO 고배당,0.0026973208637368876
HANARO 글로벌럭셔리S&P(합성),-0.029618876532834213
HANARO 농업융복합산업,0.035482540668523174
HANARO 단기채권액티브,0.029961769837047632
HANARO 코스닥150,0.09422476161542452
HANARO 코스닥150선물레버리지,0.1027881714545406
HANARO 탄소효율그린뉴딜,0.10156095393986468
KODEX 200 중소형,0.04030463206567905
KODEX 200,0.10114334434553528
KODEX 200ESG,0.08319673388917401
KODEX 200exTOP,0.08981500386801461
KODEX 200IT TR,0.11238842939059225
KODEX 200TR,0.10234909622972692
KODEX 200가치저변동,0.03907945673629715
KODEX 200동일가중,0.05769655610302041
KODEX 200롱코스닥150숏선물,-0.06815876697334261
KODEX 200미국채혼합,0.35267806034456306
KODEX 200선물인버스2X,-0.1021524937575784
KODEX 2차전지산업,0.07892204611500646
KODEX 3대농산물선물(H),-0.05508160879756863
KODEX IT,0.10367731307158731
KODEX K-뉴딜디지털플러스,0.154294542858067
KODEX K-미래차액티브,0.06251368006024317
KODEX K-신재생에너지액티브,0.07117199646661579
KODEX K-이노베이션액티브,0.11013996596160242
KODEX KRX300,0.10089857219287611
KODEX KRX300레버리지,0.08051084194008437
KODEX KTOP30,0.09996340863266352
KODEX MSCI EM선물(H),0.11710687342719835
KODEX MSCI KOREA ESG유니버설,0.09528248847269981
KODEX MSCI Korea TR,0.09679158705698344
KODEX MSCI Korea,0.07664714051481791
KODEX MSCI모멘텀,0.0484732567996452
KODEX MSCI밸류,0.009810576873459839
KODEX MSCI퀄리티,0.1062097401025899
KODEX S&P글로벌인프라(합성),0.06299996047193201
KODEX Top10동일가중,0.14050537005302438
KODEX Top5PlusTR,0.06075914866195892
KODEX TRF3070,0.20190159523160306
KODEX TRF5050,0.10601714441524421
KODEX TRF7030,0.06278743417838237
KODEX WTI원유선물(H),-0.11894789602089346
KODEX WTI원유선물인버스(H),0.1258745938792276
KODEX 건설,0.026442557551010673
