ETF2,Correlation
ACE 200,0.13569060802357766
ACE 200TR,0.12918620512643364
ACE 2차전지&친환경차액티브,0.05443708294753321
ACE ESG액티브,0.11255201471847155
ACE Fn5G플러스,0.051628408407911
ACE Fn성장소비주도주,0.09353187707275619
ACE 골드선물 레버리지(합성 H),0.06342318700061143
ACE 국고채10년,-0.14452806373848137
ACE 국고채3년,-0.09106182357374167
ACE 단기통안채,-0.01538525327030639
ACE 러시아MSCI(합성),-0.017793633590665024
ACE 레버리지,0.1323170198796755
ACE 멕시코MSCI(합성),0.19547344583437126
ACE 미국IT인터넷S&P(합성 H),0.07860342023148692
ACE 미국S&P500,0.3447172865829958
ACE 미국WideMoat동일가중,0.31566644417051076
ACE 미국나스닥100,0.1517906899443209
ACE 미국다우존스리츠(합성 H),0.18345134410770536
ACE 미국친환경그린테마INDXX,0.28873311404241403
ACE 밸류대형,0.17274212746282314
ACE 베트남VN30(합성),0.11512653454917221
ACE 베트남VN30선물블룸버그레버리지(H),0.09229698259766589
ACE 삼성그룹동일가중,0.15987821651898906
ACE 삼성그룹섹터가중,0.11465788110300805
ACE 싱가포르리츠,0.1333078156830878
ACE 아시아TOP50S&P,0.11449950409125931
ACE 인도네시아MSCI(합성),0.1956670804314565
ACE 인버스,-0.1331873205900524
ACE 일본Nikkei225(H),0.19552967155185114
ACE 일본TOPIX레버리지(H),0.1786970331609082
ACE 일본TOPIX인버스(합성 H),-0.17968304263215576
ACE 종합채권(AA-이상)KIS액티브,-0.15162774135722235
ACE 중국본토CSI300,0.09937807432725478
ACE 중국본토CSI300레버리지(합성),0.08266945334191048
ACE 중장기국공채액티브,-0.12182388749041508
ACE 차이나항셍테크,0.07608419890909274
ACE 코스닥150,0.03861855454783761
ACE 코스피,0.14651173960713054
ACE 필리핀MSCI(합성),0.18247530967172063
BNK금융지주,0.1750710957281201
HANARO 200,0.13559845634591508
HANARO 200TR,0.13582745820656106
HANARO 200선물레버리지,0.12911250784363595
HANARO 200선물인버스,-0.12938883009530086
HANARO e커머스,0.06852125433436507
HANARO Fn K-POP&미디어,0.053362914385385846
HANARO Fn K-게임,0.04388202487366291
HANARO Fn K-뉴딜디지털플러스,0.025657750200712606
HANARO Fn K-반도체,0.05281054553671098
HANARO Fn5G산업,0.08879290214479271
HANARO Fn전기&수소차,0.1263610021997495
HANARO Fn친환경에너지,0.1390713458410973
HANARO KAP초장기국고채,-0.1343456246795383
HANARO KRX300,0.12567489927179218
