ETF2,Correlation
ACE 200,-0.544570083974199
ACE 200TR,-0.5358062290133452
ACE 2차전지&친환경차액티브,-0.34237015016365785
ACE ESG액티브,-0.5153427063564454
ACE Fn5G플러스,-0.4421357461399374
ACE Fn성장소비주도주,-0.3971228286551491
ACE 골드선물 레버리지(합성 H),-0.43936378418450633
ACE 국고채10년,-0.30668313101704064
ACE 국고채3년,-0.36263094036930776
ACE 단기통안채,-0.004564481754440765
ACE 러시아MSCI(합성),-0.051209653789751876
ACE 레버리지,-0.5386822878345606
ACE 멕시코MSCI(합성),-0.051245918045399054
ACE 미국IT인터넷S&P(합성 H),-0.4146453641373022
ACE 미국S&P500,0.007883663274097116
ACE 미국WideMoat동일가중,-0.09598597265540318
ACE 미국나스닥100,-0.13342693659678576
ACE 미국다우존스리츠(합성 H),-0.3989649692885836
ACE 미국친환경그린테마INDXX,-0.1642706800478139
ACE 밸류대형,-0.4867673983132024
ACE 베트남VN30(합성),0.11184773031880282
ACE 베트남VN30선물블룸버그레버리지(H),-0.2420762261706805
ACE 삼성그룹동일가중,-0.40749234439141485
ACE 삼성그룹섹터가중,-0.4666626861646008
ACE 싱가포르리츠,-0.018579290582170224
ACE 아시아TOP50S&P,-0.3051966631797614
ACE 인도네시아MSCI(합성),0.028107546917322705
ACE 인버스,0.5329739161766727
ACE 일본Nikkei225(H),-0.250987070034889
ACE 일본TOPIX레버리지(H),-0.1535315516461658
ACE 일본TOPIX인버스(합성 H),0.2530947861087439
ACE 종합채권(AA-이상)KIS액티브,-0.3524517830398662
ACE 중국본토CSI300,-0.0024669064180382096
ACE 중국본토CSI300레버리지(합성),-0.00512019936783421
ACE 중장기국공채액티브,-0.33876056099583535
ACE 차이나항셍테크,-0.29009414768515845
ACE 코스닥150,-0.4544437971571278
ACE 코스피,-0.53704744952711
ACE 필리핀MSCI(합성),0.08123115315712313
BNK금융지주,-0.2709696106326785
HANARO 200,-0.5404103095035405
HANARO 200TR,-0.542215123325152
HANARO 200선물레버리지,-0.5351768736902071
HANARO 200선물인버스,0.5207027673610067
HANARO e커머스,-0.4936013541109352
HANARO Fn K-POP&미디어,-0.31706926501220156
HANARO Fn K-게임,-0.3884922897461451
HANARO Fn K-뉴딜디지털플러스,-0.47000375221398505
HANARO Fn K-반도체,-0.4409691973725163
HANARO Fn5G산업,-0.4257091785838428
HANARO Fn전기&수소차,-0.4120733144701258
HANARO Fn친환경에너지,-0.4051429675070212
HANARO KAP초장기국고채,-0.32273523219294303
HANARO KRX300,-0.5330589228164688
HANARO MSCI Korea TR,-0.5226011212280989
HANARO 고배당,-0.34617626060461054
HANARO 글로벌럭셔리S&P(합성),-0.14679973471067947
HANARO 농업융복합산업,-0.34133770977169575
HANARO 단기채권액티브,-0.018576959355966167
HANARO 코스닥150,-0.4507272958927593
HANARO 코스닥150선물레버리지,-0.4732045880377369
HANARO 탄소효율그린뉴딜,-0.5032618612062254
KODEX 200 중소형,-0.4033179094659302
KODEX 200,-0.5420614030642581
KODEX 200ESG,-0.5305598627727253
KODEX 200exTOP,-0.4965579510349644
KODEX 200IT TR,-0.4764596285121183
KODEX 200TR,-0.537995511245868
KODEX 200가치저변동,-0.46464576533490765
KODEX 200동일가중,-0.4529844823615908
KODEX 200롱코스닥150숏선물,0.17650248239886798
KODEX 200미국채혼합,0.023734794826996367
KODEX 200선물인버스2X,0.5431853950835175
KODEX 2차전지산업,-0.32092663184209086
KODEX 3대농산물선물(H),-0.04946798566341942
KODEX IT,-0.4717440274384176
KODEX K-뉴딜디지털플러스,-0.467835757735304
KODEX K-미래차액티브,-0.43562890503019336
KODEX K-신재생에너지액티브,-0.32895803968972004
KODEX K-이노베이션액티브,-0.4487020857405106
KODEX KRX300,-0.5381854480576019
KODEX KRX300레버리지,-0.4982947509495364
KODEX KTOP30,-0.5237843857522709
KODEX MSCI EM선물(H),-0.5981252592846968
KODEX MSCI KOREA ESG유니버설,-0.5311436807969528
KODEX MSCI Korea TR,-0.5208240512643747
KODEX MSCI Korea,-0.5253731847644291
KODEX MSCI모멘텀,-0.3936678027771203
KODEX MSCI밸류,-0.422824088373093
KODEX MSCI퀄리티,-0.48476472034443185
KODEX S&P글로벌인프라(합성),0.10726906175648011
KODEX Top10동일가중,-0.5205981123576913
KODEX Top5PlusTR,-0.4976852622917136
KODEX TRF3070,-0.1408991917299857
KODEX TRF5050,-0.04137034691000208
KODEX TRF7030,-0.02137077499194819
KODEX WTI원유선물(H),-0.11807482953374146
KODEX WTI원유선물인버스(H),0.11967567490963538
KODEX 건설,-0.3199312150371266
KODEX 게임산업,-0.38971731470598125
KODEX 경기소비재,-0.42637872234268986
KODEX 고배당,-0.32000157126902
KODEX 골드선물(H),-0.44322994874937116
KODEX 골드선물인버스(H),0.41511322298521164
KODEX 구리선물(H),-0.40650027884629325
KODEX 국고채3년,-0.347241756285379
KODEX 국채선물10년,-0.3378297932992786
