ETF2,Correlation
ACE 200,0.7121934575802338
ACE 200TR,0.7220336108409873
ACE 2차전지&친환경차액티브,0.4271086418573746
ACE ESG액티브,0.6933404055330358
ACE Fn5G플러스,0.574408772862547
ACE Fn성장소비주도주,0.5841291854885065
ACE 골드선물 레버리지(합성 H),0.2481582748096113
ACE 국고채10년,0.25228315180268335
ACE 국고채3년,0.2801598226894941
ACE 단기통안채,-0.02813797874688453
ACE 러시아MSCI(합성),0.05266310605164768
ACE 레버리지,0.7208640648196077
ACE 멕시코MSCI(합성),0.31262809725816626
ACE 미국IT인터넷S&P(합성 H),0.3952929123400433
ACE 미국S&P500,0.3808188634103861
ACE 미국WideMoat동일가중,0.38692336377213177
ACE 미국나스닥100,0.38928741990636706
ACE 미국다우존스리츠(합성 H),0.41212726681877837
ACE 미국친환경그린테마INDXX,0.39447651565748526
ACE 밸류대형,0.7471495380326597
ACE 베트남VN30(합성),0.13733562522111273
ACE 베트남VN30선물블룸버그레버리지(H),0.28636110108099955
ACE 삼성그룹동일가중,0.6302251136949576
ACE 삼성그룹섹터가중,0.6471976146549189
ACE 싱가포르리츠,0.15505064480021744
ACE 아시아TOP50S&P,0.42977394433091326
ACE 인도네시아MSCI(합성),0.21599862282796242
ACE 인버스,-0.7214808697336194
ACE 일본Nikkei225(H),0.4830983360613783
ACE 일본TOPIX레버리지(H),0.4168225614492631
ACE 일본TOPIX인버스(합성 H),-0.5172837552583989
ACE 종합채권(AA-이상)KIS액티브,0.2327909068755403
ACE 중국본토CSI300,0.08954588692042667
ACE 중국본토CSI300레버리지(합성),0.09667298969090703
ACE 중장기국공채액티브,0.2968411938839842
ACE 차이나항셍테크,0.2478020854179068
ACE 코스닥150,0.5485381027536816
ACE 코스피,0.736264020686654
ACE 필리핀MSCI(합성),0.14326824651515885
BNK금융지주,0.5140088358153553
HANARO 200,0.7145180686468505
HANARO 200TR,0.7197828425765394
HANARO 200선물레버리지,0.7092669357973944
HANARO 200선물인버스,-0.7160369817938362
HANARO e커머스,0.5956718330970057
HANARO Fn K-POP&미디어,0.3996925616910757
HANARO Fn K-게임,0.4291063468126345
HANARO Fn K-뉴딜디지털플러스,0.5261116956651614
HANARO Fn K-반도체,0.5225135497379833
HANARO Fn5G산업,0.587272521003263
HANARO Fn전기&수소차,0.6519050067873523
HANARO Fn친환경에너지,0.5022149365176883
HANARO KAP초장기국고채,0.27562946029212787
HANARO KRX300,0.6919074350766307
HANARO MSCI Korea TR,0.6489289450663105
HANARO 고배당,0.7006355502687963
HANARO 글로벌럭셔리S&P(합성),0.44329072363596284
HANARO 농업융복합산업,0.6023374542717946
HANARO 단기채권액티브,-0.023666169525188963
HANARO 코스닥150,0.5479742949578377
HANARO 코스닥150선물레버리지,0.5535038728975887
HANARO 탄소효율그린뉴딜,0.6502115425370794
KODEX 200 중소형,0.744779733831814
KODEX 200,0.7125970664706784
KODEX 200ESG,0.7231916073342557
KODEX 200exTOP,0.6990245545897543
KODEX 200IT TR,0.5904227512056459
KODEX 200TR,0.7149054293472424
KODEX 200가치저변동,0.7372644266970425
KODEX 200동일가중,0.7739130130161938
KODEX 200롱코스닥150숏선물,-0.1567613002236671
KODEX 200미국채혼합,0.47702147878961204
KODEX 200선물인버스2X,-0.7156926136449048
KODEX 2차전지산업,0.3883937450078104
KODEX 3대농산물선물(H),0.05950713519423592
KODEX IT,0.5642433748718443
KODEX K-뉴딜디지털플러스,0.5415273270500055
KODEX K-미래차액티브,0.6303637482193789
KODEX K-신재생에너지액티브,0.4892285205240094
KODEX K-이노베이션액티브,0.5605437273254088
KODEX KRX300,0.7048755323580701
KODEX KRX300레버리지,0.7140753926920194
KODEX KTOP30,0.6738172827872392
KODEX MSCI EM선물(H),0.5310230231168928
KODEX MSCI KOREA ESG유니버설,0.6946846822961531
KODEX MSCI Korea TR,0.694028249815105
KODEX MSCI Korea,0.6852002735412313
KODEX MSCI모멘텀,0.5930285735796823
KODEX MSCI밸류,0.714359730348885
KODEX MSCI퀄리티,0.6688736995093864
KODEX S&P글로벌인프라(합성),0.3294501000831874
KODEX Top10동일가중,0.5991499099648553
KODEX Top5PlusTR,0.6488050557911338
KODEX TRF3070,0.42833057825870113
KODEX TRF5050,0.36066305771120394
KODEX TRF7030,0.3894506064164479
KODEX WTI원유선물(H),0.15007930445164028
KODEX WTI원유선물인버스(H),-0.15655621035310158
KODEX 건설,0.5981059391564681
KODEX 게임산업,0.40918568294638097
KODEX 경기소비재,0.653096442709997
KODEX 고배당,0.7176285544632991
KODEX 골드선물(H),0.22661175820860288
KODEX 골드선물인버스(H),-0.2383402159894924
KODEX 구리선물(H),0.3034385801375642
KODEX 국고채3년,0.2831372623189494
KODEX 국채선물10년,0.25510488199248166
KODEX 국채선물10년인버스,-0.2978694232349481
KODEX 국채선물3년인버스,-0.2867701909436945
KODEX 글로벌로봇(합성),0.4679049865146108
KODEX 기계장비,0.5220184546688792
KODEX 단기변동금리부채권액티브,-0.015985426937013703
KODEX 단기채권,0.0408148020273909
KODEX 단기채권PLUS,0.09261864749775972
KODEX 레버리지,0.714736040664966
KODEX 멀티에셋하이인컴(H),0.3134284214565517
KODEX 멀티팩터,0.6947778034972348
KODEX 모멘텀Plus,0.5390235148630776
KODEX 미국10년국채선물,-0.2525331411242659
KODEX 미국30년국채울트라선물(H),0.13588893758083673
KODEX 미국S&P500TR,0.3836419433526393
KODEX 미국S&P500산업재(합성),0.3284572103179424
KODEX 미국S&P500선물(H),0.5385718258185923
KODEX 미국S&P500에너지(합성),0.144164093274963
KODEX 미국S&P바이오(합성),0.2496184341637596
KODEX 미국나스닥100TR,0.3877934034960591
KODEX 미국나스닥100선물(H),0.4933542172392379
KODEX 미국달러선물,-0.41764639470418063
KODEX 미국달러선물레버리지,-0.4199243375583316
KODEX 미국달러선물인버스,0.4258284579501182
KODEX 미국달러선물인버스2X,0.4274407842162297
KODEX 미국러셀2000(H),0.522214593508873
KODEX 미국반도체MV,0.4091393450488241
KODEX 미국부동산리츠(H),0.44418374703876895
KODEX 미국빅테크10(H),0.4567900907643085
KODEX 미국스마트모빌리티S&P,0.42485627364500483
KODEX 미디어&엔터테인먼트,0.48977114598520455
KODEX 바이오,0.5295104416708223
KODEX 반도체,0.5013542059113927
KODEX 배당가치,0.7578124278362923
KODEX 배당성장,0.8415652559759877
KODEX 밸류Plus,0.7127097202312662
KODEX 보험,0.46487465486185503
KODEX 삼성그룹,0.6572705951501081
KODEX 삼성그룹밸류,0.6639288804074583
KODEX 선진국MSCI World,0.44006535706073246
KODEX 성장주,0.6486617660636534
KODEX 시스템반도체,0.5327670399475437
KODEX 에너지화학,0.559671040387746
KODEX 운송,0.580531837146903
KODEX 웹툰&드라마,0.49075646000363254
KODEX 은선물(H),0.30346809685258264
KODEX 은행,0.572462047715971
KODEX 인버스,-0.7136938581768534
KODEX 일본TOPIX100,0.380332976305169
KODEX 일본부동산리츠(H),0.237921321525392
KODEX 자동차,0.5572399432516757
KODEX 종합채권(AA-이상)액티브,0.2422814062570423
KODEX 증권,0.7303474394648153
KODEX 차이나A50,0.06407682182146834
KODEX 차이나CSI300,0.045952686887420435
KODEX 차이나H,0.26593798135224306
KODEX 차이나H레버리지(H),0.37614934311081283
KODEX 차이나심천ChiNext(합성),0.034690140435643474
KODEX 차이나항셍테크,0.2618522720917395
KODEX 철강,0.6035516530420449
KODEX 최소변동성,0.7066663511087664
KODEX 코스닥150,0.5536153300771758
KODEX 코스닥150레버리지,0.5576856695792248
KODEX 코스닥150롱코스피200숏선물,0.1476287667457248
KODEX 코스닥150선물인버스,-0.5574456845041206
KODEX 코스피,0.726575801275153
KODEX 코스피100,0.6993548380235408
KODEX 코스피TR,0.7360703533818963
KODEX 코스피대형주,0.7074719699153955
KODEX 콩선물(H),0.14924937744250202
KODEX 퀄리티Plus,0.6633553565554392
KODEX 탄소효율그린뉴딜,0.7194848950269843
KODEX 필수소비재,0.5182543464100762
KODEX 한국대만IT프리미어,0.4888062195418519
KODEX 헬스케어,0.4782172167170804
KODEX 혁신기술테마액티브,0.6522354382752643
KOSEF 200,0.7143231985407393
KOSEF 200TR,0.7156012079593954
KOSEF 200선물레버리지,0.7164281548001329
KOSEF 200선물인버스,-0.7152584214901531
KOSEF 200선물인버스2X,-0.7167943887260589
KOSEF Fn중소형,0.722683636820852
KOSEF KRX100,0.7064744442578896
KOSEF 고배당,0.6683528394566259
KOSEF 국고채10년,0.25680580050800395
KOSEF 국고채10년레버리지,0.2803495632399246
KOSEF 국고채3년,0.2356966273020753
KOSEF 글로벌디지털경제,0.29732539469174085
KOSEF 글로벌퓨처모빌리티,0.37493323044211285
KOSEF 단기자금,-0.018720335836667573
KOSEF 미국달러선물,-0.40138204727785065
KOSEF 미국달러선물레버리지,-0.4282690030324302
KOSEF 미국달러선물인버스,0.41372002258005963
KOSEF 미국달러선물인버스2X,0.42645648317763796
KOSEF 미국방어배당성장나스닥,0.15827279085665508
KOSEF 블루칩,0.7662618031340797
KOSEF 인도Nifty50(합성),0.33185908189421526
KOSEF 코스닥150,0.5504940878829957
KOSEF 코스닥150선물레버리지,0.5559344399171129
KOSEF 코스닥150선물인버스,-0.556405526164154
KOSEF 코스피100,0.7040354188415082
KOSEF 통안채1년,0.04377058392971736
NEW,0.2752843173716788
PLUS 200,0.7128371318809933
PLUS 200선물레버리지,0.7180565376885197
PLUS 200선물인버스2X,-0.7235898986867291
PLUS ESG가치주액티브,0.7267859712524832
PLUS ESG성장주액티브,0.6914597668238989
PLUS KS로우볼가중TR,0.7137562326668418
PLUS KS로우사이즈가중TR,0.7361264379407447
PLUS KS모멘텀가중TR,0.6929587358404322
PLUS KS밸류가중TR,0.7600773552854035
PLUS S&P글로벌인프라,0.13436321001823257
PLUS 고배당저변동50,0.6732820226359018
PLUS 고배당주,0.6265923103946902
