ETF2,Correlation
ACE 200,0.5237771283900202
ACE 200TR,0.5225668463807647
ACE 2차전지&친환경차액티브,0.29039073086417294
ACE ESG액티브,0.5022724507939488
ACE Fn5G플러스,0.4639495819467771
ACE Fn성장소비주도주,0.4289306784343026
ACE 골드선물 레버리지(합성 H),0.07629566151496375
ACE 국고채10년,0.07548386957923468
ACE 국고채3년,0.09417736070194507
ACE 단기통안채,-0.002643466467802572
ACE 러시아MSCI(합성),0.08805185772561398
ACE 레버리지,0.5231190668292726
ACE 멕시코MSCI(합성),0.40101906128571074
ACE 미국IT인터넷S&P(합성 H),0.625819088853983
ACE 미국S&P500,0.9188503336345136
ACE 미국WideMoat동일가중,0.804131440688731
ACE 미국나스닥100,0.8551857220441338
ACE 미국다우존스리츠(합성 H),0.5380325673683737
ACE 미국친환경그린테마INDXX,0.616426194008448
ACE 밸류대형,0.49195653955647095
ACE 베트남VN30(합성),0.3147071906320583
ACE 베트남VN30선물블룸버그레버리지(H),0.3224934042588096
ACE 삼성그룹동일가중,0.3442690369025427
ACE 삼성그룹섹터가중,0.45919331940839336
ACE 싱가포르리츠,0.2927946145472385
ACE 아시아TOP50S&P,0.46704026089163253
ACE 인도네시아MSCI(합성),0.35528931196753577
ACE 인버스,-0.524738481451599
ACE 일본Nikkei225(H),0.6367649079176712
ACE 일본TOPIX레버리지(H),0.48554547753994903
ACE 일본TOPIX인버스(합성 H),-0.5901838103523537
ACE 종합채권(AA-이상)KIS액티브,0.0534451366123369
ACE 중국본토CSI300,0.18668039458874824
ACE 중국본토CSI300레버리지(합성),0.1927406379229027
ACE 중장기국공채액티브,0.10281377197483048
ACE 차이나항셍테크,0.2719237889055496
ACE 코스닥150,0.42232711477609064
ACE 코스피,0.5148744194464577
ACE 필리핀MSCI(합성),0.2733586208822491
BNK금융지주,0.2779965489179088
HANARO 200,0.5295451611729322
HANARO 200TR,0.524205707876907
HANARO 200선물레버리지,0.5260010556319216
HANARO 200선물인버스,-0.5333064311215393
HANARO e커머스,0.4377516533563853
HANARO Fn K-POP&미디어,0.33482975379785107
HANARO Fn K-게임,0.3503424454675393
HANARO Fn K-뉴딜디지털플러스,0.4139321361588003
HANARO Fn K-반도체,0.46018468577645233
HANARO Fn5G산업,0.48007984666199527
HANARO Fn전기&수소차,0.40818851536547984
HANARO Fn친환경에너지,0.36406793231281986
HANARO KAP초장기국고채,0.08086470285766048
HANARO KRX300,0.5209376661984458
HANARO MSCI Korea TR,0.48897758992117923
HANARO 고배당,0.3855355633171922
HANARO 글로벌럭셔리S&P(합성),0.6605213664333125
HANARO 농업융복합산업,0.36829578857552114
HANARO 단기채권액티브,-0.011585756554493336
HANARO 코스닥150,0.42970210322776714
HANARO 코스닥150선물레버리지,0.43086785689147333
HANARO 탄소효율그린뉴딜,0.47338746296088635
KODEX 200 중소형,0.4706601761779699
KODEX 200,0.526079037698032
KODEX 200ESG,0.4981531863370683
KODEX 200exTOP,0.48892784824373814
KODEX 200IT TR,0.5050930087018951
KODEX 200TR,0.5193382327494138
KODEX 200가치저변동,0.4817867110216605
KODEX 200동일가중,0.4963722787639154
KODEX 200롱코스닥150숏선물,-0.15153569091888164
KODEX 200미국채혼합,0.4347233787257168
KODEX 200선물인버스2X,-0.5281652584330838
KODEX 2차전지산업,0.26934189440353784
KODEX 3대농산물선물(H),0.036400004865875045
KODEX IT,0.4886266326708445
KODEX K-뉴딜디지털플러스,0.4144152740637905
KODEX K-미래차액티브,0.4969507599823596
KODEX K-신재생에너지액티브,0.3708859627259125
KODEX K-이노베이션액티브,0.4557798821537948
KODEX KRX300,0.525609194576145
KODEX KRX300레버리지,0.5471555472584438
KODEX KTOP30,0.4850728486004778
KODEX MSCI EM선물(H),0.44928147809116326
KODEX MSCI KOREA ESG유니버설,0.5065484352494436
KODEX MSCI Korea TR,0.5032278086421861
KODEX MSCI Korea,0.5180441500298827
KODEX MSCI모멘텀,0.42099925720133674
KODEX MSCI밸류,0.48366157774128204
KODEX MSCI퀄리티,0.5240321114200095
KODEX S&P글로벌인프라(합성),0.49581111764495817
KODEX Top10동일가중,0.4366224578913241
KODEX Top5PlusTR,0.47947367544326597
KODEX TRF3070,0.624198302373828
KODEX TRF5050,0.6909463179602263
KODEX TRF7030,0.8015082452401696
KODEX WTI원유선물(H),0.18457350613085538
KODEX WTI원유선물인버스(H),-0.18661655817779887
KODEX 건설,0.3598885661686729
KODEX 게임산업,0.35676346210470644
KODEX 경기소비재,0.4511097507642382
KODEX 고배당,0.38844826614087863
KODEX 골드선물(H),0.05141666300606197
KODEX 골드선물인버스(H),-0.062080903376030984
KODEX 구리선물(H),0.27969068715579015
KODEX 국고채3년,0.09274195092848987
KODEX 국채선물10년,0.07114543777456953
KODEX 국채선물10년인버스,-0.09472350311399719
KODEX 국채선물3년인버스,-0.1475988952568773
KODEX 글로벌로봇(합성),0.7223993474458811
KODEX 기계장비,0.33926845525296634
KODEX 단기변동금리부채권액티브,-0.06639981515864024
KODEX 단기채권,0.008556843653647644
KODEX 단기채권PLUS,0.05705293304115912
KODEX 레버리지,0.5291766581652828
KODEX 멀티에셋하이인컴(H),0.2803896253862293
KODEX 멀티팩터,0.4848080841763267
KODEX 모멘텀Plus,0.3987468782083437
KODEX 미국10년국채선물,-0.08516484328758787
