ETF2,Correlation
ACE 200,0.3251687251789447
ACE 200TR,0.31742748604176263
ACE 2차전지&친환경차액티브,0.1446212805888624
ACE ESG액티브,0.29592147864572366
ACE Fn5G플러스,0.2740063717380615
ACE Fn성장소비주도주,0.24322906006681594
ACE 골드선물 레버리지(합성 H),0.7753764424027438
ACE 국고채10년,0.2363024292882672
ACE 국고채3년,0.2802405013890503
ACE 단기통안채,0.017008047567243705
ACE 러시아MSCI(합성),-0.017467584975000738
ACE 레버리지,0.3294580262724803
ACE 멕시코MSCI(합성),0.12120673242950215
ACE 미국IT인터넷S&P(합성 H),0.2533452602765016
ACE 미국S&P500,0.09930118951623972
ACE 미국WideMoat동일가중,0.1525730641972471
ACE 미국나스닥100,0.12772214923670477
ACE 미국다우존스리츠(합성 H),0.29547657405729666
ACE 미국친환경그린테마INDXX,0.18791372652584765
ACE 밸류대형,0.2990948336943249
ACE 베트남VN30(합성),-0.06558777463570305
ACE 베트남VN30선물블룸버그레버리지(H),0.11722972033143259
ACE 삼성그룹동일가중,0.2690396297502252
ACE 삼성그룹섹터가중,0.28709767282287596
ACE 싱가포르리츠,0.14145173229128163
ACE 아시아TOP50S&P,0.18951880607462465
ACE 인도네시아MSCI(합성),0.10053674840545593
ACE 인버스,-0.31474920306561166
ACE 일본Nikkei225(H),0.1663510003095514
ACE 일본TOPIX레버리지(H),0.09828763438696367
ACE 일본TOPIX인버스(합성 H),-0.17843216097918588
ACE 종합채권(AA-이상)KIS액티브,0.264425170575878
ACE 중국본토CSI300,0.02195308605855777
ACE 중국본토CSI300레버리지(합성),0.07187157266997438
ACE 중장기국공채액티브,0.2666782369838653
ACE 차이나항셍테크,0.12816572865992126
ACE 코스닥150,0.23905193155377244
ACE 코스피,0.3221377595382967
ACE 필리핀MSCI(합성),-0.03865586087905185
BNK금융지주,0.19145734938651277
HANARO 200,0.32448093210045215
HANARO 200TR,0.32024682269566
HANARO 200선물레버리지,0.31644759431130703
HANARO 200선물인버스,-0.3124963832020412
HANARO e커머스,0.26805268335863497
HANARO Fn K-POP&미디어,0.155187426882109
HANARO Fn K-게임,0.24263775259014772
HANARO Fn K-뉴딜디지털플러스,0.23960998058847616
HANARO Fn K-반도체,0.25537835093310346
HANARO Fn5G산업,0.2706188923384962
HANARO Fn전기&수소차,0.23811277233895659
HANARO Fn친환경에너지,0.23756448821107845
HANARO KAP초장기국고채,0.23905122161794856
HANARO KRX300,0.3218554160912224
HANARO MSCI Korea TR,0.2897366337670259
HANARO 고배당,0.2806519357823496
HANARO 글로벌럭셔리S&P(합성),0.10464686392856719
HANARO 농업융복합산업,0.19405306709947245
HANARO 단기채권액티브,0.04813831214888273
HANARO 코스닥150,0.23032532188054136
HANARO 코스닥150선물레버리지,0.24822241567577544
HANARO 탄소효율그린뉴딜,0.3050426676844971
KODEX 200 중소형,0.27530900579252937
