ETF2,Correlation
ACE 200,0.6065863050521442
ACE 200TR,0.605213303592042
ACE 2차전지&친환경차액티브,0.605581800554832
ACE ESG액티브,0.6015442608144391
ACE Fn5G플러스,0.4772609945306612
ACE Fn성장소비주도주,0.42201981586029613
ACE 골드선물 레버리지(합성 H),0.16976911063622105
ACE 국고채10년,0.016039098832265265
ACE 국고채3년,0.053392540772309094
ACE 단기통안채,-0.0625294156472077
ACE 러시아MSCI(합성),-0.0022093043167987036
ACE 레버리지,0.614376265599334
ACE 멕시코MSCI(합성),0.2683022701678265
ACE 미국IT인터넷S&P(합성 H),0.2683433918700191
ACE 미국S&P500,0.25888686931209587
ACE 미국WideMoat동일가중,0.276377887492261
ACE 미국나스닥100,0.22855865087190788
ACE 미국다우존스리츠(합성 H),0.308095060344681
ACE 미국친환경그린테마INDXX,0.33283255621888214
ACE 밸류대형,0.6416597386538491
ACE 베트남VN30(합성),0.13508893124851742
ACE 베트남VN30선물블룸버그레버리지(H),0.26686759365489726
ACE 삼성그룹동일가중,0.48191769901050724
ACE 삼성그룹섹터가중,0.5494479339081135
ACE 싱가포르리츠,0.13962793266200116
ACE 아시아TOP50S&P,0.3764971694851682
ACE 인도네시아MSCI(합성),0.19715032417322012
ACE 인버스,-0.6112722904529555
ACE 일본Nikkei225(H),0.39964322518633544
ACE 일본TOPIX레버리지(H),0.32695348919181944
ACE 일본TOPIX인버스(합성 H),-0.407871753090263
ACE 종합채권(AA-이상)KIS액티브,-0.015082329977751904
ACE 중국본토CSI300,0.12729626353871998
ACE 중국본토CSI300레버리지(합성),0.15706411683142524
ACE 중장기국공채액티브,0.03131769567795156
ACE 차이나항셍테크,0.25150173075487364
ACE 코스닥150,0.5579132495626098
ACE 코스피,0.6530613003561899
ACE 필리핀MSCI(합성),0.1392275541260398
BNK금융지주,0.39551905146294714
HANARO 200,0.6087611464807098
HANARO 200TR,0.6024614325585022
HANARO 200선물레버리지,0.5961667075605627
HANARO 200선물인버스,-0.5934766129343393
HANARO e커머스,0.4415133054053482
HANARO Fn K-POP&미디어,0.3168420685610352
HANARO Fn K-게임,0.2619632418205642
HANARO Fn K-뉴딜디지털플러스,0.535216692973979
HANARO Fn K-반도체,0.40214851588034134
HANARO Fn5G산업,0.47105905369924156
HANARO Fn전기&수소차,0.7252389323738274
HANARO Fn친환경에너지,0.6150443435247036
HANARO KAP초장기국고채,0.06672652181623133
HANARO KRX300,0.5862204078744931
HANARO MSCI Korea TR,0.5588890757935567
HANARO 고배당,0.6318280088463042
HANARO 글로벌럭셔리S&P(합성),0.33510810221105214
HANARO 농업융복합산업,0.5619550330814812
HANARO 단기채권액티브,-0.0192005913427557
HANARO 코스닥150,0.542251215636353
HANARO 코스닥150선물레버리지,0.5560525450739869
HANARO 탄소효율그린뉴딜,0.5490329047899482
KODEX 200 중소형,0.6989256850944398
KODEX 200,0.6093552963770462
KODEX 200ESG,0.628909956345224
KODEX 200exTOP,0.625515352017005
KODEX 200IT TR,0.47860745124379334
KODEX 200TR,0.6096204144400394
KODEX 200가치저변동,0.6002378486337869
KODEX 200동일가중,0.7081691953998678
KODEX 200롱코스닥150숏선물,-0.2502490889643068
KODEX 200미국채혼합,0.33517592273720564
KODEX 200선물인버스2X,-0.6053711268507997
KODEX 2차전지산업,0.5683935470055095
KODEX 3대농산물선물(H),0.14066881920127283
KODEX IT,0.4876801358697682
KODEX K-뉴딜디지털플러스,0.5486827593635663
KODEX K-미래차액티브,0.5778418816969153
KODEX K-신재생에너지액티브,0.5750733179725307
KODEX K-이노베이션액티브,0.4965842740789625
KODEX KRX300,0.61203787682433
KODEX KRX300레버리지,0.597059863129865
KODEX KTOP30,0.6109467403764777
KODEX MSCI EM선물(H),0.45309013966777123
KODEX MSCI KOREA ESG유니버설,0.5790882691840878
KODEX MSCI Korea TR,0.6032566121078315
KODEX MSCI Korea,0.5838556453843602
KODEX MSCI모멘텀,0.6403251012124734
KODEX MSCI밸류,0.6055850466672117
KODEX MSCI퀄리티,0.5029408872384508
KODEX S&P글로벌인프라(합성),0.2477611113656934
KODEX Top10동일가중,0.5691812090029539
KODEX Top5PlusTR,0.5314863251170934
KODEX TRF3070,0.26249532116210417
KODEX TRF5050,0.22149091544011623
KODEX TRF7030,0.27425345466519263
KODEX WTI원유선물(H),0.22276164389336137
KODEX WTI원유선물인버스(H),-0.22175599666333554
KODEX 건설,0.6451269831400511
KODEX 게임산업,0.24871647041616932
KODEX 경기소비재,0.5068332779106078
KODEX 고배당,0.5836055995597654
KODEX 골드선물(H),0.16696189220913527
KODEX 골드선물인버스(H),-0.1797954027719135
KODEX 구리선물(H),0.3598711172896586
KODEX 국고채3년,0.033352835145372066
KODEX 국채선물10년,0.04088436415636186
KODEX 국채선물10년인버스,-0.04019096528988918
KODEX 국채선물3년인버스,-0.047641168948127845
KODEX 글로벌로봇(합성),0.33670159426438606
KODEX 기계장비,0.6650587357089324
KODEX 단기변동금리부채권액티브,0.03206444969258122
KODEX 단기채권,0.020031572977884018
KODEX 단기채권PLUS,0.07345969512603201
KODEX 레버리지,0.6085834430810265
