ETF2,Correlation
ACE 200,0.9662922408802409
ACE 200TR,0.9563553100019022
ACE 2차전지&친환경차액티브,0.6418013843087927
ACE ESG액티브,0.9226864278960782
ACE Fn5G플러스,0.7943640345767505
ACE Fn성장소비주도주,0.652979613939338
ACE 골드선물 레버리지(합성 H),0.21701936566447047
ACE 국고채10년,0.16052763258229644
ACE 국고채3년,0.1879869398824949
ACE 단기통안채,-0.00046163497865910714
ACE 러시아MSCI(합성),0.07248629607417413
ACE 레버리지,0.9623725965141268
ACE 멕시코MSCI(합성),0.3162916345789941
ACE 미국IT인터넷S&P(합성 H),0.49865949306806584
ACE 미국S&P500,0.4479433719420644
ACE 미국WideMoat동일가중,0.4460540463015233
ACE 미국나스닥100,0.49255191699433537
ACE 미국다우존스리츠(합성 H),0.4367467185262592
ACE 미국친환경그린테마INDXX,0.47776007057517794
ACE 밸류대형,0.9222841031515673
ACE 베트남VN30(합성),0.13037713214433433
ACE 베트남VN30선물블룸버그레버리지(H),0.3258197300074836
ACE 삼성그룹동일가중,0.7016759472888162
ACE 삼성그룹섹터가중,0.8787180514869818
ACE 싱가포르리츠,0.1950279163499641
ACE 아시아TOP50S&P,0.5877851566023344
ACE 인도네시아MSCI(합성),0.2575803383717336
ACE 인버스,-0.9495265159533441
ACE 일본Nikkei225(H),0.6270926885951177
ACE 일본TOPIX레버리지(H),0.4639550949455564
ACE 일본TOPIX인버스(합성 H),-0.635258218615947
ACE 종합채권(AA-이상)KIS액티브,0.12294240528827687
ACE 중국본토CSI300,0.14951240037895053
ACE 중국본토CSI300레버리지(합성),0.16663437677479395
ACE 중장기국공채액티브,0.18827420526919425
ACE 차이나항셍테크,0.36532032477842585
ACE 코스닥150,0.7618343458847758
ACE 코스피,0.9635587488668617
ACE 필리핀MSCI(합성),0.16234841914298712
BNK금융지주,0.478615235395865
HANARO 200,0.9675893258691328
HANARO 200TR,0.9579714173623497
HANARO 200선물레버리지,0.9532821463933151
HANARO 200선물인버스,-0.941734014120629
HANARO e커머스,0.7087929774537058
HANARO Fn K-POP&미디어,0.4767844607466804
HANARO Fn K-게임,0.5303679794049208
HANARO Fn K-뉴딜디지털플러스,0.774296451932762
HANARO Fn K-반도체,0.7922883797129391
HANARO Fn5G산업,0.818213333296312
HANARO Fn전기&수소차,0.811405774249279
HANARO Fn친환경에너지,0.6799990700788419
HANARO KAP초장기국고채,0.19349749171055947
HANARO KRX300,0.92042050392564
HANARO MSCI Korea TR,0.9079799851753416
HANARO 고배당,0.6851914942244692
HANARO 글로벌럭셔리S&P(합성),0.43489932846266033
HANARO 농업융복합산업,0.6918572535546791
HANARO 단기채권액티브,-0.005510472080231289
HANARO 코스닥150,0.7651685958378627
HANARO 코스닥150선물레버리지,0.7748952227289067
HANARO 탄소효율그린뉴딜,0.8827464400694417
KODEX 200 중소형,0.8074606467130844
KODEX 200,0.968629059536667
KODEX 200ESG,0.9366653902574128
KODEX 200exTOP,0.8755727335790995
KODEX 200IT TR,0.8617097637915718
KODEX 200TR,0.9618766229277034
KODEX 200가치저변동,0.8768186208226014
KODEX 200동일가중,0.8404125921621025
KODEX 200롱코스닥150숏선물,-0.25161734585756634
KODEX 200미국채혼합,0.5786488996712756
KODEX 200선물인버스2X,-0.9633114248177239
KODEX 2차전지산업,0.6217706415908528
KODEX 3대농산물선물(H),0.09120435870046782
KODEX IT,0.8684752131558889
KODEX K-뉴딜디지털플러스,0.7782365066455049
KODEX K-미래차액티브,0.8503123557187909
KODEX K-신재생에너지액티브,0.6315894658616102
KODEX K-이노베이션액티브,0.7817157831986626
KODEX KRX300,0.9662637883294487
KODEX KRX300레버리지,0.9221219244019879
KODEX KTOP30,0.9231268960075022
KODEX MSCI EM선물(H),0.6731402342220568
KODEX MSCI KOREA ESG유니버설,0.9001287825735161
KODEX MSCI Korea TR,0.9513033902289625
KODEX MSCI Korea,0.9244187082400326
KODEX MSCI모멘텀,0.7836839678368553
KODEX MSCI밸류,0.830099252715245
KODEX MSCI퀄리티,0.8577072094081958
KODEX S&P글로벌인프라(합성),0.29856999901212194
KODEX Top10동일가중,0.8777152086559138
KODEX Top5PlusTR,0.8837191230046009
KODEX TRF3070,0.40230171897146033
KODEX TRF5050,0.3310547499198097
KODEX TRF7030,0.4125186370626012
KODEX WTI원유선물(H),0.21172457944726747
KODEX WTI원유선물인버스(H),-0.21347359012998557
KODEX 건설,0.6643514095064957
KODEX 게임산업,0.5150142130608767
KODEX 경기소비재,0.6947932622717125
KODEX 고배당,0.6784623964003399
KODEX 골드선물(H),0.21668870566933643
KODEX 골드선물인버스(H),-0.2022568667129495
KODEX 구리선물(H),0.3647474286122554
KODEX 국고채3년,0.16196444417489125
KODEX 국채선물10년,0.16173839623772351
KODEX 국채선물10년인버스,-0.186027144069751
KODEX 국채선물3년인버스,-0.18321350848438123
KODEX 글로벌로봇(합성),0.5363519951622809
KODEX 기계장비,0.7182730421408343
KODEX 단기변동금리부채권액티브,0.02639779357980227
KODEX 단기채권,0.038120028600694245
KODEX 단기채권PLUS,0.09429289405348662
KODEX 레버리지,0.9630039293619993
KODEX 멀티에셋하이인컴(H),0.29498469623598567
KODEX 멀티팩터,0.8855797645732083
KODEX 모멘텀Plus,0.6593392122474858
KODEX 미국10년국채선물,-0.4165092324488024
