ETF2,Correlation
ACE 200,0.9635796669106301
ACE 200TR,0.9574827160301106
ACE 2차전지&친환경차액티브,0.5815042206432273
ACE ESG액티브,0.9071536579567008
ACE Fn5G플러스,0.8045215921912551
ACE Fn성장소비주도주,0.6372170397961628
ACE 골드선물 레버리지(합성 H),0.2153026446630979
ACE 국고채10년,0.14511090839503935
ACE 국고채3년,0.1860103775669455
ACE 단기통안채,-0.018492420816727043
ACE 러시아MSCI(합성),0.08613429603008747
ACE 레버리지,0.9518714151788356
ACE 멕시코MSCI(합성),0.3033098834285065
ACE 미국IT인터넷S&P(합성 H),0.5009263639089199
ACE 미국S&P500,0.4485136350506697
ACE 미국WideMoat동일가중,0.4344762062324869
ACE 미국나스닥100,0.5084134148050785
ACE 미국다우존스리츠(합성 H),0.41614268290057005
ACE 미국친환경그린테마INDXX,0.4668398233163179
ACE 밸류대형,0.9191328550579102
ACE 베트남VN30(합성),0.12493037798664311
ACE 베트남VN30선물블룸버그레버리지(H),0.3219109249146764
ACE 삼성그룹동일가중,0.675773771428275
ACE 삼성그룹섹터가중,0.8581761923594972
ACE 싱가포르리츠,0.1642542479731968
ACE 아시아TOP50S&P,0.6040319233057472
ACE 인도네시아MSCI(합성),0.24149575903798137
ACE 인버스,-0.943881413695279
ACE 일본Nikkei225(H),0.6352576861104805
ACE 일본TOPIX레버리지(H),0.4662915814983051
ACE 일본TOPIX인버스(합성 H),-0.6475058865851726
ACE 종합채권(AA-이상)KIS액티브,0.12028278854806532
ACE 중국본토CSI300,0.15499700000558092
ACE 중국본토CSI300레버리지(합성),0.15953080596744465
ACE 중장기국공채액티브,0.17758636811643388
ACE 차이나항셍테크,0.3669930882949583
ACE 코스닥150,0.7473357996279104
ACE 코스피,0.9442695251258914
ACE 필리핀MSCI(합성),0.15432493587791832
BNK금융지주,0.45768053579937434
HANARO 200,0.9559114471015606
HANARO 200TR,0.9573596983852465
HANARO 200선물레버리지,0.9455849988429476
HANARO 200선물인버스,-0.9418799824914643
HANARO e커머스,0.6884206612126008
HANARO Fn K-POP&미디어,0.4651034936016085
HANARO Fn K-게임,0.5098687227423127
HANARO Fn K-뉴딜디지털플러스,0.7201017441378679
HANARO Fn K-반도체,0.8214504942526852
HANARO Fn5G산업,0.8160876674732571
HANARO Fn전기&수소차,0.7605777764876266
HANARO Fn친환경에너지,0.6262216967950297
HANARO KAP초장기국고채,0.17866536593505977
HANARO KRX300,0.9264540598633877
HANARO MSCI Korea TR,0.9141802549722461
HANARO 고배당,0.6475557341085902
HANARO 글로벌럭셔리S&P(합성),0.42915784496060383
HANARO 농업융복합산업,0.6614621993114442
HANARO 단기채권액티브,0.015817934883721085
HANARO 코스닥150,0.7415113346434263
HANARO 코스닥150선물레버리지,0.7562507435446945
HANARO 탄소효율그린뉴딜,0.8860831604201387
KODEX 200 중소형,0.7750594108316193
KODEX 200,0.9561217704369974
KODEX 200ESG,0.9178724111153365
KODEX 200exTOP,0.8432445225315083
KODEX 200IT TR,0.8620237313962258
KODEX 200TR,0.9541343661322775
KODEX 200가치저변동,0.8704157301366566
KODEX 200동일가중,0.8185373178813115
KODEX 200롱코스닥150숏선물,-0.23661101596735448
KODEX 200미국채혼합,0.5666777089773785
KODEX 200선물인버스2X,-0.9514228287727858
KODEX 2차전지산업,0.5481443709461579
KODEX 3대농산물선물(H),0.07526082807673941
KODEX IT,0.8648612548413355
KODEX K-뉴딜디지털플러스,0.7285264188166424
KODEX K-미래차액티브,0.8269608047889244
KODEX K-신재생에너지액티브,0.5848534971194358
KODEX K-이노베이션액티브,0.768869598845521
KODEX KRX300,0.9541679951830964
KODEX KRX300레버리지,0.9267206472052777
KODEX KTOP30,0.9077555199365785
KODEX MSCI EM선물(H),0.6628640352161549
KODEX MSCI KOREA ESG유니버설,0.8966483880776314
KODEX MSCI Korea TR,0.955973107954118
KODEX MSCI Korea,0.9308940860050505
KODEX MSCI모멘텀,0.7546044215756722
KODEX MSCI밸류,0.8365163236951607
KODEX MSCI퀄리티,0.866085014928033
KODEX S&P글로벌인프라(합성),0.2739748129550544
KODEX Top10동일가중,0.8387291521928014
KODEX Top5PlusTR,0.8886526029336317
KODEX TRF3070,0.4008333330685835
KODEX TRF5050,0.32084072297577804
KODEX TRF7030,0.39964861193045986
KODEX WTI원유선물(H),0.19022567352103073
KODEX WTI원유선물인버스(H),-0.19232100129928306
KODEX 건설,0.6274249241643475
KODEX 게임산업,0.4988446708132197
KODEX 경기소비재,0.6849734507719407
KODEX 고배당,0.6499850194230662
KODEX 골드선물(H),0.2047194357575131
KODEX 골드선물인버스(H),-0.19181496315858432
KODEX 구리선물(H),0.35353543347074673
KODEX 국고채3년,0.16319781676684586
KODEX 국채선물10년,0.15215075434494763
KODEX 국채선물10년인버스,-0.1804982810427125
KODEX 국채선물3년인버스,-0.17189310609196115
KODEX 글로벌로봇(합성),0.5314390956767152
KODEX 기계장비,0.6578338217504136
KODEX 단기변동금리부채권액티브,0.01080892774216929
KODEX 단기채권,0.020346520218898496
KODEX 단기채권PLUS,0.09692466605269288
KODEX 레버리지,0.949768146918372
KODEX 멀티에셋하이인컴(H),0.28751182239223116
KODEX 멀티팩터,0.8698518835737632
KODEX 모멘텀Plus,0.6344689502616616
KODEX 미국10년국채선물,-0.4282241453054377
KODEX 미국30년국채울트라선물(H),0.08131320532439923
KODEX 미국S&P500TR,0.45463406407332835
KODEX 미국S&P500산업재(합성),0.3532151928907754
KODEX 미국S&P500선물(H),0.6545403678510312
KODEX 미국S&P500에너지(합성),0.1190528670906403
KODEX 미국S&P바이오(합성),0.28472678890584413
KODEX 미국나스닥100TR,0.5109168566797172
KODEX 미국나스닥100선물(H),0.6415435116169655
KODEX 미국달러선물,-0.5287129357992415
KODEX 미국달러선물레버리지,-0.5344636748407766
KODEX 미국달러선물인버스,0.5336436260077961
KODEX 미국달러선물인버스2X,0.5351369118758327
KODEX 미국러셀2000(H),0.6192537201454856
KODEX 미국반도체MV,0.5689555452838158
KODEX 미국부동산리츠(H),0.4811546857353271
KODEX 미국빅테크10(H),0.6184007117228165
KODEX 미국스마트모빌리티S&P,0.5046108942939392
