ETF2,Correlation
ACE 200,0.9955425202782017
ACE 200TR,0.9873474661561985
ACE 2차전지&친환경차액티브,0.5509622696542991
ACE ESG액티브,0.9171515503437243
ACE Fn5G플러스,0.8055609767407429
ACE Fn성장소비주도주,0.6421237766527647
ACE 골드선물 레버리지(합성 H),0.2359307336673869
ACE 국고채10년,0.16336747648357294
ACE 국고채3년,0.19634698362686423
ACE 단기통안채,-0.015616352919541257
ACE 러시아MSCI(합성),0.08366148824505029
ACE 레버리지,0.9899634500560202
ACE 멕시코MSCI(합성),0.3092112604858394
ACE 미국IT인터넷S&P(합성 H),0.5077762695476139
ACE 미국S&P500,0.4631815968005498
ACE 미국WideMoat동일가중,0.46038155078673254
ACE 미국나스닥100,0.5140832618616812
ACE 미국다우존스리츠(합성 H),0.44427271112305394
ACE 미국친환경그린테마INDXX,0.4666652959536241
ACE 밸류대형,0.9476050568404393
ACE 베트남VN30(합성),0.1289136898202896
ACE 베트남VN30선물블룸버그레버리지(H),0.32574901735812883
ACE 삼성그룹동일가중,0.7089443150995433
ACE 삼성그룹섹터가중,0.8856925573696428
ACE 싱가포르리츠,0.18371406859275882
ACE 아시아TOP50S&P,0.6151548021443453
ACE 인도네시아MSCI(합성),0.24053952751148422
ACE 인버스,-0.9760672066606102
ACE 일본Nikkei225(H),0.6383447442616624
ACE 일본TOPIX레버리지(H),0.46744356750291566
ACE 일본TOPIX인버스(합성 H),-0.645154055364212
ACE 종합채권(AA-이상)KIS액티브,0.14167167891674276
ACE 중국본토CSI300,0.15449902428038575
ACE 중국본토CSI300레버리지(합성),0.16757982899813975
ACE 중장기국공채액티브,0.18711701164996966
ACE 차이나항셍테크,0.3772258464743167
ACE 코스닥150,0.7088895280596321
ACE 코스피,0.9557967767982091
ACE 필리핀MSCI(합성),0.15107990054837744
BNK금융지주,0.48604189020942257
HANARO 200,0.9961307686410332
HANARO 200TR,0.9902874031430339
HANARO 200선물레버리지,0.9825128116693569
HANARO 200선물인버스,-0.9685856482450955
HANARO e커머스,0.715698291003218
HANARO Fn K-POP&미디어,0.46054298313264963
HANARO Fn K-게임,0.5297394196172899
HANARO Fn K-뉴딜디지털플러스,0.7258127723808026
HANARO Fn K-반도체,0.8343696723239986
HANARO Fn5G산업,0.8292089089539907
HANARO Fn전기&수소차,0.7502523153965408
HANARO Fn친환경에너지,0.609550606290447
HANARO KAP초장기국고채,0.19666249729685656
HANARO KRX300,0.9423635568400082
HANARO MSCI Korea TR,0.9370982418224771
HANARO 고배당,0.6899698461722261
HANARO 글로벌럭셔리S&P(합성),0.43459647688629116
HANARO 농업융복합산업,0.6512026305809746
HANARO 단기채권액티브,0.004667778197524531
HANARO 코스닥150,0.7139370075277256
HANARO 코스닥150선물레버리지,0.7281658815153381
HANARO 탄소효율그린뉴딜,0.8968757219866501
KODEX 200 중소형,0.7674846409471359
KODEX 200,0.9965372898328781
KODEX 200ESG,0.9539010666382837
KODEX 200exTOP,0.8645404997138588
KODEX 200IT TR,0.8898138521737422
KODEX 200TR,0.9904309936391601
KODEX 200가치저변동,0.9089567181443655
KODEX 200동일가중,0.8200154216260824
KODEX 200롱코스닥150숏선물,-0.16025364872305892
KODEX 200미국채혼합,0.5858581147914972
KODEX 200선물인버스2X,-0.991605422855081
KODEX 2차전지산업,0.5256998206538492
KODEX 3대농산물선물(H),0.07800956062561845
KODEX IT,0.8767754692815616
KODEX K-뉴딜디지털플러스,0.73188225479188
KODEX K-미래차액티브,0.8242009827049416
KODEX K-신재생에너지액티브,0.5656819350314368
KODEX K-이노베이션액티브,0.771995818294464
KODEX KRX300,0.9780225725083825
KODEX KRX300레버리지,0.9345770111075815
KODEX KTOP30,0.9266378248486535
KODEX MSCI EM선물(H),0.680554615396546
KODEX MSCI KOREA ESG유니버설,0.9152047608131703
KODEX MSCI Korea TR,0.9699346037028973
KODEX MSCI Korea,0.9457313637136902
KODEX MSCI모멘텀,0.7321322319018663
KODEX MSCI밸류,0.8524557311942188
KODEX MSCI퀄리티,0.8815092986916269
KODEX S&P글로벌인프라(합성),0.2858328898343524
KODEX Top10동일가중,0.8542538967428693
KODEX Top5PlusTR,0.9281524475877088
KODEX TRF3070,0.4021853240017089
KODEX TRF5050,0.33864945229525545
KODEX TRF7030,0.4140462955722044
KODEX WTI원유선물(H),0.20422531133194838
KODEX WTI원유선물인버스(H),-0.2064137627949807
KODEX 건설,0.6220789800100445
KODEX 게임산업,0.5172691731846119
KODEX 경기소비재,0.6908429306897277
KODEX 고배당,0.6694860950103443
KODEX 골드선물(H),0.22759893908782478
KODEX 골드선물인버스(H),-0.21425335264857787
KODEX 구리선물(H),0.3733692051340567
KODEX 국고채3년,0.17500087802930342
KODEX 국채선물10년,0.16955983276186204
KODEX 국채선물10년인버스,-0.19239166963078344
KODEX 국채선물3년인버스,-0.18811493555750242
KODEX 글로벌로봇(합성),0.529811975126733
KODEX 기계장비,0.6329591452994311
KODEX 단기변동금리부채권액티브,0.01369353888731948
KODEX 단기채권,0.025207755409589982
KODEX 단기채권PLUS,0.08443799262533797
KODEX 레버리지,0.991469546584735
KODEX 멀티에셋하이인컴(H),0.30391499780204273
KODEX 멀티팩터,0.8834144388872378
KODEX 모멘텀Plus,0.6208198308677406
KODEX 미국10년국채선물,-0.4295579193465897
KODEX 미국30년국채울트라선물(H),0.10135380999561916
KODEX 미국S&P500TR,0.4702315601043846
KODEX 미국S&P500산업재(합성),0.36203659210750844
KODEX 미국S&P500선물(H),0.6768362432316626
KODEX 미국S&P500에너지(합성),0.13628805047683154
KODEX 미국S&P바이오(합성),0.2947605281429911
KODEX 미국나스닥100TR,0.5167602874703137
KODEX 미국나스닥100선물(H),0.6531515001060205
KODEX 미국달러선물,-0.543938026224054
KODEX 미국달러선물레버리지,-0.5528045413404682
KODEX 미국달러선물인버스,0.5450093354491367
KODEX 미국달러선물인버스2X,0.5515637098102758
KODEX 미국러셀2000(H),0.6400735909063403
KODEX 미국반도체MV,0.5766082516134181
KODEX 미국부동산리츠(H),0.5112210999410632
KODEX 미국빅테크10(H),0.6258051471777639
KODEX 미국스마트모빌리티S&P,0.5205740032822795
KODEX 미디어&엔터테인먼트,0.6451738767837016
KODEX 바이오,0.6137275282556228
KODEX 반도체,0.7668909004081925
KODEX 배당가치,0.8965369231743769
KODEX 배당성장,0.7929930329662941
KODEX 배당성장채권혼합,0.7143231985407393
KODEX 밸류Plus,0.705055665119195
KODEX 보험,0.41819511932335246
KODEX 삼성그룹,0.8930493220520457
KODEX 삼성그룹밸류,0.8935952227080161
KODEX 선진국MSCI World,0.5246425539298681
KODEX 성장주,0.9248773833968454
KODEX 시스템반도체,0.7996773877167332
KODEX 에너지화학,0.656995424598402
KODEX 운송,0.6385172785712017
KODEX 웹툰&드라마,0.5846604473071491
KODEX 은선물(H),0.3244738911669512
KODEX 은행,0.6276927517860887
